,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0123.0012-vlucci.com A1.4.0.1,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526461517298,-200,-200,-96,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526461517401,-200,-78,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461517501,-200,-200,-96,-200,-200,-200,-200,-200,-89,-91,-200,-200,-200,-200
1526461521932,-200,-73,-200,-200,-200,-200,-76,-87,-82,-200,-200,-200,-200,-200
1526461522031,-81,-74,-200,-200,-200,-200,-75,-89,-82,-200,-200,-200,-200,-200
1526461522131,-200,-74,-88,-200,-200,-90,-75,-200,-83,-200,-200,-200,-200,-200
1526461522236,-81,-74,-90,-69,-200,-92,-75,-87,-82,-91,-200,-200,-200,-200
1526461522452,-81,-200,-200,-71,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526461526975,-200,-75,-200,-200,-200,-88,-73,-91,-85,-200,-200,-200,-200,-200
1526461527215,-76,-76,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526461527328,-77,-200,-200,-71,-200,-89,-75,-200,-200,-200,-200,-200,-200,-200
1526461527444,-86,-78,-88,-72,-200,-83,-200,-200,-84,-90,-200,-200,-200,-200
1526461531963,-200,-78,-95,-75,-200,-84,-200,-200,-86,-200,-200,-200,-200,-200
1526461532062,-87,-78,-96,-75,-200,-83,-76,-200,-86,-90,-200,-200,-200,-200
1526461532205,-86,-78,-94,-76,-200,-84,-76,-200,-86,-89,-200,-200,-200,-200
1526461532302,-86,-78,-96,-75,-200,-84,-200,-200,-86,-200,-200,-200,-200,-200
1526461532477,-200,-200,-85,-200,-200,-84,-73,-200,-86,-200,-200,-200,-200,-200
1526461536972,-78,-72,-84,-70,-200,-85,-72,-200,-89,-87,-200,-200,-200,-200
1526461537132,-78,-72,-85,-69,-200,-84,-70,-200,-200,-200,-200,-200,-200,-200
1526461537422,-200,-200,-85,-200,-200,-87,-73,-200,-86,-87,-200,-200,-200,-92
1526461542023,-200,-200,-91,-72,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526461542157,-200,-200,-200,-200,-200,-200,-76,-200,-76,-200,-200,-200,-200,-200
1526461542229,-85,-74,-200,-79,-200,-200,-75,-200,-76,-97,-200,-200,-93,-200
1526461547071,-91,-76,-93,-77,-200,-89,-86,-200,-82,-200,-200,-200,-200,-200
1526461547158,-90,-200,-92,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526461547228,-90,-200,-93,-78,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526461547357,-91,-75,-92,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526461547459,-92,-76,-200,-200,-200,-89,-85,-95,-200,-94,-200,-99,-200,-200
1526461551956,-89,-76,-200,-77,-200,-87,-75,-200,-76,-200,-200,-90,-200,-200
1526461552056,-87,-200,-200,-77,-200,-200,-74,-200,-75,-200,-200,-200,-200,-200
1526461552161,-89,-76,-200,-77,-200,-86,-76,-200,-76,-92,-200,-92,-200,-200
1526461552269,-86,-75,-200,-77,-200,-86,-74,-200,-200,-200,-200,-200,-200,-200
1526461552376,-88,-76,-90,-77,-200,-87,-76,-200,-200,-91,-200,-200,-200,-200
1526461557025,-84,-76,-200,-200,-200,-85,-73,-200,-76,-200,-200,-90,-200,-200
1526461557446,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200
1526461561935,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526461562035,-95,-200,-200,-78,-200,-91,-86,-200,-200,-200,-200,-200,-200,-200
1526461562158,-200,-75,-91,-77,-100,-200,-86,-200,-82,-200,-200,-97,-200,-102
1526461562231,-200,-76,-200,-77,-100,-89,-86,-96,-82,-200,-200,-97,-200,-200
1526461562333,-92,-200,-200,-77,-100,-89,-86,-200,-82,-98,-200,-200,-200,-200
1526461562435,-92,-200,-91,-200,-98,-200,-86,-200,-82,-200,-200,-200,-200,-200
1526461562547,-200,-74,-200,-78,-200,-200,-86,-200,-200,-94,-200,-200,-200,-200
1526461566972,-85,-74,-200,-200,-94,-200,-80,-96,-77,-94,-200,-200,-200,-200
1526461567084,-86,-75,-200,-77,-200,-200,-80,-93,-77,-95,-200,-94,-200,-200
1526461567264,-200,-74,-200,-76,-94,-200,-79,-200,-77,-95,-200,-200,-200,-200
1526461567377,-83,-200,-200,-77,-95,-200,-80,-200,-77,-200,-200,-200,-200,-200
1526461567474,-85,-200,-200,-75,-94,-200,-80,-200,-200,-200,-200,-92,-200,-200
