,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459470553,-28,-33,-31,-40,-52,-61,-58,-51,-69,-66,-56,-59,-66,-61,-76,-54,-77,-72,-58,-70,-73,-76,-75,-79,-77,-76,-84,-200,-200,-66,-87,-87,-90,-89,-85,-90,-82,-200,-200,-75,-90,-86,-86,-79,-200,-90,-89,-200,-86,-85,-200,-200,-200,-200,-91,-200,-92,-92,-200,-92,-200,-93,-200,-89,-88,-86,-200,-200,-200,-200,-200,-200
1526459473579,-28,-32,-30,-40,-52,-58,-57,-49,-70,-63,-56,-82,-66,-66,-76,-56,-79,-69,-61,-78,-74,-76,-74,-79,-74,-76,-84,-200,-200,-63,-84,-87,-90,-89,-88,-90,-82,-200,-200,-75,-92,-86,-82,-79,-90,-91,-200,-200,-85,-85,-200,-200,-200,-200,-91,-200,-92,-89,-200,-200,-200,-93,-200,-200,-88,-86,-89,-90,-200,-200,-200,-200
1526459476610,-28,-33,-35,-40,-52,-61,-56,-50,-69,-62,-56,-67,-67,-65,-77,-60,-77,-70,-58,-78,-75,-75,-74,-79,-71,-76,-88,-200,-200,-65,-84,-88,-90,-88,-85,-90,-82,-200,-200,-74,-90,-85,-85,-79,-90,-91,-200,-200,-85,-85,-200,-200,-200,-200,-91,-200,-200,-90,-200,-89,-200,-89,-200,-200,-88,-86,-89,-90,-88,-88,-200,-200
1526459479644,-14,-33,-14,-40,-52,-59,-58,-50,-69,-59,-56,-62,-67,-67,-77,-54,-76,-69,-60,-78,-79,-75,-83,-81,-82,-78,-88,-200,-200,-62,-89,-88,-90,-85,-86,-90,-82,-200,-200,-74,-91,-86,-85,-80,-90,-91,-200,-200,-85,-200,-200,-200,-200,-200,-91,-200,-200,-90,-200,-89,-200,-89,-200,-200,-200,-86,-89,-90,-88,-88,-200,-200
1526459482657,-27,-32,-30,-40,-52,-59,-57,-50,-70,-62,-57,-67,-67,-66,-77,-58,-76,-72,-61,-76,-79,-75,-75,-79,-73,-77,-73,-200,-88,-65,-88,-87,-91,-85,-84,-90,-83,-200,-200,-74,-91,-85,-86,-80,-90,-91,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-89,-82,-89,-200,-200,-89,-200,-89,-90,-88,-82,-89,-200
1526459485691,-28,-32,-29,-40,-52,-62,-61,-49,-71,-61,-51,-60,-67,-64,-77,-55,-77,-71,-60,-79,-73,-75,-75,-82,-74,-79,-73,-200,-88,-65,-88,-87,-91,-85,-84,-200,-82,-200,-200,-75,-91,-85,-86,-81,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-91,-200,-200,-92,-200,-89,-82,-89,-200,-200,-89,-200,-200,-200,-85,-82,-89,-200
1526459488715,-28,-32,-30,-40,-52,-61,-60,-50,-68,-66,-57,-59,-67,-66,-77,-52,-77,-70,-60,-76,-76,-75,-75,-82,-75,-78,-74,-200,-88,-65,-92,-85,-88,-88,-84,-200,-82,-200,-200,-81,-91,-85,-86,-81,-91,-91,-200,-200,-82,-92,-200,-200,-200,-200,-91,-200,-89,-94,-200,-200,-82,-200,-200,-200,-89,-200,-90,-200,-85,-73,-89,-200
1526459491747,-15,-34,-29,-40,-52,-59,-57,-48,-70,-65,-57,-68,-69,-65,-77,-53,-75,-69,-60,-79,-76,-75,-75,-82,-76,-77,-74,-200,-88,-66,-85,-85,-88,-88,-84,-200,-82,-200,-200,-75,-200,-86,-86,-81,-92,-92,-200,-200,-86,-92,-81,-200,-200,-200,-91,-200,-89,-90,-200,-200,-82,-200,-200,-200,-89,-200,-90,-200,-85,-73,-89,-200
1526459494780,-28,-32,-30,-40,-51,-60,-60,-51,-69,-61,-59,-68,-66,-66,-80,-54,-77,-69,-61,-77,-76,-75,-76,-80,-75,-75,-74,-200,-88,-65,-85,-88,-89,-87,-88,-200,-86,-200,-200,-84,-200,-86,-87,-80,-92,-92,-88,-200,-86,-92,-81,-200,-200,-200,-91,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-85,-89,-200,-88
1526459497791,-27,-33,-29,-40,-51,-59,-57,-49,-68,-62,-41,-67,-66,-70,-77,-55,-77,-71,-58,-78,-74,-75,-75,-82,-74,-77,-74,-200,-88,-65,-85,-83,-89,-86,-88,-200,-85,-200,-200,-84,-200,-86,-87,-82,-92,-92,-84,-200,-86,-92,-82,-200,-200,-200,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-89,-200,-88
1526459500800,-28,-32,-30,-40,-51,-61,-56,-50,-69,-62,-43,-68,-66,-67,-78,-53,-75,-69,-56,-77,-76,-75,-75,-78,-75,-76,-81,-200,-83,-64,-85,-85,-91,-86,-88,-200,-84,-200,-200,-83,-200,-87,-84,-71,-200,-91,-84,-200,-86,-200,-82,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-90,-200,-89
1526459503833,-28,-33,-30,-40,-51,-61,-60,-50,-70,-65,-43,-69,-66,-66,-77,-52,-76,-68,-59,-79,-76,-75,-76,-82,-74,-77,-81,-200,-83,-65,-85,-85,-90,-88,-86,-89,-83,-200,-200,-75,-90,-88,-87,-71,-200,-91,-84,-200,-86,-200,-82,-200,-200,-200,-200,-200,-89,-93,-200,-200,-200,-90,-200,-200,-200,-200,-87,-200,-200,-90,-200,-89
