,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309
1526458574223,-41,-39,-46,-55,-45,-61,-59,-65,-61,-61,-64,-68,-84,-70,-71,-68,-70,-200,-85,-69,-76,-91,-81,-72,-82,-89,-90,-83,-76,-82,-91,-81,-89,-83,-91,-89,-91,-75,-90,-91,-200,-82,-200,-87,-90,-84,-90,-83,-88,-87,-84,-89,-91,-91,-200,-200,-200,-88,-200,-81,-89,-200,-91,-92,-91,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526458577236,-41,-40,-48,-55,-48,-61,-61,-65,-63,-61,-64,-70,-81,-69,-72,-67,-71,-200,-85,-68,-77,-91,-82,-67,-81,-89,-90,-82,-77,-83,-91,-89,-89,-83,-91,-89,-200,-75,-89,-91,-200,-82,-200,-87,-90,-88,-90,-83,-91,-87,-84,-89,-91,-91,-200,-200,-200,-88,-200,-83,-89,-200,-91,-92,-91,-88,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526458580273,-41,-39,-49,-55,-56,-61,-60,-65,-59,-66,-65,-68,-83,-69,-79,-68,-71,-200,-200,-69,-76,-88,-82,-71,-83,-91,-200,-82,-77,-85,-90,-79,-89,-83,-87,-89,-90,-78,-89,-200,-200,-82,-200,-200,-91,-88,-90,-83,-89,-87,-84,-200,-89,-91,-200,-92,-200,-88,-200,-83,-200,-200,-200,-100,-200,-88,-91,-90,-90,-92,-200,-200,-200,-200,-200
1526458583310,-40,-44,-49,-55,-47,-61,-59,-65,-59,-68,-63,-68,-82,-68,-72,-68,-70,-200,-84,-69,-77,-88,-82,-77,-84,-91,-88,-83,-77,-80,-90,-79,-89,-84,-91,-88,-90,-73,-90,-93,-200,-200,-200,-200,-93,-87,-200,-83,-89,-87,-84,-91,-89,-200,-200,-92,-200,-200,-200,-83,-200,-200,-200,-100,-200,-200,-200,-90,-90,-92,-91,-200,-200,-200,-200
1526458586344,-39,-40,-49,-54,-48,-61,-60,-52,-61,-60,-63,-68,-80,-68,-72,-66,-70,-200,-86,-69,-76,-90,-77,-72,-82,-93,-90,-83,-76,-84,-90,-79,-91,-83,-88,-89,-90,-75,-89,-89,-200,-200,-200,-89,-91,-87,-200,-86,-87,-87,-84,-91,-89,-200,-200,-92,-200,-91,-200,-81,-200,-200,-200,-100,-200,-200,-200,-90,-90,-92,-91,-88,-200,-200,-200
1526458589382,-41,-39,-49,-55,-40,-61,-58,-65,-60,-66,-55,-68,-82,-68,-68,-68,-72,-200,-86,-69,-76,-89,-81,-76,-85,-90,-90,-83,-77,-86,-200,-80,-91,-84,-89,-89,-200,-74,-89,-89,-200,-87,-200,-89,-91,-87,-200,-86,-88,-87,-85,-91,-89,-200,-200,-92,-200,-91,-200,-81,-200,-200,-200,-100,-200,-200,-200,-90,-90,-200,-91,-88,-200,-200,-200
1526458592421,-41,-39,-49,-55,-49,-60,-61,-65,-60,-61,-64,-66,-81,-69,-67,-67,-71,-200,-86,-69,-76,-86,-79,-75,-85,-90,-90,-84,-77,-84,-200,-79,-91,-83,-89,-89,-200,-74,-88,-89,-200,-88,-200,-89,-92,-87,-92,-86,-88,-87,-85,-91,-89,-200,-200,-200,-200,-91,-200,-82,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-91,-88,-91,-200,-200
1526458595455,-41,-39,-49,-55,-46,-61,-60,-65,-60,-70,-63,-68,-82,-66,-80,-66,-67,-200,-86,-77,-75,-86,-79,-75,-84,-92,-90,-83,-77,-84,-91,-82,-91,-84,-89,-91,-94,-79,-86,-92,-200,-88,-200,-89,-92,-87,-92,-86,-88,-87,-83,-91,-89,-200,-89,-200,-200,-91,-200,-82,-86,-200,-200,-200,-200,-200,-200,-91,-88,-92,-200,-88,-91,-200,-200
1526458598490,-40,-43,-47,-55,-40,-59,-62,-65,-61,-66,-64,-68,-81,-69,-70,-67,-70,-200,-89,-69,-76,-86,-81,-71,-84,-92,-89,-83,-77,-87,-91,-82,-90,-84,-89,-88,-90,-75,-86,-92,-200,-88,-200,-200,-90,-85,-90,-200,-88,-84,-83,-91,-89,-200,-89,-200,-200,-200,-200,-82,-86,-92,-200,-200,-200,-88,-200,-90,-88,-92,-200,-200,-89,-200,-200
1526458601524,-41,-40,-48,-54,-46,-61,-61,-65,-60,-61,-65,-68,-87,-69,-80,-67,-71,-200,-90,-77,-76,-86,-81,-72,-88,-92,-89,-88,-77,-85,-91,-80,-88,-83,-88,-88,-90,-79,-86,-92,-200,-88,-200,-200,-94,-91,-90,-200,-91,-85,-85,-91,-90,-200,-89,-200,-200,-200,-200,-89,-86,-92,-200,-200,-200,-88,-200,-90,-92,-92,-200,-200,-89,-91,-200
1526458604554,-41,-39,-49,-55,-40,-61,-59,-65,-59,-61,-64,-68,-82,-68,-71,-67,-71,-200,-83,-67,-76,-200,-82,-73,-85,-92,-89,-83,-60,-84,-92,-80,-88,-84,-89,-88,-90,-75,-86,-92,-200,-89,-200,-200,-94,-91,-90,-80,-87,-85,-85,-89,-90,-200,-89,-91,-200,-200,-200,-89,-86,-92,-200,-200,-200,-88,-200,-90,-92,-92,-200,-200,-89,-91,-200
1526458607588,-41,-44,-48,-54,-47,-61,-59,-65,-60,-61,-64,-68,-82,-68,-73,-66,-58,-200,-84,-69,-75,-200,-80,-71,-84,-89,-200,-84,-77,-85,-91,-81,-93,-84,-89,-200,-200,-73,-200,-200,-200,-83,-200,-200,-94,-85,-200,-87,-90,-86,-84,-87,-91,-200,-200,-91,-200,-200,-200,-85,-200,-90,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-91,-91
