,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459723465,-7,-38,-46,-70,-54,-48,-46,-61,-57,-64,-55,-80,-66,-65,-63,-70,-200,-68,-73,-74,-69,-82,-75,-79,-83,-87,-200,-84,-200,-84,-200,-89,-82,-88,-85,-81,-83,-89,-84,-200,-89,-89,-200,-91,-90,-200,-92,-200,-86,-93,-200,-89,-93,-84,-87,-88,-200,-200,-200,-200,-200,-89,-90,-91,-90,-93,-84,-81,-200,-200,-200,-200,-200,-200,-200
1526459726503,-27,-33,-45,-70,-53,-50,-53,-59,-61,-57,-65,-79,-66,-65,-94,-69,-200,-73,-73,-72,-70,-85,-77,-79,-83,-87,-200,-84,-200,-85,-200,-89,-82,-88,-85,-81,-83,-89,-84,-200,-89,-89,-200,-88,-89,-90,-92,-200,-89,-200,-200,-88,-93,-87,-87,-88,-200,-91,-200,-200,-200,-200,-200,-200,-90,-93,-84,-81,-92,-200,-200,-200,-200,-200,-200
1526459729538,-27,-36,-45,-75,-54,-47,-53,-58,-61,-63,-70,-79,-67,-66,-77,-68,-200,-73,-72,-72,-71,-85,-77,-79,-83,-87,-79,-82,-200,-85,-200,-89,-82,-87,-85,-85,-83,-88,-85,-200,-89,-89,-200,-88,-87,-90,-92,-200,-89,-200,-200,-87,-93,-89,-87,-88,-200,-91,-200,-200,-200,-200,-200,-91,-200,-200,-84,-81,-92,-92,-200,-200,-200,-200,-200
1526459732573,-26,-36,-43,-65,-54,-47,-54,-58,-61,-62,-67,-79,-67,-64,-58,-66,-85,-71,-73,-76,-71,-85,-75,-79,-83,-87,-79,-84,-87,-85,-200,-82,-82,-86,-86,-83,-84,-91,-82,-200,-200,-89,-200,-88,-89,-90,-92,-89,-89,-200,-200,-89,-89,-89,-85,-86,-200,-91,-200,-200,-200,-200,-200,-91,-200,-200,-200,-81,-92,-92,-89,-200,-200,-200,-200
1526459735607,-27,-36,-48,-70,-53,-49,-54,-59,-54,-64,-68,-72,-64,-65,-76,-66,-85,-57,-74,-77,-73,-83,-78,-88,-83,-87,-79,-84,-84,-85,-200,-81,-82,-86,-86,-83,-85,-91,-88,-200,-90,-91,-200,-85,-87,-91,-200,-89,-89,-91,-200,-88,-89,-86,-90,-86,-200,-92,-200,-200,-200,-200,-200,-91,-200,-89,-200,-80,-92,-92,-89,-200,-200,-200,-200
1526459738641,-26,-36,-42,-69,-53,-49,-55,-54,-60,-59,-67,-80,-66,-72,-63,-68,-85,-69,-73,-73,-72,-85,-77,-81,-83,-85,-79,-84,-87,-84,-200,-85,-200,-86,-86,-84,-85,-91,-85,-200,-90,-91,-200,-85,-87,-91,-200,-90,-200,-91,-200,-88,-89,-86,-90,-86,-200,-92,-81,-200,-200,-200,-200,-91,-200,-89,-200,-80,-200,-92,-89,-94,-200,-200,-200
1526459741664,-27,-37,-40,-72,-53,-48,-53,-56,-58,-63,-49,-80,-65,-64,-62,-67,-200,-70,-74,-73,-72,-85,-68,-82,-82,-88,-200,-85,-85,-84,-200,-84,-200,-89,-200,-86,-85,-87,-85,-200,-90,-87,-200,-85,-87,-91,-200,-90,-91,-91,-200,-92,-87,-86,-87,-90,-200,-92,-84,-200,-200,-200,-93,-200,-200,-90,-200,-80,-200,-90,-200,-94,-91,-200,-200
1526459744699,-27,-36,-43,-73,-54,-48,-54,-58,-61,-62,-74,-79,-63,-64,-64,-68,-200,-72,-74,-88,-72,-85,-77,-81,-82,-88,-200,-83,-86,-84,-200,-86,-200,-89,-200,-86,-84,-91,-85,-200,-88,-91,-200,-91,-90,-200,-200,-90,-91,-91,-200,-92,-88,-86,-87,-90,-200,-200,-84,-200,-200,-200,-93,-200,-200,-90,-200,-66,-200,-90,-200,-94,-90,-200,-200
1526459747730,-27,-39,-41,-71,-54,-48,-53,-57,-61,-67,-51,-79,-64,-63,-63,-65,-200,-70,-74,-78,-72,-84,-77,-81,-84,-86,-200,-84,-78,-200,-200,-84,-200,-89,-200,-86,-84,-88,-85,-200,-88,-89,-200,-91,-90,-200,-200,-200,-89,-200,-200,-92,-89,-86,-88,-90,-200,-200,-77,-200,-200,-200,-93,-200,-200,-90,-200,-66,-200,-90,-200,-200,-90,-200,-200
1526459750763,-26,-39,-40,-72,-54,-49,-54,-54,-61,-62,-66,-80,-67,-64,-68,-68,-200,-70,-74,-74,-72,-84,-75,-82,-84,-86,-200,-83,-78,-81,-200,-84,-200,-89,-200,-82,-84,-88,-89,-200,-88,-86,-200,-88,-89,-90,-200,-200,-88,-200,-200,-87,-89,-200,-88,-200,-200,-200,-77,-200,-200,-200,-200,-200,-90,-200,-200,-66,-200,-90,-89,-200,-90,-200,-200
1526459753799,-28,-39,-40,-74,-53,-49,-54,-53,-62,-62,-65,-80,-65,-72,-67,-68,-69,-72,-75,-72,-72,-83,-74,-79,-84,-88,-83,-82,-88,-81,-200,-84,-200,-86,-89,-84,-84,-88,-89,-200,-88,-87,-200,-88,-88,-90,-200,-200,-88,-87,-200,-87,-89,-88,-88,-200,-200,-200,-77,-200,-200,-90,-93,-200,-90,-200,-200,-72,-200,-90,-89,-200,-90,-91,-91
1526459756841,-28,-36,-41,-74,-53,-48,-53,-56,-60,-62,-67,-80,-62,-63,-68,-65,-85,-73,-74,-73,-72,-84,-75,-80,-83,-88,-83,-82,-83,-83,-200,-81,-200,-86,-91,-82,-82,-88,-82,-200,-200,-87,-200,-88,-89,-90,-200,-200,-89,-90,-200,-90,-89,-88,-88,-200,-200,-200,-77,-200,-200,-89,-93,-200,-90,-200,-200,-77,-200,-200,-90,-200,-200,-91,-91
