,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8
1526458882359,-37,-33,-49,-47,-53,-45,-50,-59,-52,-59,-58,-54,-65,-69,-62,-65,-68,-64,-73,-71,-62,-75,-72,-78,-75,-74,-74,-77,-78,-85,-67,-83,-200,-88,-80,-89,-89,-200,-85,-84,-200,-89,-89,-200,-200,-200,-90,-200,-200,-83,-200,-200,-200,-200,-91,-200,-92,-200,-200,-200,-80,-200,-90,-92,-89,-200,-91,-91,-91,-82,-91,-92,-200,-200,-200,-200
1526458885395,-16,-36,-52,-49,-52,-51,-50,-68,-56,-61,-59,-62,-63,-68,-60,-66,-67,-66,-74,-78,-64,-77,-77,-78,-78,-76,-74,-86,-81,-85,-82,-90,-200,-88,-89,-89,-89,-200,-84,-84,-200,-89,-200,-200,-200,-91,-90,-200,-200,-83,-200,-200,-200,-200,-91,-200,-87,-200,-200,-200,-80,-200,-90,-92,-89,-200,-89,-91,-91,-82,-91,-92,-200,-200,-200,-200
1526458888430,-37,-31,-42,-46,-51,-47,-50,-60,-58,-59,-57,-54,-62,-63,-62,-66,-50,-71,-73,-71,-67,-76,-75,-76,-76,-75,-74,-83,-81,-85,-81,-81,-200,-87,-89,-90,-89,-200,-84,-84,-89,-89,-92,-200,-200,-91,-200,-200,-200,-83,-200,-200,-91,-200,-91,-92,-86,-89,-200,-200,-200,-89,-90,-200,-200,-200,-89,-91,-91,-82,-91,-92,-85,-87,-200,-200
1526458891464,-38,-31,-45,-45,-49,-49,-50,-57,-55,-58,-59,-54,-62,-62,-61,-66,-68,-65,-70,-71,-63,-84,-78,-80,-73,-73,-74,-73,-79,-85,-81,-82,-200,-87,-84,-90,-89,-200,-85,-84,-92,-89,-92,-200,-200,-91,-200,-200,-200,-83,-200,-200,-91,-200,-90,-90,-86,-89,-200,-200,-89,-89,-90,-200,-200,-200,-89,-200,-200,-82,-91,-92,-85,-86,-200,-200
1526458894499,-33,-34,-48,-46,-59,-48,-50,-60,-54,-59,-58,-55,-64,-65,-61,-66,-68,-67,-70,-70,-64,-84,-75,-77,-73,-75,-74,-75,-78,-84,-80,-83,-200,-87,-87,-90,-89,-200,-85,-84,-92,-89,-89,-200,-200,-91,-85,-200,-200,-84,-200,-200,-91,-200,-90,-90,-86,-89,-92,-200,-89,-89,-200,-200,-200,-200,-89,-200,-200,-82,-200,-200,-85,-86,-200,-200
1526458897532,-34,-35,-51,-45,-52,-47,-50,-61,-53,-60,-58,-56,-66,-66,-62,-65,-68,-61,-70,-65,-64,-82,-78,-84,-74,-78,-74,-75,-78,-85,-80,-84,-200,-89,-80,-90,-89,-200,-85,-84,-89,-89,-89,-200,-200,-200,-85,-200,-200,-82,-200,-90,-91,-200,-90,-90,-86,-89,-92,-91,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-90,-200,-200
1526458900564,-34,-34,-51,-49,-52,-49,-50,-60,-53,-58,-57,-62,-65,-66,-61,-66,-68,-65,-66,-69,-65,-76,-75,-69,-74,-77,-73,-77,-78,-85,-81,-83,-200,-86,-80,-200,-91,-200,-90,-85,-89,-89,-89,-200,-200,-200,-85,-200,-200,-83,-200,-90,-200,-200,-90,-90,-200,-200,-92,-91,-89,-91,-200,-200,-200,-91,-87,-200,-200,-200,-200,-200,-86,-89,-92,-200
1526458903604,-33,-35,-47,-45,-50,-48,-50,-59,-53,-58,-59,-53,-63,-65,-63,-66,-67,-68,-72,-72,-63,-81,-76,-69,-77,-77,-72,-86,-78,-83,-81,-81,-200,-86,-89,-200,-88,-200,-85,-85,-89,-88,-91,-200,-200,-200,-85,-200,-200,-83,-200,-90,-200,-200,-90,-90,-86,-88,-92,-91,-200,-91,-200,-200,-200,-91,-87,-200,-200,-200,-200,-200,-86,-89,-92,-91
1526458906638,-34,-35,-45,-48,-50,-50,-50,-60,-53,-58,-59,-53,-64,-66,-62,-66,-67,-65,-72,-69,-67,-85,-73,-69,-75,-74,-72,-77,-81,-83,-81,-81,-200,-86,-79,-89,-88,-200,-85,-85,-89,-88,-91,-200,-200,-200,-85,-200,-200,-84,-200,-90,-200,-200,-87,-90,-86,-88,-200,-91,-200,-92,-200,-88,-200,-90,-87,-200,-200,-200,-94,-200,-86,-89,-92,-91
1526458909670,-33,-15,-52,-43,-53,-46,-50,-59,-53,-59,-43,-55,-63,-54,-62,-65,-68,-67,-78,-71,-62,-83,-73,-76,-78,-77,-73,-77,-82,-82,-80,-81,-200,-86,-86,-89,-88,-200,-90,-85,-200,-88,-89,-200,-90,-200,-85,-200,-200,-84,-200,-200,-200,-200,-87,-90,-88,-88,-200,-200,-200,-92,-200,-88,-200,-90,-86,-200,-90,-200,-94,-200,-200,-89,-92,-91
1526458912702,-34,-34,-51,-44,-52,-49,-50,-61,-53,-59,-54,-53,-63,-66,-58,-65,-67,-63,-71,-70,-67,-76,-76,-76,-77,-77,-73,-76,-81,-83,-80,-81,-200,-200,-86,-89,-88,-200,-84,-200,-200,-88,-90,-200,-90,-200,-85,-200,-200,-79,-200,-200,-200,-200,-87,-91,-89,-88,-200,-200,-200,-92,-200,-88,-200,-90,-86,-200,-90,-200,-94,-200,-200,-200,-200,-91
1526458915741,-34,-35,-49,-47,-58,-48,-50,-60,-54,-59,-60,-53,-63,-65,-63,-66,-68,-66,-71,-70,-61,-76,-76,-76,-74,-77,-72,-76,-80,-83,-80,-81,-79,-200,-79,-89,-200,-200,-84,-89,-90,-87,-90,-200,-90,-90,-85,-200,-200,-79,-200,-200,-200,-200,-87,-91,-88,-200,-200,-90,-87,-92,-200,-88,-200,-90,-90,-200,-90,-87,-94,-200,-200,-200,-200,-200
