,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459551096,-40,-39,-39,-49,-49,-58,-52,-56,-60,-58,-75,-69,-75,-71,-64,-68,-68,-59,-63,-69,-83,-83,-70,-81,-83,-70,-83,-85,-85,-200,-83,-87,-85,-200,-200,-86,-200,-90,-200,-87,-85,-89,-84,-85,-93,-89,-200,-89,-89,-88,-91,-87,-90,-81,-84,-83,-82,-85,-89,-200,-90,-200,-200,-90,-92,-91,-93,-82,-200,-93,-87,-89,-85,-91,-91,-91,-94,-92,-200,-200,-200,-200,-200,-200,-200
1526459554137,-29,-40,-39,-45,-49,-50,-46,-56,-59,-64,-75,-71,-79,-73,-66,-65,-65,-60,-63,-73,-200,-75,-73,-89,-80,-59,-87,-86,-85,-200,-83,-87,-85,-200,-79,-85,-200,-90,-200,-87,-82,-88,-84,-87,-93,-87,-200,-89,-84,-88,-91,-87,-90,-81,-84,-88,-82,-85,-89,-200,-90,-200,-200,-89,-92,-91,-200,-82,-91,-93,-86,-200,-85,-92,-91,-91,-94,-86,-87,-200,-200,-200,-200,-200,-200
1526459557182,-28,-40,-38,-47,-51,-48,-50,-56,-56,-65,-75,-71,-85,-51,-66,-67,-68,-61,-67,-69,-200,-75,-72,-81,-87,-62,-84,-82,-200,-84,-89,-200,-81,-200,-76,-85,-200,-200,-200,-88,-87,-88,-90,-87,-93,-87,-200,-89,-84,-200,-91,-87,-90,-70,-86,-85,-79,-200,-90,-200,-200,-81,-200,-89,-92,-91,-90,-80,-91,-200,-86,-200,-85,-91,-200,-200,-200,-86,-87,-69,-90,-91,-200,-200,-200
1526459560222,-14,-40,-38,-46,-55,-48,-50,-55,-59,-66,-80,-72,-85,-73,-69,-62,-69,-60,-67,-71,-200,-75,-71,-81,-87,-62,-86,-81,-200,-85,-89,-200,-81,-200,-76,-85,-200,-89,-200,-88,-87,-88,-81,-87,-200,-88,-200,-89,-84,-200,-91,-87,-200,-70,-86,-87,-81,-200,-90,-200,-200,-83,-200,-89,-92,-200,-90,-80,-91,-200,-85,-200,-200,-91,-200,-200,-200,-86,-87,-69,-90,-91,-200,-200,-200
1526459563263,-30,-40,-38,-47,-49,-50,-51,-56,-61,-67,-73,-75,-85,-73,-67,-63,-68,-59,-65,-74,-200,-75,-69,-80,-88,-62,-85,-84,-200,-85,-78,-200,-81,-200,-76,-200,-200,-89,-200,-88,-80,-200,-81,-87,-200,-88,-200,-89,-200,-90,-91,-85,-200,-70,-88,-82,-81,-200,-90,-200,-200,-84,-200,-200,-90,-200,-90,-81,-200,-200,-85,-200,-200,-91,-200,-200,-200,-200,-200,-69,-90,-91,-200,-200,-200
1526459566303,-28,-39,-37,-46,-52,-50,-55,-55,-58,-63,-74,-74,-72,-75,-66,-64,-68,-57,-65,-77,-83,-75,-72,-81,-82,-61,-85,-81,-200,-85,-82,-89,-81,-200,-86,-200,-200,-89,-200,-88,-85,-200,-84,-86,-90,-83,-200,-89,-200,-90,-91,-87,-91,-70,-88,-82,-81,-200,-200,-200,-200,-84,-200,-200,-90,-200,-90,-81,-200,-200,-85,-200,-200,-91,-94,-200,-200,-200,-200,-69,-200,-91,-92,-200,-200
1526459569342,-28,-39,-37,-46,-53,-48,-49,-56,-59,-63,-73,-73,-72,-74,-70,-66,-69,-62,-65,-75,-86,-75,-72,-78,-80,-61,-82,-81,-200,-85,-82,-91,-85,-200,-86,-88,-200,-89,-200,-200,-80,-94,-92,-90,-91,-88,-200,-88,-200,-90,-91,-87,-90,-200,-88,-82,-89,-200,-200,-92,-200,-84,-200,-200,-90,-200,-200,-81,-200,-200,-85,-87,-88,-93,-94,-91,-200,-200,-200,-200,-200,-200,-92,-84,-200
1526459572370,-16,-39,-38,-46,-50,-50,-52,-57,-62,-65,-74,-72,-75,-74,-69,-67,-68,-62,-63,-73,-86,-75,-75,-79,-82,-60,-82,-84,-200,-85,-84,-91,-82,-200,-86,-88,-87,-200,-200,-200,-84,-91,-92,-86,-91,-88,-200,-88,-200,-90,-89,-87,-87,-200,-87,-88,-89,-200,-200,-92,-200,-83,-200,-200,-94,-200,-200,-80,-200,-200,-200,-87,-88,-93,-94,-91,-200,-200,-200,-200,-200,-91,-92,-87,-200
1526459575397,-14,-39,-38,-45,-49,-48,-50,-58,-63,-64,-72,-73,-75,-70,-68,-63,-68,-59,-63,-72,-81,-75,-80,-79,-82,-62,-88,-84,-84,-86,-83,-91,-86,-200,-86,-88,-87,-200,-200,-200,-84,-91,-92,-86,-91,-88,-200,-88,-200,-200,-90,-87,-92,-200,-87,-88,-81,-200,-200,-92,-200,-83,-200,-200,-92,-92,-200,-82,-200,-200,-200,-87,-88,-93,-94,-91,-200,-200,-200,-200,-200,-91,-93,-87,-200
1526459578431,-36,-41,-36,-53,-50,-50,-51,-57,-61,-66,-74,-72,-75,-66,-68,-66,-67,-59,-66,-73,-81,-75,-72,-80,-82,-57,-85,-84,-81,-86,-81,-91,-80,-200,-200,-88,-87,-200,-200,-200,-84,-91,-92,-86,-90,-83,-200,-88,-200,-200,-89,-86,-86,-80,-86,-88,-80,-200,-200,-92,-200,-83,-200,-200,-92,-93,-90,-82,-88,-200,-200,-87,-88,-93,-200,-91,-200,-200,-200,-200,-200,-91,-93,-87,-84
1526459581468,-38,-38,-37,-55,-58,-54,-52,-56,-65,-64,-70,-71,-75,-59,-65,-61,-66,-61,-66,-74,-83,-200,-73,-80,-75,-62,-81,-80,-86,-84,-81,-87,-88,-89,-84,-88,-88,-200,-88,-86,-86,-91,-200,-84,-90,-84,-200,-88,-89,-200,-91,-83,-86,-80,-86,-88,-80,-200,-200,-92,-89,-81,-200,-91,-92,-93,-90,-78,-88,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-88,-200,-91,-90,-87,-84
1526459584502,-37,-41,-17,-53,-56,-52,-54,-56,-60,-65,-73,-74,-79,-75,-66,-58,-64,-72,-64,-75,-83,-74,-72,-78,-81,-63,-87,-82,-86,-84,-80,-88,-95,-89,-82,-88,-88,-200,-90,-86,-84,-91,-200,-84,-90,-87,-200,-88,-89,-200,-91,-83,-86,-80,-91,-86,-89,-200,-200,-200,-89,-83,-200,-91,-92,-93,-90,-78,-88,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-88,-200,-200,-90,-200,-84
