,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526459293155,-22,-35,-43,-55,-55,-53,-51,-67,-62,-55,-61,-69,-63,-64,-68,-74,-74,-79,-76,-74,-66,-61,-72,-75,-84,-76,-70,-84,-79,-85,-86,-200,-91,-88,-86,-77,-74,-89,-85,-200,-89,-90,-88,-200,-200,-200,-200,-90,-88,-87,-89,-200,-91,-90,-91,-69,-85,-87,-89,-89,-89,-91,-82,-88,-88,-90,-83,-90,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459293384,-20,-34,-46,-52,-53,-54,-55,-68,-61,-57,-59,-67,-65,-67,-74,-68,-53,-79,-65,-80,-78,-70,-73,-79,-81,-76,-70,-86,-82,-82,-82,-200,-89,-88,-86,-69,-74,-88,-85,-200,-89,-85,-88,-200,-200,-200,-200,-90,-88,-87,-200,-91,-91,-90,-91,-74,-200,-87,-89,-86,-89,-91,-83,-88,-88,-90,-83,-90,-92,-93,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459296186,-20,-34,-46,-53,-52,-62,-54,-68,-64,-56,-63,-70,-66,-69,-68,-68,-77,-80,-68,-71,-69,-69,-77,-77,-81,-76,-71,-85,-82,-83,-81,-88,-89,-89,-86,-79,-200,-87,-85,-200,-89,-89,-88,-200,-93,-200,-200,-92,-88,-84,-200,-91,-89,-90,-91,-74,-85,-200,-200,-86,-200,-200,-83,-92,-88,-90,-83,-90,-92,-93,-91,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459296423,-20,-34,-46,-53,-52,-62,-54,-68,-64,-56,-63,-70,-66,-69,-68,-68,-77,-80,-68,-71,-69,-69,-77,-77,-81,-76,-71,-85,-82,-83,-81,-88,-89,-89,-86,-79,-200,-87,-85,-200,-89,-89,-88,-200,-93,-200,-200,-92,-88,-84,-200,-91,-89,-90,-91,-74,-85,-200,-200,-86,-200,-200,-83,-92,-88,-90,-83,-90,-92,-93,-91,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459299222,-19,-33,-46,-55,-48,-57,-53,-70,-60,-57,-60,-70,-64,-69,-71,-71,-81,-81,-64,-68,-76,-70,-74,-79,-81,-76,-72,-85,-82,-83,-82,-88,-89,-87,-86,-79,-200,-88,-85,-200,-89,-87,-88,-200,-93,-200,-200,-92,-87,-84,-200,-92,-89,-92,-91,-75,-85,-88,-89,-86,-88,-200,-82,-92,-200,-200,-83,-90,-92,-93,-91,-89,-89,-91,-83,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459299463,-19,-33,-46,-55,-48,-57,-53,-70,-60,-57,-60,-70,-64,-69,-71,-71,-81,-81,-64,-68,-76,-70,-74,-79,-81,-76,-72,-85,-82,-83,-82,-88,-89,-87,-86,-79,-200,-88,-85,-200,-89,-87,-88,-200,-93,-200,-200,-92,-87,-84,-200,-92,-89,-92,-91,-75,-85,-88,-89,-86,-88,-200,-82,-92,-200,-200,-83,-90,-92,-93,-91,-89,-89,-91,-83,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459302235,-27,-34,-43,-59,-53,-50,-54,-67,-59,-57,-55,-69,-62,-55,-71,-71,-77,-81,-70,-72,-84,-70,-74,-79,-78,-75,-67,-85,-82,-81,-86,-88,-89,-88,-200,-80,-200,-86,-85,-200,-88,-87,-91,-200,-93,-200,-200,-89,-87,-84,-87,-92,-89,-92,-91,-60,-85,-87,-89,-86,-88,-92,-82,-92,-200,-200,-200,-90,-200,-200,-84,-89,-89,-91,-83,-92,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459302477,-27,-34,-43,-59,-53,-50,-54,-67,-59,-57,-55,-69,-62,-55,-71,-71,-77,-81,-70,-72,-84,-70,-74,-79,-78,-75,-67,-85,-82,-81,-86,-88,-89,-88,-200,-80,-200,-86,-85,-200,-88,-87,-91,-200,-93,-200,-200,-89,-87,-84,-87,-92,-89,-92,-91,-60,-85,-87,-89,-86,-88,-92,-82,-92,-200,-200,-200,-90,-200,-200,-84,-89,-89,-91,-83,-92,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459305266,-19,-36,-44,-58,-53,-49,-54,-67,-61,-58,-58,-70,-64,-66,-72,-68,-79,-84,-70,-82,-84,-70,-72,-79,-78,-76,-67,-87,-200,-82,-86,-88,-92,-88,-200,-75,-200,-88,-85,-81,-92,-87,-91,-200,-93,-93,-200,-90,-87,-87,-87,-92,-89,-90,-91,-71,-85,-87,-89,-200,-88,-92,-82,-92,-200,-200,-200,-200,-200,-91,-84,-89,-89,-91,-83,-92,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459305507,-19,-36,-44,-58,-53,-49,-54,-67,-61,-58,-58,-70,-64,-66,-72,-68,-79,-84,-70,-82,-84,-70,-72,-79,-78,-76,-67,-87,-200,-82,-86,-88,-92,-88,-200,-75,-200,-88,-85,-81,-92,-87,-91,-200,-93,-93,-200,-90,-87,-87,-87,-92,-89,-90,-91,-71,-85,-87,-89,-200,-88,-92,-82,-92,-200,-200,-200,-200,-200,-91,-84,-89,-89,-91,-83,-92,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459308293,-21,-35,-43,-58,-55,-50,-53,-72,-57,-59,-63,-70,-64,-54,-71,-73,-77,-83,-79,-77,-80,-72,-77,-75,-73,-76,-70,-87,-61,-82,-82,-89,-92,-89,-200,-80,-200,-88,-82,-81,-90,-200,-92,-200,-91,-93,-200,-91,-200,-87,-89,-89,-92,-90,-91,-74,-200,-87,-89,-200,-200,-90,-85,-89,-91,-200,-200,-200,-200,-91,-86,-87,-91,-88,-200,-200,-88,-92,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526459308547,-21,-35,-43,-58,-55,-50,-53,-72,-57,-59,-63,-70,-64,-54,-71,-73,-77,-83,-79,-77,-80,-72,-77,-75,-73,-76,-70,-87,-61,-82,-82,-89,-92,-89,-200,-80,-200,-88,-82,-81,-90,-200,-92,-200,-91,-93,-200,-91,-200,-87,-89,-89,-92,-90,-91,-74,-200,-87,-89,-200,-200,-90,-85,-89,-91,-200,-200,-200,-200,-91,-86,-87,-91,-88,-200,-200,-88,-92,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526459311331,-27,-33,-44,-58,-47,-51,-53,-73,-57,-57,-59,-71,-63,-63,-71,-68,-76,-83,-73,-68,-81,-71,-77,-75,-75,-76,-71,-86,-61,-81,-82,-89,-90,-89,-200,-80,-71,-88,-82,-81,-85,-200,-92,-200,-91,-93,-200,-89,-200,-85,-89,-89,-92,-90,-91,-77,-89,-91,-89,-89,-89,-90,-85,-89,-91,-200,-200,-200,-200,-91,-86,-87,-91,-88,-200,-200,-200,-92,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526459311586,-27,-33,-44,-58,-47,-51,-53,-73,-57,-57,-59,-71,-63,-63,-71,-68,-76,-83,-73,-68,-81,-71,-77,-75,-75,-76,-71,-86,-61,-81,-82,-89,-90,-89,-200,-80,-71,-88,-82,-81,-85,-200,-92,-200,-91,-93,-200,-89,-200,-85,-89,-89,-92,-90,-91,-77,-89,-91,-89,-89,-89,-90,-85,-89,-91,-200,-200,-200,-200,-91,-86,-87,-91,-88,-200,-200,-200,-92,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526459314369,-27,-34,-39,-57,-54,-49,-53,-73,-61,-57,-56,-70,-67,-63,-71,-67,-78,-82,-69,-67,-72,-71,-75,-74,-78,-76,-71,-86,-61,-83,-82,-89,-90,-88,-200,-80,-71,-88,-82,-200,-88,-88,-90,-200,-88,-200,-200,-89,-200,-87,-88,-89,-92,-200,-200,-73,-89,-90,-200,-89,-89,-90,-85,-89,-91,-200,-200,-200,-89,-200,-86,-87,-91,-88,-200,-200,-200,-200,-87,-91,-83,-93,-200,-200,-200,-200,-200,-200
1526459314626,-27,-34,-39,-57,-54,-49,-53,-73,-61,-57,-56,-70,-67,-63,-71,-67,-78,-82,-69,-67,-72,-71,-75,-74,-78,-76,-71,-86,-61,-83,-82,-89,-90,-88,-200,-80,-71,-88,-82,-200,-88,-88,-90,-200,-88,-200,-200,-89,-200,-87,-88,-89,-92,-200,-200,-73,-89,-90,-200,-89,-89,-90,-85,-89,-91,-200,-200,-200,-89,-200,-86,-87,-91,-88,-200,-200,-200,-200,-87,-91,-83,-93,-200,-200,-200,-200,-200,-200
1526459317403,-22,-34,-39,-56,-54,-52,-55,-71,-61,-57,-56,-70,-57,-65,-71,-67,-77,-80,-69,-81,-83,-69,-77,-74,-76,-76,-70,-86,-61,-82,-85,-89,-90,-88,-200,-78,-71,-89,-82,-200,-88,-81,-90,-200,-88,-200,-200,-89,-200,-87,-88,-89,-92,-200,-200,-74,-87,-90,-200,-83,-89,-89,-200,-90,-200,-200,-200,-200,-89,-200,-86,-200,-91,-200,-200,-200,-200,-200,-200,-200,-83,-93,-88,-200,-200,-200,-200,-200
1526459317654,-22,-34,-39,-56,-54,-52,-55,-71,-61,-57,-56,-70,-57,-65,-71,-67,-77,-80,-69,-81,-83,-69,-77,-74,-76,-76,-70,-86,-61,-82,-85,-89,-90,-88,-200,-78,-71,-89,-82,-200,-88,-81,-90,-200,-88,-200,-200,-89,-200,-87,-88,-89,-92,-200,-200,-74,-87,-90,-200,-83,-89,-89,-200,-90,-200,-200,-200,-200,-89,-200,-86,-200,-91,-200,-200,-200,-200,-200,-200,-200,-83,-93,-88,-200,-200,-200,-200,-200
1526459320441,-21,-35,-43,-58,-51,-50,-54,-72,-60,-58,-60,-65,-65,-66,-72,-69,-75,-80,-72,-69,-81,-71,-73,-80,-83,-75,-70,-86,-77,-82,-85,-89,-90,-88,-83,-80,-71,-87,-200,-85,-88,-81,-84,-200,-88,-200,-200,-89,-89,-86,-88,-200,-200,-89,-90,-77,-87,-90,-200,-83,-89,-89,-80,-90,-91,-200,-200,-200,-89,-200,-86,-86,-91,-200,-200,-91,-200,-200,-200,-200,-83,-93,-88,-88,-200,-200,-200,-200
1526459320682,-21,-34,-43,-58,-53,-51,-55,-74,-62,-57,-63,-69,-65,-60,-68,-68,-75,-83,-70,-78,-79,-73,-75,-76,-77,-76,-69,-200,-77,-82,-85,-89,-89,-88,-82,-80,-200,-87,-87,-85,-88,-81,-84,-200,-91,-200,-87,-90,-89,-84,-86,-91,-200,-91,-91,-75,-87,-88,-200,-83,-200,-89,-80,-89,-90,-91,-200,-200,-91,-92,-86,-86,-200,-200,-200,-91,-200,-200,-200,-200,-83,-93,-88,-88,-93,-200,-200,-200
1526459323483,-21,-34,-43,-55,-54,-49,-55,-71,-60,-57,-58,-69,-64,-64,-61,-66,-80,-82,-68,-73,-79,-73,-74,-86,-73,-76,-70,-200,-79,-82,-85,-89,-89,-87,-83,-80,-200,-87,-87,-87,-200,-81,-86,-200,-91,-200,-88,-90,-89,-86,-91,-91,-200,-91,-91,-74,-87,-89,-200,-85,-200,-91,-80,-74,-89,-91,-200,-200,-91,-92,-85,-86,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-88,-88,-93,-88,-91,-200
1526459323720,-21,-34,-43,-55,-54,-49,-55,-71,-60,-57,-58,-69,-64,-64,-61,-66,-80,-82,-68,-73,-79,-73,-74,-86,-73,-76,-70,-200,-79,-82,-85,-89,-89,-87,-83,-80,-200,-87,-87,-87,-200,-81,-86,-200,-91,-200,-88,-90,-89,-86,-91,-91,-200,-91,-91,-74,-87,-89,-200,-85,-200,-91,-80,-74,-89,-91,-200,-200,-91,-92,-85,-86,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-88,-88,-93,-88,-91,-200
1526459326522,-20,-33,-44,-57,-51,-52,-53,-76,-60,-59,-57,-71,-62,-65,-70,-69,-78,-81,-69,-72,-78,-69,-77,-76,-80,-76,-68,-89,-79,-82,-85,-88,-89,-87,-83,-79,-200,-87,-86,-87,-200,-88,-86,-200,-91,-200,-88,-84,-89,-87,-89,-91,-200,-91,-91,-74,-200,-88,-200,-87,-200,-90,-80,-89,-89,-91,-200,-200,-91,-92,-85,-86,-200,-90,-200,-91,-200,-200,-200,-200,-79,-200,-200,-88,-93,-88,-91,-200
1526459326759,-20,-33,-44,-57,-51,-52,-53,-76,-60,-59,-57,-71,-62,-65,-70,-69,-78,-81,-69,-72,-78,-69,-77,-76,-80,-76,-68,-89,-79,-82,-85,-88,-89,-87,-83,-79,-200,-87,-86,-87,-200,-88,-86,-200,-91,-200,-88,-84,-89,-87,-89,-91,-200,-91,-91,-74,-200,-88,-200,-87,-200,-90,-80,-89,-89,-91,-200,-200,-91,-92,-85,-86,-200,-90,-200,-91,-200,-200,-200,-200,-79,-200,-200,-88,-93,-88,-91,-200
1526459329561,-20,-34,-45,-56,-53,-48,-53,-74,-60,-58,-59,-70,-60,-63,-69,-73,-76,-79,-72,-73,-86,-69,-76,-81,-78,-76,-68,-89,-76,-80,-200,-88,-91,-87,-83,-79,-200,-87,-86,-87,-91,-88,-86,-200,-91,-93,-87,-90,-200,-83,-89,-90,-90,-91,-91,-74,-200,-88,-200,-87,-88,-90,-200,-89,-89,-91,-88,-200,-91,-92,-96,-200,-200,-88,-200,-200,-200,-200,-200,-91,-73,-91,-200,-200,-92,-88,-91,-87
1526459329798,-20,-34,-45,-56,-53,-48,-53,-74,-60,-58,-59,-70,-60,-63,-69,-73,-76,-79,-72,-73,-86,-69,-76,-81,-78,-76,-68,-89,-76,-80,-200,-88,-91,-87,-83,-79,-200,-87,-86,-87,-91,-88,-86,-200,-91,-93,-87,-90,-200,-83,-89,-90,-90,-91,-91,-74,-200,-88,-200,-87,-88,-90,-200,-89,-89,-91,-88,-200,-91,-92,-96,-200,-200,-88,-200,-200,-200,-200,-200,-91,-73,-91,-200,-200,-92,-88,-91,-87
1526459332604,-19,-36,-42,-57,-54,-51,-54,-74,-61,-59,-60,-67,-63,-64,-72,-71,-76,-79,-73,-74,-76,-76,-78,-75,-83,-77,-70,-85,-76,-80,-85,-87,-91,-87,-83,-79,-200,-89,-86,-87,-91,-88,-86,-200,-200,-93,-87,-90,-200,-83,-89,-90,-92,-91,-92,-74,-200,-88,-200,-87,-88,-90,-82,-91,-89,-91,-88,-200,-91,-89,-85,-89,-200,-88,-86,-89,-200,-200,-88,-91,-73,-91,-200,-200,-92,-88,-91,-87
1526459332813,-20,-35,-44,-62,-53,-49,-54,-71,-64,-59,-57,-70,-61,-64,-68,-71,-81,-79,-68,-68,-82,-68,-71,-82,-83,-77,-67,-85,-80,-83,-85,-87,-90,-86,-200,-79,-82,-89,-88,-200,-91,-88,-200,-200,-200,-93,-87,-89,-200,-83,-92,-90,-92,-90,-92,-74,-200,-88,-200,-87,-88,-90,-79,-90,-89,-91,-88,-200,-91,-89,-85,-87,-89,-88,-86,-89,-200,-200,-88,-91,-73,-91,-200,-200,-92,-200,-200,-87
1526459335638,-20,-34,-43,-51,-54,-50,-54,-71,-59,-57,-59,-70,-66,-64,-73,-67,-79,-79,-73,-72,-80,-73,-75,-76,-81,-76,-71,-85,-78,-83,-85,-87,-90,-86,-200,-79,-82,-87,-89,-200,-91,-200,-86,-200,-200,-93,-87,-89,-200,-83,-92,-90,-92,-93,-92,-67,-85,-200,-200,-87,-88,-200,-79,-88,-89,-91,-86,-200,-90,-89,-86,-87,-89,-88,-86,-89,-200,-200,-88,-91,-73,-91,-200,-91,-92,-200,-200,-87
1526459335854,-20,-34,-43,-51,-54,-50,-54,-71,-59,-57,-59,-70,-66,-64,-73,-67,-79,-79,-73,-72,-80,-73,-75,-76,-81,-76,-71,-85,-78,-83,-85,-87,-90,-86,-200,-79,-82,-87,-89,-200,-91,-200,-86,-200,-200,-93,-87,-89,-200,-83,-92,-90,-92,-93,-92,-67,-85,-200,-200,-87,-88,-200,-79,-88,-89,-91,-86,-200,-90,-89,-86,-87,-89,-88,-86,-89,-200,-200,-88,-91,-73,-91,-200,-91,-92,-200,-200,-87
