,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526443808094,-200,-200,-86,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526443812510,-83,-200,-81,-87,-83,-200,-200,-200,-200,-200,-90,-200,-200
1526443812621,-84,-200,-82,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526443812731,-83,-200,-200,-90,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526443812839,-83,-200,-81,-87,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526443812949,-200,-200,-81,-90,-83,-200,-94,-200,-200,-200,-91,-200,-200
1526443817490,-74,-86,-77,-75,-200,-200,-78,-200,-200,-200,-90,-200,-200
1526443817591,-74,-86,-76,-74,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526443817701,-74,-86,-77,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526443817813,-73,-85,-76,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526443817930,-200,-85,-76,-200,-200,-200,-78,-200,-200,-200,-90,-200,-200
1526443818021,-200,-200,-200,-75,-200,-200,-78,-200,-200,-200,-200,-200,-200
