,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526465032397,-200,-200,-200,-85,-84,-78,-78,-87,-89,-200,-200
1526465032563,-200,-200,-200,-200,-200,-78,-78,-87,-200,-200,-200
1526465032725,-200,-200,-200,-85,-200,-80,-79,-200,-91,-200,-200
1526465032831,-200,-200,-200,-200,-84,-200,-78,-87,-90,-200,-200
1526465032940,-200,-200,-200,-200,-200,-200,-79,-200,-90,-200,-200
1526465037375,-91,-200,-200,-87,-86,-81,-78,-84,-94,-200,-200
1526465037490,-90,-200,-200,-87,-85,-81,-78,-84,-200,-200,-200
1526465037600,-200,-200,-200,-88,-85,-81,-79,-84,-200,-200,-200
1526465037693,-91,-200,-200,-87,-200,-81,-200,-84,-200,-200,-200
1526465037801,-200,-200,-200,-88,-85,-81,-77,-84,-200,-200,-96
1526465037912,-200,-200,-200,-88,-200,-82,-200,-84,-200,-200,-200
1526465042370,-94,-200,-200,-92,-95,-83,-88,-200,-200,-200,-200
1526465042475,-200,-200,-200,-91,-94,-82,-87,-200,-200,-200,-200
1526465042577,-95,-200,-200,-92,-95,-200,-88,-200,-96,-200,-200
1526465042686,-200,-200,-200,-92,-200,-80,-87,-200,-97,-200,-200
1526465042790,-93,-200,-200,-93,-95,-83,-88,-200,-99,-200,-200
1526465042930,-200,-200,-200,-85,-200,-78,-88,-87,-200,-200,-200
1526465047452,-200,-200,-200,-200,-84,-78,-79,-88,-200,-200,-200
1526465047549,-200,-200,-200,-85,-84,-79,-78,-200,-91,-200,-200
1526465047658,-200,-200,-200,-85,-83,-78,-78,-88,-92,-200,-200
1526465047773,-200,-200,-200,-86,-84,-200,-78,-87,-200,-200,-200
1526465047879,-96,-200,-102,-85,-84,-81,-78,-88,-200,-99,-200
1526465052525,-90,-200,-200,-200,-200,-83,-78,-84,-200,-200,-200
1526465052627,-200,-200,-200,-200,-84,-82,-79,-200,-94,-100,-200
1526465052735,-200,-200,-200,-200,-85,-81,-79,-200,-200,-98,-200
1526465052835,-200,-200,-200,-200,-200,-83,-79,-85,-95,-200,-200
1526465057374,-93,-200,-200,-92,-94,-83,-88,-200,-97,-200,-200
1526465057470,-93,-200,-200,-92,-94,-83,-200,-200,-97,-200,-200
1526465057582,-92,-200,-200,-91,-94,-83,-87,-200,-97,-200,-200
1526465057686,-93,-200,-200,-92,-94,-83,-88,-200,-97,-200,-200
1526465057783,-93,-200,-200,-92,-94,-83,-88,-200,-96,-200,-200
1526465057926,-200,-200,-200,-85,-93,-78,-200,-88,-92,-200,-200
1526465062456,-200,-200,-200,-86,-84,-78,-78,-87,-94,-200,-200
1526465062561,-200,-200,-200,-200,-85,-78,-78,-200,-200,-200,-200
1526465062671,-200,-200,-200,-200,-84,-78,-200,-87,-200,-200,-200
1526465062757,-200,-200,-200,-200,-86,-200,-79,-88,-200,-200,-200
1526465062857,-90,-200,-200,-87,-84,-80,-79,-200,-93,-200,-200
1526465067477,-200,-200,-200,-89,-200,-200,-78,-85,-94,-200,-200
1526465067577,-200,-200,-200,-90,-200,-80,-79,-85,-95,-200,-200
1526465067679,-89,-200,-200,-200,-85,-200,-78,-200,-94,-200,-96
1526465067792,-200,-200,-200,-200,-84,-79,-200,-86,-200,-200,-97
1526465067904,-90,-200,-200,-92,-83,-79,-89,-200,-200,-200,-95
1526465072413,-94,-200,-200,-200,-92,-83,-88,-200,-200,-200,-200
1526465072511,-94,-200,-97,-91,-200,-83,-87,-200,-200,-200,-200
1526465072620,-92,-200,-200,-200,-95,-200,-88,-200,-200,-200,-200
1526465072719,-93,-200,-96,-90,-200,-83,-88,-200,-200,-200,-200
1526465072824,-93,-200,-95,-92,-94,-82,-87,-200,-96,-200,-200
1526465072920,-93,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200
