,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D00ED8
1526444298451,-35,-42,-60,-53,-64,-51,-67,-63,-52,-59,-63,-58,-58,-75,-60,-76,-58,-66,-73,-79,-70,-200,-74,-95,-76,-73,-73,-81,-76,-86,-77,-78,-78,-78,-81,-76,-88,-83,-87,-85,-92,-84,-200,-91,-86,-88,-200,-86,-200,-97,-95,-93,-96,-200,-200,-97,-93,-200,-200,-84,-75,-95,-96,-200,-94,-91,-97,-200,-93,-200,-200,-91,-94,-200,-200,-200,-200,-200,-200
1526444301495,-39,-43,-51,-54,-65,-52,-69,-57,-53,-55,-64,-57,-58,-67,-61,-76,-52,-65,-70,-84,-70,-200,-74,-80,-78,-75,-83,-84,-70,-79,-77,-78,-83,-78,-80,-85,-94,-83,-87,-87,-90,-90,-200,-85,-88,-88,-200,-86,-95,-95,-95,-95,-200,-92,-200,-200,-93,-200,-200,-200,-88,-93,-95,-200,-94,-92,-96,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526444304545,-37,-43,-64,-59,-64,-52,-68,-59,-52,-56,-65,-56,-60,-61,-60,-76,-56,-66,-72,-82,-76,-200,-74,-82,-77,-73,-80,-85,-79,-79,-80,-80,-83,-78,-80,-85,-91,-81,-87,-87,-91,-86,-200,-90,-90,-89,-200,-86,-95,-95,-89,-97,-200,-92,-200,-200,-93,-200,-89,-200,-92,-94,-98,-200,-94,-89,-98,-200,-200,-200,-200,-200,-97,-94,-200,-200,-200,-200,-200
1526444307596,-37,-41,-68,-53,-61,-50,-67,-59,-54,-61,-69,-57,-55,-61,-59,-77,-61,-64,-71,-86,-67,-200,-75,-82,-78,-69,-75,-82,-78,-90,-76,-83,-79,-200,-79,-81,-91,-81,-83,-82,-89,-87,-200,-84,-92,-89,-200,-200,-95,-95,-89,-97,-200,-90,-200,-93,-93,-200,-89,-87,-92,-94,-98,-200,-94,-89,-98,-200,-200,-200,-200,-89,-97,-94,-95,-200,-200,-200,-200
1526444310644,-37,-42,-59,-57,-62,-48,-67,-63,-51,-58,-64,-56,-60,-61,-62,-75,-50,-66,-79,-79,-67,-200,-76,-82,-80,-72,-77,-84,-76,-85,-80,-80,-77,-200,-82,-84,-88,-82,-87,-82,-89,-81,-200,-88,-90,-86,-200,-89,-200,-200,-89,-97,-200,-90,-200,-93,-92,-200,-89,-88,-92,-94,-98,-200,-200,-93,-98,-200,-200,-200,-200,-91,-97,-94,-95,-200,-200,-200,-200
1526444313686,-39,-41,-60,-59,-58,-52,-67,-67,-53,-57,-64,-53,-59,-74,-63,-73,-52,-66,-88,-79,-76,-84,-71,-83,-80,-74,-74,-82,-76,-78,-76,-81,-78,-77,-82,-84,-82,-82,-87,-87,-87,-83,-200,-88,-90,-90,-200,-90,-200,-200,-200,-200,-91,-90,-200,-93,-92,-200,-200,-88,-91,-200,-95,-200,-94,-95,-200,-200,-200,-200,-96,-92,-200,-200,-95,-200,-200,-200,-200
1526444316729,-34,-41,-55,-56,-56,-47,-67,-57,-52,-61,-60,-55,-57,-75,-63,-79,-53,-64,-88,-82,-72,-84,-73,-83,-78,-61,-76,-78,-76,-78,-76,-77,-76,-77,-79,-84,-82,-82,-87,-87,-87,-85,-200,-84,-90,-90,-200,-90,-95,-200,-200,-95,-91,-200,-95,-96,-92,-200,-200,-81,-92,-90,-97,-200,-94,-93,-93,-200,-200,-200,-96,-92,-200,-200,-200,-200,-200,-200,-200
1526444319773,-38,-40,-62,-59,-55,-51,-64,-65,-54,-59,-56,-54,-56,-75,-56,-78,-54,-63,-67,-82,-71,-83,-75,-83,-76,-66,-75,-79,-76,-86,-76,-76,-86,-81,-79,-77,-90,-82,-86,-89,-86,-86,-200,-84,-200,-90,-200,-90,-96,-200,-89,-95,-91,-200,-95,-96,-93,-200,-200,-87,-92,-89,-97,-200,-95,-93,-93,-200,-200,-200,-96,-92,-200,-200,-200,-200,-200,-200,-200
1526444322818,-35,-43,-64,-57,-58,-50,-65,-59,-52,-62,-62,-56,-56,-72,-56,-79,-63,-63,-67,-84,-71,-82,-73,-83,-76,-64,-82,-76,-77,-88,-76,-76,-82,-77,-79,-79,-87,-200,-86,-89,-86,-86,-200,-84,-90,-88,-200,-87,-92,-200,-90,-95,-200,-200,-95,-96,-93,-200,-90,-87,-92,-89,-97,-200,-93,-90,-93,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526444325864,-38,-46,-69,-62,-62,-52,-65,-61,-55,-55,-65,-57,-62,-72,-53,-75,-51,-64,-68,-83,-71,-90,-73,-83,-80,-73,-79,-76,-80,-83,-78,-84,-75,-74,-83,-82,-86,-200,-86,-85,-94,-87,-200,-88,-90,-88,-200,-87,-92,-97,-90,-200,-95,-94,-200,-200,-93,-200,-90,-87,-200,-93,-95,-200,-95,-90,-93,-200,-200,-200,-94,-200,-200,-200,-200,-86,-97,-200,-200
1526444328908,-35,-45,-66,-54,-58,-53,-72,-56,-52,-58,-62,-54,-55,-72,-56,-79,-59,-65,-68,-83,-72,-90,-73,-200,-78,-68,-82,-77,-75,-83,-78,-77,-75,-76,-85,-76,-87,-200,-89,-91,-86,-87,-200,-87,-90,-92,-200,-87,-92,-97,-88,-99,-95,-94,-200,-200,-200,-200,-90,-200,-200,-93,-96,-200,-95,-95,-93,-200,-200,-200,-94,-90,-200,-94,-200,-86,-97,-99,-200
1526444331957,-35,-45,-69,-53,-61,-53,-69,-63,-52,-61,-63,-56,-61,-67,-54,-78,-61,-63,-66,-84,-69,-90,-73,-85,-79,-69,-83,-76,-76,-88,-77,-75,-80,-75,-82,-77,-88,-200,-87,-89,-86,-85,-200,-87,-200,-93,-94,-88,-96,-97,-86,-99,-95,-94,-200,-200,-92,-200,-87,-90,-200,-91,-95,-200,-95,-95,-93,-200,-200,-200,-94,-90,-200,-94,-200,-86,-97,-96,-82
