,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526444225675,-34,-43,-49,-46,-55,-55,-54,-60,-65,-55,-66,-55,-50,-200,-77,-58,-69,-68,-200,-72,-75,-74,-81,-80,-75,-64,-60,-80,-80,-74,-60,-74,-91,-72,-76,-79,-200,-81,-87,-200,-76,-92,-85,-200,-200,-85,-72,-78,-83,-200,-200,-89,-94,-200,-92,-200,-89,-89,-80,-200,-92,-200,-92,-200,-93,-200,-95,-200,-200,-93,-200,-94,-200,-97,-96,-200,-200,-91,-92,-200,-86,-200,-200,-92,-200,-200,-200,-200,-200,-98,-95,-95,-92,-94,-200
1526444228731,-32,-44,-50,-53,-54,-55,-55,-63,-71,-52,-58,-57,-54,-80,-80,-66,-69,-67,-200,-80,-88,-60,-75,-76,-78,-71,-61,-79,-73,-79,-64,-81,-91,-79,-76,-82,-200,-82,-88,-200,-76,-200,-86,-200,-200,-89,-77,-75,-81,-200,-200,-89,-94,-200,-92,-200,-89,-81,-84,-200,-92,-93,-92,-200,-93,-94,-95,-200,-200,-93,-200,-200,-200,-97,-96,-200,-200,-91,-90,-200,-82,-89,-200,-90,-200,-200,-200,-200,-200,-95,-95,-95,-92,-94,-93
1526444231782,-38,-40,-51,-43,-55,-55,-56,-61,-65,-56,-61,-57,-52,-80,-79,-55,-74,-72,-200,-74,-74,-60,-78,-83,-80,-60,-61,-79,-77,-79,-64,-76,-90,-74,-75,-79,-200,-80,-88,-200,-76,-91,-94,-200,-200,-89,-83,-77,-84,-200,-94,-89,-94,-200,-88,-95,-200,-81,-88,-200,-88,-93,-92,-200,-78,-94,-95,-200,-200,-93,-200,-200,-200,-200,-96,-200,-200,-91,-90,-200,-89,-87,-88,-90,-200,-200,-200,-200,-200,-95,-86,-94,-92,-94,-93
1526444234824,-36,-40,-51,-42,-58,-58,-53,-64,-64,-57,-62,-58,-53,-80,-79,-57,-74,-72,-200,-73,-74,-76,-71,-83,-79,-66,-63,-79,-76,-79,-59,-77,-90,-74,-73,-76,-200,-82,-86,-200,-200,-90,-94,-200,-200,-88,-79,-79,-84,-200,-92,-89,-94,-200,-87,-95,-200,-84,-88,-200,-86,-93,-200,-200,-78,-94,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-93,-92,-200,-86,-87,-88,-90,-200,-200,-200,-200,-200,-95,-86,-94,-200,-200,-93
1526444237864,-37,-39,-51,-44,-57,-54,-55,-60,-57,-53,-61,-57,-55,-83,-77,-57,-72,-72,-200,-73,-74,-66,-72,-83,-74,-67,-62,-200,-79,-83,-61,-73,-93,-77,-74,-77,-200,-78,-86,-200,-200,-90,-82,-200,-200,-83,-60,-78,-84,-200,-92,-200,-200,-200,-85,-96,-200,-86,-88,-200,-86,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-93,-92,-200,-87,-87,-88,-200,-200,-200,-200,-200,-200,-200,-86,-94,-200,-200,-200
1526444240906,-38,-39,-53,-43,-57,-55,-53,-64,-63,-54,-66,-58,-56,-83,-83,-59,-79,-71,-200,-74,-84,-75,-78,-73,-72,-71,-63,-200,-76,-83,-59,-69,-93,-77,-73,-77,-92,-80,-86,-200,-200,-90,-82,-200,-200,-83,-79,-78,-84,-200,-92,-200,-93,-200,-88,-96,-200,-87,-86,-200,-86,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-94,-200,-200,-87,-200,-200,-93,-92,-200,-85,-90,-200,-91,-200,-200,-200,-200,-200,-200,-74,-94,-200,-200,-200
1526444243954,-41,-39,-56,-45,-53,-57,-55,-61,-66,-53,-58,-56,-57,-84,-84,-57,-73,-68,-200,-73,-84,-63,-64,-75,-74,-71,-62,-200,-77,-83,-58,-73,-93,-77,-76,-80,-92,-81,-200,-200,-200,-88,-82,-200,-200,-82,-80,-78,-85,-200,-93,-89,-91,-200,-87,-96,-200,-87,-83,-200,-86,-200,-200,-200,-95,-200,-96,-200,-200,-200,-200,-95,-200,-200,-92,-200,-200,-88,-88,-200,-87,-90,-200,-91,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200
1526444246999,-36,-39,-54,-44,-59,-55,-55,-63,-64,-55,-61,-63,-51,-79,-84,-56,-74,-72,-200,-77,-84,-80,-64,-73,-78,-69,-60,-200,-77,-200,-59,-77,-92,-77,-72,-79,-92,-79,-86,-200,-200,-89,-200,-200,-200,-84,-80,-78,-90,-200,-93,-89,-91,-200,-87,-99,-200,-82,-83,-200,-89,-200,-200,-200,-95,-200,-96,-200,-200,-200,-200,-95,-200,-200,-93,-200,-200,-88,-92,-200,-86,-88,-200,-91,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200
1526444250050,-37,-36,-54,-45,-55,-56,-54,-66,-64,-54,-63,-57,-54,-74,-80,-58,-78,-74,-200,-75,-84,-69,-64,-73,-76,-63,-62,-200,-77,-200,-58,-75,-92,-85,-73,-79,-200,-80,-86,-200,-200,-90,-82,-200,-77,-83,-82,-76,-84,-200,-93,-89,-91,-200,-92,-99,-200,-84,-87,-200,-90,-200,-200,-200,-95,-200,-200,-200,-200,-94,-200,-95,-200,-200,-93,-200,-200,-90,-92,-200,-84,-88,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444253088,-37,-40,-55,-45,-52,-58,-56,-65,-62,-54,-63,-58,-56,-74,-80,-60,-78,-68,-200,-73,-84,-74,-200,-73,-74,-67,-61,-200,-200,-200,-60,-73,-92,-79,-75,-77,-200,-78,-86,-200,-200,-90,-82,-200,-77,-85,-79,-77,-83,-200,-200,-200,-92,-200,-91,-99,-200,-84,-86,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-93,-200,-200,-90,-90,-200,-87,-88,-200,-93,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444256130,-39,-40,-54,-44,-52,-60,-56,-61,-67,-53,-58,-59,-54,-74,-81,-59,-67,-68,-200,-71,-84,-69,-83,-73,-71,-68,-63,-200,-78,-200,-60,-75,-200,-74,-73,-79,-200,-79,-88,-200,-200,-89,-84,-200,-77,-84,-80,-77,-84,-200,-200,-200,-92,-200,-91,-200,-200,-90,-89,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-96,-200,-200,-93,-200,-200,-90,-92,-200,-85,-88,-200,-93,-200,-95,-200,-96,-200,-200,-200,-200,-93,-200,-200
1526444259176,-38,-40,-48,-44,-50,-56,-54,-61,-64,-54,-60,-57,-54,-200,-75,-56,-73,-68,-200,-75,-85,-63,-80,-70,-81,-69,-63,-200,-75,-81,-61,-75,-91,-77,-80,-79,-200,-81,-87,-200,-96,-89,-84,-200,-200,-85,-76,-78,-84,-200,-200,-200,-92,-200,-88,-200,-87,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-92,-200,-86,-93,-200,-200,-200,-95,-200,-96,-200,-98,-200,-97,-93,-200,-200
