,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448327962,-29,-46,-70,-50,-60,-50,-47,-34,-65,-76,-56,-64,-62,-64,-57,-65,-70,-71,-65,-72,-69,-66,-71,-71,-200,-200,-200,-82,-72,-77,-80,-75,-82,-200,-200,-79,-82,-71,-200,-48,-83,-52,-86,-200,-88,-200,-70,-74,-75,-200,-200,-64,-200,-200,-200,-80,-200,-78,-200,-200,-90,-200,-200,-200,-200,-89,-200,-200,-200,-89,-82,-84,-200,-200,-200,-86,-89,-77,-77,-92,-200,-200,-200,-200,-200,-200
1526448331016,-27,-36,-56,-46,-50,-47,-53,-35,-68,-66,-55,-61,-72,-53,-62,-70,-64,-78,-65,-68,-66,-66,-200,-71,-200,-200,-200,-200,-67,-200,-83,-200,-80,-200,-200,-200,-82,-53,-85,-83,-83,-57,-86,-200,-89,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-89,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526448334063,-32,-36,-54,-52,-52,-48,-49,-44,-58,-62,-54,-82,-72,-54,-62,-63,-67,-75,-67,-70,-68,-70,-70,-200,-200,-200,-200,-72,-72,-200,-78,-76,-80,-200,-200,-72,-85,-71,-85,-85,-83,-44,-86,-200,-89,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-72,-73,-84,-200,-200,-200,-200,-200,-200,-200,-88,-84,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526448337100,-33,-33,-54,-50,-52,-46,-47,-43,-58,-58,-52,-56,-72,-58,-200,-63,-72,-78,-60,-63,-70,-70,-70,-200,-200,-200,-200,-71,-70,-200,-79,-76,-200,-200,-200,-72,-79,-73,-200,-86,-84,-45,-86,-200,-91,-200,-70,-200,-200,-78,-200,-73,-81,-200,-200,-73,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-85,-200,-200,-200,-200
1526448340164,-32,-37,-50,-46,-200,-50,-50,-40,-58,-61,-57,-57,-200,-61,-200,-200,-72,-70,-69,-66,-67,-67,-71,-78,-81,-200,-77,-71,-70,-81,-80,-78,-200,-200,-200,-74,-79,-51,-200,-82,-84,-48,-86,-200,-91,-200,-67,-200,-77,-78,-200,-73,-81,-200,-200,-72,-200,-81,-76,-86,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-80,-85,-84,-200,-200,-200
1526448343225,-38,-34,-50,-45,-47,-51,-49,-40,-60,-65,-57,-59,-73,-62,-68,-67,-67,-75,-60,-66,-65,-68,-71,-76,-81,-65,-77,-75,-74,-81,-65,-78,-200,-200,-200,-74,-84,-73,-200,-84,-85,-70,-86,-200,-91,-200,-67,-200,-77,-78,-84,-73,-81,-200,-200,-72,-200,-81,-77,-86,-79,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-85,-200,-200,-200,-83,-200,-200,-79,-85,-84,-200,-200,-200
1526448346276,-29,-36,-53,-52,-55,-54,-49,-33,-59,-59,-58,-59,-73,-51,-64,-70,-67,-70,-89,-200,-65,-68,-200,-69,-200,-65,-200,-75,-73,-200,-79,-78,-200,-200,-200,-80,-84,-69,-200,-84,-65,-51,-86,-200,-91,-200,-200,-200,-76,-200,-84,-200,-200,-77,-200,-200,-200,-200,-77,-84,-79,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-79,-200,-81,-200,-200,-200
1526448349325,-27,-40,-35,-46,-51,-51,-52,-35,-59,-60,-53,-61,-67,-54,-64,-80,-200,-75,-60,-200,-65,-73,-200,-69,-80,-200,-200,-200,-73,-200,-76,-78,-81,-200,-200,-80,-82,-74,-200,-82,-81,-47,-53,-200,-200,-200,-200,-200,-76,-79,-200,-62,-200,-77,-200,-75,-200,-200,-78,-84,-200,-200,-200,-79,-200,-200,-86,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-88,-200,-200
1526448352386,-31,-47,-35,-51,-52,-54,-52,-35,-73,-65,-54,-59,-68,-54,-61,-66,-75,-74,-62,-76,-66,-72,-200,-69,-78,-200,-200,-200,-200,-200,-77,-200,-81,-200,-200,-200,-80,-72,-200,-85,-74,-49,-86,-200,-86,-200,-77,-200,-200,-79,-200,-62,-86,-78,-200,-78,-84,-200,-78,-88,-200,-200,-200,-79,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-88,-88,-200
1526448355447,-86,-29,-53,-47,-55,-48,-53,-40,-57,-57,-51,-63,-68,-61,-63,-66,-75,-70,-64,-76,-65,-70,-200,-74,-78,-66,-80,-200,-200,-200,-77,-81,-200,-200,-200,-79,-83,-73,-200,-85,-71,-48,-84,-89,-86,-200,-69,-200,-200,-200,-200,-200,-86,-79,-200,-79,-72,-79,-200,-86,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-79,-200,-200,-200,-200,-200,-84,-88,-83
1526448358512,-24,-42,-66,-44,-57,-55,-53,-40,-60,-85,-54,-73,-68,-59,-63,-66,-69,-65,-56,-70,-65,-70,-200,-65,-81,-58,-80,-200,-68,-200,-77,-81,-200,-200,-200,-79,-86,-73,-200,-81,-65,-42,-86,-89,-87,-200,-78,-200,-200,-200,-200,-80,-86,-79,-200,-66,-72,-89,-200,-86,-86,-200,-200,-200,-80,-200,-93,-200,-200,-200,-200,-200,-200,-200,-73,-200,-87,-79,-200,-200,-200,-200,-200,-84,-88,-83
1526448361580,-30,-49,-54,-40,-52,-52,-50,-44,-63,-64,-59,-73,-200,-59,-68,-64,-67,-73,-60,-62,-68,-200,-67,-67,-81,-58,-200,-74,-68,-200,-79,-200,-200,-200,-200,-200,-82,-75,-200,-84,-79,-49,-84,-200,-87,-200,-75,-200,-76,-200,-200,-71,-200,-200,-200,-67,-71,-89,-200,-200,-86,-200,-200,-85,-200,-200,-93,-82,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-81,-200,-200,-200,-200
