,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448253047,-74,-35,-41,-44,-40,-49,-57,-48,-82,-51,-57,-69,-64,-86,-55,-55,-69,-74,-64,-59,-67,-74,-70,-72,-68,-83,-74,-70,-200,-74,-62,-64,-74,-81,-44,-76,-81,-200,-82,-48,-86,-64,-84,-74,-83,-64,-200,-200,-85,-200,-200,-200,-200,-84,-200,-71,-77,-82,-200,-200,-75,-200,-76,-200,-90,-77,-200,-200,-200,-200,-81,-200,-200,-200,-85,-91,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448256085,-33,-37,-42,-44,-38,-47,-75,-46,-81,-57,-57,-69,-63,-200,-73,-46,-70,-200,-64,-65,-71,-73,-68,-72,-69,-83,-200,-71,-200,-74,-64,-64,-74,-200,-44,-74,-200,-200,-200,-83,-86,-79,-84,-74,-86,-67,-200,-200,-85,-200,-88,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-76,-200,-200,-77,-200,-200,-200,-77,-81,-200,-200,-200,-200,-200,-78,-77,-78,-80,-81,-85,-200,-200,-200,-200,-200,-200,-200
1526448259094,-33,-36,-40,-44,-40,-49,-75,-46,-81,-56,-57,-67,-62,-200,-54,-47,-70,-200,-69,-65,-65,-73,-68,-72,-81,-200,-73,-70,-200,-88,-64,-65,-200,-76,-44,-84,-200,-200,-75,-81,-200,-78,-84,-200,-86,-67,-200,-200,-84,-200,-88,-200,-200,-200,-200,-71,-200,-81,-200,-200,-73,-200,-200,-200,-200,-200,-84,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-77,-78,-80,-81,-85,-81,-200,-200,-200,-200,-200,-200
1526448262130,-33,-35,-41,-48,-39,-47,-60,-46,-82,-51,-56,-67,-70,-200,-56,-55,-69,-200,-68,-65,-65,-200,-68,-72,-67,-200,-70,-71,-200,-73,-62,-62,-200,-78,-46,-71,-81,-200,-75,-82,-85,-65,-84,-200,-200,-68,-200,-200,-77,-200,-200,-200,-200,-200,-200,-71,-200,-81,-200,-73,-74,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526448265185,-32,-22,-41,-43,-39,-47,-57,-45,-85,-54,-56,-67,-62,-200,-56,-49,-69,-74,-64,-64,-81,-67,-68,-72,-70,-200,-70,-72,-200,-73,-62,-63,-200,-78,-44,-76,-82,-75,-75,-82,-86,-84,-84,-200,-200,-64,-200,-89,-85,-200,-88,-79,-200,-200,-200,-88,-200,-81,-200,-73,-74,-200,-200,-200,-200,-200,-84,-200,-200,-85,-84,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526448268243,-23,-38,-41,-43,-38,-48,-56,-49,-83,-54,-56,-60,-62,-200,-53,-53,-56,-69,-64,-73,-65,-61,-68,-200,-70,-78,-74,-73,-200,-71,-65,-63,-200,-68,-47,-76,-72,-75,-200,-82,-86,-81,-79,-200,-83,-60,-200,-89,-85,-200,-88,-79,-200,-84,-200,-88,-200,-200,-200,-73,-74,-200,-200,-200,-200,-200,-88,-200,-200,-85,-84,-74,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448271284,-33,-36,-42,-46,-39,-50,-55,-51,-85,-64,-62,-63,-64,-200,-53,-47,-58,-69,-59,-69,-66,-69,-67,-70,-69,-78,-72,-70,-200,-72,-67,-200,-200,-68,-45,-70,-70,-200,-200,-83,-200,-80,-79,-82,-82,-63,-200,-200,-88,-200,-200,-200,-200,-84,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-70,-83,-200,-200,-89,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448274334,-32,-37,-46,-45,-40,-56,-57,-50,-85,-53,-62,-64,-63,-200,-200,-57,-58,-200,-58,-67,-66,-68,-78,-70,-73,-200,-72,-69,-200,-72,-67,-55,-200,-77,-47,-70,-70,-200,-77,-81,-200,-80,-79,-82,-82,-65,-82,-89,-88,-200,-200,-200,-200,-200,-200,-72,-71,-200,-200,-200,-200,-76,-200,-200,-200,-77,-200,-200,-200,-200,-200,-70,-83,-200,-200,-89,-200,-200,-84,-200,-200,-200,-200,-85,-87,-200,-200,-200,-200
1526448277381,-30,-37,-45,-45,-42,-55,-60,-55,-84,-66,-200,-66,-66,-87,-63,-49,-57,-200,-58,-67,-66,-64,-59,-200,-67,-77,-200,-71,-200,-71,-63,-63,-200,-81,-50,-70,-75,-200,-80,-84,-200,-200,-79,-200,-85,-63,-82,-89,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-71,-76,-200,-200,-200,-77,-92,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-85,-87,-84,-200,-200,-200
1526448280434,-30,-38,-46,-44,-41,-54,-66,-53,-83,-50,-62,-66,-55,-85,-63,-78,-58,-200,-58,-65,-67,-64,-59,-71,-67,-80,-200,-72,-200,-73,-68,-62,-200,-81,-46,-74,-75,-200,-80,-84,-200,-82,-78,-200,-86,-63,-200,-200,-59,-200,-200,-200,-84,-200,-200,-67,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-92,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-84,-89,-200,-200
1526448283484,-30,-39,-50,-60,-40,-54,-65,-52,-85,-59,-59,-77,-67,-85,-69,-51,-55,-200,-61,-63,-67,-62,-59,-70,-67,-72,-200,-70,-200,-73,-74,-59,-200,-81,-51,-77,-75,-200,-80,-83,-200,-80,-79,-200,-83,-64,-200,-200,-88,-200,-200,-200,-84,-200,-200,-67,-71,-200,-200,-78,-71,-200,-200,-200,-200,-77,-92,-200,-200,-200,-83,-75,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-84,-89,-75,-200
1526448286555,-32,-35,-48,-60,-40,-50,-67,-49,-84,-72,-59,-77,-61,-200,-69,-49,-56,-91,-64,-62,-67,-62,-200,-79,-67,-72,-71,-71,-73,-200,-72,-59,-200,-73,-45,-77,-74,-200,-200,-85,-200,-80,-79,-200,-86,-62,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-78,-71,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-87
