,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro
1526448624334,-36,-36,-43,-50,-42,-53,-76,-63,-59,-55,-59,-65,-56,-60,-65,-61,-200,-73,-69,-72,-71,-74,-200,-70,-200,-71,-200,-200,-78,-82,-86,-87,-71,-200,-200,-200,-200,-83,-82,-200,-84,-200,-80,-66,-200,-200,-88,-200,-76,-200,-76,-79,-90,-200,-86,-200,-200,-200,-86,-88,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448627390,-34,-42,-46,-53,-49,-54,-73,-57,-56,-55,-86,-62,-54,-63,-68,-57,-200,-62,-71,-76,-69,-74,-200,-71,-70,-71,-200,-200,-79,-81,-200,-200,-200,-200,-84,-200,-200,-200,-79,-200,-200,-200,-85,-66,-74,-200,-88,-89,-76,-200,-200,-79,-200,-200,-90,-200,-200,-77,-86,-200,-200,-200,-200,-200,-200,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448630451,-30,-43,-44,-52,-46,-46,-52,-64,-56,-64,-62,-67,-58,-67,-70,-57,-200,-65,-67,-79,-71,-73,-83,-74,-70,-71,-200,-74,-84,-80,-200,-200,-200,-200,-92,-200,-200,-80,-82,-90,-200,-200,-70,-66,-69,-200,-88,-89,-76,-75,-200,-67,-200,-200,-90,-200,-200,-77,-86,-200,-200,-200,-200,-200,-200,-85,-90,-86,-89,-200,-200,-200,-200,-200,-200,-200
1526448633516,-28,-48,-53,-53,-45,-52,-72,-69,-59,-54,-62,-88,-55,-69,-69,-57,-70,-70,-69,-74,-71,-72,-83,-77,-66,-71,-200,-77,-84,-79,-200,-82,-200,-78,-92,-200,-200,-75,-80,-90,-200,-200,-69,-200,-69,-79,-90,-200,-81,-80,-200,-68,-200,-200,-200,-200,-200,-200,-87,-80,-200,-200,-200,-200,-200,-85,-200,-86,-89,-80,-90,-200,-200,-200,-200,-200
1526448636554,-29,-47,-48,-57,-52,-53,-75,-68,-58,-56,-62,-77,-55,-67,-69,-58,-70,-70,-73,-74,-75,-72,-79,-72,-65,-71,-78,-80,-200,-75,-200,-82,-200,-78,-200,-200,-200,-80,-81,-91,-200,-200,-69,-200,-200,-79,-90,-200,-81,-80,-200,-68,-200,-200,-200,-200,-200,-200,-87,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-90,-200,-200,-200,-200,-200
1526448639606,-29,-43,-49,-57,-44,-53,-74,-67,-58,-56,-55,-77,-55,-68,-72,-55,-70,-70,-72,-74,-72,-72,-79,-68,-64,-71,-78,-80,-84,-75,-85,-79,-200,-78,-200,-200,-200,-80,-80,-91,-200,-200,-69,-200,-200,-79,-90,-200,-77,-80,-200,-65,-89,-200,-200,-200,-200,-200,-87,-80,-80,-200,-200,-200,-200,-200,-200,-200,-200,-80,-90,-87,-200,-200,-200,-200
1526448642632,-34,-45,-62,-53,-57,-44,-72,-58,-58,-55,-61,-64,-49,-62,-64,-55,-200,-70,-71,-80,-72,-76,-74,-69,-64,-71,-78,-80,-80,-79,-85,-79,-77,-200,-200,-200,-200,-83,-82,-91,-200,-200,-69,-76,-70,-200,-200,-200,-77,-200,-82,-65,-84,-200,-200,-200,-200,-200,-200,-80,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-90,-200,-200,-200
1526448645638,-33,-34,-43,-53,-50,-55,-72,-58,-58,-54,-58,-63,-57,-62,-70,-61,-67,-68,-73,-80,-200,-70,-74,-72,-68,-71,-200,-200,-73,-75,-88,-82,-77,-200,-200,-80,-200,-83,-80,-90,-200,-200,-200,-78,-70,-76,-200,-200,-200,-200,-82,-200,-84,-200,-200,-200,-200,-200,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-90,-83,-91,-200
1526448648653,-33,-46,-41,-53,-51,-49,-72,-57,-57,-57,-58,-88,-55,-65,-67,-61,-67,-67,-76,-75,-75,-77,-200,-75,-74,-200,-200,-200,-73,-80,-88,-82,-200,-200,-200,-80,-200,-200,-80,-90,-200,-200,-200,-87,-70,-76,-85,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-86,-89,-87,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-83,-91,-200
1526448651682,-34,-41,-41,-59,-44,-50,-72,-55,-57,-54,-87,-88,-55,-65,-63,-71,-67,-66,-71,-75,-67,-74,-200,-76,-63,-200,-84,-75,-200,-76,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-71,-200,-84,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91
1526448654750,-34,-42,-45,-53,-45,-47,-73,-55,-55,-54,-61,-88,-58,-68,-63,-58,-88,-79,-71,-73,-78,-74,-200,-75,-64,-200,-88,-74,-76,-75,-200,-79,-72,-200,-200,-200,-200,-200,-84,-200,-200,-200,-82,-73,-79,-76,-83,-200,-75,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91
1526448657756,-37,-41,-46,-53,-45,-47,-70,-56,-55,-51,-59,-200,-56,-67,-69,-80,-88,-60,-70,-73,-78,-77,-82,-77,-63,-200,-88,-79,-80,-75,-200,-79,-72,-200,-200,-200,-200,-200,-83,-200,-200,-200,-82,-73,-79,-76,-83,-200,-76,-80,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91
