,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,DLINK_D02A88,whu2011309,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526450434728,-46,-34,-38,-54,-79,-47,-68,-49,-54,-50,-64,-75,-51,-65,-73,-56,-200,-70,-200,-70,-200,-72,-74,-200,-81,-73,-81,-69,-73,-73,-81,-71,-76,-200,-82,-54,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-63,-89,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-79,-200,-200,-200,-200,-200,-73,-85,-86,-89,-200,-200,-200,-200,-200,-200,-200
1526450437778,-45,-33,-38,-54,-58,-48,-66,-50,-53,-50,-71,-75,-72,-61,-77,-55,-200,-74,-70,-83,-200,-69,-74,-200,-82,-74,-200,-73,-73,-200,-81,-71,-200,-200,-200,-54,-82,-200,-79,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-74,-59,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-80,-85,-85,-89,-72,-200,-200,-200,-200,-200,-200
1526450440848,-52,-33,-40,-61,-58,-46,-61,-48,-53,-50,-75,-200,-50,-66,-67,-55,-65,-74,-76,-68,-200,-68,-68,-200,-82,-65,-79,-73,-200,-200,-83,-71,-200,-69,-77,-53,-67,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-75,-59,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-84,-200,-200,-200,-200,-200,-74,-200,-85,-200,-72,-84,-200,-200,-200,-200,-200
1526450443896,-48,-31,-43,-61,-64,-48,-67,-48,-54,-50,-62,-80,-51,-65,-73,-55,-65,-74,-76,-68,-80,-72,-68,-200,-82,-74,-79,-73,-76,-200,-79,-75,-200,-70,-77,-56,-81,-200,-200,-200,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-75,-60,-200,-72,-200,-73,-87,-200,-87,-92,-72,-200,-200,-200,-200,-77,-80,-200,-200,-84,-87,-200,-200,-200,-200,-81,-200,-85,-200,-72,-84,-200,-200,-200,-200,-200
1526450446904,-47,-31,-42,-61,-65,-48,-67,-48,-55,-50,-61,-77,-51,-65,-73,-56,-65,-200,-77,-69,-80,-74,-62,-200,-81,-72,-200,-71,-76,-200,-83,-75,-200,-70,-200,-48,-80,-200,-67,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-63,-200,-71,-72,-75,-87,-200,-87,-92,-75,-200,-200,-200,-200,-78,-80,-78,-200,-200,-87,-200,-200,-200,-200,-81,-200,-83,-200,-200,-200,-76,-87,-200,-200,-200
1526450449950,-47,-33,-43,-58,-65,-47,-85,-48,-55,-48,-59,-77,-54,-64,-48,-56,-65,-200,-77,-69,-80,-74,-66,-200,-82,-48,-80,-71,-76,-200,-81,-74,-200,-71,-200,-54,-73,-200,-67,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-53,-89,-71,-72,-75,-77,-200,-87,-92,-72,-200,-200,-200,-200,-78,-80,-78,-200,-200,-87,-200,-200,-200,-200,-81,-200,-85,-200,-200,-200,-76,-87,-84,-200,-200
1526450453008,-47,-31,-40,-58,-62,-47,-85,-48,-54,-52,-62,-200,-54,-62,-73,-56,-65,-200,-75,-70,-80,-71,-66,-200,-82,-73,-80,-71,-200,-200,-82,-71,-200,-71,-83,-54,-73,-200,-67,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-74,-61,-89,-200,-73,-200,-77,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-85,-86,-200
1526450456074,-47,-32,-39,-61,-57,-47,-67,-48,-55,-52,-82,-200,-200,-63,-73,-55,-65,-200,-75,-70,-200,-73,-66,-200,-83,-71,-80,-71,-200,-73,-81,-71,-200,-72,-83,-53,-81,-200,-67,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-75,-61,-200,-200,-73,-72,-75,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-86,-200
1526450459115,-49,-32,-42,-62,-57,-49,-71,-49,-53,-50,-60,-200,-50,-63,-74,-56,-65,-200,-72,-70,-200,-72,-68,-200,-83,-72,-89,-84,-73,-73,-81,-200,-200,-72,-200,-54,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-59,-200,-72,-200,-72,-75,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-88
1526450462177,-48,-32,-40,-61,-57,-46,-71,-48,-55,-52,-64,-72,-53,-68,-74,-55,-65,-200,-72,-70,-79,-73,-67,-200,-82,-49,-89,-72,-73,-73,-82,-200,-72,-71,-82,-53,-73,-200,-67,-200,-83,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-61,-200,-70,-200,-72,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-80,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-75,-200,-200,-200,-88
1526450465245,-48,-31,-42,-62,-85,-46,-71,-49,-55,-50,-64,-72,-53,-64,-49,-55,-65,-200,-75,-70,-79,-73,-68,-200,-82,-73,-80,-72,-73,-72,-81,-72,-72,-71,-82,-50,-82,-200,-67,-83,-83,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-61,-88,-70,-69,-74,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-79,-80,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-75,-200,-200,-200,-88
1526450468296,-47,-32,-40,-62,-63,-48,-200,-49,-54,-47,-61,-200,-51,-66,-74,-55,-64,-200,-75,-70,-200,-70,-68,-200,-80,-72,-75,-72,-88,-72,-82,-72,-200,-71,-84,-51,-82,-200,-67,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-61,-88,-73,-70,-74,-200,-200,-200,-90,-80,-200,-200,-200,-83,-200,-200,-79,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
