,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A60,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526458624968,-27,-51,-47,-40,-55,-60,-57,-58,-55,-47,-61,-66,-71,-53,-52,-62,-70,-74,-76,-57,-79,-81,-54,-73,-59,-73,-84,-60,-77,-83,-74,-73,-200,-79,-84,-79,-72,-77,-85,-84,-83,-83,-200,-79,-82,-80,-81,-86,-90,-91,-89,-79,-89,-80,-92,-93,-200,-89,-79,-92,-200,-80,-92,-83,-200,-92,-87,-87,-88,-96,-200,-200,-95,-99,-200,-200,-96,-200,-86,-85,-86,-200,-200,-97,-84,-96,-96,-97,-97,-200,-200,-200
1526458628021,-33,-52,-51,-37,-55,-61,-61,-56,-55,-48,-61,-65,-72,-54,-50,-64,-70,-72,-75,-59,-80,-79,-54,-73,-59,-69,-84,-59,-78,-200,-72,-72,-200,-79,-77,-79,-76,-79,-87,-84,-83,-83,-200,-79,-200,-80,-82,-85,-92,-91,-89,-79,-89,-79,-92,-93,-200,-89,-79,-92,-200,-77,-92,-84,-200,-92,-88,-200,-88,-96,-200,-200,-95,-99,-200,-200,-200,-200,-86,-86,-87,-85,-200,-97,-84,-96,-200,-97,-97,-94,-200,-200
1526458631077,-30,-53,-52,-40,-55,-74,-59,-57,-51,-47,-61,-65,-69,-54,-52,-62,-70,-71,-78,-58,-80,-79,-54,-75,-58,-72,-83,-61,-78,-200,-73,-74,-200,-77,-77,-73,-69,-79,-85,-85,-84,-85,-200,-79,-86,-79,-82,-86,-92,-91,-200,-79,-89,-81,-92,-93,-95,-87,-81,-93,-200,-77,-92,-84,-89,-92,-88,-88,-88,-200,-200,-200,-96,-99,-200,-200,-200,-200,-200,-87,-87,-85,-200,-200,-86,-96,-200,-200,-97,-94,-200,-200
1526458634125,-32,-52,-50,-39,-55,-53,-67,-56,-57,-47,-61,-64,-71,-54,-52,-64,-68,-68,-76,-56,-81,-89,-55,-72,-60,-67,-83,-61,-77,-200,-72,-72,-200,-82,-77,-80,-68,-77,-83,-82,-70,-81,-200,-200,-86,-77,-83,-88,-88,-91,-200,-79,-200,-80,-94,-200,-95,-87,-78,-93,-200,-76,-92,-82,-89,-200,-88,-89,-89,-200,-200,-200,-96,-200,-200,-200,-200,-200,-83,-85,-87,-85,-200,-200,-88,-200,-97,-200,-200,-94,-90,-200
1526458637174,-33,-51,-51,-40,-56,-63,-67,-61,-50,-48,-65,-64,-74,-54,-52,-63,-72,-63,-76,-60,-81,-89,-54,-73,-59,-71,-83,-59,-77,-79,-73,-72,-200,-79,-78,-78,-75,-74,-82,-85,-84,-81,-92,-200,-86,-79,-84,-87,-91,-90,-90,-78,-200,-80,-94,-92,-95,-87,-78,-93,-200,-77,-92,-83,-89,-200,-200,-88,-89,-95,-200,-200,-96,-200,-200,-200,-200,-200,-86,-85,-86,-200,-200,-200,-88,-200,-97,-200,-200,-200,-90,-200
1526458640218,-26,-53,-51,-40,-57,-62,-63,-61,-60,-50,-62,-65,-72,-53,-54,-64,-71,-67,-76,-60,-81,-89,-55,-73,-53,-67,-83,-60,-77,-79,-73,-72,-200,-76,-81,-72,-73,-77,-81,-84,-83,-81,-85,-74,-200,-78,-71,-86,-90,-90,-91,-80,-89,-82,-93,-93,-200,-89,-79,-200,-200,-77,-200,-68,-200,-200,-87,-88,-89,-95,-200,-95,-97,-200,-200,-200,-200,-200,-86,-86,-87,-200,-200,-200,-86,-95,-97,-200,-200,-200,-90,-200
1526458643270,-34,-51,-47,-39,-54,-60,-61,-60,-64,-47,-61,-65,-71,-54,-50,-62,-71,-70,-74,-61,-200,-200,-57,-73,-60,-61,-82,-59,-77,-81,-73,-74,-200,-79,-79,-78,-68,-79,-85,-86,-83,-200,-90,-74,-200,-79,-82,-86,-91,-93,-91,-80,-89,-81,-92,-93,-200,-89,-80,-200,-200,-77,-200,-84,-90,-200,-89,-88,-200,-95,-200,-95,-94,-200,-200,-200,-200,-200,-82,-88,-86,-200,-200,-200,-88,-95,-200,-95,-200,-200,-200,-200
1526458646318,-27,-49,-49,-40,-51,-61,-60,-57,-61,-51,-61,-65,-74,-53,-53,-64,-72,-72,-74,-57,-80,-200,-56,-73,-65,-67,-84,-59,-78,-81,-72,-71,-200,-80,-82,-79,-68,-78,-82,-85,-83,-84,-90,-74,-200,-80,-83,-87,-92,-93,-91,-80,-89,-79,-92,-93,-91,-89,-80,-91,-200,-76,-200,-84,-83,-200,-89,-88,-200,-95,-200,-95,-94,-200,-200,-200,-200,-80,-82,-86,-86,-200,-200,-200,-87,-95,-96,-95,-200,-200,-200,-200
1526458649365,-33,-49,-48,-40,-56,-60,-59,-57,-56,-52,-62,-66,-73,-53,-50,-65,-66,-68,-74,-60,-80,-200,-57,-73,-62,-71,-84,-61,-78,-77,-72,-72,-200,-81,-84,-79,-69,-78,-86,-85,-78,-83,-91,-200,-200,-80,-83,-86,-92,-91,-87,-79,-88,-81,-94,-93,-91,-200,-81,-91,-200,-77,-91,-84,-88,-200,-89,-87,-88,-95,-200,-200,-94,-200,-200,-200,-200,-80,-82,-88,-87,-200,-200,-95,-89,-200,-96,-95,-200,-200,-200,-200
1526458652411,-30,-53,-50,-40,-56,-58,-62,-60,-61,-53,-61,-66,-72,-55,-53,-64,-71,-67,-76,-59,-83,-200,-55,-73,-62,-71,-83,-61,-78,-77,-73,-74,-200,-82,-77,-80,-68,-79,-82,-85,-81,-78,-91,-200,-86,-80,-82,-86,-92,-89,-88,-79,-85,-79,-94,-95,-91,-200,-79,-91,-200,-77,-90,-82,-86,-88,-200,-87,-88,-95,-200,-200,-96,-200,-200,-200,-200,-80,-83,-88,-87,-200,-200,-95,-86,-81,-96,-200,-200,-200,-200,-200
1526458655462,-27,-52,-49,-40,-57,-62,-61,-58,-52,-50,-62,-65,-76,-52,-54,-66,-72,-72,-75,-52,-77,-200,-56,-73,-67,-72,-83,-59,-78,-77,-74,-73,-200,-81,-77,-78,-67,-77,-85,-83,-84,-83,-91,-200,-84,-80,-83,-85,-91,-90,-88,-77,-88,-81,-94,-93,-87,-89,-80,-93,-200,-76,-90,-67,-86,-88,-200,-88,-88,-95,-200,-200,-96,-200,-200,-200,-99,-80,-83,-88,-86,-200,-200,-94,-88,-81,-97,-200,-200,-200,-200,-200
1526458658513,-36,-51,-49,-40,-54,-62,-61,-60,-57,-53,-61,-67,-73,-53,-54,-65,-71,-74,-75,-59,-81,-88,-55,-74,-68,-70,-84,-61,-79,-200,-73,-74,-200,-79,-78,-79,-70,-79,-86,-84,-83,-85,-200,-200,-85,-80,-83,-86,-92,-90,-87,-79,-88,-80,-91,-93,-84,-89,-79,-91,-200,-76,-91,-83,-86,-88,-200,-87,-88,-94,-200,-200,-96,-200,-200,-200,-99,-80,-83,-87,-87,-83,-200,-95,-86,-97,-97,-200,-200,-200,-200,-98
