,DLINK_D02A48,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526458703034,-33,-43,-41,-41,-46,-49,-50,-54,-57,-53,-58,-58,-62,-58,-63,-60,-66,-68,-73,-73,-72,-66,-71,-74,-75,-73,-80,-68,-78,-78,-80,-80,-79,-80,-78,-81,-83,-85,-200,-85,-200,-84,-84,-87,-77,-87,-85,-89,-90,-85,-86,-88,-91,-91,-95,-200,-200,-94,-200,-96,-97,-69,-90,-81,-89,-82,-200,-200,-200,-200,-200,-87,-91,-200,-200,-84,-200,-200,-200,-200,-82,-200,-200,-200,-97,-81,-95,-95,-98,-200,-200,-200,-200
1526458706079,-34,-42,-43,-47,-48,-47,-51,-55,-57,-50,-51,-58,-61,-51,-62,-61,-67,-73,-73,-73,-69,-67,-71,-72,-75,-63,-80,-77,-78,-78,-79,-79,-78,-79,-81,-77,-83,-85,-200,-85,-200,-85,-85,-87,-84,-85,-86,-89,-89,-73,-85,-88,-91,-89,-95,-200,-97,-92,-200,-96,-97,-69,-85,-81,-89,-82,-200,-200,-90,-200,-200,-87,-91,-97,-200,-86,-200,-200,-200,-200,-81,-200,-200,-200,-97,-81,-95,-92,-98,-200,-200,-200,-200
1526458709131,-36,-42,-43,-43,-48,-49,-50,-54,-57,-52,-54,-58,-61,-55,-59,-60,-68,-72,-73,-65,-69,-72,-72,-73,-75,-72,-80,-66,-78,-78,-79,-78,-78,-79,-80,-79,-83,-85,-200,-85,-200,-86,-85,-86,-80,-86,-84,-91,-89,-83,-87,-89,-91,-89,-95,-200,-92,-94,-200,-200,-97,-65,-88,-81,-89,-80,-200,-200,-90,-200,-200,-87,-200,-97,-200,-86,-200,-200,-84,-92,-81,-200,-200,-200,-200,-81,-95,-92,-98,-87,-200,-200,-200
1526458712185,-37,-40,-40,-43,-47,-57,-51,-54,-55,-55,-57,-65,-62,-55,-64,-61,-68,-68,-74,-73,-69,-66,-72,-73,-200,-72,-79,-77,-77,-78,-81,-78,-77,-79,-83,-80,-84,-84,-200,-86,-200,-85,-86,-86,-77,-86,-84,-91,-91,-83,-87,-89,-86,-90,-200,-200,-92,-95,-200,-200,-200,-69,-88,-200,-200,-80,-200,-200,-90,-200,-200,-87,-200,-97,-200,-86,-200,-200,-84,-92,-80,-200,-200,-200,-200,-200,-200,-92,-97,-87,-200,-200,-200
1526458715229,-36,-42,-40,-39,-48,-51,-52,-54,-56,-56,-54,-63,-58,-55,-64,-61,-68,-71,-73,-72,-200,-70,-73,-76,-73,-72,-80,-77,-77,-77,-81,-83,-78,-200,-83,-80,-83,-86,-200,-85,-200,-84,-86,-88,-77,-86,-86,-89,-91,-86,-87,-90,-90,-90,-91,-200,-92,-94,-200,-200,-200,-67,-88,-200,-200,-91,-200,-200,-200,-200,-200,-87,-200,-200,-200,-84,-200,-200,-78,-92,-83,-200,-200,-200,-200,-200,-200,-200,-97,-88,-200,-200,-200
1526458718278,-34,-40,-42,-42,-47,-47,-50,-54,-56,-54,-53,-58,-62,-53,-63,-61,-69,-70,-73,-71,-200,-72,-72,-73,-73,-74,-77,-77,-78,-78,-81,-82,-79,-79,-82,-81,-83,-82,-200,-85,-200,-84,-86,-88,-76,-86,-85,-89,-89,-84,-87,-89,-90,-89,-91,-200,-200,-94,-200,-200,-200,-67,-200,-200,-200,-91,-200,-200,-200,-200,-200,-92,-200,-200,-81,-84,-200,-200,-78,-92,-83,-200,-200,-200,-200,-200,-200,-200,-97,-88,-200,-200,-200
1526458721320,-35,-46,-39,-45,-48,-50,-51,-53,-57,-55,-57,-64,-58,-57,-63,-61,-69,-74,-73,-71,-66,-72,-72,-73,-73,-75,-79,-200,-78,-81,-81,-82,-79,-80,-77,-81,-83,-82,-200,-86,-200,-84,-86,-88,-77,-87,-85,-89,-91,-85,-200,-89,-90,-89,-91,-96,-98,-94,-200,-200,-96,-70,-200,-82,-200,-91,-200,-200,-200,-200,-200,-92,-200,-200,-83,-84,-200,-200,-78,-92,-83,-200,-200,-200,-200,-200,-97,-200,-200,-88,-86,-200,-200
1526458724366,-35,-46,-43,-44,-49,-51,-51,-55,-55,-55,-57,-59,-62,-55,-64,-61,-68,-67,-71,-72,-66,-73,-71,-66,-78,-72,-79,-80,-77,-77,-85,-83,-78,-80,-82,-81,-83,-82,-200,-86,-200,-85,-87,-88,-78,-86,-88,-89,-90,-85,-200,-90,-91,-89,-91,-96,-98,-95,-200,-200,-96,-67,-200,-82,-200,-200,-200,-200,-200,-200,-94,-87,-200,-200,-83,-200,-200,-200,-78,-92,-200,-200,-200,-200,-200,-200,-97,-200,-200,-86,-86,-200,-200
1526458727417,-35,-42,-41,-41,-44,-49,-50,-54,-58,-54,-51,-59,-62,-59,-63,-61,-68,-73,-73,-73,-77,-68,-71,-76,-78,-72,-78,-67,-78,-77,-82,-83,-78,-80,-80,-80,-83,-83,-200,-86,-200,-85,-85,-87,-78,-87,-85,-89,-90,-86,-200,-89,-91,-89,-93,-96,-98,-94,-200,-200,-96,-68,-78,-81,-90,-82,-200,-99,-200,-200,-94,-87,-200,-200,-83,-84,-200,-200,-78,-92,-77,-200,-200,-200,-200,-200,-97,-200,-200,-86,-86,-97,-200
1526458730462,-35,-43,-41,-47,-48,-48,-49,-53,-57,-54,-54,-59,-58,-55,-64,-61,-69,-68,-73,-71,-73,-74,-69,-73,-79,-72,-79,-67,-78,-78,-80,-83,-78,-81,-80,-81,-83,-83,-200,-86,-200,-81,-86,-88,-83,-86,-86,-90,-90,-86,-87,-89,-91,-90,-93,-95,-200,-94,-200,-200,-200,-68,-82,-81,-90,-82,-200,-99,-200,-200,-94,-87,-200,-200,-200,-85,-200,-200,-78,-93,-80,-200,-200,-200,-200,-200,-200,-200,-97,-87,-200,-97,-200
1526458733506,-33,-45,-42,-44,-48,-48,-50,-53,-56,-54,-57,-58,-56,-55,-62,-60,-68,-72,-73,-71,-72,-66,-71,-74,-79,-74,-79,-79,-78,-78,-80,-84,-78,-81,-82,-80,-83,-83,-200,-85,-200,-82,-85,-88,-84,-86,-85,-89,-90,-75,-88,-89,-91,-90,-93,-95,-200,-93,-95,-200,-96,-65,-90,-81,-90,-82,-200,-99,-94,-200,-94,-200,-200,-200,-83,-85,-200,-200,-83,-92,-80,-200,-200,-200,-200,-200,-200,-200,-97,-87,-200,-97,-200
1526458736548,-36,-41,-42,-45,-46,-50,-50,-55,-57,-53,-54,-58,-58,-55,-64,-61,-69,-72,-73,-73,-72,-73,-73,-75,-75,-72,-79,-68,-78,-78,-81,-83,-78,-83,-80,-80,-83,-84,-200,-86,-200,-84,-86,-88,-77,-87,-86,-90,-91,-75,-88,-90,-90,-89,-200,-95,-200,-94,-94,-200,-96,-68,-90,-200,-89,-89,-200,-200,-94,-200,-94,-86,-200,-200,-83,-85,-200,-200,-83,-93,-80,-200,-200,-200,-200,-200,-200,-200,-97,-86,-200,-97,-97
