,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526458481355,-44,-33,-55,-63,-45,-56,-59,-65,-60,-53,-61,-42,-52,-70,-70,-64,-68,-67,-71,-61,-56,-86,-76,-70,-70,-70,-85,-66,-86,-81,-84,-88,-80,-75,-71,-86,-68,-80,-91,-87,-87,-82,-87,-63,-83,-88,-88,-79,-94,-200,-87,-80,-92,-85,-89,-82,-83,-87,-93,-87,-89,-84,-82,-200,-200,-200,-91,-87,-200,-95,-96,-200,-96,-200,-96,-81,-90,-92,-200,-200,-200,-95,-200,-89,-200,-87,-200,-200,-87,-97,-98,-94,-200,-200,-200,-200,-200
1526458484407,-41,-34,-53,-63,-44,-58,-60,-72,-63,-53,-61,-45,-52,-68,-67,-68,-66,-67,-71,-65,-52,-86,-78,-69,-66,-69,-86,-76,-86,-81,-83,-83,-80,-73,-68,-86,-67,-78,-83,-80,-88,-82,-87,-64,-78,-88,-88,-77,-91,-91,-80,-80,-92,-86,-89,-82,-200,-87,-93,-87,-88,-85,-82,-200,-200,-200,-91,-85,-200,-95,-200,-200,-96,-200,-96,-84,-90,-90,-94,-200,-200,-95,-92,-89,-200,-87,-200,-200,-85,-200,-98,-94,-200,-200,-200,-200,-200
1526458487475,-40,-36,-55,-58,-45,-53,-60,-62,-63,-54,-58,-42,-56,-74,-70,-61,-62,-67,-71,-64,-57,-86,-76,-68,-72,-67,-88,-74,-84,-79,-82,-87,-80,-75,-64,-83,-70,-81,-83,-81,-88,-82,-87,-64,-78,-88,-88,-83,-92,-91,-82,-80,-92,-85,-93,-82,-200,-85,-93,-87,-87,-86,-81,-200,-200,-200,-91,-85,-200,-200,-200,-200,-200,-200,-200,-82,-90,-90,-97,-200,-200,-200,-96,-89,-200,-200,-200,-200,-85,-94,-200,-94,-95,-200,-200,-200,-200
1526458490529,-42,-35,-53,-62,-46,-60,-61,-71,-57,-55,-59,-46,-51,-70,-68,-56,-65,-70,-73,-64,-59,-90,-75,-70,-65,-68,-86,-73,-86,-82,-83,-84,-80,-74,-71,-86,-70,-81,-86,-86,-88,-80,-87,-64,-78,-200,-85,-85,-92,-91,-83,-83,-92,-85,-91,-92,-200,-82,-90,-87,-88,-86,-81,-94,-92,-200,-94,-88,-200,-94,-95,-200,-200,-200,-96,-82,-200,-93,-97,-200,-200,-200,-96,-78,-96,-83,-200,-200,-91,-94,-200,-200,-95,-200,-200,-200,-200
1526458493584,-39,-33,-56,-62,-46,-57,-59,-61,-59,-53,-62,-46,-56,-68,-68,-62,-66,-65,-73,-64,-57,-87,-76,-68,-72,-65,-92,-72,-86,-79,-82,-85,-80,-73,-72,-82,-67,-82,-85,-84,-88,-85,-87,-64,-81,-200,-85,-80,-92,-91,-81,-80,-90,-85,-89,-92,-200,-85,-90,-87,-91,-85,-81,-89,-92,-96,-90,-88,-200,-94,-95,-200,-200,-200,-96,-82,-200,-89,-97,-200,-200,-200,-96,-78,-96,-83,-94,-200,-85,-94,-200,-200,-95,-200,-200,-200,-200
1526458496632,-39,-35,-52,-62,-43,-54,-65,-56,-62,-53,-61,-47,-52,-71,-72,-62,-62,-65,-68,-65,-53,-84,-78,-69,-63,-60,-90,-72,-85,-80,-81,-84,-81,-77,-65,-83,-64,-80,-83,-81,-89,-85,-86,-66,-81,-200,-85,-82,-92,-200,-81,-81,-92,-85,-91,-92,-200,-84,-90,-84,-91,-85,-81,-89,-93,-96,-90,-88,-200,-94,-95,-200,-97,-200,-95,-84,-200,-89,-200,-200,-95,-200,-200,-88,-95,-83,-94,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526458499679,-47,-37,-61,-63,-46,-52,-63,-74,-63,-55,-56,-45,-54,-71,-70,-63,-63,-70,-74,-70,-56,-88,-78,-68,-65,-69,-90,-72,-87,-80,-82,-85,-80,-80,-65,-85,-64,-82,-85,-83,-91,-85,-85,-65,-79,-87,-200,-82,-92,-92,-80,-79,-92,-85,-86,-200,-200,-84,-94,-88,-91,-85,-81,-89,-93,-96,-90,-200,-200,-200,-96,-200,-97,-200,-95,-87,-200,-93,-96,-200,-95,-98,-200,-88,-95,-200,-94,-200,-85,-200,-200,-200,-91,-72,-200,-200,-200
1526458502728,-41,-31,-60,-58,-43,-57,-56,-67,-63,-53,-59,-46,-56,-71,-71,-67,-63,-62,-69,-61,-55,-88,-77,-68,-73,-73,-90,-71,-87,-80,-83,-85,-80,-80,-67,-83,-65,-82,-85,-76,-91,-85,-89,-71,-79,-87,-87,-81,-200,-94,-84,-79,-92,-87,-86,-200,-200,-81,-93,-91,-91,-86,-81,-89,-92,-200,-89,-200,-200,-200,-96,-200,-96,-200,-94,-87,-200,-90,-96,-200,-95,-98,-200,-88,-95,-200,-97,-200,-200,-200,-200,-200,-91,-72,-200,-200,-200
1526458505775,-45,-32,-67,-80,-44,-59,-57,-67,-62,-53,-59,-45,-54,-77,-75,-69,-67,-68,-73,-71,-58,-90,-77,-69,-68,-80,-87,-69,-84,-200,-83,-86,-80,-76,-72,-85,-70,-85,-91,-70,-91,-84,-82,-74,-82,-90,-87,-81,-200,-95,-80,-79,-87,-89,-86,-200,-200,-85,-93,-91,-87,-86,-81,-92,-92,-200,-89,-200,-200,-92,-96,-200,-97,-86,-95,-87,-200,-90,-96,-200,-200,-98,-200,-95,-200,-200,-97,-200,-70,-200,-200,-200,-91,-72,-200,-200,-200
1526458508824,-40,-35,-59,-65,-47,-56,-64,-61,-75,-55,-56,-46,-52,-72,-70,-62,-64,-68,-73,-67,-58,-87,-77,-67,-66,-72,-87,-73,-84,-200,-82,-87,-83,-88,-67,-86,-69,-85,-84,-83,-87,-84,-86,-67,-78,-90,-84,-72,-200,-91,-81,-79,-92,-87,-93,-200,-200,-84,-93,-91,-91,-85,-81,-90,-94,-200,-88,-200,-200,-92,-96,-200,-96,-86,-97,-90,-200,-89,-200,-200,-200,-200,-200,-95,-94,-200,-97,-200,-88,-200,-200,-200,-200,-200,-98,-200,-200
1526458511875,-43,-34,-58,-62,-44,-61,-60,-61,-69,-53,-62,-41,-56,-69,-72,-61,-65,-71,-73,-66,-59,-86,-73,-67,-76,-71,-85,-75,-83,-200,-82,-87,-86,-88,-76,-82,-64,-80,-86,-83,-89,-82,-84,-66,-81,-86,-84,-72,-200,-93,-79,-80,-92,-84,-93,-84,-200,-82,-94,-88,-91,-86,-81,-90,-94,-200,-88,-200,-200,-92,-96,-200,-96,-86,-97,-87,-200,-89,-200,-200,-200,-200,-200,-95,-94,-200,-200,-95,-88,-200,-200,-200,-200,-200,-98,-200,-200
1526458514923,-43,-34,-60,-62,-45,-55,-58,-65,-66,-55,-57,-44,-52,-57,-68,-68,-61,-72,-74,-69,-60,-86,-75,-69,-72,-78,-88,-71,-85,-77,-81,-85,-82,-88,-72,-84,-65,-80,-84,-83,-88,-82,-84,-66,-80,-86,-84,-79,-92,-93,-81,-80,-89,-82,-93,-83,-200,-79,-91,-90,-91,-87,-83,-90,-92,-200,-88,-88,-200,-200,-200,-200,-96,-200,-97,-87,-200,-92,-200,-200,-200,-75,-200,-200,-94,-200,-200,-95,-86,-200,-97,-200,-200,-200,-98,-82,-84
