,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526455432669,-76,-75,-200,-200,-200,-200,-73,-91,-200,-200,-60,-200,-200,-200,-63,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455432767,-200,-74,-93,-200,-74,-200,-72,-92,-74,-200,-200,-75,-89,-200,-200,-200,-200,-75,-83,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526455432912,-77,-75,-93,-200,-200,-200,-200,-92,-200,-75,-60,-75,-88,-200,-62,-200,-68,-74,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526455433066,-74,-200,-92,-200,-73,-93,-200,-200,-71,-77,-69,-200,-101,-200,-200,-92,-200,-200,-89,-200,-200,-200,-91,-92,-200,-200,-200,-200
1526455437521,-74,-200,-93,-95,-200,-93,-200,-200,-71,-77,-200,-75,-99,-85,-65,-92,-200,-84,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455437638,-73,-200,-200,-96,-75,-200,-82,-200,-71,-200,-200,-200,-100,-200,-200,-200,-66,-84,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526455437761,-75,-200,-92,-200,-73,-92,-200,-200,-71,-200,-200,-200,-200,-200,-200,-93,-67,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455437931,-200,-86,-200,-200,-200,-92,-200,-97,-71,-200,-200,-76,-200,-84,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455437982,-73,-200,-200,-95,-73,-200,-200,-200,-71,-75,-200,-75,-200,-200,-65,-200,-200,-84,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455438088,-200,-86,-200,-200,-70,-200,-200,-88,-72,-200,-200,-75,-200,-200,-200,-200,-200,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455442494,-67,-200,-200,-200,-71,-200,-200,-200,-71,-80,-64,-76,-200,-200,-66,-200,-200,-74,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455442608,-67,-200,-200,-200,-200,-200,-200,-90,-200,-78,-62,-75,-200,-200,-67,-200,-75,-74,-83,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526455442716,-200,-200,-200,-200,-72,-200,-70,-89,-71,-78,-200,-200,-90,-200,-67,-200,-200,-76,-82,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526455442841,-67,-200,-200,-200,-70,-200,-72,-87,-71,-78,-64,-200,-200,-82,-68,-200,-77,-200,-82,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526455442936,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-83,-93,-87,-200,-200,-200,-200,-200,-200,-200
1526455443045,-200,-200,-200,-200,-200,-200,-70,-88,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526455447451,-200,-73,-200,-200,-74,-200,-200,-200,-75,-73,-64,-200,-88,-78,-62,-200,-68,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526455447544,-200,-74,-95,-200,-76,-84,-200,-200,-200,-200,-67,-200,-87,-200,-62,-200,-70,-200,-200,-86,-200,-200,-200,-200,-100,-200,-200,-200
1526455447667,-200,-73,-200,-200,-74,-200,-200,-200,-76,-200,-66,-71,-88,-81,-62,-200,-69,-75,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526455447786,-200,-74,-92,-200,-75,-200,-200,-200,-75,-200,-68,-71,-89,-200,-200,-200,-71,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526455447887,-200,-200,-200,-200,-72,-84,-200,-200,-76,-200,-67,-200,-89,-200,-62,-200,-69,-74,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526455448003,-73,-200,-92,-200,-75,-200,-200,-200,-73,-74,-67,-70,-89,-79,-200,-200,-69,-200,-200,-84,-200,-200,-92,-200,-200,-95,-200,-200
1526455452460,-200,-87,-91,-200,-75,-200,-80,-92,-72,-200,-200,-72,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455452558,-200,-86,-200,-94,-74,-200,-80,-200,-72,-200,-67,-200,-99,-84,-65,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455452672,-72,-84,-91,-95,-74,-200,-82,-200,-72,-74,-200,-72,-97,-82,-65,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455452779,-73,-83,-200,-94,-73,-93,-83,-200,-72,-73,-200,-200,-200,-200,-65,-91,-200,-84,-91,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455452887,-71,-83,-200,-93,-72,-200,-82,-200,-200,-74,-69,-200,-200,-200,-66,-94,-66,-84,-91,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526455453002,-73,-86,-200,-200,-73,-200,-83,-200,-200,-75,-70,-73,-95,-200,-65,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455453103,-200,-200,-94,-200,-200,-91,-81,-96,-71,-200,-62,-72,-200,-82,-65,-91,-65,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455457471,-200,-89,-200,-200,-71,-200,-200,-200,-75,-200,-62,-72,-200,-200,-66,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455457557,-68,-91,-200,-200,-71,-200,-200,-200,-200,-77,-62,-200,-200,-86,-67,-200,-70,-77,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526455457661,-67,-200,-200,-200,-70,-200,-200,-93,-74,-76,-200,-72,-200,-200,-67,-200,-71,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455457760,-200,-200,-200,-200,-70,-200,-76,-200,-75,-76,-62,-200,-200,-85,-67,-200,-72,-77,-80,-200,-200,-200,-200,-200,-200,-200,-93,-200
1526455457870,-68,-92,-91,-200,-200,-200,-76,-200,-77,-76,-62,-200,-200,-84,-68,-200,-72,-77,-81,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526455457992,-200,-200,-200,-200,-200,-200,-77,-200,-79,-200,-61,-200,-200,-200,-67,-200,-200,-77,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455462430,-75,-200,-200,-200,-200,-200,-73,-200,-200,-200,-60,-200,-89,-78,-200,-200,-69,-74,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526455462542,-76,-200,-200,-200,-200,-200,-73,-200,-200,-200,-59,-200,-89,-200,-63,-200,-70,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455462675,-200,-74,-200,-200,-200,-200,-73,-200,-75,-72,-60,-200,-200,-200,-61,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455462776,-200,-74,-200,-200,-73,-200,-200,-200,-77,-200,-200,-200,-92,-80,-63,-200,-69,-200,-85,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526455462879,-200,-74,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-79,-62,-200,-200,-200,-200,-200,-200,-200,-94,-200,-96,-200,-200,-200
1526455462983,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-71,-89,-81,-62,-200,-200,-200,-85,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526455467443,-200,-84,-200,-200,-72,-200,-200,-200,-200,-200,-68,-71,-98,-200,-65,-92,-67,-83,-91,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526455467541,-200,-84,-93,-200,-200,-93,-81,-200,-71,-74,-200,-200,-200,-83,-65,-200,-66,-84,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455467642,-200,-85,-200,-95,-73,-200,-82,-200,-200,-75,-68,-72,-98,-84,-65,-91,-67,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455467743,-73,-200,-200,-200,-200,-200,-82,-94,-200,-74,-68,-200,-96,-84,-200,-92,-67,-83,-92,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526455467845,-200,-84,-92,-95,-73,-200,-82,-94,-71,-74,-68,-72,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526455467990,-72,-86,-92,-94,-73,-92,-200,-94,-72,-75,-68,-72,-200,-83,-66,-91,-67,-83,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455468091,-200,-85,-93,-200,-73,-93,-82,-95,-71,-200,-68,-73,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455472438,-69,-91,-200,-200,-72,-200,-71,-200,-71,-76,-62,-72,-200,-87,-65,-200,-77,-75,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455472558,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-72,-200,-200,-65,-200,-77,-74,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455472667,-69,-200,-200,-200,-69,-200,-72,-200,-70,-75,-200,-200,-93,-200,-67,-200,-77,-200,-82,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526455472787,-200,-200,-200,-200,-72,-200,-200,-200,-70,-200,-62,-71,-92,-86,-67,-200,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455472911,-69,-91,-200,-200,-72,-200,-72,-200,-200,-200,-62,-200,-200,-86,-67,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455473020,-69,-90,-200,-200,-200,-200,-71,-88,-200,-200,-200,-200,-200,-86,-67,-200,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455477443,-74,-200,-200,-200,-200,-200,-74,-200,-200,-200,-60,-200,-200,-80,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526455477546,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-60,-71,-200,-200,-200,-200,-70,-200,-200,-86,-200,-200,-92,-200,-200,-200,-200,-200
1526455477672,-200,-200,-200,-200,-200,-200,-72,-200,-200,-71,-58,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455477782,-75,-75,-200,-200,-200,-200,-200,-200,-200,-72,-60,-70,-200,-200,-200,-200,-69,-75,-200,-86,-200,-200,-200,-200,-200,-200,-200,-95
1526455477872,-75,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-80,-200,-200,-69,-74,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455477980,-73,-73,-200,-200,-200,-200,-200,-200,-200,-72,-60,-71,-200,-200,-65,-200,-200,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455482478,-200,-200,-93,-95,-200,-200,-81,-200,-71,-200,-66,-72,-200,-83,-200,-91,-67,-83,-89,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455482582,-200,-84,-200,-200,-200,-200,-82,-200,-71,-74,-200,-200,-200,-84,-200,-200,-66,-84,-93,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526455482686,-200,-83,-92,-200,-200,-92,-82,-94,-71,-74,-200,-75,-96,-200,-65,-200,-66,-83,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455482825,-73,-200,-92,-96,-73,-200,-200,-200,-71,-75,-67,-200,-200,-200,-66,-200,-67,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455482937,-200,-85,-200,-200,-200,-200,-200,-95,-71,-75,-67,-200,-98,-200,-66,-91,-68,-84,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526455483037,-73,-85,-200,-200,-200,-200,-200,-200,-72,-200,-67,-200,-200,-84,-66,-200,-66,-84,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455483136,-200,-200,-200,-200,-200,-200,-200,-200,-72,-75,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455487480,-200,-89,-200,-200,-200,-200,-72,-88,-71,-200,-61,-71,-200,-200,-67,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455487577,-200,-87,-200,-200,-200,-200,-71,-86,-70,-75,-62,-71,-200,-200,-200,-200,-200,-200,-84,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526455487679,-200,-200,-200,-200,-72,-200,-71,-87,-71,-200,-63,-73,-92,-200,-200,-200,-77,-74,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526455487782,-68,-88,-200,-200,-200,-200,-71,-89,-71,-74,-200,-73,-94,-200,-67,-200,-76,-73,-82,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526455487888,-200,-200,-200,-200,-200,-200,-71,-200,-71,-200,-200,-71,-200,-200,-68,-200,-78,-74,-85,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526455488005,-200,-200,-200,-200,-200,-200,-72,-200,-70,-200,-200,-73,-90,-85,-69,-200,-76,-74,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
