,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526453847858,-89,-92,-73,-200,-80,-75,-200,-92,-90,-93,-93,-200,-200,-74,-200,-200,-200,-82,-200,-200,-96,-97,-200,-200,-200,-200,-200,-93,-200,-200,-98,-200,-200
1526453847997,-90,-200,-76,-74,-200,-200,-200,-97,-89,-93,-94,-200,-200,-75,-89,-200,-90,-81,-200,-200,-200,-98,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526453848107,-91,-200,-200,-71,-82,-200,-200,-94,-91,-200,-92,-200,-88,-76,-200,-200,-90,-200,-200,-200,-200,-94,-95,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200
1526453852449,-200,-200,-69,-73,-77,-80,-200,-200,-200,-200,-200,-200,-200,-72,-200,-77,-200,-200,-200,-200,-200,-200,-90,-93,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526453852550,-200,-200,-67,-200,-75,-200,-200,-200,-200,-200,-200,-93,-91,-73,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526453852663,-200,-200,-67,-200,-77,-200,-200,-200,-200,-200,-200,-89,-200,-74,-200,-79,-200,-79,-200,-200,-200,-92,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453852756,-200,-94,-66,-200,-75,-200,-200,-200,-82,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526453852859,-200,-92,-68,-75,-200,-81,-200,-200,-79,-200,-200,-92,-89,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453852964,-200,-200,-78,-74,-75,-76,-93,-89,-200,-200,-200,-90,-200,-73,-200,-200,-200,-200,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453857436,-200,-200,-200,-73,-200,-200,-200,-200,-79,-200,-200,-76,-90,-200,-77,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526453857548,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-94,-200,-94,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-89,-200
1526453857726,-200,-83,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-75,-79,-87,-88,-200,-200,-200,-97,-200,-200,-200,-200,-200,-91,-85,-200,-200,-200,-200,-95
1526453857826,-95,-83,-60,-200,-80,-200,-200,-200,-84,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526453857978,-200,-83,-60,-73,-80,-74,-200,-200,-200,-200,-200,-200,-200,-75,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-94,-200,-200
1526453862434,-200,-90,-64,-200,-200,-200,-96,-200,-200,-200,-200,-84,-87,-200,-200,-200,-200,-83,-200,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453862537,-93,-89,-65,-77,-200,-200,-200,-200,-93,-96,-200,-83,-200,-200,-200,-83,-87,-83,-200,-96,-95,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526453862627,-200,-200,-65,-200,-82,-200,-96,-200,-94,-200,-200,-200,-200,-200,-85,-83,-200,-83,-200,-97,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526453862738,-200,-90,-64,-77,-82,-72,-200,-200,-200,-200,-200,-83,-200,-77,-84,-83,-200,-200,-200,-200,-97,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200
1526453862848,-200,-90,-65,-78,-82,-72,-200,-91,-200,-94,-200,-83,-88,-77,-200,-200,-89,-200,-200,-96,-97,-200,-200,-97,-200,-200,-200,-93,-200,-200,-94,-200,-200
1526453862970,-200,-89,-200,-200,-82,-73,-95,-200,-93,-94,-200,-83,-200,-78,-200,-200,-88,-83,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453863089,-200,-89,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-77,-200,-83,-200,-200,-96,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453867528,-200,-200,-63,-72,-73,-200,-200,-86,-200,-200,-200,-200,-200,-200,-82,-77,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526453867635,-200,-200,-63,-72,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-91,-80,-95,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94
1526453867764,-200,-200,-62,-70,-73,-200,-95,-200,-89,-200,-200,-86,-200,-72,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453867834,-200,-200,-59,-72,-200,-83,-200,-200,-200,-200,-200,-200,-88,-72,-82,-200,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526453867959,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-80,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526453868068,-200,-81,-58,-73,-200,-73,-200,-200,-200,-200,-200,-86,-200,-200,-83,-84,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526453872528,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-74,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526453872628,-99,-82,-58,-200,-81,-74,-92,-200,-200,-200,-200,-75,-90,-73,-77,-84,-200,-200,-93,-200,-200,-200,-83,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453872838,-98,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-75,-200,-73,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-93,-200,-200
1526453872974,-200,-200,-58,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-73,-200,-200,-200,-82,-200,-200,-200,-200,-84,-200,-200,-200,-200,-83,-200,-200,-92,-87,-200
1526453877425,-94,-89,-200,-200,-200,-200,-200,-90,-93,-200,-200,-83,-86,-76,-85,-200,-200,-83,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453877544,-200,-200,-64,-200,-200,-200,-98,-88,-200,-93,-200,-83,-200,-77,-200,-83,-200,-82,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453877658,-92,-89,-64,-200,-80,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-82,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453877774,-200,-89,-200,-75,-200,-200,-200,-200,-200,-95,-200,-83,-200,-77,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526453877885,-92,-90,-64,-200,-81,-73,-200,-89,-200,-95,-200,-83,-200,-77,-85,-82,-86,-82,-200,-200,-94,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526453878009,-91,-200,-200,-200,-80,-72,-200,-200,-200,-94,-200,-83,-200,-200,-200,-200,-200,-83,-200,-200,-200,-94,-200,-95,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526453878111,-200,-90,-64,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-85,-200,-200,-82,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
