,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526455137549,-200,-102,-200,-65,-79,-85,-79,-90,-200,-77,-90,-200,-81,-200,-200,-74,-200,-200,-200,-200,-200,-96,-200,-97,-200
1526455137651,-200,-200,-200,-65,-79,-85,-79,-89,-200,-78,-91,-88,-80,-200,-83,-75,-200,-200,-200,-200,-200,-200,-96,-200,-200
1526455137758,-200,-200,-83,-65,-79,-200,-79,-89,-200,-77,-90,-86,-81,-200,-200,-74,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526455137868,-200,-200,-84,-65,-79,-85,-79,-200,-200,-200,-90,-88,-80,-200,-83,-74,-100,-200,-200,-200,-200,-93,-200,-95,-200
1526455138008,-200,-200,-200,-65,-80,-87,-200,-90,-200,-78,-90,-90,-200,-200,-200,-74,-200,-200,-200,-200,-200,-93,-95,-200,-200
1526455138099,-89,-80,-80,-72,-200,-74,-200,-200,-200,-77,-200,-200,-76,-200,-200,-68,-200,-200,-200,-200,-200,-95,-200,-95,-200
1526455142537,-200,-81,-80,-71,-73,-200,-75,-83,-200,-71,-89,-75,-77,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455142703,-200,-81,-200,-71,-200,-73,-74,-83,-200,-200,-200,-76,-77,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455142836,-200,-200,-79,-72,-73,-73,-200,-82,-200,-200,-89,-200,-78,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455142944,-200,-81,-80,-72,-200,-73,-75,-82,-200,-200,-89,-76,-77,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455143061,-200,-84,-74,-65,-200,-200,-200,-84,-200,-70,-200,-200,-78,-200,-200,-68,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526455147487,-200,-200,-74,-64,-200,-200,-200,-200,-200,-70,-85,-200,-76,-200,-200,-63,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526455147572,-200,-200,-200,-64,-200,-74,-200,-200,-200,-200,-200,-72,-75,-200,-75,-63,-200,-84,-200,-96,-200,-200,-91,-200,-200
1526455147676,-200,-200,-74,-65,-83,-200,-200,-200,-200,-71,-200,-70,-75,-200,-200,-63,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526455147781,-200,-85,-200,-64,-200,-73,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455147895,-87,-200,-75,-64,-200,-74,-200,-200,-200,-71,-86,-71,-76,-200,-74,-64,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526455148001,-200,-85,-200,-200,-83,-85,-74,-200,-200,-200,-200,-72,-77,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526455152450,-95,-200,-84,-200,-78,-85,-76,-93,-200,-76,-90,-82,-80,-200,-200,-70,-100,-200,-200,-200,-91,-200,-93,-200,-200
1526455152547,-200,-200,-200,-64,-77,-83,-77,-90,-200,-200,-89,-200,-80,-200,-200,-71,-200,-200,-200,-200,-91,-200,-96,-97,-200
1526455152769,-200,-200,-200,-64,-78,-84,-76,-200,-200,-75,-200,-200,-80,-99,-200,-200,-200,-200,-200,-200,-91,-200,-93,-96,-200
1526455152897,-200,-200,-82,-63,-200,-82,-76,-200,-200,-74,-88,-200,-79,-200,-200,-71,-200,-200,-200,-200,-92,-200,-94,-94,-200
1526455152985,-200,-200,-86,-64,-77,-83,-76,-89,-200,-75,-90,-90,-79,-98,-81,-71,-200,-200,-200,-200,-200,-91,-92,-95,-200
1526455153094,-200,-81,-81,-63,-77,-200,-200,-200,-200,-71,-200,-76,-200,-200,-74,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455157520,-89,-82,-81,-200,-200,-74,-75,-200,-200,-71,-90,-200,-76,-200,-200,-68,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526455157609,-200,-81,-200,-76,-74,-74,-200,-83,-200,-72,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526455157817,-90,-200,-80,-72,-73,-74,-200,-83,-200,-72,-200,-76,-200,-200,-73,-68,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526455157920,-90,-200,-79,-73,-73,-200,-76,-83,-200,-72,-200,-200,-200,-200,-73,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455158039,-89,-200,-81,-73,-82,-200,-75,-200,-200,-200,-89,-200,-77,-200,-74,-68,-200,-85,-200,-200,-200,-200,-200,-91,-200
1526455162480,-200,-200,-200,-66,-200,-74,-200,-200,-200,-70,-86,-72,-75,-200,-74,-62,-90,-85,-200,-200,-200,-200,-200,-89,-200
1526455162630,-200,-200,-200,-200,-82,-74,-200,-87,-200,-200,-86,-72,-200,-200,-74,-200,-200,-85,-200,-200,-200,-200,-200,-200,-92
1526455162739,-200,-85,-200,-66,-200,-200,-200,-200,-200,-200,-87,-72,-75,-200,-74,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526455162881,-200,-200,-74,-66,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455162986,-200,-200,-74,-66,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-88,-200
1526455167431,-200,-200,-82,-63,-78,-200,-78,-200,-200,-75,-200,-89,-79,-200,-200,-200,-99,-200,-102,-200,-90,-92,-92,-95,-200
1526455167540,-200,-200,-83,-63,-200,-85,-77,-200,-200,-75,-200,-89,-77,-200,-80,-71,-200,-200,-103,-200,-200,-92,-200,-200,-200
1526455167649,-200,-200,-83,-63,-200,-85,-200,-89,-200,-200,-90,-91,-79,-200,-80,-71,-200,-200,-200,-200,-91,-93,-200,-200,-200
1526455167774,-200,-200,-83,-200,-77,-86,-200,-200,-200,-200,-200,-200,-80,-200,-81,-71,-200,-200,-200,-200,-91,-200,-94,-95,-200
1526455167873,-200,-200,-82,-200,-77,-86,-200,-90,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526455168013,-200,-200,-200,-200,-77,-200,-200,-91,-200,-200,-200,-200,-80,-100,-200,-72,-200,-200,-102,-200,-90,-200,-200,-200,-200
1526455168130,-200,-200,-81,-71,-78,-200,-75,-84,-200,-200,-200,-200,-78,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455172522,-200,-82,-80,-71,-73,-200,-200,-84,-200,-200,-200,-200,-78,-95,-73,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455172625,-200,-200,-81,-72,-73,-200,-75,-83,-200,-73,-91,-78,-78,-200,-74,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526455172726,-200,-82,-200,-200,-73,-73,-200,-84,-200,-72,-200,-77,-79,-200,-200,-69,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526455172819,-200,-200,-200,-72,-73,-73,-76,-84,-200,-73,-200,-200,-78,-200,-73,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455172932,-93,-200,-80,-73,-74,-200,-200,-200,-200,-70,-200,-200,-78,-200,-73,-68,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526455173046,-200,-200,-80,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
