,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
1526455042746,-67,-200,-200,-200,-200,-62,-85,-64,-83,-69,-200,-85,-200,-200,-200,-84,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455042890,-67,-71,-200,-74,-200,-64,-200,-200,-200,-200,-200,-200,-200,-77,-89,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455047439,-73,-71,-80,-200,-79,-72,-200,-67,-200,-77,-200,-200,-86,-200,-93,-93,-84,-92,-96,-200,-100,-200,-88,-200,-200,-200,-200
1526455047562,-72,-200,-200,-91,-79,-72,-200,-65,-97,-200,-200,-200,-88,-85,-94,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455047738,-73,-70,-80,-200,-80,-72,-200,-67,-200,-200,-76,-200,-87,-85,-92,-200,-200,-200,-200,-200,-200,-95,-90,-200,-200,-200,-200
1526455047845,-200,-71,-80,-200,-79,-72,-200,-67,-200,-76,-76,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526455047956,-72,-71,-80,-200,-79,-71,-200,-200,-200,-200,-200,-200,-87,-85,-93,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526455048063,-200,-200,-200,-200,-200,-72,-200,-200,-200,-76,-76,-200,-87,-85,-200,-200,-200,-200,-97,-200,-200,-200,-89,-200,-200,-200,-200
1526455052434,-64,-200,-76,-78,-71,-72,-200,-66,-200,-200,-200,-200,-200,-80,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455052533,-200,-70,-200,-200,-71,-73,-200,-67,-200,-200,-73,-200,-200,-81,-200,-200,-72,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526455052620,-64,-70,-78,-200,-71,-72,-200,-67,-200,-76,-75,-85,-200,-81,-200,-200,-73,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526455052722,-200,-70,-200,-78,-200,-71,-200,-67,-200,-76,-75,-84,-200,-81,-92,-200,-200,-200,-200,-94,-200,-200,-200,-93,-93,-200,-200
1526455052841,-65,-68,-77,-200,-200,-73,-200,-67,-200,-77,-74,-85,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455052943,-64,-69,-77,-78,-200,-73,-84,-67,-200,-200,-75,-85,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526455053055,-64,-69,-200,-200,-72,-200,-200,-200,-200,-200,-75,-86,-200,-200,-92,-200,-73,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455057471,-66,-200,-200,-200,-73,-200,-200,-65,-200,-71,-72,-200,-200,-76,-89,-200,-71,-85,-200,-200,-88,-91,-200,-200,-200,-200,-200
1526455057603,-66,-200,-200,-74,-73,-200,-86,-63,-200,-72,-200,-200,-200,-200,-90,-83,-72,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455057714,-66,-200,-200,-200,-73,-64,-200,-64,-82,-200,-71,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455057835,-200,-72,-200,-200,-73,-64,-200,-65,-200,-200,-200,-200,-200,-77,-200,-82,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455057942,-66,-200,-82,-200,-74,-64,-200,-65,-200,-73,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94
1526455058047,-72,-71,-200,-200,-80,-200,-200,-66,-200,-73,-77,-200,-200,-200,-93,-84,-71,-93,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526455062528,-72,-200,-85,-83,-200,-73,-200,-66,-200,-74,-76,-200,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455062627,-71,-200,-85,-82,-200,-200,-200,-66,-200,-200,-76,-200,-88,-85,-94,-200,-83,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455062753,-72,-200,-200,-200,-79,-200,-200,-200,-200,-74,-76,-200,-87,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455062867,-71,-200,-200,-200,-83,-200,-200,-200,-98,-200,-200,-200,-87,-200,-92,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455062977,-71,-200,-87,-82,-79,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200
1526455063078,-72,-200,-200,-78,-200,-73,-200,-200,-200,-200,-75,-86,-200,-85,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455067491,-64,-69,-200,-78,-75,-200,-200,-200,-200,-200,-200,-200,-88,-81,-200,-200,-73,-84,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526455067593,-64,-69,-200,-78,-200,-200,-200,-200,-90,-73,-74,-200,-89,-81,-90,-200,-200,-85,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526455067701,-64,-68,-76,-200,-200,-73,-87,-69,-90,-73,-74,-85,-88,-200,-200,-200,-72,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526455067819,-64,-68,-200,-200,-200,-200,-200,-69,-200,-73,-74,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526455067942,-64,-67,-200,-78,-200,-200,-87,-69,-90,-200,-200,-200,-200,-82,-91,-200,-73,-84,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526455068039,-200,-200,-200,-77,-72,-73,-87,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200
