,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011f.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011e.0012-vlucci.com A1.4.0.1,null,null,vlucci.com AC-V1.4.0.0
1526454277850,-200,-200,-200,-200,-200,-70,-70,-91,-200,-91,-200,-72,-87,-200,-72,-76,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200
1526454278003,-81,-200,-200,-200,-200,-67,-70,-92,-200,-200,-200,-73,-200,-200,-69,-75,-200,-200,-200,-200,-89,-200,-96,-200,-200,-200,-200,-200
1526454282421,-200,-200,-200,-88,-200,-200,-72,-200,-200,-91,-70,-81,-200,-200,-200,-75,-200,-77,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526454282556,-200,-200,-94,-88,-200,-68,-73,-200,-200,-91,-200,-81,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526454282654,-200,-96,-94,-88,-98,-68,-73,-200,-200,-92,-70,-81,-200,-200,-200,-200,-76,-78,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526454282768,-200,-200,-96,-89,-200,-69,-200,-200,-200,-200,-70,-200,-200,-200,-80,-75,-76,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526454282875,-200,-200,-200,-88,-97,-68,-73,-200,-200,-200,-70,-200,-200,-200,-81,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454283017,-99,-200,-95,-200,-96,-68,-72,-200,-200,-92,-200,-200,-200,-200,-200,-200,-75,-78,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526454287448,-72,-200,-82,-76,-200,-200,-73,-200,-80,-87,-69,-75,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454287631,-71,-200,-82,-200,-88,-72,-72,-200,-80,-86,-69,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454287737,-72,-200,-200,-76,-200,-70,-73,-200,-200,-88,-70,-75,-200,-200,-70,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454287846,-200,-200,-200,-200,-200,-200,-200,-200,-80,-86,-69,-200,-200,-200,-70,-74,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454287941,-71,-200,-200,-76,-200,-200,-200,-200,-200,-86,-70,-200,-200,-200,-70,-74,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454292468,-200,-200,-200,-200,-200,-68,-70,-200,-83,-93,-72,-200,-200,-200,-71,-76,-67,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526454292568,-200,-91,-81,-79,-200,-65,-200,-200,-84,-200,-70,-74,-200,-200,-72,-75,-67,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526454292668,-200,-200,-81,-78,-200,-68,-69,-200,-83,-200,-200,-200,-87,-200,-71,-200,-68,-78,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526454292776,-200,-200,-81,-79,-200,-68,-71,-200,-84,-200,-70,-72,-87,-200,-71,-77,-67,-200,-200,-95,-200,-200,-98,-200,-200,-200,-200,-200
1526454292878,-200,-200,-200,-200,-91,-68,-200,-200,-83,-90,-200,-72,-87,-200,-71,-77,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526454292979,-200,-92,-200,-79,-91,-200,-70,-200,-84,-91,-70,-72,-87,-200,-71,-77,-200,-200,-200,-93,-89,-200,-200,-200,-92,-200,-200,-200
1526454293094,-200,-200,-200,-200,-200,-200,-200,-200,-83,-91,-69,-200,-200,-200,-71,-200,-75,-77,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526454297453,-200,-200,-94,-200,-200,-69,-72,-99,-200,-90,-70,-80,-200,-200,-82,-75,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526454297573,-200,-200,-94,-200,-200,-68,-200,-98,-200,-92,-70,-81,-200,-200,-82,-75,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526454297708,-200,-200,-94,-200,-98,-68,-200,-97,-200,-91,-69,-79,-200,-200,-82,-75,-76,-77,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200
1526454297809,-200,-200,-95,-87,-98,-68,-200,-200,-200,-91,-70,-81,-200,-200,-82,-75,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526454297918,-200,-200,-94,-87,-96,-68,-73,-200,-200,-92,-200,-200,-200,-200,-82,-75,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526454298037,-200,-200,-95,-200,-200,-68,-73,-200,-200,-91,-69,-200,-200,-200,-81,-73,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526454302440,-72,-200,-82,-200,-200,-70,-73,-200,-79,-86,-200,-76,-200,-200,-200,-73,-75,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454302537,-71,-200,-200,-77,-200,-72,-73,-200,-80,-86,-68,-75,-200,-200,-71,-73,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454302641,-71,-200,-82,-200,-87,-70,-73,-93,-79,-200,-70,-200,-200,-200,-70,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454302833,-71,-200,-82,-78,-86,-72,-200,-200,-80,-86,-70,-75,-200,-200,-70,-75,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454302934,-72,-200,-200,-79,-87,-72,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454307419,-200,-91,-81,-200,-200,-70,-71,-200,-84,-200,-70,-200,-87,-200,-200,-200,-68,-77,-200,-95,-90,-200,-200,-200,-200,-200,-200,-200
1526454307608,-81,-90,-81,-200,-94,-70,-71,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-98,-200
1526454307738,-81,-200,-200,-200,-200,-68,-200,-200,-200,-90,-71,-72,-87,-200,-72,-77,-68,-200,-200,-200,-91,-200,-200,-200,-94,-200,-99,-97
1526454307930,-200,-91,-81,-200,-200,-200,-200,-200,-200,-200,-69,-72,-86,-200,-72,-77,-200,-78,-200,-94,-200,-200,-200,-200,-200,-200,-200,-96
1526454308035,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-88,-200,-72,-76,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454312415,-200,-200,-93,-200,-200,-68,-73,-200,-99,-93,-200,-200,-200,-200,-200,-77,-79,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526454312520,-200,-94,-200,-86,-200,-200,-200,-200,-97,-91,-69,-82,-200,-200,-80,-74,-73,-80,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526454312648,-200,-200,-200,-86,-200,-68,-72,-200,-200,-92,-70,-81,-200,-200,-200,-200,-84,-200,-200,-200,-98,-200,-200,-200,-92,-103,-200,-200
1526454312755,-200,-200,-96,-86,-97,-68,-73,-200,-200,-200,-200,-81,-200,-200,-200,-73,-75,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526454312875,-200,-93,-200,-87,-94,-68,-73,-200,-200,-92,-200,-200,-200,-200,-82,-200,-76,-200,-200,-200,-97,-200,-200,-200,-92,-200,-200,-200
1526454313071,-200,-200,-200,-200,-90,-69,-74,-200,-85,-200,-200,-200,-92,-200,-200,-76,-77,-83,-200,-200,-97,-200,-200,-200,-92,-200,-200,-200
1526454317519,-200,-200,-200,-80,-88,-70,-74,-200,-78,-200,-70,-74,-200,-200,-200,-71,-72,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454317643,-200,-200,-200,-80,-200,-200,-75,-91,-79,-85,-71,-200,-200,-200,-68,-71,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454317755,-74,-200,-200,-80,-200,-200,-76,-200,-80,-85,-71,-200,-92,-200,-200,-200,-72,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454317906,-73,-200,-200,-79,-200,-72,-77,-200,-200,-85,-70,-74,-200,-200,-67,-200,-72,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454318060,-77,-200,-200,-200,-91,-70,-71,-97,-83,-85,-200,-200,-200,-200,-76,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454322570,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-72,-86,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454322698,-200,-200,-200,-200,-200,-200,-71,-200,-84,-91,-200,-72,-86,-200,-76,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454322821,-200,-200,-200,-79,-94,-200,-71,-200,-85,-200,-71,-200,-86,-200,-76,-200,-70,-200,-200,-90,-93,-200,-200,-200,-200,-200,-200,-200
1526454322950,-200,-90,-200,-200,-200,-200,-71,-200,-86,-200,-71,-72,-200,-200,-200,-200,-69,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526454327436,-200,-92,-200,-89,-200,-69,-200,-200,-200,-200,-71,-200,-200,-200,-200,-78,-89,-80,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526454327520,-87,-92,-200,-88,-200,-200,-83,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526454327665,-81,-200,-200,-88,-200,-200,-200,-200,-93,-200,-200,-84,-200,-200,-77,-82,-79,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454327776,-200,-200,-200,-200,-97,-71,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-76,-81,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526454327880,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454327992,-77,-94,-200,-200,-200,-71,-200,-200,-91,-200,-200,-200,-200,-200,-88,-73,-74,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454328160,-77,-93,-200,-88,-200,-69,-200,-200,-79,-200,-70,-73,-91,-200,-86,-73,-200,-84,-95,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526454332491,-200,-200,-200,-77,-89,-200,-77,-92,-79,-200,-200,-200,-200,-200,-68,-71,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454332593,-200,-200,-90,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-68,-70,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454332707,-77,-200,-89,-200,-89,-200,-76,-200,-200,-85,-200,-200,-200,-200,-68,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454332815,-200,-200,-90,-77,-89,-200,-200,-200,-79,-86,-200,-200,-92,-200,-68,-71,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454332924,-200,-200,-88,-200,-89,-200,-200,-92,-80,-85,-69,-200,-91,-200,-200,-71,-200,-83,-94,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526454333028,-77,-200,-200,-77,-90,-200,-76,-200,-200,-200,-70,-200,-93,-200,-68,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454333136,-77,-200,-200,-200,-200,-200,-76,-200,-200,-85,-70,-73,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-99,-200,-96,-200,-200,-200
1526454333236,-77,-200,-200,-200,-200,-200,-200,-200,-200,-84,-71,-74,-200,-200,-200,-200,-200,-83,-94,-200,-200,-200,-200,-200,-94,-200,-200,-200
