,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
1526454732489,-200,-63,-200,-200,-200,-77,-93,-200,-200,-200,-89,-200,-200,-93,-85,-93,-87,-85,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526454732674,-200,-200,-200,-83,-200,-73,-94,-97,-200,-200,-200,-200,-74,-200,-200,-200,-92,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454732779,-72,-62,-200,-200,-200,-74,-94,-95,-87,-200,-89,-80,-73,-93,-82,-200,-88,-82,-81,-97,-200,-200,-200,-200,-200,-200,-200
1526454732898,-74,-63,-200,-82,-200,-77,-94,-200,-200,-200,-90,-80,-74,-95,-200,-94,-84,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526454733004,-200,-62,-200,-200,-100,-76,-94,-200,-87,-200,-200,-80,-72,-92,-200,-93,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526454733109,-200,-61,-65,-80,-200,-74,-91,-200,-200,-200,-200,-77,-200,-94,-78,-88,-200,-75,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526454737511,-74,-61,-65,-80,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-72,-76,-81,-88,-200,-200,-200,-200,-200,-200,-200
1526454737627,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-78,-200,-72,-77,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526454737734,-75,-61,-65,-80,-200,-67,-200,-200,-200,-88,-200,-76,-71,-200,-200,-200,-73,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526454737860,-75,-200,-65,-200,-200,-68,-200,-200,-200,-88,-200,-77,-200,-200,-200,-89,-73,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526454737973,-74,-200,-65,-80,-200,-67,-200,-97,-90,-200,-200,-77,-200,-200,-78,-89,-73,-77,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526454738092,-73,-56,-200,-200,-200,-200,-200,-87,-88,-200,-200,-77,-200,-200,-71,-200,-77,-200,-77,-81,-200,-200,-200,-200,-200,-200,-200
1526454742499,-70,-55,-69,-200,-200,-67,-200,-86,-200,-97,-200,-200,-200,-94,-71,-200,-200,-200,-74,-82,-90,-200,-200,-200,-200,-200,-200
1526454742649,-200,-200,-70,-200,-200,-68,-200,-87,-88,-200,-200,-200,-200,-200,-73,-200,-200,-200,-74,-82,-200,-200,-200,-200,-200,-200,-200
1526454742763,-71,-200,-70,-89,-200,-67,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526454742869,-70,-200,-200,-88,-200,-67,-200,-200,-88,-95,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526454743024,-70,-200,-200,-88,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526454747439,-73,-200,-79,-83,-200,-75,-200,-200,-86,-97,-200,-200,-200,-200,-200,-93,-200,-89,-74,-200,-200,-200,-200,-98,-200,-200,-200
1526454747529,-73,-62,-200,-83,-200,-75,-200,-200,-200,-200,-200,-79,-200,-200,-83,-92,-85,-200,-75,-200,-200,-200,-200,-97,-200,-200,-200
1526454747652,-73,-62,-80,-200,-96,-75,-200,-200,-84,-200,-94,-80,-73,-200,-83,-200,-85,-89,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454747747,-73,-200,-80,-200,-200,-75,-200,-200,-85,-97,-93,-200,-73,-93,-84,-93,-85,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454747865,-73,-62,-200,-200,-200,-75,-93,-200,-85,-95,-93,-200,-73,-92,-85,-200,-84,-87,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454747978,-72,-62,-79,-82,-94,-74,-200,-95,-200,-200,-93,-200,-200,-200,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454748078,-73,-200,-66,-80,-200,-67,-200,-200,-200,-200,-92,-77,-200,-200,-85,-90,-73,-77,-200,-200,-200,-200,-200,-98,-200,-200,-200
1526454752507,-200,-61,-65,-80,-200,-200,-200,-200,-200,-87,-92,-77,-71,-200,-78,-90,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454752591,-200,-61,-65,-200,-200,-200,-94,-200,-200,-86,-200,-200,-70,-200,-78,-91,-73,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454752696,-75,-61,-200,-81,-200,-67,-200,-94,-200,-87,-200,-77,-71,-200,-77,-200,-73,-77,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526454752836,-75,-200,-65,-81,-200,-200,-200,-200,-200,-200,-91,-200,-70,-200,-200,-90,-73,-77,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526454752947,-75,-61,-65,-80,-200,-67,-200,-200,-200,-87,-91,-200,-200,-200,-78,-90,-74,-77,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526454753079,-69,-56,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454757511,-69,-55,-200,-90,-200,-68,-200,-200,-200,-93,-200,-82,-68,-200,-72,-90,-76,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526454757585,-69,-55,-70,-200,-200,-68,-90,-85,-86,-200,-200,-200,-69,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454757728,-69,-55,-70,-89,-200,-68,-200,-200,-86,-200,-200,-200,-68,-93,-72,-200,-76,-200,-74,-83,-200,-200,-200,-200,-200,-200,-200
1526454757844,-200,-56,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-69,-200,-200,-200,-200,-200,-74,-200,-200,-94,-200,-200,-200,-200,-200
1526454757987,-69,-55,-200,-81,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526454762455,-73,-63,-79,-82,-200,-74,-200,-200,-200,-97,-93,-79,-73,-92,-84,-200,-84,-87,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454762541,-73,-63,-80,-83,-96,-74,-200,-97,-84,-95,-200,-200,-73,-92,-200,-200,-84,-85,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454762646,-72,-63,-200,-83,-200,-200,-91,-200,-200,-200,-200,-79,-200,-200,-85,-93,-200,-86,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454762753,-73,-63,-79,-200,-200,-200,-200,-98,-85,-200,-200,-79,-200,-93,-84,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454762862,-72,-200,-79,-200,-200,-74,-200,-200,-200,-98,-200,-79,-73,-92,-83,-93,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454762968,-72,-200,-200,-83,-200,-74,-200,-200,-85,-95,-200,-200,-73,-200,-83,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454763066,-73,-61,-200,-200,-94,-200,-200,-95,-86,-87,-200,-200,-200,-200,-200,-92,-84,-86,-75,-200,-200,-200,-200,-200,-94,-200,-200
1526454767501,-75,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-71,-200,-200,-200,-73,-78,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454767581,-75,-61,-65,-80,-200,-67,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454767722,-200,-61,-65,-200,-200,-67,-200,-200,-200,-200,-200,-200,-70,-200,-78,-200,-200,-80,-76,-90,-200,-200,-200,-200,-200,-200,-200
1526454767860,-200,-61,-65,-200,-200,-67,-200,-200,-200,-200,-95,-77,-70,-200,-77,-200,-73,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526454767965,-200,-59,-66,-200,-200,-67,-94,-89,-85,-200,-200,-84,-200,-200,-200,-200,-73,-96,-75,-91,-200,-200,-200,-200,-200,-200,-200
1526454772504,-71,-200,-200,-87,-200,-67,-200,-89,-200,-200,-87,-200,-69,-94,-72,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526454772601,-71,-55,-200,-200,-200,-200,-92,-90,-85,-200,-87,-200,-68,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454772732,-200,-55,-69,-200,-200,-68,-200,-89,-200,-200,-87,-200,-69,-200,-70,-90,-76,-200,-74,-200,-89,-200,-200,-200,-200,-99,-200
1526454772851,-200,-55,-69,-88,-200,-68,-200,-88,-200,-200,-200,-200,-200,-200,-72,-200,-77,-90,-200,-200,-200,-200,-200,-200,-200,-200,-96
1526454772957,-200,-55,-70,-90,-200,-67,-200,-87,-200,-200,-200,-200,-200,-91,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454773080,-200,-55,-200,-200,-200,-68,-200,-200,-200,-200,-200,-83,-200,-91,-72,-200,-200,-88,-200,-82,-91,-200,-200,-200,-95,-200,-200
1526454777441,-200,-62,-200,-82,-200,-72,-200,-200,-85,-96,-200,-79,-73,-92,-200,-94,-200,-200,-75,-100,-200,-200,-200,-200,-200,-200,-200
1526454777535,-73,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454777637,-73,-63,-85,-81,-97,-73,-200,-95,-85,-200,-91,-80,-73,-92,-200,-200,-86,-85,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454777751,-200,-62,-82,-82,-200,-72,-97,-97,-85,-100,-200,-200,-73,-92,-85,-94,-200,-84,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526454777847,-75,-62,-79,-82,-200,-72,-93,-200,-85,-200,-200,-80,-200,-200,-200,-200,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454777977,-200,-62,-200,-200,-200,-72,-93,-200,-200,-200,-200,-80,-73,-200,-200,-200,-83,-200,-76,-200,-200,-200,-200,-99,-200,-200,-200
1526454778080,-72,-200,-200,-200,-96,-200,-94,-200,-200,-200,-89,-200,-200,-91,-200,-200,-83,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
