,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526453942884,-77,-200,-200,-65,-200,-67,-89,-200,-200,-200,-76,-84,-200,-200,-200,-200,-76,-65,-200,-200,-86,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200
1526453943032,-77,-200,-200,-67,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453947431,-75,-200,-200,-66,-200,-64,-200,-200,-78,-85,-200,-200,-200,-200,-200,-88,-200,-66,-84,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453947557,-200,-200,-200,-66,-200,-64,-200,-65,-200,-200,-81,-75,-200,-200,-200,-88,-200,-70,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526453947660,-75,-200,-200,-66,-200,-64,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-69,-200,-200,-84,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453947772,-200,-200,-200,-65,-200,-62,-200,-64,-200,-88,-77,-200,-200,-200,-200,-200,-200,-69,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453947906,-200,-200,-200,-65,-200,-63,-91,-200,-200,-88,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453952431,-85,-200,-78,-70,-200,-69,-88,-71,-200,-200,-79,-80,-99,-200,-96,-200,-200,-69,-200,-200,-88,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453952552,-85,-200,-78,-70,-200,-200,-200,-72,-86,-200,-200,-80,-200,-200,-200,-200,-200,-69,-89,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200,-200
1526453952668,-85,-200,-200,-200,-200,-69,-200,-71,-200,-79,-200,-81,-97,-200,-200,-94,-96,-69,-89,-98,-88,-95,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200
1526453952784,-85,-97,-200,-70,-200,-200,-200,-73,-86,-78,-79,-81,-200,-200,-200,-95,-200,-69,-89,-97,-88,-200,-90,-200,-200,-98,-200,-200,-200,-200,-200,-200
1526453952899,-85,-200,-200,-70,-200,-69,-88,-200,-86,-79,-80,-83,-200,-200,-200,-97,-200,-69,-89,-98,-88,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453953002,-85,-200,-79,-71,-200,-69,-88,-200,-200,-78,-80,-200,-200,-200,-96,-94,-200,-70,-200,-97,-88,-95,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200
1526453953115,-85,-200,-200,-71,-200,-70,-200,-200,-200,-78,-80,-200,-200,-200,-200,-200,-200,-69,-89,-200,-200,-94,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526453957447,-76,-90,-80,-66,-200,-66,-200,-70,-81,-74,-77,-86,-200,-93,-200,-200,-75,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453957560,-200,-92,-200,-65,-200,-66,-91,-71,-200,-200,-75,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453957664,-200,-200,-81,-67,-200,-200,-89,-200,-81,-200,-75,-87,-200,-94,-200,-200,-74,-200,-84,-200,-85,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453957787,-200,-89,-200,-200,-200,-67,-89,-200,-200,-73,-75,-87,-200,-200,-200,-200,-75,-66,-200,-200,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453957885,-75,-89,-200,-67,-200,-67,-88,-71,-200,-71,-73,-87,-200,-200,-200,-200,-73,-68,-85,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453958006,-75,-89,-79,-200,-200,-66,-200,-200,-81,-72,-74,-200,-200,-200,-90,-200,-200,-65,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453962483,-200,-200,-200,-200,-89,-62,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526453962542,-200,-200,-200,-64,-200,-63,-200,-66,-200,-200,-200,-77,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-101,-200,-200,-200,-200
1526453962655,-75,-87,-200,-200,-200,-62,-200,-65,-200,-200,-200,-200,-200,-92,-200,-87,-200,-70,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526453962777,-75,-200,-200,-200,-200,-63,-200,-66,-78,-84,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453962874,-74,-200,-200,-66,-200,-64,-200,-66,-200,-85,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-84,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526453962958,-75,-200,-79,-200,-200,-200,-200,-66,-84,-83,-77,-77,-200,-200,-95,-200,-200,-71,-90,-200,-88,-200,-90,-94,-200,-200,-200,-103,-200,-200,-200,-200
1526453967524,-200,-200,-200,-70,-200,-200,-200,-70,-200,-78,-77,-80,-200,-200,-95,-200,-92,-200,-200,-200,-88,-200,-90,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526453967622,-200,-200,-81,-70,-200,-70,-87,-71,-200,-78,-77,-81,-100,-200,-200,-200,-90,-200,-200,-200,-200,-200,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526453967733,-81,-200,-200,-69,-200,-200,-88,-72,-84,-77,-200,-80,-200,-200,-93,-200,-92,-200,-200,-200,-88,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526453967827,-82,-200,-200,-70,-200,-71,-88,-200,-85,-200,-200,-81,-200,-200,-95,-200,-200,-68,-200,-200,-200,-200,-90,-95,-200,-96,-200,-200,-200,-200,-200,-200
1526453967961,-82,-200,-200,-70,-200,-200,-88,-73,-85,-78,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526453968039,-82,-200,-200,-67,-200,-70,-88,-72,-85,-78,-78,-200,-200,-200,-200,-200,-93,-68,-89,-200,-88,-200,-90,-95,-200,-200,-200,-99,-200,-200,-200,-200
1526453972438,-78,-200,-81,-200,-200,-200,-200,-200,-81,-200,-200,-85,-200,-200,-200,-200,-75,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453972586,-78,-200,-200,-67,-200,-66,-200,-200,-80,-200,-200,-84,-200,-200,-200,-200,-75,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453972688,-78,-200,-200,-200,-200,-200,-200,-71,-80,-200,-77,-85,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453972786,-78,-200,-200,-68,-200,-66,-200,-200,-80,-74,-200,-85,-200,-200,-200,-200,-75,-200,-84,-200,-85,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526453972892,-78,-200,-200,-200,-200,-200,-200,-71,-81,-200,-76,-84,-200,-200,-200,-200,-75,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526453973006,-78,-200,-200,-67,-200,-66,-200,-71,-200,-200,-76,-85,-200,-200,-90,-200,-200,-66,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453977416,-200,-200,-200,-200,-200,-63,-200,-200,-79,-200,-86,-73,-200,-200,-200,-200,-83,-77,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200
1526453977525,-200,-200,-200,-67,-89,-200,-200,-66,-79,-200,-85,-73,-200,-200,-200,-200,-82,-72,-200,-96,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526453977641,-200,-88,-200,-200,-89,-200,-200,-200,-78,-200,-200,-73,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453977745,-200,-200,-200,-200,-90,-63,-200,-200,-200,-80,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-99,-200,-200,-98,-200
1526453977847,-78,-200,-83,-200,-89,-64,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453977970,-200,-86,-200,-200,-200,-63,-200,-200,-81,-200,-200,-200,-200,-200,-200,-89,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453978076,-82,-200,-200,-200,-200,-63,-200,-71,-85,-200,-80,-200,-200,-200,-200,-200,-87,-68,-200,-200,-200,-94,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453982500,-200,-200,-200,-70,-200,-70,-200,-200,-200,-200,-81,-80,-200,-200,-200,-200,-87,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526453982581,-82,-95,-77,-69,-200,-70,-200,-71,-200,-200,-200,-200,-200,-200,-200,-93,-200,-68,-200,-200,-88,-200,-89,-200,-200,-200,-200,-100,-200,-200,-200,-200
1526453982698,-200,-200,-200,-70,-200,-200,-200,-71,-85,-80,-200,-80,-200,-200,-200,-200,-88,-68,-88,-200,-88,-200,-90,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526453982806,-200,-200,-78,-68,-200,-70,-89,-71,-86,-80,-80,-200,-200,-200,-200,-200,-200,-68,-89,-200,-87,-200,-200,-97,-200,-200,-200,-100,-200,-200,-200,-200
1526453982930,-200,-200,-200,-200,-200,-70,-88,-200,-85,-80,-80,-200,-200,-200,-95,-200,-200,-68,-200,-200,-200,-96,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453983047,-200,-95,-78,-70,-200,-71,-88,-71,-85,-81,-80,-81,-200,-200,-200,-200,-87,-68,-200,-200,-88,-95,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453983164,-82,-200,-200,-70,-200,-66,-200,-72,-85,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453987456,-77,-200,-200,-67,-200,-200,-200,-200,-83,-72,-77,-200,-200,-200,-92,-200,-74,-65,-200,-200,-200,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453987585,-75,-92,-84,-67,-200,-66,-200,-68,-81,-200,-200,-200,-200,-95,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-94,-200,-200,-200
1526453987697,-200,-91,-85,-200,-200,-66,-200,-200,-82,-73,-76,-200,-200,-200,-93,-200,-74,-66,-85,-200,-200,-200,-92,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526453987901,-76,-93,-200,-200,-200,-200,-200,-200,-82,-200,-200,-84,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-91,-200,-200,-200,-92,-200,-96,-200,-200,-200
1526453988012,-77,-92,-85,-200,-200,-67,-200,-200,-82,-200,-200,-84,-200,-200,-200,-200,-200,-67,-200,-200,-200,-87,-92,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526453988141,-200,-200,-200,-67,-200,-200,-89,-64,-83,-77,-200,-200,-200,-200,-200,-91,-82,-200,-200,-200,-83,-200,-200,-200,-94,-200,-87,-200,-200,-200,-200,-200
1526453992581,-200,-200,-200,-66,-200,-62,-200,-64,-200,-200,-200,-200,-200,-200,-89,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526453992746,-77,-200,-200,-65,-200,-200,-200,-200,-79,-200,-85,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453992857,-200,-200,-200,-66,-200,-64,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453992967,-200,-200,-200,-66,-200,-64,-200,-65,-200,-200,-200,-75,-200,-200,-200,-200,-200,-67,-200,-200,-200,-82,-200,-200,-92,-200,-200,-200,-200,-200,-200,-93
