,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,NETWORK,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526455450041,-29,-26,-36,-36,-40,-37,-37,-50,-48,-53,-60,-58,-61,-59,-200,-74,-69,-67,-200,-64,-73,-200,-73,-74,-200,-200,-80,-80,-84,-87,-80,-88,-71,-70,-69,-86,-89,-71,-78,-85,-90,-200,-200,-200,-200,-200,-200
1526455453057,-29,-26,-36,-36,-40,-37,-37,-50,-48,-53,-60,-58,-61,-59,-200,-74,-69,-67,-200,-64,-73,-200,-73,-74,-200,-200,-80,-80,-84,-87,-80,-88,-71,-70,-69,-86,-89,-71,-78,-85,-90,-200,-200,-200,-200,-200,-200
1526455456076,-28,-29,-36,-38,-40,-37,-37,-50,-52,-56,-57,-58,-61,-61,-200,-68,-71,-71,-200,-62,-73,-200,-73,-74,-200,-200,-80,-80,-84,-85,-80,-92,-71,-70,-69,-86,-89,-71,-78,-85,-90,-200,-200,-200,-200,-200,-200
1526455459086,-28,-29,-36,-38,-40,-37,-37,-50,-52,-56,-57,-58,-61,-61,-200,-68,-71,-71,-200,-62,-73,-200,-73,-74,-200,-200,-80,-80,-84,-85,-80,-92,-71,-70,-69,-86,-89,-71,-78,-85,-90,-200,-200,-200,-200,-200,-200
1526455462116,-28,-30,-36,-39,-46,-54,-36,-48,-52,-55,-56,-60,-61,-61,-200,-64,-67,-73,-200,-62,-73,-200,-73,-72,-200,-200,-80,-80,-84,-87,-80,-92,-70,-200,-70,-200,-90,-71,-78,-85,-90,-67,-83,-200,-200,-200,-200
1526455465132,-28,-30,-36,-39,-46,-54,-36,-48,-52,-55,-56,-60,-61,-61,-200,-64,-67,-73,-200,-62,-73,-200,-73,-72,-200,-200,-80,-80,-84,-87,-80,-92,-70,-200,-70,-200,-90,-71,-78,-85,-90,-67,-83,-200,-200,-200,-200
1526455468140,-28,-30,-36,-39,-46,-54,-36,-48,-53,-56,-56,-60,-61,-60,-200,-64,-67,-73,-200,-60,-74,-200,-77,-74,-200,-200,-77,-80,-91,-85,-80,-92,-70,-200,-69,-87,-90,-82,-200,-200,-90,-67,-83,-62,-87,-88,-200
1526455471153,-28,-30,-36,-39,-46,-54,-36,-48,-53,-56,-56,-60,-61,-60,-200,-64,-67,-73,-200,-60,-74,-200,-77,-74,-200,-200,-77,-80,-91,-85,-80,-92,-70,-200,-69,-87,-90,-82,-200,-200,-90,-67,-83,-62,-87,-88,-200
1526455474179,-28,-33,-36,-38,-46,-50,-36,-46,-54,-55,-56,-60,-61,-56,-67,-70,-67,-69,-200,-63,-74,-200,-77,-73,-200,-200,-77,-80,-91,-88,-200,-88,-71,-200,-69,-87,-90,-82,-200,-200,-90,-66,-83,-63,-87,-88,-200
1526455477207,-28,-33,-36,-38,-46,-50,-36,-46,-54,-55,-56,-60,-61,-56,-67,-70,-67,-69,-200,-63,-74,-200,-77,-73,-200,-200,-77,-80,-91,-88,-200,-88,-71,-200,-69,-87,-90,-82,-200,-200,-90,-66,-83,-63,-87,-88,-200
1526455480229,-28,-33,-38,-38,-49,-48,-36,-46,-53,-54,-56,-60,-61,-58,-67,-70,-67,-69,-200,-64,-77,-200,-73,-74,-74,-200,-81,-80,-91,-88,-200,-88,-75,-200,-69,-87,-90,-82,-200,-200,-90,-66,-83,-63,-87,-88,-88
1526455483246,-28,-33,-38,-38,-49,-48,-36,-46,-53,-54,-56,-60,-61,-58,-67,-70,-67,-69,-200,-64,-77,-200,-73,-74,-74,-200,-81,-80,-91,-88,-200,-88,-75,-200,-69,-87,-90,-82,-200,-200,-90,-66,-83,-63,-87,-88,-88
