,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455278331,-29,-40,-41,-39,-42,-45,-41,-61,-48,-48,-43,-68,-60,-60,-66,-71,-66,-61,-68,-75,-82,-76,-73,-77,-79,-77,-85,-77,-90,-79,-80,-82,-200,-200,-49,-62,-84,-84
1526455281339,-29,-40,-41,-39,-42,-45,-41,-61,-48,-48,-43,-68,-60,-60,-66,-71,-66,-61,-68,-75,-82,-76,-73,-77,-79,-77,-85,-77,-90,-79,-80,-82,-200,-200,-49,-62,-84,-84
1526455284361,-26,-36,-41,-36,-43,-45,-41,-61,-45,-48,-46,-66,-64,-56,-66,-71,-66,-58,-68,-74,-82,-76,-73,-77,-87,-77,-85,-79,-90,-81,-79,-84,-200,-85,-48,-62,-84,-84
1526455287377,-26,-36,-41,-36,-43,-45,-41,-61,-45,-48,-46,-66,-64,-56,-66,-71,-66,-58,-68,-74,-82,-76,-73,-77,-87,-77,-85,-79,-90,-81,-79,-84,-200,-85,-48,-62,-84,-84
1526455290428,-30,-40,-38,-39,-42,-45,-40,-58,-44,-48,-46,-70,-64,-58,-66,-74,-67,-66,-200,-74,-90,-76,-72,-77,-87,-77,-85,-78,-90,-83,-79,-83,-200,-85,-56,-200,-84,-84
1526455293442,-30,-40,-38,-39,-42,-45,-40,-58,-44,-48,-46,-70,-64,-58,-66,-74,-67,-66,-200,-74,-90,-76,-72,-77,-87,-77,-85,-78,-90,-83,-79,-83,-200,-85,-56,-200,-84,-84
1526455296451,-30,-42,-42,-42,-45,-56,-40,-62,-44,-50,-43,-70,-63,-57,-65,-74,-67,-66,-63,-74,-84,-76,-72,-200,-87,-77,-85,-78,-90,-80,-79,-85,-200,-85,-56,-200,-84,-84
1526455299470,-30,-42,-42,-42,-45,-56,-40,-62,-44,-50,-43,-70,-63,-57,-65,-74,-67,-66,-63,-74,-84,-76,-72,-200,-87,-77,-85,-78,-90,-80,-79,-85,-200,-85,-56,-200,-200,-84
1526455302485,-26,-33,-36,-38,-44,-44,-46,-57,-50,-50,-46,-63,-64,-61,-68,-74,-63,-66,-63,-74,-84,-76,-72,-200,-87,-77,-80,-78,-90,-84,-79,-86,-200,-85,-52,-200,-200,-84
1526455305507,-26,-33,-36,-38,-44,-44,-46,-57,-50,-50,-46,-63,-64,-61,-68,-74,-63,-66,-63,-74,-84,-200,-72,-200,-87,-200,-80,-78,-200,-84,-79,-86,-200,-85,-52,-200,-200,-200
1526455308530,-29,-33,-37,-41,-54,-44,-38,-55,-46,-48,-46,-63,-63,-60,-68,-74,-62,-63,-63,-74,-80,-200,-72,-200,-87,-76,-80,-78,-200,-81,-79,-82,-200,-85,-52,-60,-200,-200
1526455311548,-29,-33,-37,-41,-54,-44,-38,-55,-46,-48,-46,-63,-63,-60,-68,-74,-62,-63,-63,-74,-80,-200,-72,-200,-87,-76,-80,-78,-200,-81,-79,-82,-200,-85,-52,-60,-200,-200
