,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526455510918,-36,-30,-44,-36,-43,-50,-42,-51,-51,-62,-61,-47,-59,-70,-69,-200,-200,-67,-67,-200,-83,-70,-77,-74,-66,-78,-79,-200,-200,-81,-200,-200,-200,-88,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455511423,-36,-30,-44,-36,-43,-50,-42,-51,-51,-62,-61,-47,-59,-70,-69,-200,-200,-67,-67,-200,-83,-70,-77,-74,-66,-78,-79,-200,-200,-81,-200,-200,-200,-88,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455513932,-36,-30,-41,-36,-42,-50,-48,-52,-51,-59,-62,-49,-59,-66,-69,-200,-67,-67,-67,-70,-82,-70,-77,-74,-66,-78,-86,-200,-200,-81,-200,-200,-200,-90,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455514429,-36,-30,-41,-36,-42,-50,-48,-52,-51,-61,-62,-49,-59,-66,-69,-200,-67,-67,-67,-70,-82,-70,-77,-200,-66,-78,-86,-200,-200,-81,-200,-200,-200,-90,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455516945,-33,-34,-40,-36,-42,-52,-48,-52,-51,-61,-60,-53,-59,-66,-69,-200,-67,-66,-75,-70,-80,-200,-77,-200,-64,-78,-86,-200,-200,-84,-200,-200,-200,-87,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455517446,-33,-34,-40,-36,-42,-52,-48,-52,-51,-64,-60,-53,-59,-66,-69,-200,-67,-66,-75,-70,-80,-200,-77,-200,-64,-78,-86,-200,-200,-84,-200,-200,-200,-87,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455519967,-33,-34,-40,-36,-42,-52,-48,-52,-51,-64,-60,-53,-59,-66,-69,-200,-67,-66,-75,-70,-80,-200,-77,-200,-64,-78,-86,-200,-200,-84,-200,-200,-200,-87,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455520465,-33,-34,-40,-36,-42,-52,-48,-52,-51,-64,-60,-53,-59,-66,-69,-200,-67,-66,-75,-70,-80,-200,-77,-200,-64,-78,-86,-200,-200,-84,-200,-200,-200,-87,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455522978,-31,-30,-42,-35,-38,-52,-52,-52,-49,-58,-66,-48,-59,-67,-66,-200,-61,-65,-70,-70,-87,-200,-78,-200,-66,-73,-82,-200,-87,-85,-200,-200,-200,-88,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455523485,-31,-30,-42,-35,-38,-52,-52,-52,-49,-58,-66,-48,-59,-67,-66,-200,-61,-65,-70,-70,-87,-200,-78,-200,-66,-73,-82,-200,-87,-85,-200,-200,-200,-88,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455526003,-49,-32,-38,-34,-36,-52,-48,-48,-49,-58,-66,-44,-61,-69,-66,-200,-65,-66,-70,-72,-83,-200,-78,-200,-66,-73,-82,-200,-87,-85,-90,-200,-200,-88,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526455526510,-49,-32,-38,-34,-36,-52,-48,-48,-49,-58,-66,-44,-61,-69,-66,-200,-65,-66,-70,-72,-83,-200,-78,-200,-66,-73,-82,-200,-87,-85,-90,-200,-200,-88,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526455529026,-49,-32,-38,-34,-36,-52,-48,-48,-49,-58,-66,-44,-61,-69,-66,-200,-65,-66,-70,-72,-83,-200,-78,-200,-66,-73,-82,-200,-87,-85,-90,-200,-200,-88,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526455529516,-49,-32,-38,-34,-36,-52,-48,-48,-49,-58,-66,-44,-61,-69,-66,-200,-65,-66,-70,-72,-83,-200,-78,-200,-66,-73,-82,-200,-87,-85,-90,-200,-200,-88,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526455532047,-43,-28,-38,-34,-37,-52,-50,-52,-52,-59,-66,-46,-60,-67,-66,-200,-65,-65,-70,-72,-75,-86,-78,-200,-67,-73,-87,-200,-87,-87,-90,-200,-200,-86,-200,-200,-200,-200,-200,-200,-76,-78,-90,-200,-200,-200,-200
1526455532524,-43,-28,-38,-34,-37,-52,-50,-52,-52,-61,-66,-46,-60,-67,-66,-200,-65,-65,-70,-72,-75,-86,-78,-200,-67,-73,-87,-200,-87,-87,-90,-200,-200,-86,-200,-200,-200,-200,-200,-200,-76,-78,-90,-200,-200,-200,-200
1526455535055,-47,-29,-38,-31,-36,-55,-50,-52,-52,-61,-64,-47,-60,-67,-70,-200,-65,-65,-69,-72,-74,-87,-78,-200,-70,-72,-87,-200,-87,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-200,-200,-200,-200
1526455535535,-47,-29,-38,-31,-36,-55,-50,-52,-52,-62,-64,-47,-60,-67,-70,-200,-65,-65,-69,-72,-74,-87,-78,-200,-70,-72,-87,-200,-87,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-200,-200,-200,-200
1526455538065,-47,-29,-38,-31,-36,-55,-50,-52,-52,-62,-64,-47,-60,-67,-70,-200,-65,-65,-69,-72,-74,-87,-78,-200,-70,-72,-87,-200,-87,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-200,-200,-200,-200
1526455538551,-47,-29,-38,-31,-36,-55,-50,-52,-52,-62,-64,-47,-60,-67,-70,-200,-65,-65,-69,-72,-74,-87,-78,-200,-70,-72,-87,-200,-87,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-200,-200,-200,-200
1526455541075,-43,-31,-39,-34,-36,-55,-49,-48,-52,-61,-64,-47,-60,-68,-72,-66,-65,-65,-69,-72,-74,-84,-78,-200,-66,-72,-87,-200,-87,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-81,-200,-200,-200
1526455541571,-43,-31,-39,-34,-36,-55,-49,-48,-52,-61,-64,-47,-60,-68,-72,-66,-65,-65,-69,-72,-74,-84,-78,-200,-66,-72,-87,-200,-87,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-81,-200,-200,-200
1526455544096,-42,-29,-39,-33,-34,-55,-49,-51,-52,-61,-65,-44,-60,-68,-74,-66,-65,-64,-70,-72,-72,-84,-83,-200,-66,-71,-87,-200,-200,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-81,-89,-200,-200
1526455544585,-42,-29,-39,-33,-34,-55,-49,-51,-52,-61,-65,-44,-60,-68,-74,-66,-65,-64,-70,-72,-72,-84,-83,-200,-66,-71,-87,-200,-200,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-81,-89,-200,-200
1526455547118,-42,-29,-39,-33,-34,-55,-49,-51,-52,-61,-65,-44,-60,-68,-74,-66,-65,-64,-70,-72,-72,-84,-83,-200,-66,-71,-87,-200,-200,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-81,-89,-200,-200
1526455547601,-42,-29,-39,-33,-34,-55,-49,-51,-52,-61,-65,-44,-60,-68,-74,-66,-65,-64,-70,-72,-72,-84,-83,-200,-66,-71,-87,-200,-200,-85,-90,-200,-200,-86,-200,-200,-200,-91,-200,-200,-76,-78,-90,-81,-89,-200,-200
1526455550141,-42,-27,-39,-37,-35,-55,-49,-48,-52,-61,-64,-44,-60,-66,-74,-64,-65,-69,-70,-72,-74,-84,-83,-200,-66,-67,-82,-200,-200,-85,-90,-200,-200,-87,-200,-200,-200,-91,-200,-200,-76,-78,-90,-81,-89,-87,-200
1526455550624,-42,-27,-39,-37,-35,-55,-49,-48,-52,-62,-64,-44,-60,-66,-74,-64,-200,-69,-70,-72,-74,-84,-83,-200,-66,-67,-82,-200,-200,-85,-200,-200,-200,-87,-200,-200,-200,-91,-200,-200,-76,-78,-90,-81,-89,-87,-200
1526455553168,-41,-27,-39,-39,-35,-55,-49,-48,-49,-62,-64,-43,-60,-70,-70,-64,-200,-64,-70,-200,-76,-84,-83,-200,-66,-68,-82,-200,-200,-89,-200,-200,-200,-89,-200,-200,-200,-91,-200,-200,-76,-200,-200,-81,-89,-87,-200
1526455553640,-41,-27,-39,-39,-35,-55,-49,-48,-49,-60,-64,-43,-60,-70,-70,-64,-200,-64,-70,-200,-76,-84,-83,-200,-66,-68,-82,-200,-200,-89,-200,-200,-200,-89,-200,-200,-200,-91,-200,-200,-76,-200,-200,-81,-89,-87,-200
1526455556189,-41,-27,-39,-39,-35,-55,-49,-48,-49,-60,-64,-43,-60,-70,-70,-64,-200,-64,-70,-200,-76,-84,-83,-200,-66,-68,-82,-200,-200,-89,-200,-200,-200,-89,-200,-200,-200,-91,-200,-200,-76,-200,-200,-81,-89,-87,-200
1526455556652,-41,-27,-39,-39,-35,-55,-49,-48,-49,-60,-64,-43,-60,-70,-70,-64,-200,-64,-70,-200,-76,-84,-83,-200,-66,-68,-82,-200,-200,-89,-200,-200,-200,-89,-200,-200,-200,-91,-200,-200,-76,-200,-200,-81,-89,-87,-200
1526455559199,-35,-28,-37,-38,-36,-55,-48,-51,-50,-62,-65,-47,-60,-69,-74,-64,-200,-68,-70,-200,-75,-84,-76,-200,-65,-73,-83,-84,-200,-86,-200,-200,-200,-88,-88,-200,-200,-91,-200,-200,-75,-200,-200,-81,-89,-87,-63
1526455559672,-35,-28,-37,-38,-36,-200,-48,-51,-50,-61,-65,-47,-60,-69,-74,-64,-200,-68,-70,-200,-75,-84,-76,-200,-65,-73,-83,-84,-200,-86,-200,-200,-200,-88,-88,-200,-200,-200,-200,-200,-75,-200,-200,-81,-89,-87,-63
