,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526446779250,-35,-39,-57,-43,-42,-50,-56,-42,-49,-40,-60,-62,-66,-62,-70,-66,-50,-72,-59,-54,-75,-67,-59,-68,-68,-77,-77,-71,-200,-71,-68,-69,-83,-200,-81,-200,-200,-76,-82,-77,-83,-80,-75,-82,-200,-84,-200,-200,-200,-82,-200,-84,-75,-78,-200,-200,-74,-81,-200,-78,-87,-84,-84,-86,-88,-85,-89,-78,-200,-200,-200,-200,-200,-200,-200
1526446782317,-39,-39,-52,-51,-42,-50,-60,-49,-53,-44,-58,-62,-69,-62,-70,-66,-50,-72,-54,-54,-76,-67,-60,-66,-78,-77,-78,-71,-200,-200,-68,-68,-81,-75,-200,-200,-200,-76,-76,-77,-82,-200,-75,-82,-200,-84,-200,-84,-90,-81,-200,-86,-75,-200,-200,-90,-71,-200,-200,-78,-200,-200,-84,-200,-88,-85,-89,-78,-200,-200,-200,-200,-200,-200,-200
1526446785378,-36,-37,-52,-50,-42,-54,-59,-43,-53,-44,-58,-62,-66,-62,-70,-65,-50,-72,-58,-54,-77,-67,-61,-68,-78,-77,-77,-68,-200,-70,-68,-67,-81,-75,-200,-200,-200,-76,-76,-77,-81,-82,-75,-82,-200,-84,-200,-84,-90,-81,-200,-86,-74,-200,-200,-90,-71,-200,-200,-78,-200,-200,-84,-200,-200,-83,-89,-78,-200,-200,-200,-200,-200,-200,-200
1526446788429,-38,-41,-51,-52,-42,-51,-59,-42,-53,-42,-58,-64,-67,-59,-70,-63,-53,-72,-58,-54,-77,-63,-64,-65,-74,-77,-77,-71,-200,-70,-67,-64,-81,-75,-200,-200,-85,-80,-76,-77,-81,-82,-200,-82,-73,-84,-200,-84,-85,-84,-200,-86,-74,-200,-200,-89,-72,-200,-200,-78,-200,-200,-84,-200,-200,-83,-89,-78,-200,-200,-200,-200,-200,-200,-200
1526446791480,-58,-40,-53,-52,-41,-51,-59,-51,-52,-40,-60,-64,-67,-56,-75,-64,-52,-77,-58,-54,-77,-65,-68,-66,-74,-77,-78,-73,-75,-70,-71,-64,-80,-75,-200,-200,-86,-76,-77,-77,-79,-82,-200,-82,-72,-84,-200,-84,-85,-84,-200,-84,-74,-89,-200,-89,-72,-80,-200,-78,-200,-200,-200,-200,-200,-83,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526446794547,-43,-43,-52,-44,-41,-45,-62,-47,-51,-40,-60,-64,-81,-57,-74,-64,-52,-77,-63,-54,-78,-64,-70,-65,-68,-76,-75,-73,-79,-70,-71,-64,-80,-75,-200,-200,-86,-76,-78,-81,-83,-82,-77,-200,-78,-200,-200,-84,-85,-84,-200,-83,-74,-89,-200,-89,-72,-79,-86,-200,-200,-200,-82,-83,-200,-87,-85,-200,-84,-200,-200,-200,-200,-200,-200
1526446797605,-38,-43,-54,-47,-40,-52,-61,-45,-49,-45,-64,-68,-71,-60,-72,-64,-53,-77,-63,-54,-74,-64,-71,-65,-71,-76,-76,-69,-79,-70,-71,-64,-81,-200,-83,-200,-86,-78,-78,-81,-78,-82,-78,-200,-78,-200,-69,-85,-85,-84,-200,-82,-74,-79,-200,-89,-72,-79,-86,-200,-200,-200,-82,-83,-200,-87,-85,-200,-88,-200,-200,-200,-200,-200,-200
1526446800657,-31,-39,-49,-43,-40,-52,-62,-45,-55,-45,-62,-70,-68,-56,-72,-73,-56,-77,-59,-54,-73,-70,-70,-67,-70,-74,-76,-69,-79,-70,-73,-64,-81,-75,-83,-200,-90,-77,-74,-79,-81,-200,-78,-200,-78,-200,-69,-85,-85,-84,-200,-82,-77,-79,-200,-89,-68,-79,-86,-200,-200,-200,-82,-80,-90,-87,-85,-200,-88,-82,-89,-200,-200,-200,-200
1526446803718,-31,-39,-50,-44,-36,-54,-62,-47,-64,-47,-66,-73,-68,-53,-71,-73,-56,-71,-59,-71,-73,-65,-74,-64,-69,-74,-78,-69,-79,-70,-69,-200,-81,-75,-83,-200,-90,-81,-74,-79,-78,-200,-80,-78,-78,-86,-69,-85,-200,-79,-200,-80,-77,-79,-84,-200,-68,-79,-86,-200,-200,-200,-82,-80,-90,-87,-85,-200,-88,-82,-89,-80,-87,-200,-200
1526446806789,-33,-43,-46,-44,-59,-57,-63,-49,-56,-55,-65,-71,-71,-54,-70,-73,-55,-66,-59,-68,-74,-65,-74,-67,-77,-74,-79,-75,-79,-200,-69,-73,-81,-75,-83,-200,-90,-81,-74,-79,-78,-200,-80,-78,-79,-86,-69,-85,-200,-78,-200,-80,-78,-79,-84,-200,-71,-79,-86,-200,-200,-200,-82,-80,-90,-87,-85,-200,-88,-81,-89,-80,-87,-87,-200
1526446809870,-33,-41,-49,-41,-44,-56,-57,-49,-53,-46,-64,-71,-71,-52,-71,-72,-57,-66,-59,-71,-78,-65,-72,-67,-67,-74,-80,-75,-200,-67,-70,-70,-81,-78,-83,-200,-90,-80,-73,-81,-79,-200,-80,-73,-79,-86,-69,-85,-200,-78,-200,-81,-78,-80,-84,-84,-71,-200,-86,-200,-200,-200,-200,-80,-90,-200,-200,-200,-88,-81,-89,-80,-87,-87,-90
1526446812933,-30,-41,-48,-40,-40,-54,-58,-50,-51,-46,-65,-70,-72,-52,-70,-73,-58,-67,-61,-65,-79,-70,-72,-67,-66,-74,-80,-71,-81,-67,-70,-68,-83,-76,-200,-200,-86,-80,-84,-80,-77,-200,-80,-74,-79,-86,-69,-200,-83,-78,-200,-81,-78,-80,-84,-83,-68,-200,-200,-200,-200,-200,-200,-80,-90,-200,-200,-79,-200,-81,-86,-80,-87,-87,-90
