,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018
1526446388527,-35,-65,-53,-57,-72,-45,-42,-49,-69,-56,-85,-54,-200,-61,-52,-72,-55,-75,-64,-71,-69,-76,-200,-77,-71,-76,-67,-80,-89,-85,-75,-74,-72,-82,-80,-82,-200,-200,-200,-82,-200,-85,-200,-90,-76,-200,-87,-80,-200,-89,-200,-200,-82,-200,-200,-75,-200,-83,-200,-73,-200,-200,-87,-81,-87,-88,-91,-200,-200,-200,-200
1526446391597,-39,-57,-53,-63,-67,-42,-43,-54,-70,-61,-85,-49,-64,-61,-49,-72,-64,-72,-63,-73,-69,-71,-78,-77,-72,-76,-65,-80,-89,-200,-75,-73,-72,-83,-200,-82,-200,-200,-200,-82,-200,-200,-91,-90,-77,-200,-87,-80,-91,-89,-200,-200,-82,-85,-200,-75,-200,-83,-200,-71,-200,-200,-87,-81,-87,-88,-91,-200,-200,-200,-200
1526446394646,-39,-57,-54,-61,-73,-44,-42,-52,-69,-61,-200,-49,-67,-62,-49,-72,-60,-72,-63,-73,-70,-74,-77,-77,-75,-74,-64,-80,-79,-200,-75,-72,-72,-82,-200,-80,-200,-200,-200,-75,-200,-200,-91,-90,-76,-200,-84,-80,-91,-200,-200,-200,-82,-85,-200,-75,-200,-83,-200,-75,-200,-200,-200,-81,-87,-88,-91,-200,-200,-200,-200
1526446397690,-35,-60,-54,-58,-66,-47,-44,-53,-69,-59,-82,-53,-67,-62,-51,-72,-60,-75,-64,-72,-70,-74,-75,-69,-75,-74,-63,-80,-78,-200,-73,-72,-72,-82,-200,-80,-200,-200,-200,-75,-200,-84,-91,-90,-75,-200,-84,-81,-91,-200,-200,-200,-82,-85,-200,-75,-200,-84,-200,-75,-200,-200,-200,-200,-86,-200,-200,-91,-200,-200,-200
1526446400743,-53,-58,-52,-57,-67,-47,-45,-53,-67,-57,-82,-48,-67,-62,-51,-72,-60,-71,-63,-72,-70,-74,-75,-69,-75,-74,-66,-80,-78,-200,-75,-72,-71,-82,-200,-80,-200,-200,-200,-75,-200,-84,-91,-90,-75,-200,-85,-81,-91,-200,-200,-200,-86,-85,-200,-75,-200,-83,-200,-75,-200,-86,-200,-200,-86,-200,-200,-91,-88,-92,-200
1526446403803,-39,-65,-58,-59,-69,-47,-44,-53,-67,-56,-83,-50,-67,-60,-51,-72,-60,-72,-63,-68,-70,-72,-75,-69,-75,-75,-65,-81,-78,-200,-75,-72,-71,-82,-82,-80,-200,-200,-200,-76,-200,-84,-91,-200,-74,-200,-85,-79,-91,-83,-200,-200,-86,-85,-200,-200,-200,-83,-200,-75,-200,-86,-200,-200,-86,-200,-200,-91,-88,-92,-200
1526446406858,-39,-61,-58,-59,-69,-48,-47,-50,-67,-57,-83,-53,-70,-64,-50,-71,-59,-70,-63,-72,-69,-72,-76,-69,-75,-76,-65,-79,-78,-200,-75,-72,-70,-83,-81,-80,-200,-200,-200,-83,-200,-84,-200,-89,-74,-89,-85,-79,-200,-84,-200,-200,-85,-200,-200,-76,-200,-83,-200,-75,-200,-86,-200,-200,-86,-200,-200,-91,-88,-92,-200
1526446409915,-34,-61,-57,-59,-73,-44,-43,-49,-67,-61,-83,-49,-70,-66,-50,-73,-57,-78,-63,-73,-69,-72,-76,-69,-71,-76,-66,-81,-78,-72,-75,-73,-70,-83,-81,-81,-200,-200,-200,-83,-200,-84,-200,-89,-76,-89,-86,-80,-200,-84,-200,-200,-83,-200,-200,-76,-200,-83,-200,-74,-200,-86,-200,-79,-86,-200,-200,-91,-88,-92,-200
1526446412970,-37,-65,-54,-59,-71,-47,-43,-52,-65,-57,-83,-52,-70,-61,-51,-73,-61,-70,-62,-73,-71,-72,-76,-65,-71,-76,-66,-81,-78,-72,-73,-73,-70,-82,-81,-81,-88,-200,-200,-83,-200,-200,-89,-90,-76,-89,-86,-80,-200,-84,-200,-200,-83,-200,-200,-76,-200,-83,-200,-75,-200,-86,-200,-79,-86,-200,-200,-200,-88,-92,-200
1526446416030,-33,-62,-53,-60,-71,-45,-45,-49,-68,-57,-83,-52,-70,-63,-58,-70,-61,-70,-62,-73,-71,-73,-76,-65,-83,-76,-66,-82,-81,-72,-75,-72,-74,-82,-86,-81,-88,-200,-200,-83,-200,-200,-89,-90,-75,-89,-85,-80,-200,-84,-200,-200,-83,-200,-200,-76,-200,-200,-200,-76,-200,-86,-200,-79,-200,-200,-200,-200,-87,-200,-200
1526446419068,-34,-62,-52,-61,-68,-47,-45,-49,-68,-57,-200,-49,-68,-60,-52,-70,-62,-70,-65,-73,-71,-73,-75,-67,-83,-76,-67,-80,-81,-73,-74,-72,-71,-82,-82,-81,-88,-200,-200,-78,-200,-200,-89,-90,-75,-89,-85,-80,-200,-86,-200,-200,-83,-200,-200,-75,-200,-200,-200,-76,-200,-86,-200,-79,-200,-200,-200,-200,-87,-200,-200
1526446422113,-30,-62,-60,-58,-68,-48,-44,-53,-72,-58,-83,-53,-68,-60,-49,-70,-66,-72,-65,-73,-71,-73,-75,-67,-83,-76,-67,-80,-81,-73,-74,-73,-73,-82,-84,-81,-88,-200,-200,-78,-200,-200,-89,-90,-76,-200,-85,-80,-200,-86,-200,-200,-83,-200,-200,-75,-200,-80,-200,-76,-200,-86,-87,-79,-200,-200,-200,-200,-87,-200,-93
