,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526465473966,-40,-27,-35,-35,-53,-45,-52,-44,-45,-47,-59,-63,-64,-63,-75,-66,-75,-200,-66,-56,-57,-64,-74,-59,-73,-73,-86,-69,-72,-76,-66,-58,-71,-68,-200,-200,-75,-80,-81,-87,-81,-86,-58,-86,-79,-200,-83,-77,-82,-79,-200,-200,-89,-86,-87,-88,-200,-88,-200,-83,-200,-91,-85,-200,-88,-80,-200,-86,-200,-200,-200,-200,-91,-200,-200,-200,-83,-91,-89,-200,-200,-200,-86,-200,-90,-90,-82,-200,-200,-200,-200,-200,-200,-200
1526465477004,-38,-24,-36,-38,-57,-47,-52,-41,-44,-49,-60,-63,-63,-61,-75,-66,-75,-200,-64,-56,-57,-66,-73,-57,-66,-76,-87,-69,-72,-74,-71,-58,-71,-68,-200,-200,-75,-80,-81,-90,-80,-86,-60,-89,-80,-200,-83,-77,-82,-77,-200,-200,-90,-87,-87,-88,-200,-88,-200,-85,-200,-91,-84,-200,-88,-82,-90,-82,-200,-200,-200,-200,-91,-200,-200,-200,-82,-91,-89,-200,-200,-200,-84,-200,-89,-90,-82,-85,-200,-200,-200,-200,-200,-200
1526465480042,-40,-28,-40,-34,-52,-47,-57,-43,-45,-54,-59,-61,-61,-63,-73,-65,-74,-73,-66,-56,-59,-66,-75,-58,-67,-73,-89,-68,-200,-75,-70,-60,-69,-69,-200,-200,-76,-82,-82,-90,-82,-88,-58,-80,-79,-200,-81,-77,-82,-77,-200,-200,-90,-87,-87,-88,-200,-200,-200,-83,-200,-200,-82,-200,-90,-80,-90,-85,-200,-200,-200,-200,-91,-200,-200,-200,-76,-91,-89,-200,-200,-200,-85,-90,-89,-200,-82,-85,-200,-200,-200,-200,-200,-200
1526465483073,-42,-25,-40,-36,-58,-46,-56,-41,-45,-55,-60,-59,-62,-63,-82,-62,-75,-73,-64,-56,-59,-74,-76,-63,-76,-76,-89,-69,-73,-76,-71,-57,-70,-70,-200,-200,-77,-82,-82,-90,-82,-88,-59,-82,-79,-81,-82,-89,-74,-77,-90,-200,-90,-89,-87,-89,-200,-91,-200,-83,-200,-86,-82,-200,-90,-80,-90,-84,-200,-200,-200,-200,-91,-200,-200,-200,-76,-91,-88,-200,-200,-200,-85,-90,-87,-89,-82,-85,-200,-200,-200,-200,-200,-200
1526465486089,-41,-27,-35,-33,-47,-47,-53,-42,-45,-48,-66,-59,-62,-66,-78,-65,-73,-70,-65,-61,-56,-60,-77,-60,-76,-76,-88,-69,-74,-80,-56,-58,-72,-67,-200,-200,-72,-77,-83,-86,-80,-88,-58,-83,-82,-84,-81,-74,-81,-77,-89,-85,-89,-88,-85,-85,-200,-88,-88,-81,-200,-86,-85,-89,-89,-81,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-70,-90,-88,-200,-86,-90,-86,-92,-87,-89,-200,-200,-87,-200,-200,-200,-200,-200
1526465489137,-42,-27,-35,-34,-50,-46,-55,-42,-44,-47,-53,-59,-65,-71,-71,-66,-75,-70,-64,-61,-55,-59,-71,-58,-67,-76,-88,-70,-74,-80,-69,-59,-69,-68,-83,-200,-78,-81,-82,-89,-80,-200,-59,-83,-82,-84,-78,-74,-81,-78,-89,-85,-89,-88,-85,-85,-200,-88,-88,-81,-200,-86,-82,-89,-91,-79,-200,-83,-200,-200,-200,-200,-91,-200,-200,-200,-75,-90,-88,-200,-91,-90,-86,-92,-87,-89,-81,-200,-87,-200,-200,-200,-200,-200
1526465492176,-39,-26,-33,-34,-51,-45,-53,-44,-46,-46,-53,-59,-62,-65,-70,-65,-67,-70,-63,-57,-52,-62,-72,-58,-87,-74,-88,-67,-74,-76,-70,-59,-70,-65,-83,-78,-74,-81,-82,-85,-84,-200,-65,-80,-80,-84,-78,-74,-80,-90,-89,-85,-89,-88,-85,-85,-200,-88,-88,-84,-88,-200,-82,-89,-91,-79,-200,-85,-200,-200,-200,-200,-91,-200,-200,-200,-75,-90,-85,-200,-91,-89,-86,-92,-200,-89,-82,-200,-87,-87,-87,-200,-200,-200
1526465495225,-39,-28,-35,-35,-50,-49,-55,-42,-45,-53,-60,-61,-64,-62,-80,-65,-67,-83,-64,-60,-56,-64,-76,-61,-74,-72,-90,-70,-74,-77,-72,-60,-70,-70,-83,-78,-74,-83,-82,-87,-81,-200,-65,-80,-80,-85,-78,-84,-80,-90,-200,-85,-89,-88,-85,-85,-200,-88,-88,-84,-88,-200,-82,-89,-91,-79,-90,-87,-200,-200,-200,-200,-91,-200,-200,-200,-75,-93,-89,-200,-91,-89,-86,-92,-200,-89,-82,-200,-87,-87,-92,-200,-200,-200
1526465498275,-41,-27,-40,-35,-49,-47,-55,-40,-42,-46,-59,-61,-63,-72,-73,-66,-75,-83,-63,-61,-54,-61,-76,-62,-71,-77,-87,-70,-74,-74,-68,-58,-71,-67,-83,-78,-72,-83,-81,-89,-82,-200,-59,-80,-79,-83,-79,-88,-79,-90,-200,-200,-200,-88,-200,-91,-200,-200,-200,-82,-88,-200,-83,-89,-91,-79,-90,-80,-200,-200,-200,-200,-91,-200,-200,-200,-80,-93,-89,-200,-91,-89,-200,-200,-200,-89,-80,-85,-200,-87,-92,-88,-200,-200
1526465501316,-40,-25,-40,-36,-50,-47,-56,-39,-46,-56,-56,-59,-65,-61,-73,-66,-76,-83,-63,-61,-58,-55,-76,-59,-67,-89,-87,-69,-74,-79,-72,-57,-68,-72,-83,-78,-71,-83,-85,-89,-82,-85,-57,-86,-83,-83,-65,-78,-81,-90,-200,-200,-90,-92,-200,-87,-200,-200,-200,-81,-88,-200,-81,-200,-200,-81,-90,-82,-200,-200,-200,-200,-200,-91,-200,-200,-77,-93,-89,-200,-200,-89,-200,-200,-200,-89,-82,-85,-200,-87,-92,-88,-200,-200
1526465504359,-37,-25,-36,-34,-48,-45,-52,-41,-45,-47,-55,-60,-62,-71,-81,-66,-76,-72,-63,-55,-59,-65,-76,-62,-76,-79,-87,-70,-74,-77,-69,-57,-71,-69,-80,-200,-77,-81,-82,-89,-82,-86,-57,-82,-81,-79,-80,-85,-85,-200,-200,-200,-90,-92,-200,-87,-200,-200,-200,-80,-200,-200,-83,-200,-200,-79,-90,-84,-200,-200,-200,-200,-200,-91,-200,-200,-76,-92,-90,-200,-200,-90,-85,-200,-89,-200,-82,-85,-200,-200,-92,-88,-91,-200
1526465507397,-41,-26,-34,-34,-51,-46,-56,-42,-44,-51,-66,-60,-63,-66,-81,-66,-75,-72,-65,-55,-59,-61,-76,-60,-73,-75,-83,-69,-74,-78,-70,-56,-71,-68,-80,-200,-73,-81,-82,-89,-82,-86,-57,-83,-80,-79,-80,-85,-83,-79,-200,-200,-90,-89,-200,-87,-200,-89,-200,-82,-200,-200,-83,-200,-200,-79,-200,-82,-200,-200,-200,-200,-200,-91,-200,-200,-75,-92,-90,-200,-200,-90,-85,-200,-90,-89,-82,-85,-200,-88,-200,-88,-91,-81
