,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A58,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro_5GHz
1526465399427,-40,-43,-42,-40,-46,-79,-46,-72,-31,-79,-42,-59,-200,-40,-81,-70,-63,-56,-50,-55,-76,-48,-200,-200,-44,-66,-87,-74,-57,-72,-52,-91,-61,-200,-70,-85,-75,-200,-72,-66,-59,-86,-63,-75,-72,-63,-74,-77,-88,-78,-72,-65,-60,-200,-84,-200,-75,-80,-89,-200,-200,-200,-73,-200,-78,-68,-85,-200,-200,-85,-89,-200,-200,-92,-78,-92,-87,-200,-200,-200,-86,-79,-200,-200,-200,-85,-200,-200,-83,-200,-88,-200,-80,-200,-87,-84,-200,-200,-69,-84,-200,-84,-200,-80,-200,-200,-86,-200,-200,-86,-200,-91,-83,-90,-91,-200,-200,-200,-200
1526465402470,-47,-43,-39,-45,-49,-71,-47,-67,-36,-79,-41,-61,-200,-45,-79,-71,-65,-54,-50,-57,-78,-47,-200,-200,-43,-66,-87,-77,-58,-75,-55,-93,-61,-200,-71,-85,-76,-200,-72,-66,-57,-87,-63,-77,-67,-61,-74,-76,-86,-78,-69,-66,-63,-200,-83,-200,-76,-80,-89,-200,-200,-200,-73,-200,-77,-67,-86,-200,-200,-88,-89,-200,-200,-92,-79,-89,-87,-200,-200,-200,-84,-79,-200,-200,-200,-88,-200,-200,-83,-200,-91,-200,-80,-200,-83,-81,-200,-200,-70,-84,-200,-84,-200,-200,-90,-75,-86,-200,-85,-85,-200,-90,-83,-90,-91,-200,-200,-200,-200
1526465405507,-40,-44,-43,-43,-48,-71,-46,-71,-37,-79,-43,-62,-200,-45,-81,-71,-73,-54,-50,-56,-79,-48,-200,-200,-46,-66,-87,-72,-58,-77,-57,-93,-60,-200,-71,-200,-76,-200,-71,-66,-57,-83,-62,-77,-67,-62,-74,-76,-86,-78,-71,-65,-64,-200,-83,-200,-75,-80,-89,-200,-200,-200,-72,-200,-78,-68,-82,-200,-200,-85,-89,-200,-200,-200,-76,-89,-87,-200,-200,-200,-84,-200,-200,-200,-200,-88,-200,-200,-83,-88,-90,-200,-80,-200,-83,-81,-200,-200,-70,-200,-200,-84,-200,-200,-90,-75,-86,-200,-85,-85,-200,-90,-200,-90,-91,-200,-200,-200,-200
1526465408544,-39,-43,-37,-42,-49,-71,-46,-68,-36,-79,-42,-64,-200,-44,-80,-68,-62,-55,-50,-55,-72,-48,-200,-200,-42,-71,-86,-74,-58,-76,-55,-93,-61,-200,-66,-200,-74,-200,-71,-65,-58,-83,-63,-68,-66,-63,-74,-76,-86,-78,-71,-65,-64,-200,-84,-200,-72,-81,-89,-200,-200,-200,-72,-200,-78,-68,-85,-200,-200,-85,-89,-200,-200,-91,-76,-89,-87,-89,-200,-200,-84,-80,-200,-200,-200,-88,-200,-200,-87,-88,-90,-200,-80,-200,-83,-81,-200,-200,-70,-200,-200,-200,-200,-200,-90,-75,-200,-200,-85,-85,-79,-90,-200,-90,-91,-200,-200,-200,-200
1526465411590,-39,-43,-38,-53,-47,-71,-45,-72,-30,-82,-38,-61,-200,-43,-79,-62,-67,-54,-50,-55,-77,-48,-200,-200,-44,-71,-86,-76,-57,-75,-56,-91,-60,-200,-68,-200,-77,-200,-71,-53,-60,-79,-63,-70,-70,-66,-74,-76,-86,-77,-71,-65,-62,-200,-83,-200,-74,-80,-87,-200,-200,-200,-73,-200,-77,-67,-85,-200,-200,-85,-200,-200,-200,-91,-77,-89,-200,-89,-200,-200,-80,-79,-200,-200,-200,-88,-200,-200,-87,-89,-90,-200,-81,-200,-84,-81,-200,-200,-71,-200,-91,-200,-200,-200,-90,-78,-200,-200,-85,-84,-76,-90,-200,-200,-200,-200,-200,-200,-200
1526465414631,-34,-42,-40,-43,-48,-200,-50,-71,-32,-80,-40,-61,-86,-42,-79,-74,-62,-54,-50,-48,-78,-48,-200,-200,-46,-69,-87,-76,-59,-74,-53,-92,-57,-200,-68,-200,-78,-200,-71,-68,-58,-79,-62,-74,-66,-70,-60,-71,-200,-77,-71,-63,-59,-200,-85,-200,-73,-80,-87,-200,-200,-200,-71,-200,-74,-66,-85,-200,-200,-88,-200,-200,-200,-91,-77,-200,-200,-89,-200,-200,-82,-79,-200,-200,-200,-200,-200,-200,-87,-89,-90,-200,-78,-200,-84,-83,-200,-200,-71,-200,-91,-200,-200,-200,-90,-78,-200,-200,-200,-84,-76,-200,-200,-200,-200,-90,-200,-200,-200
1526465417647,-33,-40,-44,-43,-47,-200,-46,-57,-30,-80,-45,-66,-86,-43,-80,-65,-63,-54,-53,-56,-78,-48,-200,-200,-44,-68,-89,-76,-57,-74,-55,-92,-64,-200,-68,-200,-79,-200,-73,-53,-59,-83,-63,-74,-73,-67,-71,-71,-200,-79,-69,-65,-62,-200,-83,-200,-73,-80,-87,-200,-200,-200,-72,-200,-76,-67,-85,-200,-200,-88,-200,-200,-200,-91,-77,-200,-200,-89,-200,-200,-82,-79,-200,-200,-200,-85,-200,-200,-87,-88,-200,-200,-79,-200,-84,-83,-200,-200,-71,-200,-88,-200,-200,-200,-90,-78,-200,-200,-200,-84,-74,-200,-200,-200,-200,-90,-200,-200,-200
1526465420689,-36,-44,-42,-43,-47,-80,-50,-69,-30,-78,-43,-63,-86,-43,-60,-68,-63,-53,-46,-53,-77,-46,-200,-200,-43,-70,-87,-74,-57,-73,-54,-92,-61,-200,-68,-200,-79,-200,-69,-63,-57,-80,-63,-73,-66,-63,-71,-66,-200,-79,-70,-66,-61,-200,-83,-200,-73,-79,-87,-200,-83,-200,-73,-200,-76,-67,-87,-200,-200,-88,-200,-200,-200,-91,-75,-200,-200,-89,-200,-200,-82,-54,-200,-200,-200,-83,-200,-87,-200,-90,-200,-200,-79,-200,-84,-83,-200,-200,-71,-200,-88,-200,-200,-200,-90,-78,-200,-200,-200,-84,-73,-200,-200,-200,-200,-90,-89,-200,-200
1526465423704,-33,-41,-45,-53,-48,-76,-48,-56,-29,-76,-40,-57,-84,-38,-79,-67,-64,-49,-52,-53,-77,-48,-200,-76,-45,-69,-87,-75,-57,-70,-53,-90,-61,-200,-69,-200,-75,-200,-69,-60,-56,-82,-63,-74,-78,-62,-71,-68,-200,-76,-73,-66,-61,-200,-83,-200,-74,-79,-85,-200,-83,-200,-72,-200,-75,-67,-84,-200,-200,-85,-88,-200,-200,-91,-73,-200,-200,-200,-200,-200,-84,-54,-200,-200,-200,-85,-200,-87,-200,-90,-200,-200,-78,-200,-85,-85,-200,-200,-68,-200,-85,-200,-200,-200,-90,-79,-200,-200,-86,-83,-75,-200,-200,-200,-200,-92,-89,-90,-200
1526465426749,-32,-42,-40,-43,-48,-76,-47,-52,-31,-79,-41,-58,-84,-43,-81,-67,-64,-51,-53,-46,-76,-47,-200,-76,-44,-69,-86,-78,-58,-74,-54,-90,-62,-200,-69,-200,-75,-200,-69,-63,-59,-82,-64,-74,-64,-62,-72,-76,-200,-77,-70,-66,-61,-200,-84,-200,-74,-78,-85,-200,-83,-200,-72,-200,-79,-67,-86,-200,-200,-89,-88,-200,-200,-91,-80,-200,-200,-200,-200,-200,-90,-77,-200,-200,-200,-85,-200,-87,-200,-85,-89,-200,-78,-87,-85,-82,-200,-200,-70,-200,-85,-200,-200,-200,-86,-79,-200,-200,-86,-83,-74,-200,-200,-200,-200,-92,-89,-90,-200
1526465429794,-36,-40,-42,-44,-49,-76,-46,-71,-37,-82,-40,-56,-84,-42,-81,-68,-60,-51,-52,-55,-76,-48,-200,-76,-45,-69,-86,-78,-57,-74,-55,-90,-61,-200,-67,-200,-75,-200,-78,-63,-62,-87,-63,-74,-67,-62,-72,-76,-83,-77,-69,-68,-60,-200,-83,-200,-74,-80,-85,-200,-200,-200,-72,-200,-77,-66,-92,-200,-200,-85,-87,-200,-200,-200,-80,-91,-200,-200,-200,-200,-90,-77,-200,-200,-200,-85,-200,-200,-200,-85,-89,-200,-78,-87,-85,-81,-200,-200,-70,-75,-85,-200,-200,-83,-86,-79,-200,-200,-86,-83,-74,-200,-200,-200,-200,-92,-200,-90,-92
1526465432828,-39,-43,-39,-45,-47,-76,-49,-70,-32,-82,-43,-65,-200,-47,-82,-70,-69,-54,-52,-54,-76,-48,-200,-76,-41,-70,-87,-77,-58,-67,-53,-90,-60,-200,-67,-200,-74,-200,-70,-56,-63,-87,-63,-74,-65,-64,-72,-76,-83,-77,-69,-67,-60,-200,-85,-200,-76,-80,-85,-200,-200,-200,-72,-200,-76,-66,-84,-200,-200,-88,-87,-200,-200,-200,-75,-91,-200,-89,-200,-200,-90,-77,-200,-200,-200,-85,-200,-200,-200,-83,-90,-200,-78,-87,-86,-81,-200,-200,-76,-76,-91,-200,-200,-77,-86,-79,-200,-200,-86,-84,-74,-200,-200,-200,-200,-92,-200,-90,-92
