,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526466021295,-57,-46,-68,-59,-55,-65,-55,-69,-70,-76,-73,-72,-69,-74,-86,-66,-72,-78,-79,-87,-76,-77,-75,-73,-83,-81,-200,-200,-78,-82,-82,-84,-82,-200,-88,-200,-91,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-76,-78,-83,-200,-88,-89,-82,-82,-200,-200,-200
1526466024342,-57,-46,-68,-59,-55,-65,-55,-69,-70,-76,-73,-72,-69,-74,-86,-66,-72,-78,-79,-87,-76,-77,-75,-73,-83,-81,-200,-200,-78,-82,-82,-84,-82,-200,-88,-200,-91,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-76,-78,-83,-200,-88,-89,-82,-82,-200,-200,-200
1526466027386,-57,-46,-68,-59,-55,-65,-55,-69,-70,-76,-73,-72,-69,-74,-86,-66,-72,-78,-79,-87,-76,-77,-75,-73,-83,-81,-200,-200,-78,-82,-82,-84,-82,-200,-88,-200,-91,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-76,-78,-83,-200,-88,-89,-82,-82,-200,-200,-200
1526466030422,-48,-46,-64,-57,-58,-65,-57,-71,-64,-74,-73,-71,-68,-75,-78,-66,-71,-76,-200,-200,-76,-73,-73,-72,-200,-79,-78,-200,-79,-79,-79,-200,-82,-200,-200,-200,-84,-200,-200,-87,-200,-200,-90,-89,-200,-200,-200,-200,-78,-83,-200,-88,-90,-84,-82,-84,-200,-200
1526466033456,-48,-45,-61,-58,-63,-74,-57,-71,-67,-74,-73,-71,-67,-72,-80,-66,-71,-80,-79,-89,-77,-73,-73,-74,-200,-79,-78,-200,-81,-79,-77,-200,-82,-200,-200,-200,-86,-200,-200,-87,-200,-200,-90,-89,-200,-200,-200,-200,-79,-82,-83,-86,-87,-84,-82,-84,-91,-200
1526466036474,-48,-45,-61,-58,-63,-74,-57,-71,-67,-74,-73,-71,-67,-72,-80,-66,-71,-80,-79,-89,-77,-73,-73,-74,-200,-79,-78,-200,-81,-79,-77,-200,-82,-200,-200,-200,-86,-200,-200,-87,-200,-200,-90,-89,-200,-200,-200,-200,-79,-82,-83,-86,-87,-84,-82,-84,-91,-200
1526466039528,-48,-45,-61,-58,-63,-74,-57,-71,-67,-74,-73,-71,-67,-72,-80,-66,-71,-80,-79,-89,-77,-73,-73,-74,-200,-79,-78,-200,-81,-79,-77,-200,-82,-200,-200,-200,-86,-200,-200,-87,-200,-200,-90,-89,-200,-200,-200,-200,-79,-82,-83,-86,-87,-84,-82,-84,-91,-200
1526466042578,-48,-45,-64,-58,-54,-68,-57,-71,-66,-79,-74,-72,-69,-72,-79,-68,-68,-79,-81,-89,-77,-80,-200,-74,-200,-79,-200,-200,-81,-79,-76,-200,-200,-200,-200,-200,-84,-200,-200,-89,-200,-200,-200,-200,-92,-200,-200,-80,-79,-82,-83,-86,-86,-200,-200,-200,-91,-92
1526466045616,-59,-57,-75,-71,-65,-75,-68,-71,-78,-79,-74,-72,-69,-72,-79,-77,-79,-79,-81,-89,-77,-80,-200,-74,-200,-79,-200,-200,-81,-79,-76,-200,-200,-200,-200,-200,-84,-200,-200,-89,-200,-200,-200,-200,-92,-200,-200,-80,-79,-82,-83,-86,-86,-200,-200,-200,-91,-92
1526466048656,-59,-57,-75,-71,-65,-75,-68,-71,-78,-79,-74,-72,-69,-72,-79,-77,-79,-79,-81,-89,-77,-80,-200,-74,-200,-79,-200,-200,-81,-79,-76,-200,-200,-200,-200,-200,-84,-200,-200,-89,-200,-200,-200,-200,-92,-200,-200,-80,-79,-82,-83,-86,-86,-200,-200,-200,-91,-92
1526466051700,-59,-57,-75,-71,-65,-75,-68,-71,-78,-79,-74,-72,-69,-72,-79,-77,-79,-79,-81,-89,-77,-80,-200,-74,-200,-79,-200,-200,-81,-79,-76,-200,-200,-200,-200,-200,-84,-200,-200,-89,-200,-200,-200,-200,-92,-200,-200,-80,-79,-82,-83,-86,-86,-200,-200,-200,-91,-92
1526466054742,-48,-45,-67,-59,-60,-66,-57,-73,-68,-78,-74,-74,-73,-73,-200,-69,-71,-200,-200,-200,-80,-75,-72,-71,-200,-77,-82,-200,-79,-88,-76,-200,-83,-89,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-87,-84,-200,-200,-200,-200
