,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,DQKJ,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526465798507,-50,-49,-51,-56,-61,-58,-66,-59,-64,-62,-59,-60,-60,-66,-62,-71,-68,-200,-70,-64,-70,-72,-70,-69,-75,-75,-69,-81,-200,-74,-79,-200,-75,-78,-75,-69,-200,-83,-88,-82,-200,-83,-73,-80,-200,-200,-200,-200,-67,-73,-72,-75,-75,-83,-84,-87,-83,-88,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526465801554,-50,-49,-51,-56,-61,-58,-66,-59,-64,-62,-59,-60,-60,-66,-62,-71,-68,-200,-70,-64,-70,-72,-70,-69,-75,-75,-69,-81,-200,-74,-79,-200,-75,-78,-75,-69,-200,-83,-88,-82,-200,-83,-73,-80,-200,-200,-200,-200,-67,-73,-72,-75,-75,-83,-84,-87,-83,-88,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526465804603,-50,-49,-51,-56,-61,-58,-66,-59,-64,-62,-59,-60,-60,-66,-62,-71,-68,-200,-70,-64,-70,-72,-70,-69,-75,-75,-69,-81,-200,-74,-79,-200,-75,-78,-75,-69,-200,-83,-88,-82,-200,-83,-73,-80,-200,-200,-200,-200,-67,-73,-72,-75,-75,-83,-84,-87,-83,-88,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526465807645,-49,-50,-50,-59,-61,-58,-66,-61,-63,-64,-59,-65,-61,-66,-200,-71,-67,-67,-70,-64,-68,-73,-70,-69,-200,-76,-68,-200,-73,-200,-79,-200,-75,-76,-75,-70,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-87,-67,-200,-72,-75,-77,-200,-84,-86,-200,-200,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526465810688,-49,-54,-52,-57,-61,-58,-66,-61,-60,-64,-59,-61,-61,-64,-63,-69,-67,-67,-72,-64,-68,-71,-70,-69,-200,-76,-68,-200,-72,-200,-79,-200,-75,-76,-75,-70,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-87,-67,-200,-72,-75,-77,-200,-84,-86,-200,-200,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526465813733,-49,-54,-52,-57,-61,-58,-66,-61,-60,-64,-59,-61,-61,-64,-63,-69,-67,-67,-72,-64,-68,-71,-70,-69,-200,-76,-68,-200,-72,-200,-79,-200,-75,-76,-75,-70,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-87,-67,-200,-72,-75,-77,-200,-84,-86,-200,-200,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526465816784,-49,-54,-52,-57,-61,-58,-66,-61,-60,-64,-59,-61,-61,-64,-63,-69,-67,-67,-72,-64,-68,-71,-70,-69,-200,-76,-68,-200,-72,-200,-79,-200,-75,-76,-75,-70,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-87,-67,-200,-72,-75,-77,-200,-84,-86,-200,-200,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526465819825,-58,-55,-58,-58,-58,-59,-67,-57,-54,-71,-61,-60,-60,-64,-60,-71,-70,-67,-73,-64,-68,-72,-67,-70,-75,-76,-69,-200,-75,-200,-200,-81,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-84,-79,-200,-200,-200,-88,-68,-75,-77,-79,-77,-200,-200,-200,-85,-200,-200,-200,-76,-93,-200,-200,-200,-200,-200
1526465822874,-58,-54,-56,-57,-55,-59,-67,-62,-56,-72,-61,-60,-61,-64,-60,-71,-67,-67,-70,-64,-68,-73,-67,-70,-75,-72,-69,-79,-75,-78,-200,-82,-200,-76,-84,-70,-86,-200,-200,-200,-200,-200,-84,-79,-200,-200,-200,-88,-68,-75,-77,-79,-75,-200,-200,-200,-85,-200,-88,-89,-76,-93,-75,-87,-200,-200,-200
1526465825919,-58,-54,-56,-57,-55,-59,-67,-62,-56,-72,-61,-60,-61,-64,-60,-71,-67,-67,-70,-64,-68,-73,-67,-70,-75,-72,-69,-79,-75,-78,-200,-82,-200,-76,-84,-70,-86,-200,-200,-200,-200,-200,-84,-79,-200,-200,-200,-88,-68,-75,-77,-79,-75,-200,-200,-200,-85,-200,-88,-89,-76,-93,-75,-87,-200,-200,-200
1526465828968,-58,-54,-56,-57,-55,-59,-67,-62,-56,-72,-61,-60,-61,-64,-60,-71,-67,-67,-70,-64,-68,-73,-67,-70,-75,-72,-69,-79,-75,-78,-200,-82,-200,-76,-84,-70,-86,-200,-200,-200,-200,-200,-84,-79,-200,-200,-200,-88,-68,-75,-77,-79,-75,-200,-200,-200,-85,-200,-88,-89,-76,-93,-75,-87,-200,-200,-200
1526465832008,-50,-54,-50,-59,-62,-58,-66,-59,-59,-68,-61,-62,-61,-67,-62,-74,-67,-66,-71,-65,-68,-74,-68,-69,-77,-72,-70,-85,-72,-79,-200,-82,-200,-74,-84,-69,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-89,-85,-200,-200,-74,-74,-73,-200,-200,-200,-200,-200,-88,-89,-79,-200,-77,-89,-87,-87,-88
