,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526465723918,-39,-48,-53,-56,-54,-51,-59,-58,-62,-68,-55,-61,-66,-55,-62,-73,-70,-65,-69,-69,-66,-83,-200,-65,-80,-80,-75,-85,-200,-78,-75,-200,-75,-81,-83,-85,-200,-80,-200,-200,-200,-70,-78,-77,-200,-200,-71,-78,-200,-75,-75,-77,-80,-83,-88,-79,-200,-200,-200,-200,-200,-200,-200
1526465726969,-39,-48,-53,-56,-54,-51,-59,-58,-62,-68,-55,-61,-66,-55,-62,-73,-70,-65,-69,-69,-66,-83,-200,-65,-80,-80,-75,-85,-200,-78,-75,-200,-75,-81,-83,-85,-200,-80,-200,-200,-200,-70,-78,-77,-200,-200,-71,-78,-200,-75,-75,-77,-80,-83,-88,-79,-200,-200,-200,-200,-200,-200,-200
1526465730014,-39,-48,-53,-56,-54,-51,-59,-58,-62,-68,-55,-61,-66,-55,-62,-73,-70,-65,-69,-69,-66,-83,-200,-65,-80,-80,-75,-85,-200,-78,-75,-200,-75,-81,-83,-85,-200,-80,-200,-200,-200,-70,-78,-77,-200,-200,-71,-78,-200,-75,-75,-77,-80,-83,-88,-79,-200,-200,-200,-200,-200,-200,-200
1526465733057,-38,-47,-55,-55,-55,-51,-59,-51,-66,-66,-52,-63,-66,-57,-61,-73,-68,-65,-68,-67,-66,-200,-200,-67,-74,-79,-76,-200,-200,-200,-75,-200,-79,-81,-75,-85,-200,-200,-85,-200,-200,-70,-200,-77,-200,-85,-71,-200,-85,-200,-200,-200,-200,-83,-200,-79,-87,-200,-200,-200,-200,-200,-200
1526465736109,-40,-47,-55,-56,-55,-51,-59,-52,-65,-73,-53,-62,-65,-59,-64,-73,-70,-64,-68,-67,-65,-84,-200,-67,-74,-79,-76,-85,-200,-200,-76,-89,-75,-81,-75,-85,-200,-200,-85,-200,-200,-72,-200,-77,-200,-85,-71,-75,-85,-78,-200,-200,-77,-83,-200,-79,-87,-85,-200,-200,-200,-200,-200
1526465739154,-40,-47,-55,-56,-55,-51,-59,-52,-65,-73,-53,-62,-65,-59,-64,-73,-70,-64,-68,-67,-65,-84,-200,-67,-74,-79,-76,-85,-200,-200,-76,-89,-75,-81,-75,-85,-200,-200,-85,-200,-200,-72,-200,-77,-200,-85,-71,-75,-85,-78,-200,-200,-77,-83,-200,-79,-87,-85,-200,-200,-200,-200,-200
1526465742213,-40,-47,-55,-56,-55,-51,-59,-52,-65,-73,-53,-62,-65,-59,-64,-73,-70,-64,-68,-67,-65,-84,-200,-67,-74,-79,-76,-85,-200,-200,-76,-89,-75,-81,-75,-85,-200,-200,-85,-200,-200,-72,-200,-77,-200,-85,-71,-75,-85,-78,-200,-200,-77,-83,-200,-79,-87,-85,-200,-200,-200,-200,-200
1526465745264,-39,-47,-55,-57,-54,-51,-60,-51,-65,-71,-54,-63,-65,-57,-60,-200,-69,-64,-68,-67,-63,-85,-75,-67,-73,-81,-76,-84,-78,-200,-76,-89,-74,-82,-76,-200,-200,-200,-200,-200,-200,-74,-79,-73,-200,-200,-68,-75,-85,-74,-200,-81,-77,-200,-200,-200,-86,-85,-92,-200,-200,-200,-200
1526465748309,-39,-47,-56,-56,-54,-51,-60,-49,-65,-71,-54,-63,-65,-57,-59,-75,-69,-64,-68,-67,-66,-85,-77,-65,-69,-81,-76,-84,-78,-200,-76,-89,-73,-82,-74,-200,-200,-200,-200,-200,-200,-74,-78,-73,-200,-200,-68,-78,-85,-74,-78,-81,-77,-200,-200,-200,-86,-85,-92,-200,-200,-200,-200
1526465751343,-39,-47,-56,-56,-54,-51,-60,-49,-65,-71,-54,-63,-65,-57,-59,-75,-69,-64,-68,-67,-66,-85,-77,-65,-69,-81,-76,-84,-78,-200,-76,-89,-73,-82,-74,-200,-200,-200,-200,-200,-200,-74,-78,-73,-200,-200,-68,-78,-85,-74,-78,-81,-77,-200,-200,-200,-86,-85,-92,-200,-200,-200,-200
1526465754392,-39,-47,-56,-56,-54,-51,-60,-49,-65,-71,-54,-63,-65,-57,-59,-75,-69,-64,-68,-67,-66,-85,-77,-65,-69,-81,-76,-84,-78,-200,-76,-89,-73,-82,-74,-200,-200,-200,-200,-200,-200,-74,-78,-73,-200,-200,-68,-78,-85,-74,-78,-81,-77,-200,-200,-200,-86,-85,-92,-200,-200,-200,-200
1526465757434,-42,-47,-55,-58,-52,-51,-200,-52,-66,-71,-55,-63,-67,-61,-60,-67,-68,-64,-67,-67,-68,-200,-75,-67,-69,-80,-200,-200,-200,-82,-74,-200,-73,-200,-75,-200,-200,-200,-87,-86,-200,-70,-82,-200,-200,-200,-200,-78,-200,-200,-78,-200,-84,-200,-200,-200,-200,-200,-200,-83,-84,-89,-91
