,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro
1526459299866,-60,-54,-48,-55,-72,-70,-70,-68,-60,-71,-76,-77,-82,-79,-81,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-90,-200,-92,-200,-200,-200
1526459302894,-60,-54,-48,-55,-72,-70,-70,-68,-60,-71,-76,-77,-82,-79,-81,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-90,-200,-92,-200,-200,-200
1526459305916,-60,-54,-48,-55,-72,-70,-70,-68,-60,-71,-76,-77,-82,-79,-81,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-90,-200,-92,-200,-200,-200
1526459308944,-52,-51,-49,-57,-67,-70,-73,-71,-65,-68,-75,-81,-77,-200,-80,-200,-94,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-86,-85,-200,-89,-200,-88,-200,-200
1526459311983,-50,-48,-49,-57,-67,-74,-73,-71,-65,-68,-77,-78,-77,-200,-81,-200,-94,-87,-82,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-87,-86,-88,-91,-89,-200,-88,-200,-200
1526459315021,-50,-48,-49,-57,-67,-74,-73,-71,-65,-68,-77,-78,-77,-200,-81,-200,-94,-87,-82,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-87,-86,-88,-91,-89,-200,-88,-200,-200
1526459318054,-50,-48,-49,-57,-67,-74,-73,-71,-65,-68,-77,-78,-77,-200,-81,-200,-94,-87,-82,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-87,-86,-88,-91,-89,-200,-88,-200,-200
1526459321082,-58,-51,-47,-55,-68,-72,-72,-66,-65,-71,-76,-79,-81,-74,-81,-200,-200,-87,-79,-200,-93,-200,-200,-86,-200,-200,-200,-200,-91,-87,-200,-87,-91,-200,-200,-200,-200,-200
1526459324109,-58,-49,-48,-55,-68,-72,-72,-66,-65,-67,-73,-79,-77,-74,-81,-200,-200,-87,-79,-88,-93,-200,-200,-86,-200,-200,-200,-200,-91,-87,-200,-83,-89,-200,-200,-200,-85,-200
1526459327141,-58,-49,-48,-55,-68,-72,-72,-66,-65,-67,-73,-79,-77,-74,-81,-200,-200,-87,-79,-88,-93,-200,-200,-86,-200,-200,-200,-200,-91,-87,-200,-83,-89,-200,-200,-200,-85,-200
1526459330180,-58,-49,-48,-55,-68,-72,-72,-66,-65,-67,-73,-79,-77,-74,-81,-200,-200,-87,-79,-88,-93,-200,-200,-86,-200,-200,-200,-200,-91,-87,-200,-83,-89,-200,-200,-200,-85,-200
1526459333220,-60,-50,-49,-56,-69,-72,-70,-66,-65,-70,-72,-83,-77,-78,-200,-200,-88,-87,-82,-88,-200,-200,-200,-86,-200,-200,-200,-200,-200,-89,-200,-83,-88,-200,-200,-200,-82,-92
