,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018
1526459224802,-55,-45,-53,-64,-72,-65,-67,-78,-70,-82,-73,-82,-76,-74,-75,-81,-200,-87,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-84,-89,-85,-89,-90,-200,-200,-200,-200,-200,-200
1526459227824,-55,-45,-53,-64,-72,-65,-67,-78,-70,-82,-73,-82,-76,-74,-75,-81,-200,-87,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-84,-89,-85,-89,-90,-200,-200,-200,-200,-200,-200
1526459230856,-55,-45,-53,-64,-72,-65,-67,-78,-70,-82,-73,-82,-76,-74,-75,-81,-200,-87,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-84,-89,-85,-89,-90,-200,-200,-200,-200,-200,-200
1526459233883,-55,-45,-51,-63,-70,-65,-69,-73,-75,-85,-73,-81,-75,-75,-77,-81,-200,-88,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-85,-200,-200,-86,-88,-200,-200,-200,-200
1526459236911,-53,-45,-52,-63,-70,-66,-67,-73,-71,-85,-73,-83,-71,-73,-79,-86,-200,-88,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-85,-200,-88,-88,-88,-87,-200,-200,-200
1526459239936,-53,-45,-52,-63,-70,-66,-67,-73,-71,-85,-73,-83,-71,-73,-79,-86,-200,-88,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-85,-200,-88,-88,-88,-87,-200,-200,-200
1526459242965,-53,-45,-52,-63,-70,-66,-67,-73,-71,-85,-73,-83,-71,-73,-79,-86,-200,-88,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-85,-200,-88,-88,-88,-87,-200,-200,-200
1526459246003,-54,-44,-52,-58,-69,-65,-68,-71,-71,-89,-73,-83,-74,-74,-79,-86,-200,-200,-88,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-88,-86,-87,-87,-89,-200,-200
1526459249020,-54,-44,-52,-62,-71,-66,-68,-71,-72,-89,-74,-80,-79,-74,-79,-81,-200,-200,-89,-200,-200,-200,-200,-200,-85,-200,-200,-200,-85,-86,-200,-200,-88,-86,-87,-87,-89,-89,-200
1526459252050,-53,-44,-52,-60,-71,-64,-67,-74,-75,-89,-73,-80,-75,-80,-77,-81,-200,-200,-89,-88,-200,-200,-200,-200,-85,-200,-200,-200,-85,-87,-200,-200,-88,-86,-88,-87,-89,-89,-200
1526459255082,-53,-44,-52,-60,-71,-64,-67,-74,-75,-89,-73,-80,-75,-80,-77,-81,-200,-200,-89,-88,-200,-200,-200,-200,-85,-200,-200,-200,-85,-87,-200,-200,-88,-86,-88,-87,-89,-89,-200
1526459258122,-54,-43,-51,-63,-71,-63,-68,-76,-72,-200,-74,-80,-75,-76,-76,-81,-200,-200,-92,-83,-200,-200,-200,-82,-85,-200,-200,-200,-85,-89,-200,-200,-200,-200,-88,-200,-200,-89,-89
