,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459383852,-38,-48,-44,-59,-73,-62,-68,-72,-69,-62,-68,-73,-81,-80,-80,-81,-200,-81,-79,-85,-83,-200,-85,-84,-200,-84,-80,-89,-82,-83,-200,-82,-81,-85,-85,-87,-88,-89,-82,-83,-200,-200,-200,-200,-200,-200
1526459386902,-37,-43,-40,-60,-76,-67,-69,-68,-69,-63,-68,-73,-81,-200,-200,-80,-200,-200,-83,-84,-83,-200,-85,-82,-84,-200,-84,-86,-80,-83,-200,-83,-83,-200,-86,-200,-200,-200,-77,-83,-87,-90,-200,-200,-200,-200
1526459389950,-35,-46,-40,-62,-72,-69,-66,-64,-69,-63,-68,-72,-81,-200,-75,-80,-83,-200,-84,-84,-83,-88,-84,-82,-84,-200,-83,-86,-80,-83,-200,-83,-83,-200,-86,-200,-200,-200,-81,-83,-87,-90,-91,-200,-200,-200
1526459392985,-35,-46,-40,-62,-72,-69,-66,-64,-69,-63,-68,-72,-81,-200,-75,-80,-83,-200,-84,-84,-83,-88,-84,-82,-84,-200,-83,-86,-80,-83,-200,-83,-83,-200,-86,-200,-200,-200,-81,-83,-87,-90,-91,-200,-200,-200
1526459396025,-35,-46,-40,-62,-72,-69,-66,-64,-69,-63,-68,-72,-81,-200,-75,-80,-83,-200,-84,-84,-83,-88,-84,-82,-84,-200,-83,-86,-80,-83,-200,-83,-83,-200,-86,-200,-200,-200,-81,-83,-87,-90,-91,-200,-200,-200
1526459399070,-41,-45,-43,-66,-75,-63,-72,-67,-66,-63,-69,-74,-73,-200,-86,-80,-85,-200,-84,-200,-200,-88,-84,-82,-200,-200,-82,-200,-200,-200,-200,-86,-200,-200,-81,-200,-200,-200,-81,-200,-200,-200,-91,-90,-91,-200
1526459402107,-37,-43,-43,-63,-75,-63,-68,-67,-66,-63,-68,-74,-78,-82,-86,-78,-83,-200,-80,-200,-200,-88,-84,-82,-200,-200,-82,-200,-200,-81,-200,-86,-200,-200,-81,-87,-200,-200,-84,-200,-200,-200,-91,-90,-91,-90
1526459405145,-37,-43,-43,-63,-75,-63,-68,-67,-66,-63,-68,-74,-78,-82,-86,-78,-83,-200,-80,-200,-200,-88,-84,-82,-200,-200,-82,-200,-200,-81,-200,-86,-200,-200,-81,-87,-200,-200,-84,-200,-200,-200,-91,-90,-91,-90
1526459408183,-37,-43,-43,-63,-75,-63,-68,-67,-66,-63,-68,-74,-78,-82,-86,-78,-83,-200,-80,-200,-200,-88,-84,-82,-200,-200,-82,-200,-200,-81,-200,-86,-200,-200,-81,-87,-200,-200,-84,-200,-200,-200,-91,-90,-91,-90
1526459411225,-37,-42,-43,-60,-75,-63,-71,-62,-62,-62,-69,-75,-78,-82,-200,-80,-83,-200,-80,-200,-200,-200,-83,-83,-200,-200,-88,-200,-200,-81,-200,-200,-200,-200,-200,-87,-200,-200,-84,-200,-200,-200,-200,-200,-200,-90
