,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A48,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526464485374,-34,-40,-36,-42,-45,-43,-49,-17,-55,-61,-56,-48,-55,-59,-49,-70,-64,-67,-62,-60,-72,-200,-71,-72,-74,-71,-73,-70,-200,-200,-200,-73,-70,-68,-70,-78,-87,-200,-49,-65,-71,-65,-83,-77,-200,-200
1526464488387,-34,-40,-36,-39,-45,-43,-49,-17,-55,-61,-56,-48,-55,-59,-49,-70,-64,-67,-62,-60,-72,-200,-71,-72,-74,-71,-73,-70,-200,-200,-200,-73,-70,-68,-70,-78,-87,-200,-49,-65,-71,-65,-83,-77,-200,-200
1526464491410,-28,-44,-44,-37,-43,-46,-53,-41,-55,-61,-56,-53,-54,-59,-54,-70,-64,-60,-60,-63,-72,-63,-71,-78,-71,-71,-74,-68,-200,-200,-200,-73,-70,-68,-70,-78,-83,-93,-49,-200,-71,-65,-83,-77,-62,-64
1526464494420,-28,-44,-44,-39,-43,-46,-53,-41,-55,-61,-56,-53,-54,-59,-54,-70,-64,-60,-60,-63,-72,-63,-71,-78,-71,-71,-74,-68,-200,-200,-200,-73,-70,-68,-70,-78,-83,-93,-49,-200,-71,-65,-83,-77,-62,-64
1526464497440,-25,-44,-44,-40,-42,-46,-58,-45,-55,-55,-56,-53,-54,-59,-49,-70,-200,-59,-67,-63,-72,-63,-71,-75,-71,-71,-75,-69,-200,-200,-200,-73,-70,-68,-70,-200,-82,-93,-49,-200,-71,-65,-83,-77,-62,-64
1526464500452,-25,-44,-44,-38,-42,-46,-58,-45,-55,-55,-56,-53,-54,-59,-49,-70,-200,-59,-67,-63,-72,-63,-71,-75,-71,-71,-75,-69,-200,-200,-200,-73,-70,-68,-70,-200,-82,-93,-49,-200,-71,-65,-83,-77,-62,-64
1526464503465,-27,-45,-41,-36,-42,-50,-60,-45,-55,-55,-54,-48,-56,-59,-49,-70,-200,-60,-61,-63,-72,-63,-65,-78,-70,-71,-74,-73,-200,-200,-200,-72,-200,-200,-72,-79,-84,-93,-50,-73,-71,-200,-200,-77,-62,-64
1526464506474,-27,-45,-41,-38,-42,-50,-60,-45,-55,-55,-54,-48,-56,-59,-49,-70,-200,-60,-61,-63,-72,-63,-65,-78,-70,-71,-74,-73,-200,-200,-200,-72,-200,-200,-72,-79,-84,-93,-50,-73,-71,-200,-200,-77,-62,-64
1526464509488,-31,-45,-39,-37,-42,-50,-60,-47,-55,-55,-58,-50,-57,-200,-49,-200,-200,-64,-61,-63,-72,-63,-64,-75,-71,-72,-71,-72,-200,-200,-200,-71,-200,-200,-72,-79,-84,-93,-50,-73,-71,-200,-77,-200,-62,-64
1526464512500,-31,-45,-39,-41,-42,-50,-60,-47,-55,-55,-58,-50,-57,-200,-49,-200,-200,-64,-61,-63,-72,-63,-64,-75,-71,-72,-71,-72,-200,-200,-200,-71,-200,-200,-72,-79,-84,-93,-50,-73,-71,-200,-77,-200,-62,-64
1526464515516,-30,-44,-37,-34,-46,-46,-56,-48,-54,-55,-58,-50,-57,-63,-49,-65,-200,-64,-61,-62,-75,-63,-68,-77,-73,-71,-67,-70,-200,-200,-200,-67,-200,-66,-69,-79,-86,-93,-49,-73,-71,-200,-77,-200,-62,-64
1526464518531,-30,-44,-37,-34,-46,-46,-56,-48,-54,-55,-58,-50,-57,-63,-49,-65,-200,-64,-61,-62,-75,-63,-68,-77,-73,-71,-67,-70,-200,-200,-200,-67,-200,-66,-69,-79,-86,-93,-49,-73,-71,-200,-77,-200,-62,-64
