,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A20,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A10,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463868303,-31,-35,-35,-40,-57,-200,-57,-52,-200,-49,-200,-53,-58,-51,-51,-55,-57,-54,-58,-200,-200,-57,-66,-54,-200,-70,-68,-61,-61,-71,-73,-66,-67,-200,-200,-64,-82,-74,-200,-80,-82,-81,-86,-74,-200,-89,-83,-84,-85,-82,-200,-76,-200,-63,-71,-76,-77,-64,-73,-90,-200,-200,-200
1526463871337,-31,-35,-35,-40,-57,-200,-57,-52,-200,-49,-200,-53,-58,-51,-51,-55,-57,-54,-58,-200,-200,-57,-66,-54,-200,-70,-68,-61,-61,-71,-73,-66,-67,-200,-200,-64,-82,-74,-200,-80,-82,-81,-86,-74,-200,-89,-83,-84,-85,-82,-200,-76,-200,-63,-71,-76,-77,-64,-73,-90,-200,-200,-200
1526463874371,-33,-34,-35,-40,-47,-200,-57,-46,-49,-55,-200,-55,-58,-51,-53,-51,-56,-54,-55,-200,-200,-57,-58,-60,-200,-70,-68,-61,-64,-71,-73,-66,-67,-200,-200,-64,-81,-74,-74,-76,-85,-81,-83,-74,-200,-90,-85,-88,-81,-84,-200,-76,-200,-63,-71,-75,-77,-53,-73,-90,-78,-200,-200
1526463877384,-33,-34,-35,-40,-47,-200,-57,-46,-49,-55,-200,-55,-58,-51,-53,-51,-56,-54,-55,-200,-200,-57,-58,-60,-200,-70,-68,-61,-64,-71,-73,-66,-67,-200,-200,-64,-81,-74,-74,-76,-85,-81,-83,-74,-200,-90,-85,-88,-81,-84,-200,-76,-200,-63,-71,-75,-77,-53,-73,-90,-78,-200,-200
1526463880414,-38,-39,-36,-40,-45,-200,-57,-46,-49,-54,-66,-55,-58,-47,-56,-53,-54,-54,-58,-200,-200,-57,-58,-60,-200,-70,-68,-61,-64,-69,-73,-66,-68,-62,-200,-66,-77,-73,-74,-81,-85,-79,-85,-74,-200,-86,-86,-91,-81,-82,-200,-76,-200,-63,-71,-75,-200,-53,-73,-90,-78,-200,-200
1526463883425,-38,-43,-36,-40,-42,-200,-57,-50,-55,-49,-66,-58,-62,-47,-56,-55,-54,-50,-58,-200,-200,-63,-57,-60,-200,-70,-68,-61,-64,-65,-73,-66,-68,-62,-200,-66,-81,-77,-74,-82,-85,-79,-82,-74,-200,-86,-85,-86,-87,-82,-200,-76,-200,-61,-71,-75,-200,-53,-73,-90,-78,-75,-200
1526463886444,-38,-43,-36,-40,-42,-200,-57,-50,-55,-49,-66,-58,-62,-47,-56,-55,-54,-50,-58,-200,-200,-63,-57,-60,-200,-70,-68,-61,-64,-65,-73,-66,-68,-62,-200,-66,-81,-77,-74,-82,-85,-79,-82,-200,-200,-86,-85,-86,-87,-82,-200,-76,-200,-61,-71,-75,-200,-53,-73,-90,-78,-75,-200
1526463889478,-30,-43,-36,-37,-42,-200,-57,-50,-55,-51,-66,-58,-62,-47,-52,-55,-57,-50,-57,-64,-200,-58,-57,-60,-56,-70,-68,-61,-64,-65,-73,-66,-68,-62,-200,-66,-73,-73,-74,-79,-84,-79,-86,-200,-200,-84,-81,-85,-87,-84,-200,-76,-200,-65,-71,-75,-200,-53,-73,-90,-78,-75,-200
1526463892487,-30,-43,-36,-37,-42,-200,-200,-50,-55,-51,-66,-58,-62,-47,-52,-55,-57,-50,-57,-64,-200,-58,-57,-60,-56,-70,-68,-200,-64,-65,-200,-66,-68,-62,-200,-66,-73,-73,-74,-79,-84,-79,-86,-200,-200,-84,-81,-85,-87,-84,-200,-200,-200,-65,-71,-75,-200,-53,-200,-90,-78,-75,-200
1526463895507,-30,-38,-27,-40,-51,-56,-47,-50,-55,-57,-66,-58,-60,-47,-56,-56,-57,-54,-57,-64,-200,-59,-57,-60,-56,-200,-73,-200,-68,-71,-200,-72,-68,-62,-73,-66,-74,-71,-73,-83,-84,-79,-86,-200,-200,-87,-87,-85,-87,-85,-200,-200,-200,-64,-71,-75,-200,-53,-200,-200,-78,-75,-75
1526463898539,-30,-38,-27,-40,-51,-56,-47,-50,-55,-57,-66,-58,-60,-47,-56,-56,-57,-54,-57,-64,-200,-59,-57,-60,-56,-200,-73,-200,-68,-71,-200,-72,-68,-62,-73,-66,-74,-71,-73,-83,-84,-79,-86,-200,-200,-87,-87,-85,-87,-85,-200,-200,-200,-64,-71,-75,-200,-53,-200,-200,-78,-75,-75
1526463901557,-26,-38,-11,-40,-54,-56,-47,-50,-55,-54,-66,-58,-64,-54,-56,-60,-57,-52,-57,-64,-200,-61,-60,-60,-56,-200,-73,-58,-68,-70,-200,-72,-68,-62,-69,-66,-78,-73,-76,-81,-81,-79,-86,-200,-200,-88,-86,-88,-87,-85,-200,-200,-200,-67,-71,-200,-200,-200,-200,-200,-200,-75,-75
