,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309
1526452469385,-32,-33,-43,-42,-47,-52,-43,-43,-49,-59,-54,-52,-59,-63,-62,-63,-55,-60,-63,-61,-52,-53,-69,-200,-63,-68,-70,-68,-63,-59,-70,-72,-59,-79,-75,-67,-65,-79,-85,-74,-75,-200,-73,-200,-81,-69,-77,-79,-79,-83,-85,-82,-200,-85,-200,-82,-200,-200,-91,-89,-200,-88,-80,-85,-200,-78,-200,-85,-91,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452472449,-30,-33,-43,-42,-46,-59,-43,-43,-48,-60,-54,-52,-59,-59,-62,-62,-55,-56,-63,-62,-49,-54,-69,-200,-62,-69,-70,-72,-62,-58,-68,-72,-59,-73,-74,-68,-65,-79,-85,-74,-75,-200,-69,-200,-81,-68,-77,-82,-83,-83,-85,-82,-80,-85,-200,-82,-73,-200,-91,-89,-200,-88,-85,-90,-200,-78,-85,-200,-91,-85,-91,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452475511,-33,-33,-43,-42,-46,-53,-44,-40,-48,-63,-58,-52,-67,-57,-200,-62,-52,-63,-64,-66,-53,-50,-69,-200,-64,-69,-66,-70,-62,-58,-70,-72,-58,-73,-74,-68,-65,-79,-85,-74,-80,-200,-73,-200,-81,-78,-77,-82,-83,-89,-85,-84,-79,-85,-84,-83,-73,-200,-200,-90,-200,-88,-85,-90,-200,-78,-85,-200,-200,-85,-91,-88,-92,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526452478582,-33,-33,-41,-42,-46,-53,-44,-38,-48,-60,-55,-52,-63,-61,-200,-64,-52,-60,-64,-62,-51,-54,-69,-58,-72,-69,-66,-69,-63,-58,-69,-72,-58,-73,-74,-68,-65,-76,-85,-72,-80,-200,-72,-200,-81,-70,-77,-82,-84,-89,-83,-84,-84,-85,-84,-82,-85,-200,-88,-89,-200,-88,-85,-87,-200,-73,-85,-200,-200,-85,-91,-88,-92,-81,-89,-94,-200,-200,-200,-200,-200,-200,-200
1526452481652,-33,-33,-40,-40,-48,-53,-45,-41,-48,-60,-58,-52,-63,-59,-200,-64,-52,-58,-59,-62,-50,-54,-69,-58,-64,-68,-66,-71,-63,-58,-69,-72,-57,-73,-77,-69,-67,-74,-85,-74,-80,-200,-70,-200,-200,-70,-77,-84,-81,-89,-83,-86,-72,-85,-84,-82,-75,-200,-88,-89,-200,-88,-85,-87,-200,-73,-85,-200,-200,-200,-91,-88,-92,-81,-89,-94,-89,-200,-200,-200,-200,-200,-200
1526452484712,-32,-33,-42,-40,-50,-53,-47,-45,-50,-60,-60,-54,-60,-58,-65,-64,-52,-60,-62,-62,-50,-54,-200,-58,-62,-68,-66,-72,-65,-58,-77,-72,-57,-73,-75,-68,-65,-71,-85,-75,-78,-200,-72,-200,-80,-70,-200,-80,-81,-89,-83,-83,-72,-83,-84,-82,-76,-83,-88,-89,-200,-200,-85,-87,-200,-73,-85,-200,-200,-200,-200,-88,-92,-81,-89,-94,-88,-85,-92,-200,-200,-200,-200
1526452487770,-29,-33,-38,-41,-49,-59,-47,-43,-50,-59,-59,-54,-57,-58,-65,-64,-51,-61,-63,-63,-51,-53,-200,-58,-63,-71,-66,-72,-65,-58,-77,-72,-58,-73,-74,-68,-65,-73,-85,-75,-78,-200,-71,-200,-80,-68,-200,-80,-81,-89,-83,-83,-72,-83,-84,-82,-76,-83,-92,-89,-200,-89,-200,-87,-200,-73,-200,-90,-200,-200,-200,-200,-200,-81,-89,-94,-88,-85,-92,-200,-200,-200,-200
1526452490846,-33,-33,-42,-41,-50,-55,-45,-39,-50,-60,-53,-52,-59,-57,-60,-64,-51,-57,-63,-63,-55,-50,-200,-58,-63,-71,-200,-69,-64,-58,-72,-72,-58,-73,-74,-67,-65,-74,-90,-76,-78,-200,-71,-200,-80,-68,-200,-80,-81,-200,-83,-83,-72,-83,-200,-82,-76,-83,-92,-89,-200,-89,-200,-87,-200,-73,-200,-90,-200,-90,-200,-200,-200,-200,-200,-94,-88,-85,-92,-84,-200,-200,-200
1526452493918,-31,-33,-42,-38,-48,-52,-47,-40,-49,-56,-52,-52,-59,-57,-60,-64,-51,-59,-64,-63,-56,-52,-200,-200,-62,-69,-200,-70,-64,-57,-76,-72,-60,-75,-73,-67,-65,-75,-90,-76,-68,-77,-71,-200,-79,-68,-77,-80,-82,-200,-200,-83,-84,-83,-200,-82,-76,-83,-92,-200,-200,-89,-200,-200,-200,-200,-200,-90,-200,-90,-200,-200,-200,-200,-200,-200,-88,-85,-92,-84,-90,-200,-200
1526452496951,-35,-33,-43,-38,-44,-52,-47,-42,-49,-56,-56,-53,-59,-62,-63,-61,-50,-59,-59,-61,-56,-51,-200,-200,-64,-67,-65,-70,-64,-59,-76,-71,-60,-75,-73,-67,-65,-75,-90,-76,-68,-77,-71,-200,-79,-68,-77,-83,-82,-200,-200,-83,-84,-83,-80,-82,-76,-83,-92,-200,-200,-89,-200,-200,-200,-68,-200,-90,-200,-90,-200,-200,-200,-82,-200,-200,-88,-85,-92,-84,-90,-200,-200
1526452500017,-35,-33,-42,-39,-46,-52,-46,-39,-48,-60,-54,-53,-59,-60,-63,-64,-57,-59,-60,-63,-52,-50,-200,-200,-64,-69,-64,-69,-64,-58,-73,-71,-60,-77,-77,-67,-65,-75,-90,-76,-72,-83,-80,-200,-79,-68,-77,-83,-82,-200,-200,-200,-84,-83,-77,-81,-74,-200,-92,-87,-200,-89,-200,-200,-200,-68,-85,-90,-200,-87,-200,-200,-200,-82,-200,-200,-200,-87,-200,-84,-91,-81,-200
1526452503073,-34,-33,-44,-39,-47,-51,-44,-42,-48,-68,-54,-51,-67,-59,-60,-64,-50,-60,-60,-59,-52,-52,-200,-200,-65,-69,-64,-70,-64,-58,-69,-70,-60,-75,-73,-76,-65,-75,-90,-76,-75,-83,-72,-200,-76,-68,-77,-81,-83,-200,-200,-86,-84,-83,-77,-81,-74,-200,-200,-89,-200,-200,-200,-88,-76,-68,-85,-200,-200,-87,-200,-200,-200,-90,-200,-200,-200,-87,-200,-84,-91,-81,-85
