,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A58,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452720405,-34,-33,-29,-45,-33,-38,-52,-52,-49,-49,-44,-53,-56,-61,-60,-58,-57,-58,-43,-64,-53,-65,-66,-200,-58,-67,-57,-63,-70,-78,-61,-66,-68,-69,-58,-60,-74,-72,-71,-58,-200,-84,-77,-77,-75,-74,-200,-85,-81,-200,-77,-200,-78,-85,-200,-83,-200,-91,-200,-200,-88,-200,-200,-85,-82,-89,-200,-74,-200,-200,-85,-85,-88,-76,-80,-85,-200,-200,-200,-200,-200,-200
1526452723465,-34,-33,-30,-45,-30,-38,-52,-52,-49,-51,-42,-55,-55,-61,-72,-58,-57,-58,-49,-64,-52,-65,-65,-200,-58,-67,-57,-63,-70,-78,-61,-200,-68,-69,-61,-60,-76,-73,-73,-55,-86,-84,-77,-77,-75,-72,-78,-85,-81,-200,-80,-200,-80,-85,-200,-83,-200,-91,-200,-200,-88,-200,-200,-86,-82,-89,-200,-74,-200,-200,-85,-85,-88,-73,-78,-85,-80,-200,-200,-200,-200,-200
1526452726486,-35,-33,-30,-52,-33,-36,-52,-49,-47,-50,-44,-52,-55,-65,-62,-61,-200,-200,-49,-61,-53,-73,-66,-200,-59,-67,-65,-63,-70,-81,-56,-200,-64,-69,-60,-60,-76,-71,-73,-62,-78,-84,-78,-77,-75,-73,-78,-84,-81,-200,-77,-89,-79,-85,-200,-83,-200,-91,-200,-200,-89,-200,-200,-86,-82,-90,-200,-200,-87,-200,-85,-85,-88,-73,-78,-85,-78,-77,-87,-200,-200,-200
1526452729517,-35,-33,-27,-47,-31,-36,-55,-49,-53,-49,-43,-54,-53,-64,-64,-61,-200,-200,-50,-61,-55,-72,-66,-200,-59,-79,-65,-200,-67,-81,-56,-200,-63,-74,-60,-60,-74,-70,-76,-62,-78,-84,-78,-77,-74,-73,-78,-84,-81,-200,-77,-89,-76,-85,-200,-85,-200,-87,-200,-200,-89,-200,-200,-89,-200,-90,-200,-200,-87,-200,-85,-85,-200,-73,-78,-85,-78,-77,-87,-200,-200,-200
1526452732555,-35,-33,-27,-47,-32,-40,-54,-50,-53,-50,-55,-56,-55,-65,-66,-60,-56,-58,-43,-61,-55,-72,-65,-200,-59,-66,-76,-200,-71,-81,-56,-200,-63,-73,-60,-65,-76,-70,-76,-58,-77,-84,-79,-77,-76,-74,-78,-84,-82,-200,-77,-89,-75,-85,-200,-85,-200,-87,-200,-200,-89,-200,-200,-85,-200,-90,-200,-200,-87,-200,-85,-85,-200,-73,-80,-85,-81,-77,-87,-200,-200,-200
1526452735590,-35,-33,-31,-45,-30,-38,-54,-50,-48,-49,-47,-55,-59,-61,-67,-60,-55,-57,-42,-62,-55,-72,-61,-200,-60,-66,-64,-200,-71,-78,-56,-200,-67,-73,-59,-65,-76,-71,-76,-61,-77,-84,-78,-200,-74,-74,-78,-83,-81,-200,-77,-89,-78,-86,-90,-85,-200,-87,-200,-200,-86,-200,-200,-85,-200,-90,-200,-81,-89,-200,-85,-85,-200,-73,-80,-88,-81,-77,-87,-200,-200,-200
1526452738637,-35,-33,-29,-52,-32,-38,-53,-50,-55,-52,-47,-51,-59,-61,-64,-60,-57,-57,-47,-62,-55,-70,-61,-200,-60,-66,-64,-74,-71,-78,-55,-200,-64,-71,-59,-65,-76,-71,-76,-61,-75,-84,-78,-200,-74,-74,-200,-83,-81,-200,-77,-89,-77,-86,-90,-85,-200,-92,-200,-200,-86,-200,-200,-87,-200,-90,-200,-81,-89,-200,-88,-85,-200,-200,-80,-88,-81,-77,-87,-74,-200,-200
1526452741685,-35,-33,-27,-48,-33,-38,-55,-50,-55,-52,-45,-51,-56,-61,-63,-60,-57,-57,-41,-62,-55,-70,-62,-200,-60,-66,-64,-74,-69,-78,-55,-200,-70,-71,-61,-61,-75,-71,-76,-60,-74,-82,-80,-72,-74,-74,-77,-83,-81,-200,-200,-200,-76,-86,-90,-85,-200,-92,-200,-200,-86,-200,-200,-84,-200,-200,-200,-81,-89,-200,-88,-200,-200,-200,-80,-88,-81,-200,-200,-74,-89,-200
1526452744740,-35,-32,-27,-47,-33,-36,-54,-50,-43,-52,-45,-53,-55,-62,-64,-60,-54,-56,-39,-63,-55,-70,-66,-200,-60,-65,-72,-74,-68,-78,-54,-200,-66,-76,-58,-61,-75,-76,-200,-65,-78,-82,-78,-76,-73,-74,-77,-86,-81,-200,-78,-200,-76,-91,-90,-85,-200,-92,-200,-200,-87,-88,-200,-84,-200,-200,-200,-81,-89,-87,-88,-84,-200,-200,-80,-88,-80,-200,-85,-74,-89,-200
1526452747778,-35,-32,-30,-52,-37,-37,-56,-50,-43,-48,-42,-49,-54,-60,-64,-59,-54,-56,-43,-63,-54,-70,-66,-200,-63,-64,-64,-74,-69,-78,-54,-200,-66,-80,-58,-61,-75,-71,-200,-65,-75,-82,-77,-76,-73,-73,-77,-86,-81,-200,-79,-200,-75,-91,-89,-82,-200,-88,-200,-200,-87,-88,-200,-84,-200,-200,-200,-81,-89,-87,-88,-84,-200,-200,-81,-88,-80,-87,-85,-74,-89,-200
1526452750823,-38,-33,-28,-53,-32,-41,-52,-50,-53,-50,-42,-50,-54,-60,-64,-61,-54,-59,-46,-64,-56,-69,-66,-200,-63,-64,-68,-74,-71,-78,-54,-200,-66,-80,-58,-66,-74,-72,-200,-65,-74,-82,-77,-76,-76,-73,-77,-86,-200,-200,-79,-200,-75,-88,-89,-82,-200,-88,-200,-200,-87,-88,-200,-84,-84,-200,-200,-200,-85,-87,-93,-84,-200,-200,-81,-200,-80,-80,-85,-74,-89,-200
1526452753858,-35,-33,-28,-49,-33,-42,-53,-50,-50,-49,-43,-57,-54,-58,-66,-59,-54,-55,-38,-65,-54,-69,-66,-200,-63,-69,-66,-200,-70,-77,-55,-200,-64,-80,-59,-66,-74,-73,-200,-58,-74,-82,-78,-81,-74,-73,-77,-86,-200,-200,-78,-200,-78,-86,-89,-82,-200,-88,-200,-200,-87,-88,-200,-84,-84,-200,-200,-200,-85,-87,-93,-84,-200,-200,-80,-200,-79,-80,-85,-73,-89,-89
