,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0
1526459372150,-67,-200,-68,-200,-200,-72,-200,-72,-200,-82,-200,-200,-91,-98,-96,-200,-200
1526459372307,-67,-200,-200,-66,-200,-72,-200,-72,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526459372416,-67,-200,-68,-200,-84,-73,-93,-72,-200,-83,-200,-200,-91,-99,-200,-200,-200
1526459372520,-67,-97,-68,-200,-200,-73,-92,-72,-94,-83,-200,-200,-92,-98,-97,-200,-200
1526459372629,-200,-200,-200,-200,-81,-200,-200,-200,-200,-82,-200,-90,-200,-200,-200,-200,-200
1526459377073,-71,-200,-78,-65,-78,-73,-200,-79,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526459377173,-200,-200,-76,-66,-200,-73,-200,-77,-82,-78,-200,-89,-92,-200,-200,-200,-200
1526459377281,-200,-200,-200,-200,-81,-73,-200,-80,-81,-79,-200,-90,-200,-200,-200,-200,-200
1526459377393,-70,-200,-200,-66,-200,-200,-200,-79,-82,-79,-200,-200,-200,-200,-200,-200,-200
1526459377545,-70,-200,-78,-200,-82,-73,-200,-79,-81,-79,-200,-89,-91,-200,-200,-200,-200
1526459377610,-200,-200,-69,-65,-200,-76,-200,-75,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526459382128,-200,-200,-71,-66,-200,-75,-92,-75,-76,-82,-200,-200,-200,-200,-200,-200,-200
1526459382281,-64,-200,-71,-65,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459382385,-200,-200,-71,-66,-84,-75,-92,-200,-200,-81,-200,-200,-200,-200,-200,-200,-95
1526459382491,-64,-200,-71,-66,-85,-200,-92,-75,-200,-81,-90,-200,-91,-200,-200,-200,-93
1526459387052,-65,-200,-68,-66,-200,-200,-200,-72,-92,-200,-200,-200,-90,-200,-97,-200,-200
1526459387149,-66,-200,-200,-200,-84,-72,-200,-72,-93,-81,-200,-200,-91,-96,-96,-200,-200
1526459387241,-67,-200,-68,-200,-200,-73,-94,-72,-200,-200,-200,-200,-91,-97,-200,-200,-200
1526459387345,-67,-101,-69,-66,-84,-72,-92,-70,-200,-82,-200,-200,-91,-200,-96,-200,-200
1526459387456,-67,-200,-68,-66,-84,-200,-200,-71,-95,-82,-200,-200,-200,-99,-97,-200,-200
1526459387561,-67,-200,-78,-65,-84,-200,-200,-72,-95,-82,-200,-200,-200,-98,-200,-200,-200
1526459392080,-71,-200,-200,-65,-81,-74,-200,-200,-82,-79,-200,-89,-200,-200,-200,-200,-200
1526459392171,-71,-200,-78,-66,-81,-73,-200,-200,-82,-79,-200,-88,-200,-200,-200,-200,-200
1526459392303,-73,-200,-200,-65,-81,-200,-200,-80,-84,-79,-200,-90,-90,-200,-200,-200,-200
1526459392407,-71,-200,-200,-66,-82,-200,-200,-200,-81,-79,-200,-200,-200,-200,-200,-200,-200
1526459392503,-72,-200,-200,-65,-79,-200,-200,-77,-81,-78,-200,-200,-200,-200,-200,-200,-200
1526459397043,-64,-96,-200,-66,-85,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526459397160,-200,-200,-200,-66,-85,-75,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526459397278,-64,-97,-200,-66,-200,-200,-200,-75,-76,-200,-92,-200,-200,-200,-200,-200,-95
1526459397369,-65,-200,-72,-67,-86,-200,-200,-200,-76,-81,-200,-200,-200,-200,-200,-200,-200
1526459397477,-65,-200,-200,-66,-85,-200,-200,-200,-200,-82,-92,-200,-200,-200,-200,-200,-96
1526459397595,-67,-200,-68,-66,-200,-72,-200,-71,-93,-81,-200,-200,-91,-98,-96,-200,-200
1526459402148,-66,-200,-68,-66,-82,-72,-200,-71,-95,-82,-200,-200,-200,-200,-200,-200,-200
1526459402251,-67,-98,-200,-66,-83,-200,-200,-71,-94,-82,-200,-200,-91,-96,-96,-200,-200
1526459402361,-67,-200,-68,-66,-84,-73,-200,-72,-94,-200,-200,-200,-92,-99,-97,-200,-200
1526459402484,-200,-200,-68,-66,-84,-73,-200,-72,-94,-82,-200,-200,-92,-97,-95,-200,-200
1526459402583,-200,-98,-68,-66,-200,-73,-200,-200,-94,-200,-200,-200,-200,-100,-200,-200,-200
1526459407026,-72,-200,-200,-66,-81,-200,-200,-80,-82,-200,-200,-200,-200,-200,-200,-94,-200
1526459407137,-73,-200,-200,-65,-80,-72,-200,-80,-200,-78,-200,-200,-92,-200,-200,-200,-200
1526459407255,-73,-200,-77,-64,-80,-74,-200,-80,-83,-79,-200,-89,-200,-200,-200,-95,-200
1526459407405,-72,-200,-200,-66,-81,-73,-200,-80,-200,-78,-200,-90,-200,-200,-200,-200,-200
1526459407500,-70,-200,-200,-64,-80,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-95,-96
1526459412164,-63,-200,-200,-66,-200,-200,-200,-75,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526459412273,-64,-200,-72,-200,-200,-200,-200,-200,-76,-200,-200,-93,-200,-200,-200,-200,-200
1526459412370,-64,-200,-73,-200,-85,-200,-200,-74,-76,-200,-200,-91,-200,-200,-200,-200,-200
1526459412472,-200,-200,-72,-200,-85,-200,-200,-200,-76,-82,-95,-92,-200,-200,-200,-200,-200
1526459412612,-200,-98,-68,-66,-84,-72,-93,-71,-200,-200,-90,-200,-92,-97,-200,-200,-200
1526459417119,-200,-100,-68,-65,-82,-72,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459417224,-200,-97,-200,-200,-84,-72,-91,-200,-200,-82,-200,-200,-91,-98,-98,-200,-200
1526459417324,-66,-200,-68,-66,-83,-72,-92,-71,-94,-82,-200,-200,-89,-102,-200,-200,-200
1526459417437,-67,-200,-68,-65,-84,-72,-92,-200,-93,-83,-200,-200,-92,-200,-200,-200,-200
