,0118.0012-vlucci.com A1.4.0.1,null,0115.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,null,0114.0012-vlucci.com A1.4.0.1,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526458687591,-200,-96,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458692030,-200,-98,-200,-65,-200,-72,-76,-200,-67,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526458692179,-81,-98,-84,-66,-63,-200,-76,-200,-67,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526458692262,-200,-200,-200,-200,-200,-72,-200,-200,-63,-96,-98,-200,-200,-200,-200,-200,-200,-200
1526458692368,-200,-97,-84,-66,-63,-72,-75,-200,-67,-95,-200,-200,-200,-89,-200,-200,-200,-200
1526458692475,-200,-200,-200,-66,-63,-72,-75,-86,-67,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526458692579,-81,-200,-200,-200,-62,-200,-75,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458697033,-71,-200,-80,-200,-71,-71,-81,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458697143,-70,-200,-81,-78,-70,-71,-82,-98,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458697330,-71,-200,-200,-77,-200,-69,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458697437,-70,-200,-81,-77,-200,-70,-81,-200,-71,-99,-200,-200,-200,-200,-200,-200,-200,-200
1526458697572,-72,-200,-200,-77,-66,-200,-200,-200,-68,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526458702123,-200,-200,-84,-200,-67,-200,-80,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458702271,-72,-200,-86,-69,-66,-72,-81,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458702370,-71,-200,-84,-69,-66,-72,-200,-200,-69,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526458702500,-72,-200,-83,-69,-200,-72,-80,-91,-68,-200,-200,-200,-200,-200,-94,-200,-200,-200
