,null,null,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526442061363,-78,-200,-66,-200,-67,-200,-93,-200,-200,-200,-86,-200,-200,-89,-200
1526442061466,-200,-72,-200,-200,-200,-200,-69,-74,-200,-200,-86,-200,-200,-200,-200
1526442066581,-200,-200,-200,-200,-200,-200,-68,-72,-89,-200,-200,-200,-200,-200,-200
1526442071012,-77,-200,-81,-200,-200,-82,-71,-72,-89,-89,-84,-200,-200,-200,-200
1526442071215,-76,-200,-71,-200,-82,-200,-70,-71,-89,-200,-83,-200,-200,-200,-200
1526442071325,-76,-76,-80,-200,-200,-83,-71,-71,-200,-200,-84,-200,-200,-200,-200
1526442075985,-75,-83,-200,-88,-65,-200,-87,-200,-200,-200,-87,-200,-200,-88,-200
1526442076071,-76,-200,-200,-88,-65,-77,-88,-200,-200,-200,-87,-200,-200,-200,-200
1526442076191,-76,-82,-200,-200,-65,-78,-88,-200,-200,-200,-87,-200,-200,-88,-200
1526442076298,-70,-81,-70,-88,-65,-200,-84,-72,-93,-89,-200,-200,-200,-200,-200
1526442080983,-83,-200,-200,-81,-69,-80,-200,-80,-89,-85,-80,-200,-200,-200,-88
1526442081098,-200,-69,-64,-81,-69,-80,-68,-79,-89,-86,-80,-200,-200,-200,-89
1526442081220,-83,-68,-64,-81,-69,-79,-67,-81,-200,-86,-80,-200,-200,-200,-88
1526442081335,-83,-73,-200,-200,-70,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
