,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A18,whu2011309,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro
1526463296982,-32,-34,-52,-49,-50,-61,-49,-56,-50,-51,-56,-43,-48,-57,-61,-53,-58,-64,-55,-60,-61,-45,-67,-61,-200,-200,-60,-62,-200,-200,-60,-200,-64,-65,-64,-200,-200,-200,-62,-73,-55,-68,-75,-62,-200,-200,-73,-62,-72,-200,-200,-79,-200,-85,-73,-200,-84,-86,-82,-85,-200,-86,-83,-80,-200,-49,-55,-63,-90,-57,-58,-58,-60,-76,-80,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463300000,-32,-34,-52,-49,-50,-61,-49,-56,-50,-51,-56,-43,-48,-57,-61,-53,-58,-64,-55,-60,-61,-45,-67,-61,-200,-200,-60,-62,-200,-200,-60,-200,-64,-65,-64,-200,-200,-200,-62,-73,-55,-68,-75,-62,-200,-200,-73,-62,-72,-200,-200,-79,-200,-85,-73,-200,-84,-86,-82,-85,-200,-86,-83,-80,-200,-49,-55,-63,-90,-57,-58,-58,-60,-76,-80,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463303032,-30,-36,-52,-50,-50,-60,-49,-55,-50,-51,-52,-42,-49,-57,-61,-200,-58,-64,-56,-60,-61,-46,-67,-59,-200,-200,-60,-62,-200,-200,-60,-200,-59,-62,-63,-200,-200,-200,-60,-72,-55,-68,-75,-62,-200,-200,-71,-56,-72,-200,-200,-85,-200,-84,-74,-200,-84,-82,-82,-82,-200,-86,-79,-80,-200,-48,-55,-63,-90,-57,-58,-58,-60,-79,-84,-92,-70,-71,-74,-76,-88,-200,-200,-200,-200,-200
1526463306077,-30,-36,-52,-50,-50,-60,-49,-55,-50,-51,-52,-42,-49,-57,-61,-200,-58,-64,-56,-60,-61,-46,-67,-59,-200,-200,-60,-62,-200,-200,-60,-200,-59,-62,-63,-200,-200,-200,-60,-72,-55,-68,-75,-62,-200,-200,-71,-56,-72,-200,-200,-85,-200,-84,-74,-200,-84,-82,-82,-82,-200,-86,-79,-80,-200,-48,-55,-63,-90,-57,-58,-58,-60,-79,-84,-92,-70,-71,-74,-76,-88,-200,-200,-200,-200,-200
1526463309091,-30,-37,-200,-55,-46,-58,-49,-55,-50,-56,-48,-42,-49,-57,-62,-200,-200,-64,-56,-60,-61,-45,-67,-59,-66,-200,-60,-62,-200,-200,-60,-200,-59,-62,-63,-200,-200,-200,-60,-72,-55,-200,-76,-200,-200,-200,-71,-61,-72,-200,-200,-77,-200,-86,-78,-200,-86,-82,-85,-82,-200,-86,-79,-78,-200,-47,-55,-63,-90,-57,-58,-58,-60,-80,-84,-92,-70,-71,-74,-76,-88,-76,-86,-86,-200,-200
1526463312120,-30,-37,-200,-55,-46,-58,-49,-55,-50,-56,-48,-42,-49,-57,-62,-200,-200,-64,-56,-60,-61,-45,-67,-59,-66,-200,-60,-62,-200,-200,-60,-200,-59,-62,-63,-200,-200,-200,-60,-72,-55,-200,-76,-200,-200,-200,-71,-61,-72,-200,-200,-77,-200,-86,-78,-200,-86,-82,-85,-82,-200,-86,-79,-78,-200,-47,-55,-63,-90,-57,-58,-58,-60,-80,-84,-92,-70,-71,-74,-76,-88,-76,-86,-86,-200,-200
1526463315153,-47,-37,-61,-56,-47,-58,-46,-56,-200,-53,-52,-40,-51,-57,-62,-69,-200,-200,-56,-63,-61,-45,-67,-59,-65,-200,-60,-62,-200,-200,-57,-63,-57,-62,-63,-200,-200,-200,-70,-72,-55,-200,-77,-200,-200,-200,-73,-64,-200,-200,-200,-76,-200,-85,-78,-200,-86,-81,-85,-84,-200,-90,-79,-78,-200,-47,-55,-63,-90,-57,-57,-200,-60,-82,-81,-92,-70,-71,-74,-76,-88,-76,-84,-88,-200,-200
1526463318167,-47,-37,-61,-56,-47,-58,-46,-56,-200,-53,-52,-40,-51,-57,-62,-69,-200,-200,-56,-63,-61,-45,-67,-59,-65,-200,-60,-62,-200,-200,-57,-63,-57,-62,-63,-200,-200,-200,-70,-72,-55,-200,-77,-200,-200,-200,-73,-64,-200,-200,-200,-76,-200,-85,-78,-200,-86,-81,-85,-84,-200,-90,-79,-78,-200,-47,-55,-63,-90,-57,-57,-200,-60,-82,-81,-92,-70,-71,-74,-76,-88,-76,-84,-88,-200,-200
1526463321209,-47,-37,-61,-55,-48,-57,-46,-50,-200,-53,-51,-39,-52,-62,-62,-69,-62,-200,-57,-63,-61,-45,-67,-59,-65,-200,-67,-62,-200,-200,-59,-63,-57,-64,-65,-200,-69,-200,-59,-74,-55,-77,-77,-200,-200,-200,-73,-60,-200,-200,-200,-75,-200,-84,-74,-200,-86,-79,-85,-81,-200,-90,-79,-77,-200,-47,-61,-200,-200,-57,-63,-200,-68,-82,-81,-200,-70,-71,-74,-76,-88,-76,-84,-88,-200,-200
1526463324242,-47,-37,-61,-55,-48,-57,-46,-50,-200,-53,-51,-39,-52,-62,-62,-69,-62,-200,-57,-63,-61,-45,-67,-59,-65,-200,-67,-62,-200,-200,-59,-63,-57,-64,-65,-200,-69,-200,-59,-74,-55,-77,-77,-200,-200,-200,-73,-60,-200,-200,-200,-75,-200,-84,-74,-200,-86,-79,-85,-81,-200,-90,-79,-77,-200,-47,-61,-200,-200,-57,-63,-200,-68,-82,-81,-200,-70,-71,-74,-76,-88,-76,-84,-88,-200,-200
1526463327254,-31,-37,-61,-52,-50,-58,-50,-60,-58,-51,-48,-41,-48,-58,-62,-69,-62,-200,-57,-63,-58,-50,-200,-59,-65,-200,-67,-200,-200,-77,-56,-63,-56,-64,-65,-200,-69,-200,-59,-74,-59,-77,-75,-72,-200,-200,-71,-56,-200,-200,-200,-79,-200,-82,-76,-200,-83,-80,-85,-81,-200,-90,-79,-84,-200,-47,-57,-200,-200,-200,-63,-200,-64,-83,-83,-200,-70,-71,-74,-76,-88,-76,-88,-88,-69,-80
1526463330265,-31,-37,-61,-52,-50,-58,-50,-60,-58,-51,-48,-41,-48,-58,-62,-69,-62,-200,-57,-63,-58,-50,-200,-200,-65,-200,-67,-200,-200,-77,-56,-63,-56,-64,-65,-200,-69,-200,-59,-74,-59,-77,-75,-72,-200,-200,-71,-56,-200,-200,-200,-79,-200,-82,-76,-200,-83,-80,-85,-81,-200,-90,-200,-84,-200,-47,-57,-200,-200,-200,-63,-200,-64,-83,-83,-200,-200,-200,-200,-200,-200,-76,-88,-88,-69,-80
