,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D013A8,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526462990377,-52,-200,-35,-37,-40,-50,-32,-50,-44,-43,-53,-51,-47,-49,-53,-74,-43,-57,-46,-51,-58,-200,-62,-200,-200,-67,-200,-68,-51,-60,-74,-59,-69,-200,-200,-62,-200,-67,-70,-200,-81,-79,-76,-73,-200,-82,-200,-200,-200,-49,-61,-63,-63,-69,-59,-62,-70,-67,-200,-200,-200,-200,-200,-200,-200,-200
1526462993389,-52,-200,-35,-37,-40,-50,-32,-50,-44,-43,-53,-51,-47,-49,-53,-74,-43,-57,-46,-51,-58,-200,-62,-200,-200,-67,-200,-68,-51,-60,-74,-59,-69,-200,-200,-62,-200,-67,-70,-200,-81,-79,-76,-73,-200,-82,-200,-200,-200,-49,-61,-63,-63,-69,-59,-62,-70,-67,-200,-200,-200,-200,-200,-200,-200,-200
1526462996409,-52,-200,-36,-38,-40,-50,-38,-44,-44,-38,-53,-49,-49,-50,-53,-74,-43,-56,-45,-51,-58,-65,-62,-200,-200,-64,-58,-68,-43,-200,-74,-200,-69,-200,-200,-63,-200,-67,-67,-200,-80,-77,-76,-73,-200,-81,-200,-200,-200,-49,-61,-63,-63,-200,-59,-61,-70,-67,-66,-67,-200,-200,-200,-200,-200,-200
1526462999423,-52,-200,-31,-38,-40,-50,-38,-44,-44,-38,-53,-49,-49,-50,-53,-74,-43,-56,-45,-51,-58,-65,-62,-200,-200,-64,-58,-68,-43,-200,-74,-200,-69,-200,-200,-63,-200,-67,-67,-200,-80,-77,-76,-73,-200,-81,-200,-200,-200,-49,-61,-63,-63,-200,-59,-61,-70,-67,-66,-67,-200,-200,-200,-200,-200,-200
1526463002439,-52,-200,-33,-38,-40,-50,-38,-55,-44,-42,-53,-49,-49,-50,-53,-74,-43,-56,-45,-54,-58,-65,-62,-200,-200,-66,-58,-68,-43,-200,-74,-200,-69,-200,-200,-63,-200,-67,-71,-200,-80,-78,-76,-73,-200,-82,-200,-200,-200,-49,-200,-200,-63,-200,-59,-61,-70,-67,-66,-67,-200,-200,-200,-200,-200,-200
1526463005455,-52,-200,-35,-38,-40,-50,-38,-55,-44,-42,-53,-49,-49,-50,-53,-74,-43,-56,-45,-54,-58,-65,-62,-200,-200,-66,-58,-68,-43,-200,-74,-200,-69,-200,-200,-63,-200,-67,-71,-200,-80,-78,-76,-73,-200,-82,-200,-200,-200,-49,-200,-200,-63,-200,-59,-61,-70,-67,-66,-67,-200,-200,-200,-200,-200,-200
1526463008481,-52,-200,-36,-35,-41,-50,-33,-46,-44,-42,-53,-48,-53,-50,-55,-75,-43,-56,-45,-56,-55,-65,-62,-200,-200,-64,-60,-68,-41,-200,-73,-200,-69,-200,-200,-60,-200,-66,-71,-200,-82,-79,-74,-74,-200,-82,-200,-200,-200,-200,-57,-200,-200,-200,-59,-61,-200,-67,-66,-67,-68,-71,-88,-200,-200,-200
1526463011492,-52,-200,-35,-35,-41,-50,-33,-46,-44,-42,-53,-48,-53,-50,-55,-75,-43,-56,-45,-56,-55,-65,-62,-200,-200,-64,-60,-68,-41,-200,-73,-200,-69,-200,-200,-60,-200,-66,-71,-200,-82,-79,-74,-74,-200,-82,-200,-200,-200,-200,-57,-200,-200,-200,-59,-61,-200,-67,-66,-67,-68,-71,-88,-200,-200,-200
1526463014507,-50,-200,-34,-37,-41,-50,-33,-46,-44,-41,-200,-48,-53,-50,-54,-75,-43,-56,-42,-55,-55,-65,-62,-200,-200,-63,-58,-68,-54,-200,-73,-200,-69,-200,-200,-61,-200,-67,-68,-200,-81,-78,-76,-74,-200,-81,-200,-200,-200,-53,-57,-200,-200,-200,-200,-61,-200,-67,-66,-67,-68,-71,-88,-200,-200,-200
1526463017530,-50,-200,-34,-37,-41,-50,-33,-46,-44,-41,-200,-48,-53,-50,-54,-75,-43,-56,-42,-55,-55,-65,-62,-200,-200,-63,-58,-68,-54,-200,-73,-200,-69,-200,-200,-61,-200,-67,-68,-200,-81,-78,-76,-74,-200,-81,-200,-200,-200,-53,-57,-200,-200,-200,-200,-61,-200,-67,-66,-67,-68,-71,-88,-200,-200,-200
1526463020546,-50,-55,-35,-38,-42,-52,-32,-46,-44,-44,-200,-49,-48,-50,-53,-75,-43,-53,-45,-55,-55,-65,-61,-200,-200,-63,-64,-67,-48,-200,-73,-200,-69,-200,-200,-61,-80,-67,-68,-200,-80,-77,-76,-74,-200,-81,-200,-200,-88,-53,-57,-200,-200,-72,-60,-61,-200,-200,-66,-67,-65,-71,-88,-200,-200,-200
1526463023577,-50,-50,-36,-38,-41,-51,-31,-46,-44,-44,-200,-46,-52,-50,-52,-75,-43,-53,-45,-55,-55,-61,-58,-200,-200,-63,-60,-67,-44,-200,-73,-200,-69,-200,-200,-59,-80,-67,-68,-200,-80,-75,-76,-75,-200,-81,-92,-200,-88,-53,-60,-200,-59,-70,-60,-61,-200,-200,-200,-200,-65,-71,-88,-63,-67,-78
