,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D00ED0
1526466472712,-27,-44,-37,-42,-42,-36,-49,-44,-53,-49,-61,-53,-61,-52,-65,-65,-52,-60,-67,-63,-61,-62,-69,-66,-200,-67,-200,-74,-72,-68,-200,-200,-74,-72,-75,-86,-86,-86,-200,-200,-200,-88,-200,-89,-68,-81,-79,-200,-200,-200,-200
1526466473002,-27,-44,-37,-42,-42,-36,-49,-44,-53,-49,-61,-53,-61,-52,-65,-65,-52,-60,-67,-63,-61,-62,-69,-66,-200,-67,-200,-74,-72,-68,-200,-200,-74,-72,-75,-86,-86,-86,-200,-200,-200,-88,-200,-89,-68,-81,-79,-200,-200,-200,-200
1526466475719,-28,-44,-35,-41,-42,-36,-49,-44,-53,-53,-53,-53,-61,-53,-63,-63,-52,-57,-67,-55,-62,-57,-64,-66,-200,-64,-200,-71,-71,-68,-200,-200,-79,-72,-77,-82,-81,-86,-200,-200,-200,-88,-200,-89,-68,-81,-79,-69,-200,-200,-200
1526466476014,-27,-44,-35,-41,-42,-36,-49,-44,-53,-53,-53,-53,-61,-53,-63,-63,-52,-57,-67,-55,-62,-57,-64,-66,-200,-64,-200,-71,-71,-68,-200,-200,-79,-72,-77,-82,-81,-86,-200,-200,-200,-88,-200,-89,-68,-81,-79,-69,-200,-200,-200
1526466478730,-27,-46,-36,-43,-43,-44,-46,-44,-50,-53,-57,-53,-60,-51,-67,-63,-55,-59,-59,-56,-58,-62,-66,-66,-200,-64,-200,-71,-75,-68,-200,-200,-75,-73,-74,-86,-81,-86,-61,-82,-200,-88,-200,-89,-68,-81,-79,-70,-78,-200,-200
1526466479028,-25,-46,-36,-43,-43,-44,-46,-44,-50,-53,-57,-53,-60,-51,-67,-63,-55,-59,-59,-56,-58,-62,-66,-66,-200,-64,-200,-71,-75,-68,-200,-200,-75,-73,-74,-86,-81,-86,-61,-82,-200,-88,-200,-89,-68,-81,-79,-70,-78,-200,-200
1526466481747,-25,-46,-36,-43,-43,-44,-46,-44,-50,-53,-57,-53,-60,-51,-67,-63,-55,-59,-59,-56,-58,-62,-66,-66,-200,-64,-200,-71,-75,-68,-200,-200,-75,-73,-74,-86,-81,-86,-61,-82,-200,-88,-200,-89,-68,-81,-79,-70,-78,-200,-200
1526466482036,-25,-46,-36,-43,-43,-44,-46,-44,-50,-53,-57,-53,-60,-51,-67,-63,-55,-59,-59,-56,-58,-62,-66,-66,-200,-64,-200,-71,-75,-68,-200,-200,-75,-73,-74,-86,-81,-86,-61,-82,-200,-88,-200,-89,-68,-81,-79,-70,-78,-200,-200
1526466484765,-30,-38,-39,-43,-40,-37,-52,-46,-49,-58,-57,-58,-60,-55,-59,-63,-53,-59,-59,-56,-57,-66,-70,-66,-200,-68,-200,-71,-77,-68,-67,-200,-75,-73,-80,-84,-87,-86,-61,-82,-200,-88,-200,-89,-68,-81,-79,-70,-78,-200,-200
1526466485052,-25,-38,-39,-43,-40,-37,-52,-46,-49,-58,-57,-58,-60,-55,-59,-63,-53,-59,-59,-56,-57,-66,-70,-66,-200,-68,-200,-71,-77,-68,-67,-200,-75,-73,-80,-84,-87,-86,-61,-82,-200,-88,-200,-89,-68,-81,-79,-70,-78,-200,-200
1526466487777,-25,-38,-39,-43,-40,-37,-52,-46,-49,-58,-57,-58,-60,-55,-59,-63,-53,-59,-59,-56,-57,-66,-70,-200,-200,-68,-200,-71,-77,-68,-67,-200,-75,-73,-80,-84,-87,-86,-61,-82,-200,-200,-200,-89,-200,-200,-79,-70,-78,-200,-200
1526466488060,-25,-38,-39,-43,-40,-37,-52,-46,-49,-58,-57,-58,-60,-55,-59,-63,-53,-59,-59,-56,-57,-66,-70,-200,-200,-68,-200,-71,-77,-68,-67,-200,-75,-73,-80,-84,-87,-86,-61,-82,-200,-200,-200,-89,-200,-200,-79,-70,-78,-200,-200
1526466490790,-27,-40,-39,-43,-37,-40,-52,-46,-47,-50,-57,-55,-58,-55,-59,-63,-52,-64,-59,-57,-57,-64,-67,-200,-200,-65,-200,-71,-77,-68,-67,-200,-75,-73,-78,-86,-86,-86,-61,-82,-200,-200,-200,-89,-200,-200,-79,-70,-78,-79,-81
1526466491075,-31,-40,-39,-43,-37,-40,-52,-46,-47,-50,-57,-55,-58,-55,-59,-63,-52,-64,-59,-57,-57,-64,-67,-200,-200,-65,-200,-71,-77,-68,-67,-200,-75,-73,-78,-86,-86,-86,-61,-82,-200,-200,-200,-89,-200,-200,-79,-70,-78,-79,-81
1526466493805,-31,-40,-39,-43,-37,-40,-52,-46,-47,-50,-57,-55,-58,-55,-59,-63,-52,-64,-59,-57,-57,-64,-67,-200,-200,-65,-200,-71,-77,-200,-67,-200,-75,-73,-78,-86,-86,-200,-61,-82,-200,-200,-200,-200,-200,-200,-200,-70,-78,-79,-81
1526466494087,-31,-40,-39,-43,-37,-40,-52,-46,-47,-50,-57,-55,-58,-55,-59,-63,-52,-64,-59,-57,-57,-64,-67,-200,-200,-65,-200,-71,-77,-200,-67,-200,-75,-73,-78,-86,-86,-200,-61,-82,-200,-200,-200,-200,-200,-200,-200,-70,-78,-79,-81
1526466496827,-27,-41,-38,-47,-37,-40,-43,-46,-47,-48,-53,-55,-58,-49,-59,-59,-52,-63,-59,-57,-58,-62,-71,-200,-200,-61,-200,-71,-74,-200,-67,-200,-76,-73,-80,-85,-86,-200,-61,-82,-200,-89,-200,-200,-200,-200,-200,-70,-78,-79,-81
1526466497111,-28,-41,-38,-47,-37,-40,-43,-46,-47,-48,-53,-55,-58,-49,-59,-59,-52,-63,-59,-57,-58,-62,-71,-200,-200,-61,-200,-71,-74,-200,-67,-200,-76,-73,-80,-85,-86,-200,-61,-82,-200,-89,-200,-200,-200,-200,-200,-70,-78,-79,-81
1526466499838,-28,-41,-38,-47,-37,-40,-43,-46,-47,-48,-53,-55,-58,-49,-59,-59,-52,-63,-59,-57,-58,-62,-71,-200,-200,-61,-200,-200,-74,-200,-67,-200,-76,-73,-80,-85,-86,-200,-61,-82,-200,-89,-200,-200,-200,-200,-200,-70,-78,-79,-81
1526466500125,-28,-41,-38,-47,-37,-40,-43,-46,-47,-48,-53,-55,-58,-49,-59,-59,-52,-63,-59,-57,-58,-62,-71,-200,-200,-61,-200,-200,-74,-200,-67,-200,-76,-73,-80,-85,-86,-200,-61,-82,-200,-89,-200,-200,-200,-200,-200,-70,-78,-79,-81
1526466502862,-28,-40,-38,-47,-39,-39,-43,-47,-47,-49,-53,-55,-58,-49,-59,-59,-52,-63,-59,-57,-57,-62,-71,-200,-200,-61,-200,-200,-73,-200,-67,-200,-74,-73,-78,-85,-88,-200,-61,-82,-200,-89,-200,-200,-200,-200,-200,-70,-78,-79,-81
1526466503147,-29,-40,-38,-47,-39,-39,-43,-47,-47,-49,-53,-55,-58,-49,-59,-59,-52,-63,-59,-57,-57,-62,-71,-200,-200,-61,-200,-200,-73,-200,-67,-200,-74,-73,-78,-85,-88,-200,-61,-82,-200,-89,-200,-200,-200,-200,-200,-70,-78,-79,-81
1526466505883,-29,-36,-36,-43,-35,-38,-43,-55,-47,-49,-57,-55,-62,-49,-59,-61,-52,-63,-59,-57,-57,-64,-68,-200,-200,-63,-200,-200,-74,-200,-68,-200,-73,-71,-78,-86,-86,-200,-200,-200,-75,-89,-200,-200,-200,-200,-200,-200,-200,-79,-81
1526466506160,-29,-36,-36,-43,-35,-38,-43,-55,-47,-49,-57,-55,-62,-49,-59,-61,-52,-63,-59,-57,-57,-64,-68,-200,-200,-63,-200,-200,-74,-200,-68,-200,-73,-71,-78,-86,-86,-200,-200,-200,-75,-89,-200,-200,-200,-200,-200,-200,-200,-79,-81
