,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526466103983,-33,-38,-41,-37,-47,-53,-47,-51,-54,-200,-52,-51,-56,-43,-62,-51,-61,-49,-200,-200,-200,-61,-76,-200,-66,-79,-200,-74,-200,-81,-72,-200,-81,-200,-77,-80,-200,-73,-81,-81,-84,-88,-85,-200,-87,-200,-91,-78,-62,-70,-74,-65,-60,-70,-62,-81,-200,-200,-200,-200,-200,-200,-200
1526466106992,-33,-38,-41,-37,-47,-53,-47,-51,-54,-200,-52,-51,-56,-43,-62,-51,-61,-49,-200,-200,-200,-61,-76,-200,-66,-79,-200,-74,-200,-81,-72,-200,-81,-200,-77,-80,-200,-73,-81,-81,-84,-88,-85,-200,-87,-200,-91,-78,-62,-70,-74,-65,-60,-70,-62,-81,-200,-200,-200,-200,-200,-200,-200
1526466110014,-34,-38,-42,-38,-47,-57,-45,-52,-51,-55,-54,-51,-56,-43,-62,-51,-61,-49,-200,-200,-200,-63,-75,-200,-64,-79,-200,-74,-79,-84,-72,-200,-81,-200,-77,-80,-200,-73,-81,-81,-84,-87,-85,-200,-88,-200,-91,-78,-62,-70,-74,-65,-60,-70,-62,-81,-58,-80,-85,-200,-200,-200,-200
1526466113030,-34,-38,-42,-38,-47,-57,-45,-52,-51,-55,-54,-51,-56,-43,-62,-51,-61,-200,-200,-200,-200,-63,-75,-200,-64,-79,-200,-74,-79,-84,-72,-200,-81,-200,-77,-80,-200,-73,-81,-81,-84,-87,-85,-200,-88,-200,-91,-78,-62,-70,-200,-65,-60,-70,-62,-81,-58,-80,-85,-200,-200,-200,-200
1526466116053,-37,-36,-41,-37,-53,-45,-45,-52,-51,-59,-55,-51,-57,-43,-62,-49,-60,-53,-200,-200,-65,-63,-71,-200,-65,-79,-200,-77,-78,-78,-72,-200,-80,-70,-77,-80,-200,-73,-81,-81,-84,-85,-85,-200,-88,-200,-91,-74,-64,-70,-200,-65,-60,-70,-62,-81,-58,-80,-85,-81,-84,-200,-200
1526466119072,-37,-36,-41,-37,-53,-45,-45,-52,-51,-59,-55,-51,-57,-43,-62,-49,-60,-53,-200,-200,-65,-63,-71,-200,-65,-79,-200,-77,-78,-78,-200,-200,-80,-70,-77,-80,-200,-200,-200,-81,-84,-85,-85,-200,-88,-200,-91,-74,-64,-200,-200,-200,-60,-70,-62,-81,-58,-80,-85,-81,-84,-200,-200
1526466122097,-37,-37,-41,-38,-52,-45,-47,-52,-50,-58,-55,-51,-58,-45,-62,-56,-60,-53,-64,-200,-69,-63,-71,-200,-68,-72,-200,-77,-78,-78,-200,-200,-82,-70,-77,-80,-200,-72,-200,-83,-83,-85,-85,-200,-86,-200,-91,-74,-64,-200,-200,-200,-62,-70,-62,-81,-58,-80,-85,-81,-84,-77,-200
1526466125114,-37,-37,-41,-38,-52,-45,-47,-52,-50,-58,-55,-51,-58,-45,-62,-56,-60,-53,-64,-200,-69,-63,-71,-200,-68,-72,-200,-77,-78,-78,-200,-200,-82,-70,-77,-80,-200,-72,-200,-83,-83,-85,-85,-200,-86,-200,-200,-74,-64,-200,-200,-200,-62,-200,-62,-81,-58,-80,-85,-81,-84,-77,-200
1526466128141,-40,-37,-41,-39,-49,-49,-47,-48,-49,-58,-52,-51,-58,-45,-62,-45,-59,-51,-64,-200,-69,-64,-75,-200,-68,-72,-200,-77,-78,-80,-200,-200,-79,-70,-77,-79,-200,-69,-200,-85,-86,-85,-85,-200,-85,-200,-200,-74,-64,-200,-200,-65,-62,-200,-61,-81,-58,-80,-85,-81,-84,-77,-200
1526466131151,-40,-37,-41,-39,-49,-49,-47,-48,-49,-58,-52,-51,-58,-45,-62,-45,-59,-51,-64,-200,-69,-64,-75,-200,-68,-72,-200,-77,-78,-80,-200,-200,-79,-70,-77,-79,-200,-69,-200,-85,-86,-85,-85,-200,-85,-200,-200,-74,-64,-200,-200,-65,-62,-200,-61,-200,-58,-80,-85,-81,-84,-77,-200
1526466134163,-37,-38,-41,-38,-53,-49,-49,-52,-49,-58,-58,-51,-56,-44,-62,-45,-59,-51,-70,-63,-66,-64,-74,-200,-66,-72,-200,-76,-78,-84,-200,-200,-77,-70,-77,-79,-200,-69,-200,-85,-86,-83,-85,-200,-85,-200,-200,-74,-64,-200,-200,-65,-62,-200,-61,-200,-58,-80,-85,-81,-84,-77,-79
1526466137182,-37,-38,-41,-38,-53,-49,-49,-52,-49,-58,-58,-51,-56,-44,-62,-45,-59,-51,-70,-63,-66,-64,-74,-200,-66,-72,-200,-76,-78,-84,-200,-200,-77,-70,-77,-79,-200,-69,-200,-85,-86,-83,-85,-200,-85,-200,-200,-74,-64,-200,-200,-65,-62,-200,-61,-200,-58,-80,-85,-81,-84,-77,-79
