,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526463637893,-37,-37,-53,-71,-71,-76,-58,-63,-69,-60,-76,-73,-57,-62,-62,-67,-54,-74,-74,-73,-80,-200,-71,-62,-81,-76,-72,-78,-56,-61,-72,-75,-80,-66,-71,-83,-82,-74,-75,-75,-200,-83,-77,-56,-82,-75,-78,-73,-74,-200,-200,-84,-86,-85,-200,-86,-200,-200,-200,-200,-200,-200,-72,-71,-82,-88,-87,-200,-200,-85,-78,-86,-85,-200,-200,-85,-86,-71,-88,-91,-200,-200,-200,-200,-200,-200,-200
1526463640933,-38,-38,-56,-60,-71,-71,-57,-63,-67,-55,-76,-75,-57,-59,-63,-69,-53,-74,-74,-71,-80,-75,-66,-63,-81,-77,-72,-75,-58,-58,-70,-74,-80,-65,-77,-200,-83,-74,-76,-71,-200,-83,-80,-56,-83,-74,-80,-73,-74,-200,-200,-84,-86,-85,-80,-86,-200,-81,-200,-200,-200,-200,-65,-71,-82,-200,-87,-89,-200,-200,-75,-86,-85,-200,-200,-200,-86,-71,-88,-91,-200,-200,-200,-200,-200,-200,-200
1526463643962,-37,-16,-48,-69,-66,-75,-63,-67,-73,-55,-76,-75,-59,-61,-61,-69,-57,-74,-78,-71,-79,-75,-69,-63,-81,-78,-75,-75,-57,-59,-71,-72,-79,-70,-76,-77,-85,-74,-75,-71,-76,-200,-80,-56,-83,-74,-77,-200,-80,-200,-200,-84,-86,-79,-80,-86,-200,-81,-200,-200,-200,-200,-64,-75,-82,-90,-87,-89,-200,-200,-75,-86,-85,-200,-200,-200,-86,-71,-88,-91,-200,-200,-200,-200,-200,-200,-200
1526463647000,-36,-35,-45,-70,-66,-73,-60,-63,-69,-58,-76,-75,-48,-61,-62,-65,-55,-200,-78,-68,-76,-75,-67,-66,-80,-78,-75,-72,-55,-56,-71,-72,-78,-74,-74,-77,-83,-76,-79,-72,-76,-200,-79,-54,-83,-69,-77,-200,-80,-200,-200,-84,-200,-80,-80,-87,-200,-81,-200,-200,-200,-85,-70,-75,-83,-90,-87,-89,-200,-200,-75,-86,-85,-200,-200,-200,-87,-71,-88,-91,-200,-200,-200,-200,-200,-200,-200
1526463650037,-38,-35,-49,-80,-73,-75,-62,-62,-68,-59,-77,-75,-59,-62,-59,-69,-58,-200,-78,-68,-76,-73,-67,-67,-80,-75,-75,-75,-55,-54,-66,-73,-78,-74,-73,-77,-83,-76,-78,-77,-77,-84,-77,-54,-83,-70,-77,-71,-80,-200,-88,-84,-200,-80,-80,-87,-86,-81,-200,-200,-200,-87,-57,-75,-83,-90,-200,-89,-200,-200,-75,-84,-85,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463653074,-39,-39,-47,-64,-69,-75,-63,-62,-70,-59,-79,-200,-75,-62,-64,-67,-57,-73,-71,-71,-77,-73,-67,-68,-83,-78,-66,-75,-55,-58,-68,-73,-78,-66,-72,-78,-83,-77,-81,-77,-77,-84,-75,-56,-200,-74,-77,-76,-80,-200,-89,-84,-200,-80,-200,-87,-86,-81,-85,-200,-200,-87,-57,-75,-83,-90,-200,-200,-200,-200,-79,-86,-85,-200,-200,-200,-87,-200,-88,-200,-83,-200,-200,-200,-200,-200,-200
1526463656090,-38,-42,-40,-63,-77,-69,-60,-65,-63,-56,-74,-200,-56,-66,-68,-65,-61,-73,-81,-68,-76,-60,-66,-70,-83,-78,-68,-74,-57,-68,-74,-73,-78,-66,-75,-78,-83,-77,-81,-77,-80,-84,-74,-58,-200,-69,-200,-76,-73,-88,-89,-84,-200,-82,-200,-87,-86,-200,-85,-200,-200,-90,-57,-77,-87,-200,-200,-200,-200,-200,-79,-86,-83,-85,-200,-200,-87,-200,-88,-200,-83,-90,-200,-200,-200,-200,-200
1526463659125,-36,-45,-41,-63,-61,-58,-61,-65,-66,-55,-74,-65,-59,-60,-63,-60,-65,-75,-76,-64,-76,-60,-66,-68,-84,-78,-69,-70,-52,-68,-68,-78,-78,-64,-76,-77,-83,-77,-77,-73,-77,-83,-74,-62,-200,-69,-200,-76,-73,-88,-89,-83,-200,-82,-82,-200,-81,-83,-85,-200,-88,-90,-57,-77,-87,-86,-200,-200,-200,-200,-79,-80,-83,-85,-200,-200,-88,-200,-88,-200,-83,-90,-76,-88,-200,-200,-200
1526463662170,-37,-46,-42,-58,-70,-61,-61,-61,-67,-59,-76,-63,-59,-67,-61,-59,-70,-75,-78,-68,-73,-60,-67,-69,-81,-79,-69,-69,-52,-70,-68,-77,-200,-68,-73,-76,-83,-76,-75,-71,-77,-83,-74,-58,-200,-69,-200,-76,-75,-88,-85,-83,-200,-82,-82,-87,-81,-83,-85,-200,-88,-90,-66,-74,-87,-86,-87,-200,-200,-200,-79,-80,-85,-85,-200,-200,-88,-200,-88,-200,-83,-90,-76,-88,-200,-200,-200
1526463665182,-36,-40,-41,-61,-59,-64,-61,-78,-68,-57,-76,-64,-58,-62,-65,-60,-64,-76,-74,-73,-76,-69,-67,-64,-83,-78,-69,-70,-51,-66,-65,-79,-200,-72,-74,-75,-83,-73,-79,-71,-79,-77,-72,-62,-84,-69,-84,-77,-72,-88,-85,-83,-200,-82,-83,-86,-84,-89,-200,-200,-88,-88,-72,-73,-87,-87,-87,-200,-200,-200,-200,-82,-85,-85,-200,-200,-88,-200,-200,-200,-200,-90,-76,-88,-200,-200,-200
1526463668223,-39,-46,-41,-58,-59,-65,-62,-78,-66,-58,-76,-64,-58,-63,-69,-62,-60,-76,-77,-66,-77,-65,-65,-57,-83,-66,-69,-72,-61,-56,-65,-79,-200,-71,-74,-75,-83,-73,-80,-77,-79,-77,-69,-59,-84,-200,-84,-77,-72,-200,-85,-83,-200,-200,-83,-86,-79,-89,-200,-200,-88,-88,-72,-82,-200,-87,-87,-200,-200,-200,-82,-82,-85,-200,-200,-200,-88,-200,-200,-200,-200,-200,-78,-88,-79,-85,-89
1526463671268,-40,-47,-39,-58,-62,-65,-69,-78,-67,-58,-76,-64,-57,-68,-66,-63,-62,-76,-72,-67,-77,-66,-67,-67,-83,-79,-76,-72,-52,-58,-67,-78,-88,-64,-76,-75,-87,-73,-80,-75,-79,-79,-69,-67,-84,-74,-84,-77,-73,-91,-85,-200,-200,-200,-83,-85,-86,-87,-84,-200,-200,-88,-73,-76,-200,-87,-87,-200,-200,-200,-82,-82,-85,-200,-200,-200,-88,-200,-200,-200,-200,-200,-79,-200,-79,-85,-89
