,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A60,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463207281,-43,-45,-46,-48,-52,-49,-40,-55,-54,-58,-52,-65,-59,-63,-64,-76,-78,-200,-72,-75,-54,-79,-61,-75,-66,-68,-70,-70,-73,-83,-81,-90,-86,-82,-80,-71,-200,-84,-200,-200,-79,-200,-77,-85,-200,-86,-87,-91,-200,-200,-200,-85,-200,-81,-84,-89,-92,-200,-200,-200,-86,-89,-200,-200,-87,-88,-87,-93,-200,-200,-200,-200,-200
1526463210291,-40,-44,-47,-48,-51,-49,-42,-55,-53,-57,-60,-62,-56,-69,-62,-68,-78,-66,-70,-73,-64,-71,-52,-77,-68,-73,-73,-68,-73,-83,-81,-82,-86,-82,-200,-71,-200,-84,-200,-200,-76,-200,-86,-85,-200,-79,-87,-91,-200,-200,-200,-85,-200,-81,-84,-89,-92,-87,-200,-200,-87,-89,-92,-200,-87,-200,-89,-93,-200,-200,-200,-200,-200
1526463213299,-42,-43,-46,-48,-52,-49,-41,-55,-54,-58,-57,-66,-58,-69,-63,-70,-75,-66,-72,-78,-66,-71,-64,-77,-67,-73,-75,-68,-73,-80,-81,-80,-86,-82,-84,-71,-200,-84,-76,-200,-78,-200,-86,-85,-86,-82,-86,-85,-200,-200,-200,-88,-200,-81,-84,-89,-92,-87,-200,-200,-87,-89,-92,-200,-85,-200,-89,-93,-85,-200,-200,-200,-200
1526463216309,-39,-46,-49,-47,-50,-49,-38,-53,-52,-57,-59,-64,-57,-69,-62,-70,-62,-66,-74,-74,-62,-75,-64,-77,-67,-73,-70,-69,-73,-80,-86,-82,-200,-82,-82,-72,-200,-81,-76,-200,-78,-200,-86,-85,-86,-81,-88,-85,-200,-200,-200,-87,-200,-81,-80,-89,-92,-87,-200,-200,-87,-89,-92,-200,-85,-200,-89,-93,-85,-200,-200,-200,-200
1526463219319,-41,-42,-46,-48,-53,-52,-40,-54,-53,-58,-58,-67,-59,-68,-62,-68,-75,-200,-70,-76,-64,-77,-65,-75,-69,-72,-72,-70,-200,-81,-86,-81,-84,-81,-85,-69,-200,-81,-76,-73,-81,-200,-79,-83,-86,-87,-87,-85,-200,-200,-200,-87,-200,-200,-82,-87,-200,-89,-200,-89,-200,-89,-200,-200,-87,-200,-90,-200,-85,-91,-200,-200,-200
1526463222331,-41,-44,-54,-47,-51,-55,-42,-53,-60,-61,-54,-66,-54,-72,-63,-71,-67,-77,-69,-74,-64,-82,-65,-77,-67,-72,-73,-69,-66,-85,-86,-83,-84,-79,-85,-73,-87,-81,-200,-73,-81,-200,-79,-83,-91,-87,-86,-87,-200,-200,-200,-87,-200,-200,-84,-87,-200,-87,-200,-89,-200,-88,-200,-200,-87,-200,-90,-200,-200,-91,-200,-200,-200
1526463225341,-39,-48,-50,-48,-53,-56,-41,-54,-49,-61,-55,-64,-56,-69,-63,-73,-67,-74,-70,-73,-68,-81,-71,-74,-67,-72,-71,-70,-67,-82,-200,-82,-84,-80,-85,-71,-87,-200,-75,-73,-81,-200,-79,-85,-87,-83,-86,-86,-200,-200,-200,-87,-200,-200,-84,-87,-200,-90,-200,-89,-84,-90,-200,-200,-86,-88,-90,-200,-200,-91,-200,-200,-200
1526463228355,-38,-43,-50,-48,-54,-47,-41,-53,-52,-65,-52,-65,-53,-68,-62,-76,-71,-74,-73,-78,-66,-81,-71,-74,-62,-71,-73,-70,-70,-82,-85,-84,-84,-82,-84,-70,-87,-200,-75,-200,-200,-200,-79,-85,-88,-88,-86,-85,-200,-200,-91,-87,-200,-200,-84,-87,-200,-90,-200,-89,-84,-90,-200,-200,-86,-88,-90,-200,-200,-200,-90,-200,-200
1526463231359,-40,-42,-50,-47,-55,-54,-40,-58,-51,-65,-55,-67,-53,-67,-60,-69,-76,-73,-70,-78,-64,-79,-71,-74,-66,-74,-73,-70,-69,-82,-85,-86,-200,-82,-84,-70,-87,-200,-75,-200,-200,-91,-200,-85,-88,-81,-86,-85,-200,-200,-91,-200,-200,-85,-80,-87,-200,-90,-200,-200,-84,-90,-200,-200,-86,-88,-200,-200,-200,-200,-90,-200,-200
1526463234372,-44,-45,-48,-47,-54,-52,-42,-53,-55,-59,-57,-67,-55,-74,-65,-66,-70,-72,-69,-54,-61,-77,-57,-77,-68,-73,-72,-65,-69,-200,-85,-82,-200,-84,-84,-70,-200,-85,-200,-200,-82,-91,-82,-84,-88,-81,-200,-85,-200,-200,-91,-85,-200,-66,-81,-87,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-88,-200,-200,-200,-90,-200,-200
1526463237381,-41,-44,-50,-48,-53,-50,-41,-53,-55,-59,-58,-66,-50,-66,-63,-70,-75,-67,-69,-54,-66,-77,-68,-79,-68,-74,-72,-71,-69,-200,-84,-82,-200,-80,-200,-71,-200,-85,-200,-200,-82,-91,-82,-82,-82,-81,-87,-86,-200,-200,-200,-83,-200,-66,-81,-200,-200,-200,-200,-200,-85,-90,-200,-200,-85,-200,-88,-200,-200,-200,-200,-90,-200
1526463240389,-40,-42,-51,-48,-55,-47,-38,-54,-56,-60,-55,-66,-56,-65,-61,-68,-72,-73,-67,-54,-66,-81,-65,-75,-63,-74,-70,-67,-66,-80,-83,-80,-200,-80,-79,-73,-200,-83,-73,-200,-85,-200,-82,-81,-82,-81,-87,-87,-200,-200,-200,-83,-200,-82,-81,-200,-200,-200,-200,-200,-85,-87,-200,-200,-85,-200,-88,-200,-200,-200,-200,-90,-90
