,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A20,DLINK_D00E98,DLINK_D00ED0,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18
1526455618691,-36,-43,-54,-47,-70,-72,-66,-67,-56,-71,-66,-78,-76,-80,-70,-72,-60,-82,-64,-74,-79,-77,-73,-87,-74,-82,-78,-77,-73,-79,-74,-85,-89,-81,-200,-82,-81,-200,-200,-200,-200,-85,-200,-90,-200,-200,-89,-200,-85,-200,-79,-200,-200,-200,-72,-89,-90,-200,-85,-88,-79,-200,-91,-83,-90,-88,-87,-89,-88,-89,-91
1526455621714,-32,-43,-53,-45,-71,-75,-66,-69,-58,-73,-62,-78,-72,-78,-66,-73,-60,-82,-64,-67,-83,-77,-76,-87,-71,-79,-80,-72,-73,-78,-75,-82,-89,-87,-200,-82,-86,-200,-200,-200,-200,-85,-200,-90,-85,-200,-89,-200,-83,-200,-79,-200,-87,-200,-71,-89,-90,-200,-85,-88,-80,-200,-91,-83,-90,-88,-200,-89,-88,-89,-91
1526455624729,-32,-45,-51,-47,-71,-79,-64,-73,-57,-69,-62,-78,-70,-78,-65,-75,-67,-82,-63,-67,-83,-77,-71,-87,-68,-79,-79,-73,-73,-73,-75,-82,-90,-87,-200,-81,-86,-87,-200,-88,-200,-84,-200,-90,-85,-200,-89,-200,-84,-200,-200,-200,-87,-200,-72,-88,-90,-200,-85,-85,-80,-84,-91,-200,-200,-200,-200,-200,-88,-89,-91
1526455627743,-32,-42,-55,-47,-73,-68,-67,-66,-56,-71,-64,-79,-70,-78,-65,-72,-58,-82,-64,-69,-83,-77,-77,-91,-69,-81,-79,-72,-200,-73,-75,-82,-90,-87,-200,-81,-86,-83,-200,-87,-88,-83,-200,-200,-85,-200,-200,-86,-84,-200,-200,-92,-87,-200,-72,-88,-200,-200,-85,-85,-77,-84,-91,-200,-92,-200,-200,-200,-200,-200,-200
1526455630761,-34,-43,-54,-49,-71,-72,-66,-71,-56,-71,-64,-78,-73,-78,-68,-72,-60,-84,-62,-75,-83,-76,-72,-85,-69,-80,-86,-73,-70,-73,-75,-82,-90,-80,-200,-81,-86,-83,-200,-87,-88,-87,-200,-200,-86,-200,-200,-86,-87,-200,-200,-92,-87,-200,-74,-88,-93,-200,-200,-86,-76,-84,-91,-200,-92,-200,-86,-200,-200,-200,-200
1526455633772,-31,-41,-55,-46,-71,-72,-70,-69,-58,-72,-63,-78,-73,-200,-64,-72,-60,-82,-64,-68,-78,-76,-72,-85,-75,-81,-86,-72,-71,-82,-200,-85,-89,-80,-200,-81,-200,-83,-200,-87,-88,-87,-200,-88,-86,-200,-200,-86,-87,-200,-82,-92,-200,-200,-73,-88,-93,-92,-200,-86,-79,-84,-91,-84,-92,-89,-86,-200,-200,-200,-200
1526455636786,-32,-43,-50,-46,-72,-69,-71,-75,-58,-72,-66,-76,-79,-81,-65,-74,-61,-85,-62,-77,-79,-76,-72,-83,-75,-80,-86,-73,-69,-76,-200,-85,-89,-80,-200,-80,-82,-83,-200,-87,-88,-87,-200,-88,-84,-200,-200,-86,-87,-200,-82,-200,-200,-200,-73,-200,-93,-92,-85,-85,-79,-200,-91,-84,-200,-91,-87,-200,-200,-200,-200
1526455639823,-32,-42,-54,-45,-68,-70,-70,-76,-56,-80,-66,-76,-79,-81,-68,-73,-58,-85,-65,-68,-78,-76,-72,-83,-72,-80,-78,-73,-69,-76,-76,-85,-89,-80,-200,-79,-82,-200,-200,-88,-200,-87,-200,-88,-84,-200,-200,-200,-87,-200,-82,-200,-200,-200,-73,-89,-93,-92,-85,-85,-79,-200,-91,-85,-200,-91,-87,-200,-200,-200,-200
1526455642837,-32,-42,-54,-46,-68,-72,-68,-77,-58,-80,-65,-76,-78,-73,-65,-72,-61,-86,-65,-76,-78,-76,-72,-83,-71,-81,-78,-73,-69,-76,-76,-85,-89,-78,-200,-80,-82,-200,-200,-88,-200,-200,-200,-88,-84,-200,-200,-200,-86,-200,-82,-200,-200,-200,-74,-89,-200,-92,-85,-85,-79,-200,-91,-85,-200,-88,-85,-200,-91,-200,-200
1526455645852,-32,-43,-51,-53,-73,-72,-68,-70,-56,-77,-68,-78,-78,-73,-67,-74,-61,-86,-63,-76,-78,-74,-75,-83,-73,-80,-78,-73,-71,-76,-76,-85,-90,-84,-200,-80,-82,-200,-200,-88,-200,-200,-200,-88,-84,-200,-200,-200,-86,-92,-83,-200,-200,-200,-74,-90,-200,-200,-85,-85,-81,-200,-91,-86,-200,-88,-85,-200,-91,-200,-200
1526455648859,-32,-44,-54,-46,-73,-71,-70,-72,-57,-76,-74,-78,-79,-75,-68,-74,-61,-86,-66,-66,-78,-77,-76,-200,-72,-80,-78,-73,-72,-76,-76,-85,-89,-84,-200,-80,-83,-200,-200,-88,-85,-200,-200,-88,-200,-200,-200,-200,-85,-92,-83,-200,-200,-200,-75,-90,-200,-200,-200,-84,-81,-200,-200,-86,-200,-88,-85,-200,-89,-200,-200
1526455651878,-33,-43,-51,-47,-73,-68,-70,-68,-56,-74,-68,-77,-79,-80,-66,-73,-61,-86,-63,-76,-200,-76,-77,-200,-73,-80,-200,-72,-70,-78,-200,-85,-88,-84,-200,-80,-83,-200,-200,-87,-85,-85,-200,-88,-200,-200,-200,-200,-85,-92,-83,-200,-200,-200,-76,-89,-200,-200,-200,-84,-74,-200,-200,-86,-200,-88,-85,-200,-89,-200,-200
