,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526453874564,-33,-27,-200,-38,-42,-50,-41,-58,-48,-52,-200,-60,-51,-48,-58,-56,-63,-52,-52,-54,-66,-67,-56,-65,-76,-200,-66,-68,-200,-200,-76,-200,-62,-200,-81,-75,-75,-87,-87,-75,-80,-82,-80,-200,-80,-200,-87,-89,-82,-87,-200,-200,-48,-47,-200,-90,-57,-86,-55,-60,-77,-200,-200,-200,-200
1526453877594,-32,-27,-200,-38,-42,-50,-41,-58,-48,-52,-200,-60,-51,-48,-58,-56,-63,-52,-52,-54,-66,-67,-56,-65,-76,-200,-200,-200,-200,-200,-76,-200,-62,-200,-81,-75,-75,-87,-87,-75,-80,-82,-80,-200,-80,-200,-87,-89,-82,-87,-200,-200,-48,-47,-200,-90,-57,-86,-55,-60,-77,-200,-200,-200,-200
1526453880618,-31,-27,-49,-41,-45,-50,-48,-53,-50,-48,-200,-56,-51,-48,-54,-52,-63,-52,-50,-58,-66,-67,-52,-65,-69,-200,-200,-200,-200,-200,-73,-200,-61,-200,-78,-75,-76,-84,-200,-74,-80,-78,-80,-200,-80,-200,-89,-88,-80,-87,-200,-200,-53,-52,-200,-200,-57,-84,-55,-60,-77,-51,-69,-200,-200
1526453883646,-33,-27,-49,-41,-45,-50,-48,-53,-50,-48,-200,-56,-51,-48,-54,-52,-63,-52,-50,-58,-66,-67,-52,-65,-69,-200,-200,-200,-200,-200,-73,-200,-61,-200,-78,-75,-76,-84,-200,-74,-80,-78,-80,-200,-80,-200,-89,-88,-80,-87,-200,-200,-53,-52,-200,-200,-57,-84,-55,-60,-77,-51,-69,-200,-200
1526453886665,-32,-37,-49,-39,-49,-46,-48,-46,-45,-44,-200,-54,-55,-48,-54,-50,-61,-52,-46,-57,-66,-67,-58,-66,-69,-200,-200,-200,-200,-200,-73,-200,-63,-200,-79,-75,-74,-83,-200,-74,-79,-81,-80,-200,-80,-200,-87,-88,-81,-87,-200,-200,-53,-52,-200,-200,-200,-84,-55,-65,-77,-51,-69,-63,-200
1526453889686,-33,-37,-49,-39,-49,-46,-48,-46,-45,-44,-200,-54,-55,-48,-54,-50,-61,-52,-46,-57,-66,-67,-58,-66,-69,-200,-200,-200,-200,-200,-73,-200,-63,-200,-79,-75,-74,-83,-200,-74,-79,-81,-80,-200,-80,-200,-87,-88,-81,-87,-200,-200,-53,-52,-200,-200,-200,-84,-55,-65,-77,-51,-69,-63,-200
1526453892714,-33,-36,-47,-39,-49,-50,-48,-46,-46,-46,-200,-56,-56,-48,-50,-50,-65,-52,-46,-57,-66,-67,-58,-67,-70,-200,-200,-200,-200,-200,-69,-200,-63,-200,-79,-200,-75,-82,-200,-74,-78,-81,-82,-91,-81,-200,-87,-91,-81,-87,-200,-200,-54,-52,-200,-200,-200,-86,-53,-68,-77,-56,-70,-63,-200
1526453895741,-36,-36,-47,-39,-49,-50,-48,-46,-46,-46,-200,-56,-56,-48,-50,-50,-65,-52,-46,-57,-66,-67,-58,-67,-70,-200,-200,-200,-200,-200,-69,-200,-63,-200,-79,-200,-75,-82,-200,-74,-78,-81,-82,-91,-81,-200,-87,-91,-81,-87,-200,-200,-54,-52,-200,-200,-200,-86,-53,-68,-77,-56,-70,-63,-200
1526453898769,-38,-36,-47,-39,-43,-50,-44,-46,-46,-46,-200,-56,-56,-54,-56,-52,-65,-52,-48,-59,-200,-200,-50,-67,-70,-200,-200,-200,-200,-200,-66,-200,-63,-200,-75,-200,-71,-82,-200,-80,-79,-81,-83,-91,-78,-200,-86,-87,-81,-88,-200,-200,-54,-52,-200,-200,-200,-86,-52,-69,-77,-56,-72,-63,-200
1526453901795,-36,-36,-47,-39,-43,-50,-44,-46,-46,-46,-200,-56,-56,-54,-56,-52,-65,-52,-48,-59,-200,-200,-50,-67,-70,-200,-200,-200,-200,-200,-66,-200,-63,-200,-75,-200,-71,-82,-200,-80,-79,-81,-83,-91,-78,-200,-86,-87,-81,-88,-200,-200,-54,-52,-200,-200,-200,-86,-52,-69,-77,-56,-72,-63,-200
1526453904813,-38,-36,-47,-37,-46,-50,-44,-49,-46,-51,-200,-54,-54,-54,-56,-52,-64,-200,-50,-56,-67,-200,-57,-67,-69,-200,-200,-200,-200,-200,-66,-75,-61,-200,-77,-200,-72,-85,-200,-75,-79,-87,-83,-91,-83,-200,-85,-86,-81,-88,-200,-200,-54,-52,-200,-200,-200,-86,-54,-67,-200,-56,-72,-63,-71
1526453907841,-35,-36,-47,-37,-46,-50,-44,-49,-46,-51,-200,-54,-54,-54,-56,-52,-64,-200,-50,-56,-67,-200,-57,-67,-69,-200,-200,-200,-200,-200,-66,-75,-61,-200,-77,-200,-72,-85,-200,-75,-79,-87,-83,-91,-83,-200,-85,-86,-81,-88,-200,-200,-54,-52,-200,-200,-200,-86,-54,-67,-200,-56,-72,-63,-71
