,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526460215833,-35,-30,-51,-48,-43,-52,-52,-52,-54,-59,-52,-63,-65,-57,-53,-62,-64,-62,-66,-68,-57,-84,-56,-66,-70,-71,-74,-79,-72,-77,-69,-200,-76,-76,-76,-76,-72,-83,-77,-69,-67,-81,-78,-78,-87,-71,-74,-80,-68,-88,-81,-77,-91,-76,-88,-200,-200,-78,-87,-93,-200,-87,-93,-77,-94,-78,-79,-84,-80,-77,-85,-76,-200,-94,-86,-85,-83,-200,-200,-200,-200,-200,-96,-200,-79,-85,-87,-200,-93,-95,-200,-83,-92,-85,-200,-200,-200,-200,-90,-91,-98,-91,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460218894,-36,-34,-50,-55,-45,-56,-52,-47,-53,-58,-57,-59,-73,-57,-53,-54,-72,-63,-63,-76,-59,-81,-61,-69,-63,-72,-79,-77,-69,-79,-68,-76,-77,-74,-81,-78,-67,-77,-77,-64,-67,-78,-79,-78,-86,-71,-76,-78,-68,-85,-83,-77,-91,-76,-86,-200,-79,-78,-87,-97,-200,-200,-93,-77,-91,-81,-78,-85,-78,-85,-86,-76,-89,-94,-86,-85,-80,-200,-200,-200,-200,-200,-96,-200,-79,-85,-91,-200,-95,-200,-200,-200,-92,-85,-89,-200,-200,-200,-89,-200,-200,-91,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460221946,-34,-36,-52,-48,-42,-54,-49,-61,-55,-58,-57,-67,-68,-55,-58,-56,-63,-55,-68,-76,-60,-83,-59,-69,-69,-68,-74,-73,-73,-76,-68,-78,-77,-74,-78,-75,-68,-80,-80,-56,-61,-76,-80,-82,-91,-71,-77,-78,-68,-81,-82,-83,-200,-76,-87,-200,-79,-79,-90,-97,-200,-200,-91,-84,-94,-81,-78,-85,-78,-80,-83,-76,-89,-94,-86,-85,-82,-200,-200,-200,-200,-200,-96,-91,-79,-85,-91,-200,-80,-200,-200,-82,-92,-87,-88,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460224994,-37,-32,-48,-53,-42,-56,-53,-49,-53,-65,-56,-58,-65,-57,-54,-64,-67,-60,-68,-76,-60,-79,-61,-69,-68,-73,-74,-81,-73,-76,-74,-72,-78,-74,-76,-78,-68,-80,-77,-63,-66,-81,-79,-82,-87,-72,-72,-85,-68,-89,-79,-79,-200,-76,-83,-200,-79,-79,-87,-97,-200,-200,-91,-79,-93,-81,-76,-88,-78,-83,-87,-200,-88,-200,-94,-200,-82,-94,-200,-200,-200,-200,-92,-91,-72,-200,-91,-200,-93,-94,-200,-82,-200,-85,-88,-200,-200,-200,-89,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460228043,-35,-30,-47,-55,-41,-53,-54,-49,-53,-61,-56,-65,-64,-58,-52,-58,-68,-65,-66,-200,-57,-76,-68,-67,-63,-71,-74,-79,-73,-76,-71,-72,-78,-76,-77,-76,-72,-80,-70,-68,-65,-78,-80,-82,-86,-72,-72,-77,-70,-86,-83,-75,-89,-76,-86,-200,-200,-79,-93,-200,-200,-200,-94,-78,-93,-200,-76,-81,-82,-84,-87,-78,-88,-200,-94,-200,-86,-91,-200,-94,-200,-200,-92,-91,-72,-83,-86,-200,-93,-94,-92,-82,-200,-85,-94,-200,-200,-200,-200,-200,-200,-95,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460231092,-37,-31,-50,-51,-46,-54,-49,-49,-52,-64,-56,-62,-63,-55,-49,-59,-63,-64,-66,-200,-56,-87,-59,-65,-67,-72,-77,-79,-71,-76,-71,-73,-78,-76,-76,-79,-66,-83,-82,-68,-67,-81,-79,-200,-88,-68,-74,-87,-64,-89,-83,-78,-89,-200,-84,-200,-200,-78,-93,-92,-200,-200,-94,-80,-93,-81,-76,-87,-82,-78,-83,-74,-88,-94,-94,-200,-89,-91,-200,-94,-200,-200,-92,-200,-75,-83,-86,-200,-93,-94,-92,-87,-200,-85,-94,-200,-83,-200,-200,-200,-200,-92,-200,-97,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526460234143,-38,-32,-47,-48,-45,-55,-53,-52,-53,-53,-56,-69,-63,-57,-53,-69,-67,-58,-65,-79,-58,-87,-61,-70,-74,-71,-77,-77,-72,-74,-72,-73,-76,-67,-75,-78,-70,-75,-88,-67,-66,-80,-77,-75,-87,-71,-71,-84,-70,-80,-83,-81,-91,-78,-84,-200,-200,-79,-89,-92,-200,-200,-92,-83,-96,-79,-76,-92,-200,-79,-82,-70,-88,-96,-88,-90,-89,-93,-200,-200,-200,-200,-200,-200,-83,-83,-88,-200,-200,-200,-83,-87,-200,-200,-86,-76,-83,-200,-200,-200,-200,-92,-200,-200,-96,-92,-96,-97,-99,-200,-200,-200,-200
1526460237207,-37,-30,-48,-51,-41,-57,-51,-50,-52,-60,-57,-66,-63,-63,-50,-60,-66,-59,-74,-73,-63,-87,-58,-66,-70,-72,-77,-80,-72,-75,-72,-73,-76,-75,-74,-79,-71,-81,-78,-68,-67,-82,-79,-75,-86,-70,-72,-80,-70,-86,-81,-78,-90,-77,-85,-84,-200,-79,-89,-92,-99,-200,-94,-83,-96,-79,-76,-86,-80,-87,-84,-76,-88,-96,-88,-90,-81,-93,-200,-200,-200,-200,-200,-97,-78,-83,-86,-200,-200,-93,-83,-84,-200,-200,-86,-87,-83,-200,-200,-200,-200,-92,-200,-200,-96,-92,-96,-97,-99,-93,-200,-200,-200
1526460240236,-38,-31,-48,-49,-44,-54,-50,-48,-53,-58,-57,-65,-68,-59,-50,-62,-73,-58,-70,-74,-62,-80,-62,-67,-70,-70,-79,-78,-73,-70,-72,-72,-77,-75,-74,-78,-70,-79,-82,-69,-67,-81,-79,-75,-88,-71,-71,-83,-69,-86,-81,-79,-90,-78,-85,-84,-200,-77,-89,-200,-99,-94,-94,-81,-94,-79,-77,-86,-80,-76,-84,-76,-90,-96,-88,-87,-91,-93,-200,-200,-200,-200,-200,-97,-78,-84,-87,-200,-96,-93,-83,-84,-200,-200,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-96,-97,-96,-93,-200,-200,-200
1526460243287,-36,-33,-48,-48,-45,-54,-53,-52,-53,-60,-57,-59,-65,-61,-55,-73,-65,-58,-63,-78,-57,-80,-60,-75,-75,-67,-74,-78,-71,-74,-72,-73,-77,-73,-75,-79,-71,-80,-85,-64,-66,-80,-78,-200,-85,-70,-73,-87,-64,-75,-83,-80,-90,-78,-83,-84,-200,-79,-200,-93,-99,-92,-94,-79,-94,-200,-77,-86,-80,-76,-84,-78,-87,-96,-200,-87,-91,-200,-200,-200,-200,-200,-200,-96,-76,-84,-87,-200,-96,-95,-200,-84,-200,-200,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-99,-93,-200,-200,-200
1526460246336,-36,-31,-50,-51,-42,-53,-49,-51,-55,-58,-58,-62,-63,-59,-49,-58,-63,-61,-69,-71,-60,-78,-60,-75,-69,-71,-74,-81,-71,-74,-72,-68,-75,-71,-75,-79,-70,-83,-78,-61,-66,-81,-80,-200,-86,-68,-70,-83,-68,-86,-81,-77,-86,-78,-83,-200,-200,-78,-200,-91,-200,-94,-92,-80,-95,-200,-76,-85,-200,-84,-84,-67,-93,-96,-200,-87,-89,-200,-200,-200,-200,-200,-95,-96,-74,-84,-88,-200,-96,-95,-200,-84,-200,-80,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200,-94,-97,-200
1526460249394,-37,-30,-48,-52,-45,-53,-51,-52,-54,-60,-59,-64,-61,-59,-52,-72,-73,-63,-67,-77,-60,-77,-62,-66,-69,-68,-74,-87,-74,-79,-72,-70,-78,-71,-79,-76,-70,-85,-74,-67,-63,-80,-77,-200,-85,-68,-73,-83,-71,-86,-79,-79,-92,-78,-86,-200,-200,-78,-92,-91,-200,-94,-92,-80,-95,-80,-80,-83,-200,-78,-88,-76,-93,-96,-86,-200,-86,-94,-200,-200,-200,-200,-92,-96,-74,-82,-89,-200,-200,-96,-200,-200,-95,-84,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200,-94,-97,-97
