,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,DLINK_D02A48,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,DLINK_D02A20
1526459774684,-40,-36,-52,-45,-43,-48,-63,-54,-61,-46,-63,-65,-68,-55,-61,-69,-62,-56,-69,-80,-59,-80,-74,-62,-67,-74,-71,-72,-56,-70,-61,-75,-82,-78,-63,-80,-81,-72,-65,-61,-85,-76,-81,-81,-80,-71,-80,-79,-81,-78,-200,-85,-85,-88,-82,-200,-200,-200,-93,-81,-200,-200,-80,-80,-83,-200,-90,-77,-200,-87,-97,-90,-88,-77,-200,-93,-200,-90,-200,-81,-200,-97,-83,-200,-200,-200,-89,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459777734,-46,-38,-61,-45,-42,-49,-65,-47,-61,-46,-58,-65,-60,-56,-51,-71,-61,-58,-75,-82,-60,-85,-80,-61,-69,-72,-69,-68,-56,-65,-61,-72,-80,-78,-71,-82,-81,-72,-71,-70,-85,-76,-79,-86,-77,-72,-80,-79,-80,-79,-84,-85,-85,-88,-75,-200,-200,-200,-93,-81,-91,-200,-82,-75,-83,-200,-200,-79,-91,-87,-200,-90,-88,-200,-87,-90,-200,-90,-200,-81,-200,-97,-83,-200,-200,-200,-89,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459780786,-45,-37,-58,-47,-47,-47,-58,-59,-60,-49,-58,-64,-65,-57,-60,-68,-67,-55,-75,-80,-58,-84,-78,-64,-73,-73,-75,-66,-56,-73,-63,-74,-76,-74,-64,-81,-83,-73,-71,-68,-75,-70,-77,-86,-78,-78,-79,-83,-81,-88,-82,-87,-85,-90,-85,-83,-200,-200,-88,-81,-91,-200,-81,-68,-200,-200,-200,-77,-89,-86,-94,-94,-88,-74,-87,-90,-200,-92,-200,-200,-200,-200,-83,-200,-200,-95,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459783833,-48,-33,-67,-46,-50,-49,-61,-59,-56,-48,-60,-62,-67,-56,-60,-68,-68,-60,-74,-80,-65,-86,-78,-64,-73,-77,-70,-66,-56,-70,-65,-75,-78,-83,-61,-83,-88,-71,-72,-68,-77,-75,-77,-86,-82,-78,-77,-76,-81,-88,-83,-89,-200,-90,-80,-84,-92,-200,-88,-200,-81,-200,-80,-76,-200,-200,-92,-77,-89,-86,-94,-97,-200,-76,-87,-90,-200,-92,-200,-84,-200,-200,-81,-200,-200,-95,-200,-95,-89,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459786882,-44,-38,-56,-45,-40,-48,-60,-57,-64,-51,-61,-61,-69,-58,-61,-62,-65,-59,-82,-84,-58,-76,-72,-59,-65,-71,-62,-70,-56,-68,-62,-76,-80,-77,-66,-82,-81,-73,-74,-69,-83,-77,-77,-200,-79,-77,-78,-77,-79,-88,-83,-89,-200,-90,-77,-81,-92,-200,-94,-200,-81,-77,-82,-81,-200,-200,-91,-75,-89,-79,-94,-97,-89,-76,-200,-90,-200,-93,-200,-84,-200,-200,-81,-200,-200,-95,-200,-95,-89,-94,-96,-95,-95,-200,-200,-200,-200,-200,-200,-200
1526459789941,-46,-39,-59,-43,-43,-49,-57,-55,-54,-51,-61,-64,-75,-54,-64,-62,-66,-55,-75,-79,-62,-82,-76,-49,-67,-74,-62,-68,-59,-68,-62,-76,-80,-77,-70,-82,-83,-80,-75,-69,-75,-78,-77,-200,-80,-85,-78,-78,-77,-82,-83,-92,-86,-89,-77,-81,-92,-200,-90,-91,-81,-77,-83,-81,-86,-200,-91,-76,-92,-87,-97,-97,-89,-76,-200,-90,-200,-93,-200,-82,-200,-96,-83,-200,-200,-200,-200,-200,-89,-94,-96,-95,-95,-200,-200,-200,-200,-200,-200,-200
1526459792994,-47,-39,-67,-46,-42,-51,-62,-57,-57,-52,-61,-66,-72,-53,-64,-58,-71,-53,-75,-77,-62,-83,-82,-49,-70,-74,-66,-68,-58,-64,-61,-74,-80,-77,-63,-79,-86,-80,-75,-73,-80,-78,-200,-200,-79,-78,-77,-82,-80,-82,-79,-88,-86,-89,-77,-81,-200,-200,-90,-77,-200,-77,-84,-75,-88,-200,-91,-79,-92,-86,-93,-200,-89,-76,-200,-90,-200,-93,-200,-82,-200,-96,-83,-200,-200,-200,-200,-200,-200,-200,-200,-95,-95,-96,-200,-200,-200,-200,-200,-200
1526459796041,-49,-37,-57,-45,-44,-47,-64,-57,-61,-49,-57,-63,-63,-56,-62,-67,-68,-54,-75,-80,-62,-84,-81,-66,-65,-73,-75,-80,-59,-64,-60,-70,-78,-76,-63,-81,-81,-72,-66,-73,-75,-78,-76,-200,-82,-78,-77,-80,-80,-86,-85,-89,-86,-88,-200,-200,-92,-200,-89,-82,-200,-86,-84,-75,-88,-200,-200,-79,-92,-86,-97,-200,-200,-74,-200,-200,-200,-200,-200,-82,-200,-96,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-94,-200,-200,-200,-200,-200
1526459799093,-45,-39,-60,-45,-43,-47,-60,-59,-62,-45,-58,-63,-65,-53,-60,-67,-70,-53,-200,-81,-61,-78,-84,-61,-74,-71,-79,-78,-57,-68,-59,-71,-80,-78,-63,-82,-83,-73,-75,-74,-71,-74,-76,-84,-81,-78,-80,-80,-79,-86,-85,-90,-84,-85,-79,-200,-92,-78,-89,-81,-200,-86,-83,-75,-88,-200,-93,-76,-92,-90,-95,-95,-91,-74,-200,-90,-200,-200,-97,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-96,-94,-89,-91,-91,-94,-200
1526459802147,-45,-39,-63,-46,-43,-47,-63,-60,-67,-44,-55,-64,-65,-54,-61,-63,-67,-49,-200,-80,-59,-81,-85,-60,-74,-72,-73,-72,-58,-68,-62,-70,-79,-77,-66,-82,-87,-73,-72,-69,-68,-74,-76,-84,-79,-77,-80,-74,-82,-88,-85,-89,-86,-85,-79,-200,-92,-78,-89,-82,-85,-86,-83,-200,-200,-200,-93,-76,-92,-86,-95,-90,-91,-73,-94,-94,-200,-200,-97,-84,-200,-200,-84,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-89,-91,-91,-92,-200
1526459805211,-42,-40,-59,-46,-56,-48,-61,-55,-59,-46,-57,-61,-64,-56,-66,-61,-69,-48,-77,-80,-63,-77,-80,-61,-71,-72,-76,-72,-58,-66,-58,-73,-79,-74,-63,-81,-85,-74,-73,-69,-72,-74,-200,-84,-80,-80,-79,-75,-82,-84,-83,-89,-85,-85,-75,-200,-90,-78,-92,-81,-83,-200,-82,-75,-200,-90,-93,-74,-91,-92,-96,-95,-85,-77,-94,-94,-200,-200,-97,-80,-200,-200,-87,-95,-84,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-91,-91,-92,-200
1526459808261,-49,-42,-62,-46,-40,-53,-61,-55,-58,-49,-54,-64,-66,-56,-62,-58,-68,-50,-77,-76,-63,-77,-83,-61,-68,-72,-63,-78,-54,-67,-58,-77,-80,-77,-66,-83,-83,-74,-80,-75,-73,-74,-80,-200,-81,-80,-80,-80,-79,-81,-83,-89,-84,-88,-75,-200,-90,-78,-92,-80,-85,-200,-84,-75,-200,-90,-200,-79,-91,-87,-95,-95,-88,-76,-94,-94,-200,-92,-200,-80,-200,-94,-87,-95,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-92,-83
