,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459401039,-62,-38,-36,-49,-37,-63,-54,-55,-61,-74,-51,-76,-79,-43,-65,-69,-81,-62,-85,-200,-57,-73,-59,-87,-67,-83,-72,-77,-68,-58,-82,-74,-77,-83,-200,-92,-81,-88,-200,-77,-81,-64,-200,-82,-200,-55,-200,-95,-52,-79,-87,-200,-76,-200,-91,-79,-90,-200,-88,-200,-86,-71,-79,-88,-200,-200,-68,-60,-62,-64,-71,-85,-85,-79,-83,-83,-85,-200,-200,-84,-77,-81,-87,-85,-200,-85,-74,-85,-200,-200,-200,-200,-200,-76,-93,-200,-200,-90,-94,-88,-200,-200,-200,-200,-200,-200
1526459404098,-50,-41,-36,-48,-42,-62,-56,-56,-56,-74,-53,-81,-81,-43,-64,-69,-83,-62,-200,-200,-58,-72,-60,-90,-71,-84,-69,-77,-68,-59,-82,-76,-82,-84,-89,-93,-80,-88,-200,-76,-79,-65,-200,-81,-200,-52,-200,-94,-55,-80,-87,-200,-76,-200,-91,-78,-90,-200,-88,-92,-88,-69,-82,-88,-200,-200,-63,-63,-61,-66,-71,-83,-82,-80,-84,-87,-84,-91,-200,-84,-77,-81,-87,-86,-200,-84,-77,-85,-200,-200,-200,-89,-200,-76,-94,-200,-200,-90,-94,-88,-85,-95,-200,-200,-200,-200
1526459407155,-52,-43,-35,-48,-38,-62,-59,-58,-59,-77,-54,-82,-81,-45,-64,-69,-85,-63,-200,-200,-60,-72,-59,-88,-71,-83,-62,-77,-67,-60,-82,-76,-75,-88,-89,-89,-75,-88,-86,-76,-82,-68,-200,-81,-200,-54,-200,-95,-53,-78,-87,-200,-200,-200,-91,-80,-200,-200,-88,-92,-88,-69,-80,-88,-200,-200,-68,-63,-63,-66,-71,-85,-82,-81,-84,-88,-85,-91,-93,-82,-77,-81,-86,-87,-85,-84,-78,-85,-200,-200,-200,-89,-200,-76,-94,-200,-200,-90,-94,-200,-85,-95,-200,-200,-200,-200
1526459410206,-52,-42,-36,-49,-37,-63,-59,-54,-59,-77,-54,-83,-81,-45,-62,-71,-84,-66,-200,-200,-56,-72,-62,-88,-79,-84,-62,-78,-68,-60,-83,-76,-75,-88,-89,-91,-75,-88,-95,-77,-82,-64,-200,-82,-200,-53,-200,-95,-54,-80,-87,-200,-200,-200,-91,-76,-200,-200,-86,-92,-88,-67,-79,-88,-200,-200,-70,-63,-61,-66,-65,-85,-82,-80,-84,-88,-85,-91,-91,-83,-79,-82,-85,-87,-85,-84,-76,-85,-200,-200,-200,-89,-200,-76,-94,-200,-200,-200,-97,-91,-85,-95,-95,-200,-200,-200
1526459413260,-52,-39,-37,-49,-42,-63,-58,-55,-60,-78,-51,-83,-81,-40,-63,-73,-86,-63,-200,-200,-59,-56,-62,-88,-71,-84,-70,-78,-67,-59,-83,-76,-83,-88,-200,-91,-57,-88,-95,-75,-81,-54,-200,-81,-86,-54,-200,-95,-53,-78,-89,-200,-78,-200,-200,-76,-94,-200,-86,-200,-200,-67,-81,-89,-200,-200,-66,-59,-63,-65,-69,-85,-71,-81,-87,-87,-85,-200,-87,-83,-80,-80,-83,-86,-85,-83,-77,-85,-90,-200,-200,-200,-200,-77,-200,-200,-200,-86,-97,-91,-200,-200,-91,-200,-200,-200
1526459416315,-52,-40,-34,-49,-37,-63,-61,-58,-61,-70,-52,-82,-79,-45,-62,-73,-84,-58,-200,-200,-58,-65,-62,-86,-74,-84,-70,-76,-66,-61,-83,-76,-77,-200,-200,-89,-57,-90,-95,-75,-81,-65,-200,-82,-86,-54,-200,-94,-51,-79,-89,-200,-75,-200,-90,-82,-93,-200,-85,-200,-200,-70,-81,-90,-200,-200,-52,-63,-61,-64,-67,-89,-86,-81,-85,-89,-200,-91,-92,-84,-80,-81,-83,-86,-85,-83,-76,-86,-90,-200,-200,-90,-200,-77,-200,-200,-200,-86,-97,-91,-200,-200,-91,-87,-200,-200
1526459419359,-50,-41,-34,-46,-39,-64,-61,-58,-58,-73,-51,-80,-81,-44,-62,-73,-88,-65,-200,-200,-54,-74,-63,-83,-70,-85,-72,-78,-66,-62,-200,-76,-82,-85,-200,-88,-75,-90,-94,-79,-81,-66,-200,-81,-86,-54,-200,-94,-53,-77,-89,-200,-75,-200,-91,-80,-93,-200,-89,-200,-200,-69,-82,-90,-200,-200,-70,-64,-63,-64,-68,-89,-82,-81,-88,-87,-200,-90,-92,-84,-79,-83,-86,-85,-85,-86,-74,-86,-90,-200,-200,-90,-200,-77,-95,-200,-200,-86,-200,-200,-200,-200,-91,-87,-200,-200
1526459422411,-51,-41,-39,-50,-45,-68,-61,-55,-57,-75,-54,-81,-81,-47,-63,-59,-86,-59,-85,-200,-61,-66,-57,-85,-71,-84,-72,-79,-66,-61,-200,-77,-75,-85,-200,-89,-75,-90,-94,-80,-80,-60,-200,-85,-86,-57,-200,-94,-50,-79,-89,-200,-77,-200,-91,-80,-93,-200,-88,-200,-88,-74,-81,-95,-200,-96,-68,-59,-63,-64,-65,-83,-82,-79,-88,-87,-200,-90,-92,-84,-79,-81,-89,-85,-200,-85,-77,-87,-200,-200,-200,-90,-200,-80,-95,-200,-200,-200,-200,-200,-84,-200,-200,-85,-100,-200
1526459425464,-54,-39,-41,-47,-40,-66,-61,-56,-57,-76,-55,-81,-77,-47,-62,-73,-86,-64,-85,-200,-61,-55,-58,-90,-74,-83,-70,-79,-67,-54,-200,-80,-81,-85,-200,-94,-75,-200,-94,-82,-76,-66,-200,-82,-86,-53,-200,-200,-56,-85,-79,-200,-77,-200,-91,-83,-93,-200,-88,-200,-87,-71,-82,-95,-200,-96,-71,-60,-63,-63,-65,-83,-82,-78,-82,-85,-83,-90,-93,-200,-76,-80,-88,-85,-200,-83,-76,-87,-200,-200,-200,-90,-200,-80,-95,-97,-200,-200,-200,-93,-84,-200,-91,-85,-100,-200
1526459428516,-51,-41,-38,-49,-40,-64,-61,-53,-55,-76,-55,-82,-77,-46,-62,-73,-84,-59,-85,-200,-62,-50,-56,-86,-71,-81,-67,-79,-66,-54,-200,-79,-73,-200,-200,-94,-76,-200,-200,-83,-80,-67,-200,-82,-200,-55,-200,-200,-54,-83,-86,-200,-79,-200,-200,-81,-92,-200,-88,-200,-89,-73,-82,-94,-200,-96,-67,-64,-66,-64,-70,-83,-200,-78,-82,-87,-83,-90,-94,-81,-80,-82,-87,-200,-200,-85,-76,-87,-200,-200,-200,-200,-200,-80,-95,-97,-200,-200,-95,-93,-84,-200,-91,-85,-100,-200
1526459431571,-51,-41,-37,-47,-37,-67,-200,-55,-56,-63,-54,-79,-76,-42,-63,-71,-86,-60,-87,-200,-59,-64,-57,-86,-70,-84,-67,-75,-67,-61,-200,-74,-73,-200,-200,-88,-76,-90,-92,-85,-76,-69,-200,-78,-88,-54,-200,-200,-50,-80,-87,-200,-79,-200,-200,-74,-92,-200,-200,-200,-89,-70,-80,-94,-200,-200,-73,-57,-61,-64,-68,-87,-70,-81,-82,-87,-86,-90,-90,-81,-80,-79,-87,-86,-200,-86,-76,-200,-200,-200,-200,-200,-200,-83,-95,-97,-200,-200,-95,-93,-200,-200,-91,-200,-200,-90
1526459434622,-51,-37,-43,-50,-39,-67,-45,-56,-56,-76,-51,-79,-75,-41,-64,-72,-82,-64,-87,-200,-55,-54,-62,-85,-70,-83,-71,-79,-68,-62,-200,-77,-78,-200,-200,-92,-76,-90,-92,-75,-87,-65,-200,-77,-88,-53,-200,-200,-49,-77,-87,-200,-79,-200,-91,-81,-96,-200,-200,-200,-89,-69,-84,-89,-200,-200,-71,-64,-61,-57,-67,-87,-83,-78,-81,-88,-82,-200,-90,-81,-80,-80,-87,-86,-200,-86,-76,-89,-200,-200,-200,-90,-200,-78,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-90
