,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A20,whu2011314,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526459980917,-32,-34,-52,-48,-53,-58,-46,-52,-52,-60,-60,-63,-52,-57,-58,-64,-61,-59,-78,-59,-63,-57,-77,-67,-75,-68,-65,-61,-68,-83,-74,-63,-67,-69,-71,-77,-79,-82,-73,-71,-80,-65,-81,-84,-74,-200,-78,-85,-84,-84,-81,-74,-78,-76,-87,-77,-79,-85,-92,-85,-82,-86,-91,-87,-89,-88,-85,-83,-200,-92,-200,-90,-200,-95,-200,-200,-82,-88,-89,-92,-61,-83,-200,-85,-200,-94,-200,-91,-81,-85,-88,-78,-79,-83,-88,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459981509,-32,-34,-52,-48,-53,-58,-46,-52,-52,-60,-60,-63,-52,-57,-58,-64,-61,-59,-78,-59,-63,-57,-77,-67,-75,-68,-65,-61,-68,-83,-74,-63,-67,-69,-71,-77,-79,-82,-73,-71,-80,-65,-81,-84,-74,-200,-78,-85,-84,-84,-81,-74,-78,-76,-87,-77,-79,-85,-92,-85,-82,-86,-91,-87,-89,-88,-85,-83,-200,-92,-200,-90,-200,-95,-200,-200,-82,-88,-89,-92,-61,-83,-200,-85,-200,-94,-200,-91,-81,-85,-88,-78,-79,-83,-88,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459983975,-36,-39,-50,-47,-53,-57,-47,-51,-52,-60,-59,-68,-54,-56,-59,-65,-62,-61,-71,-62,-59,-57,-78,-68,-78,-66,-65,-57,-62,-86,-73,-68,-200,-70,-76,-80,-78,-67,-76,-69,-80,-65,-86,-86,-74,-79,-82,-85,-84,-200,-81,-78,-78,-78,-89,-77,-79,-83,-92,-82,-80,-86,-93,-81,-87,-75,-85,-81,-200,-91,-200,-90,-200,-94,-200,-200,-79,-88,-200,-92,-61,-84,-74,-87,-200,-94,-200,-200,-81,-85,-200,-200,-200,-83,-88,-97,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459984565,-36,-39,-50,-47,-53,-57,-47,-51,-52,-60,-59,-68,-54,-56,-59,-65,-62,-61,-71,-62,-59,-57,-78,-68,-78,-66,-65,-57,-62,-86,-73,-68,-200,-70,-76,-80,-78,-67,-76,-69,-80,-65,-86,-86,-74,-79,-82,-85,-84,-200,-81,-78,-78,-78,-89,-77,-79,-83,-92,-82,-80,-86,-93,-81,-87,-75,-85,-81,-200,-91,-200,-90,-200,-94,-200,-200,-79,-88,-200,-92,-61,-84,-74,-87,-200,-94,-200,-200,-81,-85,-200,-200,-200,-83,-88,-97,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459987022,-32,-36,-50,-47,-52,-55,-49,-54,-51,-61,-63,-64,-54,-56,-59,-64,-62,-61,-72,-57,-59,-57,-77,-67,-79,-71,-65,-60,-64,-84,-74,-67,-73,-69,-75,-79,-77,-83,-74,-70,-74,-62,-86,-87,-76,-79,-79,-83,-85,-200,-81,-77,-78,-76,-86,-71,-79,-78,-200,-82,-87,-85,-94,-81,-82,-87,-86,-82,-200,-91,-200,-93,-200,-93,-97,-200,-83,-200,-200,-93,-63,-83,-85,-86,-94,-98,-200,-200,-200,-86,-90,-200,-200,-83,-88,-97,-84,-83,-88,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459987633,-32,-36,-50,-47,-52,-55,-49,-54,-51,-61,-63,-64,-54,-56,-59,-64,-62,-61,-72,-57,-59,-57,-77,-67,-79,-71,-65,-60,-64,-84,-74,-67,-73,-69,-75,-79,-77,-83,-74,-70,-74,-62,-86,-87,-76,-79,-79,-83,-85,-200,-81,-77,-78,-76,-86,-71,-79,-78,-200,-82,-87,-85,-94,-81,-82,-87,-86,-82,-200,-91,-200,-93,-200,-93,-97,-200,-83,-200,-200,-93,-63,-83,-85,-86,-94,-98,-200,-200,-200,-86,-90,-200,-200,-83,-88,-97,-84,-83,-88,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459990079,-37,-39,-50,-44,-53,-53,-48,-50,-52,-62,-62,-66,-54,-56,-61,-67,-62,-58,-71,-59,-56,-57,-78,-66,-74,-67,-68,-59,-63,-83,-73,-67,-73,-69,-73,-78,-80,-82,-73,-71,-59,-64,-86,-85,-75,-200,-83,-85,-77,-200,-82,-77,-78,-76,-86,-79,-79,-86,-92,-82,-79,-84,-94,-85,-90,-87,-87,-83,-200,-92,-200,-93,-200,-95,-97,-200,-79,-88,-90,-91,-72,-82,-85,-85,-91,-98,-200,-200,-81,-86,-90,-200,-88,-200,-200,-97,-82,-83,-88,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459990700,-37,-39,-50,-44,-53,-53,-48,-50,-52,-62,-62,-66,-54,-56,-61,-67,-62,-58,-71,-59,-56,-57,-78,-66,-74,-67,-68,-59,-63,-83,-73,-67,-73,-69,-73,-78,-80,-82,-73,-71,-59,-64,-86,-85,-75,-200,-83,-85,-77,-200,-82,-77,-78,-76,-86,-79,-79,-86,-92,-82,-79,-84,-94,-85,-90,-87,-87,-83,-200,-92,-200,-93,-200,-95,-97,-200,-79,-88,-90,-91,-72,-82,-85,-85,-91,-98,-200,-200,-81,-86,-90,-200,-88,-200,-200,-97,-82,-83,-88,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459993145,-35,-34,-49,-49,-53,-54,-47,-52,-51,-59,-63,-71,-53,-57,-60,-65,-60,-58,-73,-59,-63,-57,-78,-67,-95,-63,-68,-59,-73,-84,-73,-65,-74,-70,-73,-76,-78,-62,-74,-68,-59,-63,-200,-86,-73,-83,-80,-88,-85,-86,-81,-77,-78,-76,-87,-77,-79,-86,-92,-82,-83,-83,-94,-80,-87,-87,-86,-86,-93,-91,-200,-92,-200,-95,-97,-200,-79,-88,-91,-91,-72,-86,-86,-87,-91,-93,-200,-95,-70,-84,-90,-200,-88,-200,-89,-97,-85,-83,-88,-96,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526459993766,-35,-34,-49,-49,-53,-54,-47,-52,-51,-59,-63,-71,-53,-57,-60,-65,-60,-58,-73,-59,-63,-57,-78,-67,-95,-63,-68,-59,-73,-84,-73,-65,-74,-70,-73,-76,-78,-62,-74,-68,-59,-63,-200,-86,-73,-83,-80,-88,-85,-86,-81,-77,-78,-76,-87,-77,-79,-86,-92,-82,-83,-83,-94,-80,-87,-87,-86,-86,-93,-91,-200,-92,-200,-95,-97,-200,-79,-88,-91,-91,-72,-86,-86,-87,-91,-93,-200,-95,-70,-84,-90,-200,-88,-200,-89,-97,-85,-83,-88,-96,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526459996202,-34,-31,-50,-48,-52,-58,-50,-54,-54,-61,-62,-59,-54,-56,-60,-65,-61,-58,-71,-61,-59,-56,-78,-68,-78,-70,-66,-62,-63,-84,-73,-63,-72,-68,-200,-78,-78,-82,-75,-75,-76,-67,-83,-86,-77,-80,-79,-87,-83,-86,-81,-73,-78,-76,-88,-77,-80,-87,-92,-81,-83,-87,-200,-81,-85,-86,-88,-83,-93,-89,-200,-92,-200,-200,-95,-200,-79,-200,-91,-91,-61,-82,-86,-89,-91,-93,-200,-95,-83,-84,-200,-77,-200,-82,-89,-97,-82,-200,-200,-96,-93,-91,-200,-200,-200,-200,-200,-200,-200
1526459996815,-34,-31,-50,-48,-52,-58,-50,-54,-54,-61,-62,-59,-54,-56,-60,-65,-61,-58,-71,-61,-59,-56,-78,-68,-78,-70,-66,-62,-63,-84,-73,-63,-72,-68,-200,-78,-78,-82,-75,-75,-76,-67,-83,-86,-77,-80,-79,-87,-83,-86,-81,-73,-78,-76,-88,-77,-80,-87,-92,-81,-83,-87,-200,-81,-85,-86,-88,-83,-93,-89,-200,-92,-200,-200,-95,-200,-79,-200,-91,-91,-61,-82,-86,-89,-91,-93,-200,-95,-83,-84,-200,-77,-200,-82,-89,-97,-82,-200,-200,-96,-93,-91,-200,-200,-200,-200,-200,-200,-200
1526459999261,-35,-34,-50,-45,-51,-54,-51,-53,-53,-61,-60,-64,-54,-56,-55,-66,-63,-59,-71,-66,-60,-58,-78,-66,-76,-70,-65,-59,-64,-84,-73,-65,-72,-70,-200,-79,-77,-64,-73,-74,-78,-65,-83,-86,-77,-83,-82,-87,-86,-200,-80,-76,-78,-72,-88,-76,-81,-87,-200,-83,-83,-87,-91,-80,-84,-85,-85,-81,-93,-91,-200,-92,-200,-94,-95,-200,-84,-200,-91,-94,-62,-83,-86,-85,-200,-96,-200,-200,-86,-84,-90,-77,-200,-82,-90,-200,-82,-200,-200,-96,-93,-91,-200,-200,-200,-200,-200,-200,-200
1526459999884,-35,-34,-50,-45,-51,-54,-51,-53,-53,-61,-60,-64,-54,-56,-55,-66,-63,-59,-71,-66,-60,-58,-78,-66,-76,-70,-65,-59,-64,-84,-73,-65,-72,-70,-200,-79,-77,-64,-73,-74,-78,-65,-83,-86,-77,-83,-82,-87,-86,-200,-80,-76,-78,-72,-88,-76,-81,-87,-200,-83,-83,-87,-91,-80,-84,-85,-85,-81,-93,-91,-200,-92,-200,-94,-95,-200,-84,-200,-91,-94,-62,-83,-86,-85,-200,-96,-200,-200,-86,-84,-90,-77,-200,-82,-90,-200,-82,-200,-200,-96,-93,-91,-200,-200,-200,-200,-200,-200,-200
1526460002311,-35,-34,-51,-46,-59,-53,-46,-50,-52,-54,-61,-63,-58,-55,-59,-63,-63,-61,-72,-61,-60,-58,-77,-69,-81,-71,-67,-59,-69,-87,-73,-65,-73,-73,-67,-80,-76,-80,-75,-72,-74,-64,-87,-83,-74,-78,-81,-87,-86,-200,-80,-77,-79,-72,-86,-75,-78,-84,-200,-82,-83,-84,-91,-82,-83,-89,-89,-84,-91,-91,-200,-93,-200,-94,-200,-200,-81,-79,-91,-92,-61,-86,-200,-85,-200,-96,-98,-200,-86,-84,-80,-200,-92,-83,-90,-200,-82,-200,-200,-96,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526460002935,-35,-34,-51,-46,-59,-53,-46,-50,-52,-54,-61,-63,-58,-55,-59,-63,-63,-61,-72,-61,-60,-58,-77,-69,-81,-71,-67,-59,-69,-87,-73,-65,-73,-73,-67,-80,-76,-80,-75,-72,-74,-64,-87,-83,-74,-78,-81,-87,-86,-200,-80,-77,-79,-72,-86,-75,-78,-84,-200,-82,-83,-84,-91,-82,-83,-89,-89,-84,-91,-91,-200,-93,-200,-94,-200,-200,-81,-79,-91,-92,-61,-86,-200,-85,-200,-96,-98,-200,-86,-84,-80,-200,-92,-83,-90,-200,-82,-200,-200,-96,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526460005359,-32,-33,-50,-44,-52,-57,-48,-51,-54,-63,-60,-62,-53,-59,-58,-67,-63,-59,-65,-58,-63,-57,-81,-70,-79,-68,-68,-60,-67,-85,-74,-69,-73,-70,-67,-81,-76,-82,-72,-74,-74,-67,-85,-86,-76,-80,-79,-84,-80,-200,-80,-73,-81,-72,-89,-77,-78,-84,-93,-82,-78,-88,-93,-81,-85,-92,-86,-85,-91,-90,-200,-93,-200,-94,-200,-200,-78,-79,-93,-92,-65,-82,-85,-86,-200,-91,-98,-200,-73,-200,-81,-200,-92,-84,-88,-200,-86,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460005993,-32,-33,-50,-44,-52,-57,-48,-51,-54,-63,-60,-62,-53,-59,-58,-67,-63,-59,-65,-58,-63,-57,-81,-70,-79,-68,-68,-60,-67,-85,-74,-69,-73,-70,-67,-81,-76,-82,-72,-74,-74,-67,-85,-86,-76,-80,-79,-84,-80,-200,-80,-73,-81,-72,-89,-77,-78,-84,-93,-82,-78,-88,-93,-81,-85,-92,-86,-85,-91,-90,-200,-93,-200,-94,-200,-200,-78,-79,-93,-92,-65,-82,-85,-86,-200,-91,-98,-200,-73,-200,-81,-200,-92,-84,-88,-200,-86,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460008410,-36,-32,-49,-47,-58,-57,-49,-53,-55,-59,-60,-65,-54,-56,-54,-66,-62,-58,-75,-61,-58,-56,-77,-69,-81,-70,-66,-59,-64,-81,-74,-70,-68,-70,-76,-81,-74,-82,-72,-73,-200,-65,-82,-87,-74,-80,-79,-87,-80,-85,-81,-72,-77,-72,-87,-77,-80,-83,-93,-200,-86,-87,-97,-80,-83,-87,-85,-83,-91,-90,-200,-93,-200,-200,-95,-97,-84,-79,-93,-92,-70,-82,-85,-87,-92,-92,-98,-200,-85,-85,-81,-200,-92,-83,-87,-200,-86,-200,-88,-94,-200,-87,-87,-97,-200,-200,-200,-200,-200
1526460009041,-36,-32,-49,-47,-58,-57,-49,-53,-55,-59,-60,-65,-54,-56,-54,-66,-62,-58,-75,-61,-58,-56,-77,-69,-81,-70,-66,-59,-64,-81,-74,-70,-68,-70,-76,-81,-74,-82,-72,-73,-200,-65,-82,-87,-74,-80,-79,-87,-80,-85,-81,-72,-77,-72,-87,-77,-80,-83,-93,-200,-86,-87,-97,-80,-83,-87,-85,-83,-91,-90,-200,-93,-200,-200,-95,-97,-84,-79,-93,-92,-70,-82,-85,-87,-92,-92,-98,-200,-85,-85,-81,-200,-92,-83,-87,-200,-86,-200,-88,-94,-200,-87,-87,-97,-200,-200,-200,-200,-200
