,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526444000723,-42,-34,-48,-45,-50,-48,-51,-53,-60,-69,-72,-59,-61,-62,-57,-66,-73,-61,-75,-61,-65,-76,-66,-68,-68,-79,-75,-70,-78,-77,-77,-82,-82,-82,-78,-85,-88,-82,-85,-200,-86,-87,-87,-84,-87,-200,-92,-87,-89,-90,-90,-89,-200,-85,-90,-200,-90,-200,-91,-66,-82,-89,-80,-77,-86,-87,-80,-87,-90,-200,-200,-91,-83,-89,-77,-87,-90,-200,-80,-86,-91,-91,-96,-91,-93,-89,-92,-200,-200,-200,-200,-200,-200
1526444003759,-36,-39,-41,-43,-51,-50,-52,-52,-59,-61,-72,-60,-61,-64,-49,-65,-65,-62,-68,-60,-62,-77,-85,-69,-67,-80,-75,-74,-78,-81,-78,-200,-81,-72,-78,-85,-81,-85,-86,-200,-86,-86,-87,-83,-86,-200,-92,-86,-89,-200,-88,-89,-200,-85,-90,-200,-90,-200,-88,-76,-82,-86,-81,-77,-89,-87,-81,-92,-90,-200,-200,-91,-83,-89,-81,-87,-87,-200,-200,-200,-89,-91,-96,-93,-89,-89,-92,-200,-200,-200,-200,-200,-200
1526444006798,-37,-38,-41,-43,-51,-49,-52,-51,-52,-70,-73,-58,-61,-63,-48,-62,-61,-60,-68,-61,-64,-76,-76,-69,-69,-79,-200,-79,-78,-77,-79,-82,-81,-81,-78,-83,-80,-83,-85,-200,-200,-86,-87,-83,-87,-200,-92,-88,-89,-200,-88,-89,-200,-200,-90,-200,-90,-200,-90,-75,-75,-86,-81,-77,-90,-89,-82,-92,-89,-200,-200,-91,-83,-89,-81,-87,-88,-200,-200,-87,-89,-91,-88,-93,-89,-89,-92,-88,-200,-200,-200,-200,-200
1526444009838,-32,-39,-40,-43,-49,-51,-52,-51,-61,-60,-73,-67,-52,-61,-48,-62,-64,-60,-68,-61,-64,-77,-72,-70,-70,-81,-200,-78,-77,-77,-80,-82,-81,-82,-79,-83,-79,-85,-85,-200,-200,-87,-87,-83,-92,-200,-200,-88,-89,-91,-90,-89,-200,-88,-200,-200,-200,-92,-88,-75,-77,-88,-81,-77,-87,-89,-82,-90,-89,-200,-200,-90,-83,-90,-81,-200,-88,-200,-200,-87,-90,-91,-91,-93,-89,-89,-92,-88,-200,-200,-200,-200,-200
1526444012873,-35,-37,-39,-43,-55,-50,-52,-52,-59,-61,-73,-56,-61,-62,-48,-62,-65,-61,-67,-57,-65,-69,-72,-69,-68,-80,-76,-81,-77,-77,-79,-79,-82,-82,-82,-82,-78,-85,-81,-200,-200,-88,-87,-88,-92,-200,-200,-87,-200,-91,-90,-200,-200,-88,-91,-200,-91,-92,-88,-62,-77,-88,-81,-200,-87,-89,-80,-90,-89,-200,-200,-90,-83,-88,-80,-200,-90,-200,-200,-87,-89,-200,-90,-93,-89,-200,-200,-88,-91,-200,-200,-200,-200
1526444015918,-36,-42,-39,-43,-50,-50,-52,-54,-60,-70,-73,-59,-60,-61,-58,-62,-63,-68,-75,-68,-64,-85,-76,-69,-67,-81,-76,-83,-77,-77,-79,-80,-81,-77,-81,-82,-82,-84,-88,-81,-200,-88,-89,-88,-85,-200,-200,-87,-200,-89,-90,-200,-200,-88,-91,-200,-90,-92,-89,-76,-77,-88,-200,-77,-87,-91,-80,-89,-89,-200,-91,-90,-83,-88,-83,-200,-88,-91,-81,-87,-89,-200,-90,-200,-89,-200,-200,-88,-91,-200,-200,-200,-200
1526444018965,-37,-38,-40,-41,-48,-47,-52,-55,-58,-65,-73,-60,-60,-63,-50,-59,-63,-57,-69,-61,-60,-77,-76,-68,-67,-79,-76,-73,-77,-64,-78,-80,-81,-77,-79,-85,-80,-84,-88,-88,-200,-92,-88,-88,-88,-200,-200,-87,-200,-90,-90,-200,-200,-87,-90,-200,-90,-92,-89,-75,-78,-91,-80,-77,-88,-91,-80,-90,-200,-200,-91,-90,-83,-88,-81,-200,-88,-93,-81,-87,-92,-95,-90,-200,-88,-200,-200,-88,-91,-90,-200,-200,-200
1526444022004,-36,-37,-38,-44,-48,-51,-52,-54,-58,-62,-73,-61,-62,-59,-49,-59,-59,-57,-63,-62,-64,-77,-76,-69,-65,-80,-76,-76,-77,-79,-81,-81,-83,-82,-82,-83,-78,-83,-85,-88,-200,-85,-88,-88,-85,-200,-200,-87,-200,-90,-87,-200,-200,-89,-90,-200,-90,-200,-89,-75,-81,-87,-80,-77,-88,-87,-92,-90,-200,-200,-91,-200,-86,-87,-81,-87,-91,-93,-81,-88,-90,-92,-89,-200,-90,-200,-91,-200,-91,-90,-92,-200,-200
1526444025038,-33,-41,-40,-43,-52,-52,-52,-60,-59,-60,-72,-67,-61,-60,-49,-59,-63,-58,-68,-62,-66,-75,-76,-73,-76,-73,-200,-72,-77,-80,-79,-86,-81,-82,-77,-83,-81,-83,-82,-88,-200,-93,-88,-88,-89,-92,-200,-88,-200,-91,-87,-91,-90,-89,-90,-200,-90,-200,-89,-75,-81,-93,-80,-77,-88,-87,-92,-90,-200,-200,-91,-200,-86,-87,-80,-87,-93,-93,-81,-88,-90,-92,-89,-200,-90,-200,-91,-200,-200,-90,-92,-92,-200
1526444028049,-35,-41,-38,-42,-46,-48,-51,-51,-58,-63,-72,-58,-61,-61,-50,-59,-60,-61,-68,-62,-64,-78,-76,-67,-64,-76,-200,-72,-77,-77,-78,-81,-82,-82,-80,-84,-82,-83,-81,-88,-200,-87,-87,-87,-89,-92,-200,-87,-200,-91,-87,-89,-90,-88,-90,-200,-200,-200,-200,-77,-73,-88,-82,-77,-88,-87,-80,-90,-200,-200,-91,-200,-86,-90,-80,-85,-93,-93,-81,-88,-91,-92,-91,-200,-88,-200,-91,-200,-200,-90,-92,-92,-200
1526444031091,-37,-42,-47,-41,-50,-50,-52,-53,-58,-60,-73,-55,-60,-62,-57,-62,-65,-61,-68,-70,-55,-85,-78,-64,-64,-82,-76,-73,-200,-75,-79,-81,-82,-82,-79,-86,-80,-83,-81,-83,-200,-87,-87,-87,-89,-92,-200,-88,-200,-89,-89,-89,-90,-88,-200,-200,-89,-200,-200,-74,-76,-88,-82,-85,-88,-87,-91,-200,-85,-200,-91,-200,-88,-90,-80,-85,-90,-200,-81,-88,-91,-92,-91,-200,-88,-200,-91,-200,-200,-88,-92,-92,-200
1526444034125,-36,-41,-39,-43,-51,-50,-52,-50,-50,-63,-72,-58,-61,-62,-47,-63,-63,-61,-68,-62,-64,-77,-79,-64,-65,-74,-74,-71,-200,-75,-79,-81,-82,-72,-79,-85,-82,-83,-81,-83,-200,-90,-87,-87,-86,-92,-200,-88,-200,-89,-88,-89,-90,-88,-200,-200,-89,-200,-200,-74,-76,-88,-81,-78,-88,-87,-90,-90,-85,-200,-200,-90,-88,-90,-80,-85,-90,-200,-81,-88,-90,-200,-91,-200,-88,-200,-91,-200,-200,-88,-200,-92,-86
