,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526443194621,-13,-42,-42,-47,-50,-50,-48,-63,-57,-56,-54,-56,-61,-61,-62,-67,-63,-62,-70,-64,-65,-69,-68,-72,-77,-62,-74,-76,-66,-79,-74,-76,-76,-76,-78,-200,-200,-84,-200,-79,-81,-80,-83,-81,-81,-81,-85,-83,-87,-81,-83,-86,-83,-88,-200,-200,-89,-90,-87,-90,-85,-87,-200,-200,-93,-200,-86,-200,-85,-91,-82,-200,-200,-92,-200,-200,-200,-200,-91,-81,-86,-200,-90,-92,-80,-89,-90,-90,-200,-200,-200,-200,-200,-200
1526443197662,-27,-42,-46,-46,-47,-48,-43,-56,-57,-55,-54,-59,-61,-61,-61,-66,-63,-65,-72,-65,-57,-69,-69,-72,-77,-72,-74,-76,-67,-79,-73,-75,-77,-76,-77,-200,-74,-84,-85,-78,-81,-79,-83,-78,-81,-81,-85,-200,-87,-81,-83,-86,-83,-89,-200,-200,-90,-90,-200,-89,-83,-87,-200,-200,-92,-91,-90,-93,-93,-91,-85,-200,-200,-92,-200,-200,-200,-200,-91,-70,-86,-200,-200,-92,-80,-89,-90,-90,-91,-200,-200,-200,-200,-200
1526443200672,-26,-53,-51,-47,-50,-50,-53,-59,-62,-56,-52,-60,-61,-68,-61,-72,-69,-61,-71,-75,-75,-70,-71,-75,-76,-63,-81,-76,-66,-86,-73,-76,-83,-76,-77,-200,-74,-85,-85,-79,-81,-79,-80,-80,-82,-82,-85,-200,-88,-81,-84,-93,-87,-89,-200,-200,-90,-90,-200,-88,-83,-91,-200,-200,-92,-91,-90,-93,-90,-91,-85,-200,-200,-92,-200,-200,-200,-200,-90,-70,-200,-200,-200,-200,-80,-89,-90,-90,-91,-77,-200,-200,-200,-200
1526443203710,-25,-43,-42,-47,-50,-50,-46,-57,-58,-57,-55,-58,-60,-59,-60,-67,-61,-60,-71,-76,-65,-70,-71,-75,-73,-63,-73,-76,-67,-86,-73,-76,-83,-75,-76,-200,-56,-84,-85,-79,-80,-79,-83,-81,-83,-78,-87,-200,-88,-200,-85,-85,-89,-89,-200,-200,-91,-91,-200,-87,-83,-88,-200,-200,-92,-91,-89,-93,-90,-200,-84,-200,-200,-92,-200,-90,-91,-200,-90,-70,-200,-84,-200,-200,-80,-200,-200,-92,-91,-77,-200,-200,-200,-200
1526443206744,-25,-42,-41,-46,-47,-53,-42,-57,-58,-54,-53,-59,-56,-65,-62,-67,-67,-63,-71,-68,-67,-69,-71,-70,-73,-66,-58,-77,-69,-86,-70,-75,-83,-79,-76,-200,-56,-83,-85,-79,-80,-79,-80,-79,-83,-78,-86,-200,-88,-81,-84,-84,-89,-89,-200,-200,-89,-91,-200,-87,-83,-88,-200,-200,-92,-91,-89,-93,-88,-90,-84,-200,-200,-92,-200,-90,-91,-200,-90,-70,-200,-84,-200,-200,-80,-200,-200,-92,-91,-77,-200,-200,-200,-200
1526443209780,-7,-41,-41,-47,-50,-49,-48,-59,-57,-56,-54,-57,-60,-60,-62,-62,-67,-63,-71,-67,-60,-70,-71,-74,-84,-72,-73,-71,-75,-86,-71,-77,-83,-75,-76,-200,-56,-85,-200,-79,-80,-80,-82,-80,-82,-82,-86,-84,-84,-81,-84,-87,-89,-86,-200,-200,-89,-91,-91,-87,-200,-88,-200,-200,-91,-95,-89,-200,-88,-90,-84,-200,-91,-200,-200,-90,-91,-200,-90,-82,-200,-84,-200,-200,-200,-200,-200,-92,-90,-77,-200,-200,-200,-200
1526443212818,-23,-41,-42,-48,-49,-49,-43,-61,-57,-57,-52,-57,-64,-58,-60,-66,-62,-63,-71,-66,-67,-69,-71,-74,-78,-71,-73,-76,-67,-76,-71,-78,-200,-75,-75,-200,-56,-85,-200,-78,-80,-80,-80,-80,-82,-74,-86,-84,-88,-81,-82,-87,-89,-87,-200,-200,-89,-91,-91,-87,-200,-88,-200,-200,-91,-95,-89,-200,-90,-90,-84,-200,-91,-200,-200,-90,-91,-200,-200,-82,-200,-80,-200,-200,-200,-200,-200,-92,-90,-200,-200,-200,-200,-200
1526443215861,-25,-44,-47,-46,-49,-50,-48,-58,-65,-55,-53,-57,-60,-61,-60,-67,-62,-67,-71,-76,-75,-70,-72,-74,-73,-65,-72,-81,-66,-76,-72,-75,-84,-77,-75,-200,-86,-84,-200,-79,-82,-81,-80,-82,-82,-82,-87,-84,-88,-81,-86,-85,-92,-87,-200,-200,-89,-200,-91,-200,-200,-200,-200,-200,-91,-95,-89,-200,-88,-90,-200,-200,-91,-200,-200,-200,-200,-200,-200,-82,-200,-80,-200,-200,-200,-200,-200,-92,-90,-200,-92,-200,-200,-200
1526443218899,-25,-45,-43,-46,-47,-49,-43,-58,-57,-56,-53,-57,-56,-66,-62,-60,-63,-61,-56,-76,-62,-69,-72,-71,-77,-60,-72,-81,-67,-77,-73,-76,-77,-76,-76,-200,-86,-84,-200,-79,-82,-80,-80,-82,-81,-75,-87,-84,-88,-200,-86,-86,-91,-86,-200,-200,-90,-200,-91,-91,-200,-89,-200,-89,-91,-95,-200,-200,-88,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-88,-200,-80,-91,-200,-200,-200,-200,-200,-90,-200,-92,-88,-200,-200
1526443221933,-24,-44,-40,-46,-49,-50,-46,-58,-55,-58,-53,-57,-62,-65,-62,-66,-62,-68,-71,-68,-64,-69,-72,-63,-77,-71,-75,-76,-65,-78,-72,-76,-75,-76,-76,-200,-86,-84,-200,-78,-82,-79,-82,-79,-81,-77,-87,-200,-88,-200,-85,-86,-91,-87,-200,-200,-90,-200,-200,-91,-200,-88,-200,-91,-90,-92,-200,-90,-92,-88,-83,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-80,-91,-200,-79,-200,-200,-200,-200,-200,-92,-88,-200,-200
1526443224971,-16,-47,-41,-44,-51,-49,-45,-67,-55,-55,-53,-57,-57,-59,-61,-67,-69,-61,-71,-69,-56,-70,-72,-58,-79,-71,-75,-77,-74,-79,-71,-77,-76,-76,-76,-200,-86,-86,-200,-81,-82,-81,-82,-79,-83,-77,-87,-200,-200,-200,-91,-83,-91,-87,-200,-200,-90,-200,-88,-91,-200,-89,-200,-91,-90,-92,-200,-90,-92,-88,-83,-200,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-91,-200,-79,-200,-200,-200,-200,-200,-92,-88,-89,-200
1526443228006,-25,-44,-41,-46,-49,-49,-47,-67,-58,-57,-54,-59,-60,-58,-61,-66,-62,-61,-72,-68,-65,-70,-72,-58,-76,-65,-73,-77,-66,-79,-72,-76,-77,-76,-75,-200,-73,-84,-200,-80,-200,-80,-79,-78,-82,-79,-87,-200,-86,-200,-91,-86,-89,-87,-200,-200,-90,-200,-88,-88,-200,-89,-200,-91,-90,-90,-200,-90,-92,-92,-83,-200,-200,-200,-200,-200,-200,-200,-91,-88,-87,-200,-89,-200,-79,-200,-200,-200,-200,-76,-200,-88,-89,-91
