,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,DLINK_D00ED0,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018
1526463776494,-38,-36,-29,-44,-36,-35,-44,-48,-35,-58,-51,-48,-51,-42,-55,-54,-64,-61,-56,-59,-62,-56,-68,-68,-57,-55,-64,-57,-200,-63,-63,-64,-61,-60,-200,-60,-62,-68,-64,-200,-200,-200,-72,-70,-72,-200,-64,-200,-74,-200,-78,-68,-58,-70,-71,-65,-76,-73,-200,-200,-200,-200,-87,-200,-81,-200,-200,-200,-89,-200,-62,-200,-200,-200,-56,-200,-72,-200,-200,-80,-76,-200,-200,-200,-200,-200,-77,-84,-78,-79,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463779565,-34,-32,-32,-42,-42,-34,-41,-51,-39,-52,-46,-46,-51,-43,-53,-52,-64,-63,-54,-59,-62,-56,-68,-68,-53,-67,-64,-57,-200,-63,-63,-62,-61,-60,-200,-62,-66,-68,-63,-200,-200,-200,-72,-70,-73,-200,-65,-200,-74,-200,-78,-68,-58,-70,-71,-66,-76,-73,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-89,-200,-58,-70,-200,-200,-52,-200,-72,-200,-200,-80,-76,-200,-200,-200,-200,-76,-77,-84,-78,-79,-80,-65,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463782625,-29,-36,-32,-41,-38,-30,-41,-51,-41,-50,-46,-46,-52,-43,-53,-51,-64,-61,-58,-59,-60,-56,-69,-57,-53,-67,-61,-58,-200,-60,-57,-61,-61,-59,-200,-60,-63,-68,-65,-62,-71,-70,-70,-66,-73,-200,-65,-67,-73,-200,-78,-68,-200,-70,-200,-67,-76,-73,-200,-200,-200,-79,-200,-200,-81,-200,-71,-200,-89,-200,-58,-70,-200,-200,-53,-200,-72,-200,-71,-80,-76,-60,-200,-200,-200,-76,-77,-84,-78,-79,-80,-65,-75,-72,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463785706,-29,-30,-33,-43,-37,-34,-46,-52,-41,-50,-46,-46,-47,-42,-49,-49,-64,-60,-51,-67,-60,-56,-68,-57,-51,-55,-61,-58,-200,-60,-57,-63,-61,-60,-67,-61,-63,-68,-63,-62,-71,-70,-70,-68,-69,-200,-62,-67,-73,-200,-78,-67,-69,-69,-200,-68,-76,-73,-200,-200,-200,-79,-200,-200,-81,-200,-71,-200,-200,-200,-58,-70,-200,-200,-52,-200,-72,-200,-71,-80,-76,-57,-200,-200,-200,-76,-77,-84,-200,-79,-80,-65,-75,-72,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463788784,-31,-37,-33,-37,-39,-33,-46,-48,-41,-52,-47,-47,-50,-43,-53,-51,-64,-61,-57,-66,-60,-56,-68,-61,-58,-55,-65,-56,-200,-61,-57,-65,-200,-59,-67,-60,-63,-68,-63,-62,-71,-70,-70,-68,-70,-200,-62,-67,-73,-200,-75,-66,-69,-70,-200,-68,-76,-72,-200,-200,-200,-70,-200,-200,-200,-200,-71,-200,-200,-200,-58,-70,-69,-200,-55,-66,-72,-200,-71,-80,-200,-57,-200,-200,-76,-76,-77,-200,-200,-79,-80,-65,-75,-72,-86,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463791847,-29,-41,-33,-43,-35,-36,-47,-49,-37,-49,-53,-49,-51,-43,-53,-49,-68,-61,-57,-66,-63,-200,-68,-61,-58,-56,-63,-60,-200,-61,-61,-65,-69,-58,-74,-59,-64,-70,-64,-62,-71,-70,-70,-68,-71,-200,-68,-67,-73,-200,-76,-66,-69,-70,-200,-66,-78,-72,-200,-200,-200,-70,-200,-200,-200,-200,-71,-200,-200,-200,-58,-70,-69,-200,-56,-66,-200,-67,-71,-200,-74,-57,-200,-200,-76,-76,-200,-200,-200,-79,-84,-62,-75,-72,-86,-67,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526463794913,-32,-40,-33,-47,-38,-37,-44,-49,-36,-49,-56,-48,-51,-41,-53,-49,-68,-61,-57,-66,-63,-65,-68,-61,-51,-55,-63,-60,-63,-59,-61,-64,-69,-58,-74,-59,-64,-70,-63,-66,-71,-69,-70,-69,-71,-200,-65,-68,-73,-200,-76,-66,-69,-68,-200,-64,-77,-72,-200,-200,-200,-70,-86,-200,-200,-200,-71,-200,-200,-200,-65,-200,-69,-200,-55,-72,-72,-67,-71,-200,-74,-57,-200,-200,-76,-200,-200,-200,-200,-79,-81,-62,-200,-72,-86,-67,-83,-89,-200,-200,-200,-200,-200,-200,-200
1526463797978,-29,-39,-33,-44,-38,-36,-46,-50,-45,-51,-56,-48,-52,-41,-53,-50,-63,-61,-57,-66,-64,-65,-68,-58,-55,-55,-69,-58,-63,-59,-62,-68,-69,-58,-74,-59,-63,-70,-63,-66,-200,-69,-70,-69,-71,-200,-65,-68,-74,-200,-76,-67,-69,-68,-200,-66,-76,-72,-200,-80,-200,-84,-86,-200,-200,-200,-200,-200,-200,-200,-65,-200,-80,-200,-55,-72,-72,-67,-200,-200,-74,-57,-200,-200,-76,-200,-200,-200,-200,-79,-82,-62,-200,-200,-200,-67,-83,-89,-200,-200,-200,-200,-200,-200,-200
1526463801042,-32,-36,-34,-39,-32,-36,-44,-48,-41,-55,-48,-47,-55,-41,-53,-50,-65,-61,-55,-66,-60,-65,-67,-58,-54,-55,-63,-57,-63,-63,-62,-68,-69,-58,-74,-62,-63,-69,-64,-66,-200,-69,-68,-61,-71,-200,-65,-68,-75,-200,-76,-68,-200,-70,-200,-70,-78,-74,-200,-80,-200,-84,-90,-200,-82,-84,-200,-200,-200,-200,-65,-200,-80,-200,-55,-72,-72,-67,-200,-200,-74,-200,-200,-200,-76,-200,-200,-200,-200,-79,-82,-62,-200,-200,-200,-67,-83,-89,-64,-82,-85,-200,-200,-200,-200
1526463804103,-31,-40,-37,-39,-32,-37,-51,-44,-38,-56,-48,-47,-55,-44,-53,-53,-65,-61,-55,-66,-60,-63,-67,-58,-58,-55,-63,-57,-63,-61,-62,-68,-69,-58,-74,-60,-65,-69,-62,-66,-200,-69,-68,-61,-75,-200,-63,-68,-74,-200,-76,-68,-200,-72,-200,-70,-76,-80,-200,-80,-200,-84,-91,-200,-82,-84,-200,-200,-200,-200,-65,-200,-80,-200,-55,-72,-72,-58,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-79,-82,-62,-200,-200,-200,-200,-83,-89,-64,-82,-85,-73,-200,-200,-200
1526463807183,-31,-40,-35,-40,-40,-36,-47,-48,-39,-55,-48,-48,-53,-44,-53,-56,-64,-61,-55,-200,-61,-63,-67,-58,-57,-54,-63,-57,-63,-64,-62,-63,-67,-58,-200,-62,-61,-69,-62,-66,-200,-69,-71,-68,-74,-200,-64,-70,-74,-200,-76,-68,-200,-70,-200,-67,-76,-80,-200,-80,-200,-84,-91,-200,-82,-84,-200,-200,-90,-200,-65,-200,-80,-200,-55,-72,-72,-58,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-79,-82,-62,-200,-200,-200,-200,-200,-89,-64,-82,-85,-73,-200,-200,-200
1526463810251,-31,-34,-31,-42,-63,-37,-46,-49,-37,-55,-48,-47,-48,-42,-48,-49,-62,-61,-58,-200,-60,-63,-67,-63,-56,-56,-63,-57,-200,-61,-55,-68,-67,-57,-200,-62,-64,-69,-70,-62,-200,-63,-71,-68,-73,-69,-64,-70,-76,-66,-200,-68,-200,-68,-200,-67,-75,-80,-200,-80,-200,-84,-91,-200,-82,-84,-200,-200,-90,-200,-65,-200,-70,-200,-55,-200,-200,-58,-200,-78,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-62,-200,-200,-200,-200,-200,-200,-64,-82,-91,-73,-74,-81,-86
