,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463851772,-48,-40,-41,-39,-33,-33,-58,-52,-35,-47,-57,-39,-63,-49,-52,-52,-45,-60,-39,-56,-52,-53,-58,-55,-61,-200,-61,-200,-63,-67,-76,-70,-200,-60,-59,-200,-64,-62,-63,-54,-200,-75,-200,-68,-66,-69,-67,-65,-65,-68,-200,-56,-200,-75,-63,-69,-55,-76,-200,-200,-200,-80,-200,-62,-200,-70,-200,-200,-200,-200,-200,-91,-200,-46,-56,-71,-200,-65,-71,-81,-200,-57,-200,-61,-78,-200,-200,-70,-79,-82,-67,-79,-79,-87,-73,-71,-200,-200,-200,-200,-200,-200,-200
1526463854825,-50,-40,-41,-41,-35,-34,-55,-52,-34,-47,-67,-39,-63,-51,-55,-52,-44,-60,-41,-55,-52,-54,-58,-55,-61,-200,-61,-200,-63,-65,-76,-70,-62,-60,-59,-200,-61,-66,-63,-54,-200,-75,-76,-66,-65,-69,-67,-67,-69,-65,-200,-60,-200,-75,-62,-69,-59,-76,-200,-200,-200,-80,-200,-66,-200,-69,-200,-200,-200,-200,-200,-91,-200,-45,-56,-66,-73,-65,-71,-81,-200,-57,-200,-61,-200,-85,-72,-200,-79,-200,-67,-79,-79,-87,-73,-71,-73,-200,-200,-200,-200,-200,-200
1526463857893,-48,-41,-54,-49,-35,-31,-58,-51,-34,-47,-67,-43,-63,-47,-51,-60,-40,-58,-38,-55,-53,-54,-58,-55,-65,-200,-61,-200,-62,-65,-64,-70,-62,-57,-62,-64,-61,-66,-63,-52,-200,-75,-76,-66,-65,-69,-67,-65,-68,-67,-200,-56,-70,-74,-62,-69,-59,-76,-200,-200,-200,-81,-200,-66,-200,-69,-200,-200,-200,-200,-200,-91,-200,-47,-61,-70,-73,-65,-71,-81,-200,-57,-200,-61,-200,-85,-72,-200,-79,-200,-200,-200,-79,-87,-73,-71,-73,-88,-200,-200,-200,-200,-200
1526463860944,-49,-41,-44,-46,-33,-30,-58,-51,-38,-48,-67,-38,-63,-49,-51,-49,-46,-61,-38,-60,-54,-54,-58,-56,-65,-55,-61,-200,-66,-65,-64,-70,-62,-58,-58,-66,-61,-66,-63,-52,-200,-75,-76,-67,-67,-72,-68,-65,-69,-67,-200,-59,-70,-72,-64,-69,-58,-76,-200,-200,-200,-81,-85,-64,-200,-69,-200,-200,-200,-200,-200,-200,-200,-49,-53,-70,-73,-65,-200,-81,-200,-57,-200,-60,-200,-85,-72,-200,-79,-200,-200,-200,-84,-87,-76,-71,-73,-88,-81,-200,-200,-200,-200
1526463864008,-49,-38,-45,-43,-31,-33,-58,-51,-39,-48,-56,-42,-63,-52,-52,-45,-49,-61,-38,-61,-54,-53,-65,-55,-64,-55,-63,-200,-66,-65,-64,-70,-62,-56,-58,-64,-61,-69,-63,-56,-200,-75,-76,-67,-65,-70,-66,-67,-71,-65,-200,-57,-78,-72,-62,-69,-58,-70,-200,-200,-200,-81,-85,-64,-200,-69,-200,-200,-200,-200,-200,-200,-200,-46,-53,-70,-73,-200,-200,-200,-200,-72,-200,-60,-200,-85,-72,-200,-79,-200,-200,-200,-84,-87,-76,-71,-73,-88,-81,-77,-77,-200,-200
1526463867099,-45,-38,-44,-41,-31,-33,-59,-53,-34,-48,-62,-44,-62,-49,-52,-51,-49,-56,-38,-61,-51,-53,-65,-55,-64,-55,-64,-64,-63,-65,-64,-200,-62,-56,-59,-67,-61,-61,-200,-50,-200,-78,-76,-67,-65,-68,-67,-64,-65,-66,-200,-58,-78,-74,-62,-200,-58,-70,-200,-200,-200,-80,-85,-66,-200,-69,-200,-200,-200,-200,-200,-90,-200,-49,-54,-70,-73,-200,-200,-200,-200,-72,-200,-62,-63,-85,-72,-200,-79,-200,-200,-200,-84,-200,-79,-200,-73,-88,-81,-77,-77,-76,-79
1526463870171,-45,-38,-41,-40,-31,-29,-60,-51,-32,-46,-57,-37,-62,-47,-52,-50,-47,-58,-39,-61,-53,-53,-65,-55,-63,-55,-64,-64,-62,-73,-64,-200,-200,-64,-57,-67,-200,-65,-200,-51,-200,-80,-200,-67,-65,-68,-66,-64,-63,-67,-200,-59,-78,-74,-62,-200,-58,-70,-200,-200,-200,-80,-85,-66,-200,-69,-200,-200,-68,-200,-200,-90,-200,-49,-61,-70,-200,-200,-200,-200,-200,-72,-200,-62,-63,-200,-200,-200,-200,-200,-200,-200,-84,-200,-79,-200,-200,-88,-81,-77,-77,-76,-79
1526463873238,-46,-40,-42,-39,-33,-32,-62,-43,-35,-48,-57,-46,-58,-47,-49,-53,-47,-58,-40,-58,-53,-53,-68,-56,-63,-55,-64,-64,-62,-73,-200,-74,-66,-59,-57,-67,-200,-66,-200,-54,-200,-77,-200,-67,-65,-68,-66,-64,-63,-67,-200,-58,-78,-74,-61,-71,-59,-70,-200,-200,-200,-81,-85,-68,-200,-69,-200,-200,-68,-200,-200,-90,-200,-57,-61,-69,-67,-200,-200,-200,-200,-65,-200,-59,-65,-200,-200,-200,-200,-200,-200,-200,-84,-200,-79,-200,-200,-200,-81,-77,-76,-76,-79
1526463876304,-48,-39,-42,-44,-33,-32,-60,-50,-38,-48,-57,-38,-63,-47,-49,-49,-48,-58,-46,-58,-53,-54,-69,-55,-62,-200,-64,-64,-63,-71,-74,-74,-66,-58,-57,-67,-67,-66,-200,-54,-200,-78,-200,-200,-65,-69,-66,-70,-63,-66,-200,-58,-71,-74,-61,-63,-59,-70,-200,-200,-200,-78,-200,-67,-200,-72,-200,-200,-68,-200,-200,-90,-200,-50,-56,-69,-66,-200,-200,-200,-200,-63,-200,-59,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-77,-76,-78,-79
1526463879365,-48,-45,-42,-44,-29,-32,-59,-50,-35,-48,-57,-38,-63,-47,-52,-49,-52,-58,-40,-58,-53,-54,-69,-56,-62,-200,-63,-64,-64,-71,-74,-74,-66,-58,-57,-67,-67,-66,-200,-54,-200,-73,-200,-200,-66,-69,-66,-70,-64,-66,-200,-58,-71,-74,-62,-63,-59,-200,-200,-200,-200,-78,-200,-67,-200,-72,-200,-200,-68,-200,-200,-90,-200,-50,-56,-69,-66,-200,-200,-200,-200,-63,-200,-59,-67,-200,-200,-200,-200,-200,-200,-200,-81,-200,-79,-200,-200,-200,-200,-200,-76,-78,-79
1526463882416,-44,-41,-42,-41,-38,-32,-58,-50,-38,-48,-57,-39,-63,-45,-52,-49,-45,-57,-37,-58,-50,-53,-69,-56,-62,-200,-65,-200,-63,-71,-74,-74,-66,-57,-57,-63,-67,-67,-200,-51,-200,-78,-200,-200,-66,-69,-66,-70,-69,-65,-200,-58,-80,-74,-62,-63,-59,-200,-200,-200,-200,-81,-200,-64,-200,-72,-200,-200,-68,-200,-200,-200,-200,-47,-56,-65,-66,-200,-200,-200,-200,-63,-200,-61,-67,-200,-200,-200,-200,-200,-67,-200,-81,-200,-200,-200,-200,-200,-200,-200,-76,-78,-200
1526463885485,-45,-42,-44,-43,-32,-34,-57,-49,-31,-45,-200,-37,-63,-47,-54,-52,-45,-60,-37,-58,-51,-52,-69,-58,-62,-200,-65,-200,-62,-71,-74,-74,-66,-57,-200,-63,-67,-67,-200,-52,-200,-77,-200,-200,-65,-69,-67,-70,-67,-65,-200,-58,-80,-200,-62,-63,-59,-200,-200,-200,-200,-78,-200,-64,-200,-72,-200,-200,-68,-200,-200,-200,-200,-47,-56,-69,-66,-200,-200,-200,-200,-63,-200,-61,-67,-200,-200,-73,-200,-200,-67,-200,-81,-200,-200,-200,-200,-200,-200,-200,-76,-78,-200
