,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,DLINK_D02A68,DLINK_D00E98,whu2011314,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D00EB8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526464006270,-40,-25,-42,-37,-36,-40,-32,-51,-46,-62,-64,-44,-41,-60,-56,-53,-48,-58,-55,-60,-200,-59,-46,-61,-64,-62,-62,-51,-68,-63,-70,-200,-65,-200,-66,-65,-66,-200,-200,-200,-58,-63,-81,-200,-66,-74,-72,-74,-75,-65,-200,-71,-200,-69,-75,-64,-76,-72,-200,-68,-200,-70,-68,-76,-200,-70,-88,-200,-200,-200,-200,-200,-200,-200,-200,-64,-66,-200,-59,-200,-200,-200,-200,-200,-200,-200,-76,-76,-83,-86,-71,-65,-76,-87,-86,-88,-200,-200,-200,-200,-200,-200
1526464009325,-35,-24,-42,-39,-42,-47,-33,-50,-49,-61,-55,-40,-44,-60,-55,-55,-51,-57,-54,-60,-200,-62,-47,-62,-64,-62,-66,-52,-68,-65,-71,-200,-66,-200,-64,-65,-66,-200,-63,-200,-56,-67,-81,-67,-65,-68,-72,-70,-71,-65,-200,-71,-200,-71,-68,-64,-71,-72,-200,-68,-66,-70,-68,-76,-200,-70,-87,-200,-200,-200,-200,-200,-200,-200,-200,-64,-66,-200,-59,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-65,-76,-87,-86,-88,-200,-200,-200,-200,-200,-200
1526464012384,-34,-23,-36,-39,-37,-42,-33,-54,-45,-72,-58,-46,-44,-58,-55,-54,-49,-57,-49,-59,-200,-58,-45,-59,-65,-65,-66,-53,-53,-65,-71,-200,-66,-200,-67,-65,-66,-200,-63,-65,-57,-67,-91,-67,-65,-68,-76,-74,-71,-65,-79,-67,-200,-66,-75,-67,-71,-72,-200,-68,-66,-70,-68,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-64,-66,-76,-59,-63,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-71,-65,-76,-87,-86,-88,-85,-200,-200,-200,-200,-200
1526464015451,-38,-30,-38,-39,-38,-38,-31,-49,-45,-61,-58,-45,-43,-61,-56,-57,-49,-64,-51,-55,-200,-55,-45,-57,-59,-65,-62,-50,-53,-65,-71,-200,-65,-200,-67,-65,-58,-76,-63,-65,-58,-52,-73,-68,-65,-68,-72,-74,-71,-200,-79,-62,-200,-67,-79,-64,-72,-72,-94,-65,-66,-70,-74,-76,-200,-200,-87,-200,-200,-81,-80,-200,-200,-200,-200,-69,-66,-76,-200,-63,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-71,-200,-76,-200,-86,-88,-85,-84,-200,-200,-200,-200
1526464018514,-38,-31,-40,-43,-38,-36,-31,-50,-48,-61,-58,-43,-44,-61,-59,-54,-49,-55,-51,-55,-200,-53,-48,-57,-65,-65,-61,-50,-58,-65,-68,-200,-68,-200,-66,-61,-58,-76,-63,-65,-62,-52,-73,-68,-65,-68,-71,-69,-71,-200,-79,-62,-200,-68,-75,-64,-77,-200,-94,-65,-66,-70,-74,-200,-200,-200,-87,-200,-200,-81,-77,-200,-200,-200,-200,-69,-66,-76,-200,-63,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-88,-85,-84,-200,-200,-200,-200
1526464021571,-38,-32,-40,-43,-37,-35,-34,-46,-48,-61,-58,-43,-45,-60,-57,-54,-49,-54,-52,-55,-200,-54,-51,-62,-65,-65,-59,-50,-55,-65,-71,-200,-66,-200,-65,-63,-61,-76,-63,-68,-62,-63,-73,-68,-63,-68,-71,-70,-71,-57,-79,-67,-200,-71,-73,-64,-77,-200,-94,-65,-66,-70,-74,-200,-200,-200,-87,-200,-200,-81,-77,-200,-200,-200,-200,-69,-200,-76,-200,-63,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-84,-200,-200,-200,-200
1526464024631,-42,-25,-45,-41,-41,-40,-31,-47,-48,-65,-58,-44,-45,-68,-57,-55,-50,-54,-52,-54,-62,-55,-51,-62,-65,-65,-62,-50,-55,-65,-69,-200,-61,-200,-62,-64,-61,-76,-200,-68,-58,-59,-60,-68,-63,-200,-71,-71,-71,-57,-79,-67,-200,-67,-74,-64,-74,-200,-94,-65,-200,-70,-67,-200,-200,-200,-88,-200,-200,-75,-77,-200,-200,-81,-200,-69,-200,-76,-200,-63,-200,-200,-74,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-84,-200,-200,-200,-200
1526464027706,-40,-25,-42,-34,-37,-44,-31,-47,-48,-65,-56,-44,-45,-58,-55,-53,-50,-54,-53,-57,-62,-55,-48,-59,-64,-200,-63,-55,-55,-200,-68,-200,-63,-200,-62,-62,-60,-76,-200,-68,-60,-55,-69,-72,-63,-200,-71,-67,-71,-57,-200,-59,-200,-72,-76,-63,-74,-200,-94,-64,-200,-70,-67,-83,-200,-76,-88,-200,-200,-71,-77,-200,-200,-81,-200,-69,-200,-200,-200,-63,-200,-76,-200,-200,-200,-200,-65,-200,-200,-200,-68,-200,-200,-200,-83,-200,-200,-84,-79,-200,-200,-200
1526464030771,-37,-23,-43,-38,-37,-38,-31,-52,-48,-60,-56,-44,-43,-67,-58,-54,-49,-54,-53,-57,-62,-53,-47,-62,-64,-64,-62,-55,-59,-200,-68,-200,-65,-200,-65,-62,-58,-200,-200,-68,-60,-66,-71,-68,-63,-200,-71,-75,-70,-57,-200,-59,-200,-73,-80,-71,-72,-200,-200,-64,-200,-200,-65,-83,-200,-74,-87,-200,-200,-71,-79,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-65,-200,-200,-200,-68,-200,-200,-200,-87,-200,-200,-200,-79,-71,-200,-200
1526464033837,-37,-23,-39,-40,-37,-38,-33,-48,-48,-60,-56,-44,-43,-64,-58,-53,-49,-54,-53,-61,-62,-53,-47,-62,-63,-64,-60,-55,-60,-200,-67,-200,-67,-200,-65,-62,-54,-200,-200,-68,-59,-66,-71,-68,-67,-200,-200,-67,-71,-57,-200,-59,-200,-71,-77,-71,-72,-68,-200,-64,-200,-200,-65,-83,-200,-74,-86,-200,-200,-71,-78,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-65,-200,-200,-200,-66,-63,-200,-200,-87,-200,-200,-200,-79,-71,-200,-200
1526464036890,-40,-21,-39,-39,-37,-38,-28,-49,-46,-58,-54,-44,-40,-63,-56,-52,-51,-50,-52,-61,-63,-57,-45,-58,-67,-64,-59,-55,-56,-200,-71,-200,-67,-200,-68,-63,-54,-200,-200,-200,-58,-66,-71,-68,-66,-74,-200,-69,-71,-200,-200,-70,-200,-70,-75,-66,-72,-68,-200,-71,-200,-200,-65,-83,-200,-74,-88,-200,-200,-79,-79,-200,-200,-82,-200,-200,-63,-200,-200,-200,-200,-85,-200,-200,-200,-200,-65,-200,-84,-200,-66,-63,-200,-200,-86,-200,-200,-200,-80,-71,-81,-200
1526464039966,-38,-25,-39,-38,-35,-39,-27,-54,-50,-54,-53,-45,-41,-60,-56,-51,-49,-51,-51,-61,-66,-57,-50,-58,-67,-68,-57,-55,-59,-200,-73,-200,-67,-83,-68,-63,-54,-200,-200,-200,-61,-66,-71,-68,-66,-70,-200,-72,-75,-56,-200,-70,-200,-70,-78,-65,-74,-68,-200,-71,-78,-200,-70,-83,-200,-74,-90,-200,-200,-79,-79,-200,-200,-82,-200,-200,-63,-80,-200,-57,-200,-80,-200,-200,-200,-200,-74,-200,-84,-200,-65,-63,-72,-200,-86,-200,-200,-200,-80,-71,-81,-77
