,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526464280442,-34,-26,-41,-33,-36,-38,-40,-53,-44,-42,-200,-51,-57,-46,-50,-54,-47,-53,-43,-47,-53,-200,-50,-53,-61,-200,-51,-57,-200,-200,-53,-70,-61,-55,-70,-54,-200,-200,-61,-63,-62,-65,-56,-66,-200,-61,-64,-66,-70,-65,-200,-66,-76,-72,-200,-67,-200,-76,-80,-82,-78,-74,-82,-77,-76,-82,-200,-200,-89,-75,-200,-67,-85,-200,-200,-200,-80,-200,-200,-71,-200,-75,-58,-69,-83,-68,-74,-81,-90,-75,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464283503,-34,-27,-39,-30,-37,-39,-40,-53,-52,-42,-200,-47,-55,-47,-50,-55,-47,-52,-43,-51,-53,-200,-50,-52,-62,-200,-47,-57,-64,-200,-56,-54,-63,-57,-70,-54,-200,-200,-61,-63,-62,-66,-58,-66,-200,-63,-64,-68,-70,-64,-200,-67,-76,-72,-73,-70,-200,-76,-80,-82,-78,-74,-82,-200,-76,-82,-200,-200,-89,-75,-200,-67,-85,-200,-200,-200,-66,-200,-200,-71,-200,-75,-55,-69,-83,-68,-74,-81,-90,-75,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526464286573,-37,-27,-38,-30,-33,-39,-41,-55,-53,-40,-50,-42,-55,-49,-51,-55,-47,-52,-43,-52,-53,-200,-50,-54,-62,-61,-49,-57,-64,-200,-56,-54,-65,-59,-56,-54,-65,-200,-61,-63,-200,-65,-58,-67,-200,-60,-64,-68,-71,-64,-200,-67,-76,-72,-73,-67,-200,-76,-76,-82,-78,-200,-82,-77,-76,-82,-200,-200,-89,-76,-200,-71,-200,-200,-200,-200,-78,-200,-200,-200,-200,-76,-58,-200,-200,-68,-74,-81,-90,-75,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526464289642,-37,-27,-39,-32,-36,-36,-41,-55,-49,-40,-49,-46,-55,-46,-51,-58,-47,-52,-44,-52,-53,-200,-50,-54,-62,-61,-50,-57,-64,-200,-56,-65,-61,-59,-63,-53,-65,-200,-61,-63,-200,-65,-58,-67,-200,-62,-65,-68,-71,-65,-68,-67,-75,-69,-73,-68,-200,-79,-76,-84,-76,-200,-83,-77,-76,-200,-200,-200,-89,-76,-200,-71,-200,-200,-200,-82,-78,-200,-200,-200,-200,-76,-58,-200,-200,-74,-200,-81,-90,-75,-84,-90,-83,-200,-200,-200,-200,-200,-200,-200
1526464292710,-34,-27,-38,-25,-36,-36,-42,-55,-47,-43,-49,-46,-55,-47,-51,-58,-45,-54,-45,-52,-53,-200,-50,-54,-63,-62,-50,-59,-64,-63,-54,-58,-61,-58,-63,-54,-59,-200,-62,-200,-60,-65,-58,-65,-200,-62,-62,-68,-71,-63,-68,-67,-75,-69,-73,-68,-200,-78,-76,-84,-77,-200,-83,-77,-200,-200,-200,-200,-200,-87,-200,-71,-200,-200,-200,-82,-78,-200,-200,-200,-200,-76,-58,-200,-200,-74,-200,-200,-200,-83,-84,-90,-83,-200,-200,-200,-200,-200,-200,-200
1526464295774,-36,-24,-38,-29,-36,-39,-42,-55,-49,-45,-48,-47,-55,-43,-51,-58,-43,-54,-46,-53,-53,-200,-51,-54,-63,-58,-62,-59,-64,-63,-54,-57,-60,-58,-64,-54,-59,-200,-62,-200,-60,-65,-58,-65,-200,-62,-62,-67,-71,-63,-68,-67,-75,-72,-73,-68,-200,-78,-76,-84,-77,-200,-83,-77,-79,-200,-200,-200,-200,-87,-200,-66,-200,-200,-200,-82,-78,-200,-200,-200,-200,-76,-58,-200,-200,-74,-200,-200,-200,-83,-84,-90,-83,-78,-200,-200,-200,-200,-200,-200
1526464298840,-37,-28,-39,-31,-36,-35,-41,-54,-47,-44,-47,-47,-60,-47,-51,-52,-41,-54,-44,-51,-53,-200,-50,-61,-63,-58,-55,-58,-200,-63,-54,-59,-58,-56,-63,-53,-59,-200,-60,-200,-60,-65,-58,-64,-200,-60,-62,-68,-71,-63,-68,-67,-79,-72,-200,-70,-200,-79,-80,-84,-77,-200,-83,-77,-78,-200,-200,-200,-91,-87,-200,-66,-200,-200,-200,-82,-78,-200,-200,-68,-200,-76,-56,-200,-200,-71,-200,-200,-200,-83,-84,-200,-82,-70,-70,-75,-87,-92,-200,-200
1526464301898,-41,-24,-39,-30,-36,-35,-41,-55,-45,-44,-46,-48,-60,-47,-52,-55,-43,-54,-44,-51,-53,-200,-49,-54,-64,-59,-49,-58,-200,-63,-53,-59,-60,-56,-65,-51,-59,-200,-61,-65,-60,-65,-58,-65,-200,-60,-64,-68,-71,-63,-68,-67,-79,-70,-73,-70,-200,-79,-80,-86,-77,-200,-86,-200,-78,-200,-200,-76,-91,-87,-200,-66,-200,-200,-200,-82,-200,-200,-200,-68,-200,-74,-56,-200,-200,-71,-200,-200,-200,-83,-200,-200,-82,-70,-70,-75,-87,-92,-200,-200
1526464304965,-34,-26,-41,-28,-33,-37,-41,-55,-45,-41,-46,-45,-60,-48,-52,-55,-43,-54,-44,-51,-53,-200,-50,-55,-64,-62,-49,-58,-200,-63,-56,-59,-58,-60,-61,-51,-59,-200,-60,-65,-60,-64,-58,-65,-200,-62,-64,-68,-71,-63,-200,-65,-77,-70,-73,-70,-200,-79,-80,-86,-77,-200,-86,-200,-78,-200,-200,-76,-91,-87,-200,-66,-200,-200,-75,-200,-200,-200,-200,-68,-200,-74,-56,-200,-200,-70,-200,-200,-200,-83,-200,-200,-82,-70,-70,-75,-87,-92,-200,-200
1526464308021,-35,-26,-43,-28,-34,-39,-40,-55,-45,-43,-55,-45,-60,-50,-52,-55,-44,-54,-44,-51,-53,-200,-50,-55,-66,-62,-49,-58,-66,-200,-56,-59,-58,-60,-61,-51,-200,-200,-60,-63,-60,-64,-58,-66,-200,-62,-64,-68,-71,-62,-200,-65,-77,-70,-73,-70,-200,-79,-80,-86,-200,-200,-86,-200,-78,-200,-200,-76,-91,-200,-200,-66,-200,-80,-75,-200,-200,-200,-200,-68,-200,-74,-56,-200,-200,-70,-200,-200,-200,-83,-200,-92,-82,-70,-70,-75,-87,-92,-93,-200
1526464311094,-35,-27,-41,-32,-32,-37,-40,-51,-46,-45,-48,-45,-58,-46,-52,-56,-44,-55,-46,-54,-53,-200,-50,-51,-64,-66,-51,-59,-66,-64,-56,-59,-63,-58,-63,-53,-200,-200,-60,-63,-60,-65,-200,-66,-200,-63,-64,-68,-71,-62,-200,-65,-77,-70,-73,-67,-200,-80,-80,-86,-200,-200,-86,-78,-78,-200,-200,-76,-91,-200,-200,-66,-78,-80,-78,-200,-200,-200,-200,-68,-200,-74,-56,-200,-83,-70,-200,-200,-200,-83,-200,-92,-82,-70,-70,-75,-87,-92,-93,-200
1526464314160,-37,-27,-35,-33,-37,-34,-42,-51,-46,-45,-46,-43,-58,-45,-49,-54,-44,-56,-46,-54,-54,-200,-50,-54,-63,-65,-49,-61,-70,-64,-54,-59,-63,-62,-59,-51,-200,-200,-60,-63,-60,-63,-200,-66,-200,-63,-61,-200,-70,-63,-66,-65,-77,-70,-73,-67,-200,-79,-200,-86,-200,-200,-86,-74,-200,-80,-200,-77,-200,-200,-200,-66,-74,-80,-75,-200,-200,-200,-200,-200,-200,-77,-200,-200,-83,-71,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-93,-72
