,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526442093039,-200,-94,-200,-80,-200,-200,-200,-70,-200,-200,-200,-200,-200
1526442097569,-72,-200,-200,-80,-91,-200,-200,-71,-200,-200,-200,-200,-200
1526442097663,-74,-94,-200,-200,-91,-200,-200,-72,-200,-200,-200,-200,-200
1526442097767,-72,-200,-200,-79,-200,-200,-200,-71,-200,-200,-200,-200,-200
1526442097874,-72,-96,-200,-80,-200,-200,-85,-70,-200,-200,-200,-200,-200
1526442098091,-72,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200
1526442102577,-89,-200,-200,-86,-200,-200,-76,-75,-200,-200,-200,-200,-200
1526442102685,-200,-95,-200,-200,-200,-200,-75,-76,-200,-200,-200,-200,-200
1526442102777,-200,-96,-200,-86,-83,-200,-75,-75,-200,-200,-200,-200,-200
1526442102889,-86,-200,-200,-86,-84,-200,-76,-75,-200,-200,-200,-200,-200
1526442103006,-200,-200,-200,-86,-87,-200,-76,-75,-200,-200,-200,-200,-200
1526442107533,-80,-200,-200,-200,-200,-200,-75,-69,-200,-200,-200,-200,-200
1526442107636,-81,-200,-200,-79,-200,-200,-75,-69,-200,-200,-200,-200,-200
1526442107742,-81,-200,-200,-200,-200,-200,-75,-69,-200,-200,-200,-200,-200
1526442107852,-200,-200,-200,-79,-200,-200,-76,-70,-200,-200,-200,-200,-200
1526442107959,-80,-200,-200,-79,-200,-200,-76,-69,-200,-200,-200,-200,-200
1526442108059,-200,-200,-200,-200,-200,-200,-76,-69,-200,-200,-200,-200,-200
1526442112567,-73,-200,-200,-82,-97,-200,-73,-73,-200,-200,-200,-200,-200
1526442112660,-72,-200,-200,-82,-200,-200,-73,-73,-200,-200,-200,-200,-97
1526442112758,-73,-200,-200,-82,-200,-200,-72,-73,-200,-200,-200,-200,-200
1526442112859,-73,-200,-200,-84,-96,-200,-72,-200,-200,-200,-200,-200,-200
1526442112978,-75,-200,-200,-82,-97,-200,-73,-74,-200,-200,-200,-200,-200
1526442113073,-82,-92,-200,-87,-79,-200,-73,-75,-200,-200,-200,-200,-200
1526442117637,-83,-93,-200,-86,-80,-200,-75,-200,-200,-200,-200,-200,-200
1526442117759,-83,-94,-200,-200,-80,-200,-76,-76,-200,-200,-200,-200,-200
1526442117932,-200,-94,-200,-88,-80,-200,-76,-75,-200,-200,-200,-200,-200
1526442118044,-84,-200,-200,-200,-200,-200,-75,-76,-200,-200,-200,-200,-200
1526442122535,-85,-91,-95,-78,-200,-200,-75,-68,-200,-200,-200,-200,-200
1526442122625,-86,-200,-200,-78,-200,-200,-75,-68,-200,-200,-200,-200,-200
